Symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
CDT1	-0.48835894	10.80144843	-3.773457075	0.00273166	0.10603952	-1.569602204
TICAM2	0.6943118	9.327027145	6.119714061	5.57E-05	0.012911788	2.215886267
SERTAD2	0.460508025	10.54973299	4.006007933	0.001800197	0.086527957	-1.163073029
HIST1H2BD	0.399708885	7.048602859	3.497817741	0.004506244	0.135905331	-2.056229345
GADD45G	0.553348025	10.84531276	4.593223036	0.000645299	0.050639411	-0.161344361
ERGIC1	-0.838328498	7.281746751	-3.568295022	0.00396267	0.127935182	-1.931441265
MUC13	0.98815976	10.60012581	7.895861994	4.78E-06	0.002914783	4.533602919
LOC730525	-0.371611737	8.165454619	-3.254448068	0.007040365	0.16636497	-2.488106755
EPS8	-0.322688746	8.264809249	-2.648576599	0.02149441	0.28522699	-3.555093821
IQCD	0.471908644	6.933617765	4.061563399	0.001630845	0.081992666	-1.066663221
RBM11	0.422425575	7.297346356	2.992917613	0.011400134	0.211136728	-2.951693934
TGOLN2	-0.41161572	10.86665496	-2.929630761	0.012811863	0.224456628	-3.063411949
TMEM25	0.375025328	8.063157643	2.603173268	0.023360415	0.297515319	-3.633589836
SLC38A2	0.75273957	11.02742271	5.428365281	0.00016218	0.024057527	1.183398795
ABCC5	0.30510894	7.845986313	2.642430346	0.021738182	0.286771886	-3.565738235
CDKN2C	-0.347090306	6.887541289	-2.812870641	0.015889149	0.247571461	-3.268701965
CBR3	-0.364100565	8.772263258	-3.096252928	0.009421846	0.191512781	-2.768794623
SECTM1	0.371303724	6.615967633	3.239180026	0.007240913	0.168248873	-2.515215459
SPAG1	-0.39673597	6.378060921	-3.337226125	0.00604692	0.15542654	-2.341125121
KCTD5	-0.340518794	8.517240628	-2.830546243	0.01537999	0.243596414	-3.237704417
FN3KRP	-0.43105251	11.19520268	-3.663265438	0.003334364	0.117049043	-1.763642787
SPATA7	0.305361113	7.855766374	2.592586838	0.023817814	0.300360376	-3.651845649
RAC1	-0.854422238	9.653498061	-6.55807441	2.92E-05	0.00870171	2.831832278
TUBA3E	-0.266193861	7.170196369	-2.318510163	0.039207543	0.380028866	-4.117013996
POLD1	-0.315694487	9.428140224	-2.70543358	0.019363062	0.271596597	-3.456370248
GGT1	-0.306411753	7.548832643	-2.70275479	0.019458638	0.272340359	-3.461031506
GLIPR2	-0.614633154	8.202646909	-4.769503342	0.000478302	0.043275838	0.130922455
LOC647357	-0.362673532	6.650707189	-3.098227377	0.009387609	0.191358798	-2.765295351
C14orf2	0.4871493	10.87437947	3.34067016	0.006008813	0.154826001	-2.335010468
FAM174B	0.317151448	8.4277081	2.490665423	0.028693403	0.329694946	-3.82661143
LRRC17	-0.378338375	6.558540463	-3.211719968	0.007616253	0.172358256	-2.563965751
PCYT2	-0.281034759	8.922825746	-2.32006162	0.039098014	0.379745076	-4.114427755
EZH2	-1.052292993	9.218566154	-5.789081083	9.21E-05	0.017015981	1.731456214
PRRG3	-0.346212067	6.346613292	-2.948952905	0.012363263	0.220267172	-3.029331905
C1orf194	-0.276663433	5.96249874	-2.304461385	0.040212826	0.385350265	-4.140405081
ZNF479	0.384413429	6.428839579	3.163464105	0.008324087	0.180192131	-2.649607372
SLC30A4	-0.282831593	6.219905843	-2.415929034	0.032871801	0.350494281	-3.95349102
PITPNM1	0.716507157	9.910904092	5.157812196	0.000251011	0.031093804	0.759089701
PFKFB4	0.40618383	9.063811704	3.010326559	0.011039832	0.208046538	-2.920918469
MC1R	-0.378450105	8.523432247	-3.208918369	0.007655636	0.172918703	-2.568938954
TAF12	0.531145081	8.92288021	4.497945936	0.00075997	0.055289433	-0.321050121
RAXL1	-0.521168926	9.547201617	-2.971260964	0.01186481	0.215840678	-2.989953268
HNRPDL	-0.37921888	10.54683607	-3.114588625	0.009108671	0.188322722	-2.736293363
HES4	-0.44908883	12.35706171	-3.608892097	0.003680451	0.123342041	-1.859656496
S100A1	0.288789472	6.788346668	2.451307018	0.030825228	0.34112406	-3.893574569
