"Symbol"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
NA	3.18935485291686	10.1627425322022	32.0976899555261	5.17731832452834e-08	0.00106601012320805	6.95710971540947
NA	3.35681246046253	9.82941384772556	30.0127778501724	7.76808290797534e-08	0.00106601012320805	6.82192089705946
NA	3.10532040029836	10.2124165961341	28.8114140342295	9.94097136363516e-08	0.00106601012320805	6.73332749439996
NA	3.10532040029836	10.2124165961341	28.8114140342295	9.94097136363516e-08	0.00106601012320805	6.73332749439996
NA	3.10532040029836	10.2124165961341	28.8114140342295	9.94097136363516e-08	0.00106601012320805	6.73332749439996
"DUSP1"	3.54116383699982	7.75253901039296	26.3413304233529	1.70705679515851e-07	0.0013105705680475	6.52129061675346
NA	3.12987237682195	10.1942101219461	26.3311909954652	1.71102336503954e-07	0.0013105705680475	6.5203261532533
"TCP11L2"	3.60556478677618	6.30299954952327	25.4646208387306	2.0933685947999e-07	0.00134730419832502	6.43470174179255
NA	5.24852408103193	6.41992306886518	25.1400841622867	2.26154723034209e-07	0.00134730419832502	6.40093605295382
NA	2.86654452018238	10.1906494128619	24.6551659976562	2.54303741745401e-07	0.00136350037211632	6.34865044449122
NA	3.46373610840802	9.76150084525399	24.2363244565668	2.81939893413794e-07	0.00137425193319703	6.30163939281514
NA	3.24497621333208	9.79634885371915	23.8496229528322	3.10600822738782e-07	0.00138779035939877	6.25663855298774
"DNAJB1"	2.38548333094197	9.25920801037301	22.8756515309008	3.99154128088312e-07	0.00164626514505469	6.13602878369965
"HIST2H2BF"	3.7478260365521	4.80194880440041	22.4443263825037	4.47552918614973e-07	0.0017140317740985	6.07905807384763
NA	4.61609355734965	5.06334447030305	21.6937273336868	5.49050279132604e-07	0.00196256192108352	5.97425895457269
"SLC7A11"	3.11905452461825	8.96834589743226	21.1413037786985	6.41036895501217e-07	0.00206303980187586	5.89221686035918
"NTN4"	2.78005192207461	7.34081723764714	21.0587161101718	6.56277240743757e-07	0.00206303980187586	5.87957368266913
"HIST2H2BF"	3.19636148941833	4.04469605438704	20.3539934640186	8.04978449920185e-07	0.00206303980187586	5.76747258494041
"HERPUD1"	2.89612528464957	7.98630605073522	20.3197100197351	8.13158537658817e-07	0.00206303980187586	5.76182009182511
