"Symbol"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"NEAT1"	-2.3153662234216	8.68328122522119	-15.8875960109484	6.62267585774722e-07	0.020701120847019	4.59384463014265
"SNORA75"	-2.65207668844658	6.65486170351701	-15.5465767284681	7.72184972938398e-07	0.020701120847019	4.531149865195
"SCARNA5"	-1.81725438259729	6.72014533384337	-12.5616775578334	3.45478181807288e-06	0.0478292703505959	3.82831598082299
"FOSL1"	1.56598703059818	7.75033775522615	12.5036327851944	3.568216823067e-06	0.0478292703505959	3.81129656610221
"BNIP3"	1.36101644504868	7.77653842241373	11.7970076205466	5.34847283830391e-06	0.0573538136342682	3.5913043508643
"OLFML2A"	-1.35129407979219	6.06314551202227	-11.2381089293219	7.48516232734999e-06	0.066888658084254	3.39908725355642
"HSPA2"	-1.51405532447838	6.17540838107395	-10.8579477494517	9.49051136984952e-06	0.0726932497310316	3.25814685071905
"EGR1"	1.93740571885031	4.68640552572248	10.3955178634583	1.27979408539241e-05	0.0755586029267983	3.07454236619509
"ADGRE5"	1.08143876870241	7.79575860193451	10.2846534199176	1.37731783402416e-05	0.0755586029267983	3.02841594985778
"SLC7A11"	1.48985606854671	7.59606458528243	10.0888254613339	1.57080460584529e-05	0.0755586029267983	2.94484661732617
"SNORA80E"	-1.27092377235705	4.90978572801754	-10.0813267786074	1.57880169306557e-05	0.0755586029267983	2.94159234958807
NA	-1.454328839228	5.28839059387505	-9.91784295994432	1.76511094544975e-05	0.0755586029267983	2.8696261633792
NA	1.36487213294079	6.11360725237444	9.73806106989703	1.99922661719196e-05	0.0755586029267983	2.78818707911934
"PDK1"	1.28103478809484	6.9434065853852	9.71112575761402	2.03723457544637e-05	0.0755586029267983	2.77577332011846
"MYLIP"	-1.25717785669772	5.82443046831839	-9.65851863516481	2.11384270642142e-05	0.0755586029267983	2.75136581610972
"CHAC1"	1.07739933872526	5.40810440592354	9.41074889185877	2.52125009115815e-05	0.0796440886738382	2.63346243130042
NA	-1.55254847001766	4.75585885225087	-9.4048717044014	2.53193582448907e-05	0.0796440886738382	2.63060547918733
"MGAM2"	1.2838395514447	4.29950958660223	9.2775795358963	2.77638777080558e-05	0.0796440886738382	2.56802556665927
"UBE2CP5"	-1.4759787624051	7.17359864009363	-9.247703361215	2.83754922074574e-05	0.0796440886738382	2.55314117428657
NA	-1.6596782858837	4.45032387758938	-9.10457212950609	3.15245070947791e-05	0.0796440886738382	2.48077596944673
"MGAM2"	1.93420652748667	4.83143729655019	9.03925456430813	3.30910652743691e-05	0.0796440886738382	2.44716217953031
"SLC2A1"	1.41648139900231	7.40851343184352	9.02385298140461	3.34731162425044e-05	0.0796440886738382	2.43918153433299
"ATOH8"	-1.18494555547703	5.19922275268371	-8.87387964417679	3.74649414696875e-05	0.0796440886738382	2.36036275023343
"LINC00681"	-1.06210823785158	8.24288842804667	-8.83315221003129	3.86397159320638e-05	0.0796440886738382	2.33860704342226
"MIR4534"	-1.19574057999984	6.69828453188987	-8.80829212062496	3.93771739925091e-05	0.0796440886738382	2.32525253810407
NA	-1.17178155629107	6.14977279098124	-8.74461516193514	4.13395077817944e-05	0.0796440886738382	2.2907853714905
"MGAM2"	1.12278337082067	5.04547617763864	8.58145076097455	4.689040397547e-05	0.0796440886738382	2.20072744088623
"VEGFA"	1.06832670884988	4.94500375459687	8.52677675534327	4.89345310885088e-05	0.0796440886738382	2.16998015952696
"ANKRD37"	0.993530479421759	5.12368403177841	8.51876204826794	4.92425292063637e-05	0.0796440886738382	2.16544848502919
"P4HA1"	0.964596943906577	8.04063006158842	8.45023748682683	5.19668212690888e-05	0.0796440886738382	2.12644640903477
"KIF1A"	0.944136647533937	5.22993146521638	8.44302620251498	5.22632502605861e-05	0.0796440886738382	2.12231506835189
"ACSS2"	0.881224437263597	6.94281302975761	8.43788570625196	5.24757187639076e-05	0.0796440886738382	2.11936693743871
"EIF2AK3"	1.1899393233845	6.45747284213271	8.43764702948483	5.24856074132655e-05	0.0796440886738382	2.11922999008335
NA	1.30835557492966	6.02322846300856	8.43558459620158	5.25711437827267e-05	0.0796440886738382	2.1180463770333
"NEAT1"	-1.11477593257959	9.5889488431777	-8.32664326043808	5.73204578182749e-05	0.0796440886738382	2.05492207482706
NA	-1.41369748487185	6.80128107425414	-8.32529166381755	5.73823377564295e-05	0.0796440886738382	2.05413141695189
NA	-2.49479260735717	4.23935502055428	-8.31438427831236	5.78844688393743e-05	0.0796440886738382	2.0477440303489
"IER3"	1.26992463134932	6.80634945263673	8.25099257363957	6.09024681654581e-05	0.0796440886738382	2.01038184131838
"IER3"	1.26992463134932	6.80634945263673	8.25099257363957	6.09024681654581e-05	0.0796440886738382	2.01038184131838
"IER3"	1.26992463134932	6.80634945263673	8.25099257363957	6.09024681654581e-05	0.0796440886738382	2.01038184131838
"IER3"	1.26992463134932	6.80634945263673	8.25099257363957	6.09024681654581e-05	0.0796440886738382	2.01038184131838
"HK2"	1.27196955797765	6.39539055485446	8.22024349360451	6.24298606919264e-05	0.0796976628742623	1.99211033250493
"SMAD6"	-1.19479544717609	4.04577291264995	-8.13893786316799	6.66803966941219e-05	0.0831442518499706	1.94332501727078
"ADAMTS1"	0.923915871593458	5.70681268374671	8.08833543120944	6.94897841572926e-05	0.0846780399354899	1.91261260048067
NA	-1.40376161275001	8.60277249656675	-8.03339534313463	7.26917109383438e-05	0.0866113658973595	1.87896002322096
"CHMP1B"	-1.05860299367342	8.46880225832588	-7.9104410702593	8.04765001085333e-05	0.0938023588330268	1.80246963751785
"TNFRSF19"	0.907714229356817	7.05291271451964	7.8660228028044	8.35158684388138e-05	0.0952738365549761	1.7744311118219
"IER3"	1.23538055962727	6.83873524654368	7.83968402709043	8.53789474256065e-05	0.0953700630024738	1.75770209331112
"LOC285000"	-1.22655276308162	5.33357032700026	-7.79111739725797	8.89380651267931e-05	0.0971406888361697	1.72665257964234
"LRP1"	0.861650757568031	6.48365398837118	7.76934383429681	9.05875830764214e-05	0.0971406888361697	1.71264656741393
"HIST1H1B"	0.969247572449472	6.42060829356701	7.70583315013775	9.55987197486575e-05	0.0999635619291274	1.67148686633402
"SESN2"	1.19794758196423	4.90526282189088	7.68936009617654	9.69488263109578e-05	0.0999635619291274	1.66073618127701
"NEAT1"	-0.82876309437807	9.8639089828787	-7.62504186002216	0.000102429171628787	0.103252001363489	1.61846253190248
"SNORA20"	-1.6112234816824	6.22629464570596	-7.60743373199132	0.00010398955692464	0.103252001363489	1.60680617901756
"FASN"	0.928224914354946	8.83589318217039	7.52951752300615	0.000111222274481928	0.108425539834501	1.55479265461094
"UPP1"	0.984018500003584	5.0392987490697	7.49740937201777	0.000114365721703093	0.109031399498376	1.53315097900964
"SNORA37"	-0.965109097318308	5.95746895299168	-7.42371145360156	0.000121965073501465	0.109031399498376	1.48301314807421
"SLC26A4"	-0.829383145583383	4.4941901698864	-7.40893118803051	0.000123556430410336	0.109031399498376	1.47287956273201
"KDELR3"	0.857998036648945	6.60190275706232	7.40340895546247	0.000124156963843609	0.109031399498376	1.46908667628731
"MGAM2"	1.78473522758191	4.02512043039493	7.40197931023785	0.000124312968520832	0.109031399498376	1.46810414003537
"SELENOH"	-1.06093641201481	5.75060256837793	-7.39957442724814	0.000124575888756891	0.109031399498376	1.46645080629911
"HERPUD1"	0.919202063562496	6.41138055113195	7.38593939867853	0.00012607842230821	0.109031399498376	1.4570636377082
"MAP1B"	0.973477371312086	5.75770210766231	7.34539908653694	0.000130667286477381	0.109332205208526	1.42902005146898
"ADSSL1"	-0.956620424353152	5.26668604686329	-7.33373572809995	0.000132021981953599	0.109332205208526	1.42091489232458
"DHCR7"	0.969289226621607	8.67264438076858	7.32928006785685	0.000132543658514169	0.109332205208526	1.41781415333092
"HOXB9"	0.83569026364362	7.15212357448306	7.30860327406808	0.000134994990328665	0.10966706661291	1.40339313186828
"SERPINE2"	0.773975486855649	6.54508963108723	7.27411811752807	0.000139197326098967	0.111393179603706	1.3792245195194
"VGF"	1.12781822820849	5.4434675046954	7.23867543920855	0.000143669846869376	0.113281561464637	1.35423160502191
"PTPRF"	0.957619348661042	5.09118530778247	7.20413831443129	0.000148183659079951	0.11514729346217	1.32972686264152
"SLC2A3"	0.989820589878375	4.42136051155519	7.12784281909167	0.000158729720135533	0.121580162921526	1.27506284054023
"SCD"	0.771694553525165	10.748312152142	7.07575189235604	0.00016641299353988	0.122800644251351	1.23731674193411
"LOC105370700"	0.941692806538248	7.54252216379839	7.06602579211605	0.000167893266805567	0.122800644251351	1.23023057038485
"MGAM2"	1.77782463541316	4.83020511799788	7.06038319202813	0.000168758807279509	0.122800644251351	1.22611395712955
NA	-0.959920422708983	3.81487225393651	-7.02470159649757	0.000174349311595772	0.122800644251351	1.1999871268033
"SEZ6L2"	0.752399431267299	6.80864170973711	7.01762846896104	0.000175481983019663	0.122800644251351	1.19478849449161
"HBEGF"	0.822823909317839	4.68519950675203	7.00003015499003	0.000178336070259626	0.122800644251351	1.18182587189071
"SNORD9"	-1.20900505977196	6.60282970095885	-6.98866681438281	0.000180206588546798	0.122800644251351	1.17343444089739
"ADGRG1"	1.04883692748078	5.88132978581658	6.95654775622229	0.000185613643361579	0.122800644251351	1.14962454843685
"DCBLD2"	0.780817943726124	8.57096738001437	6.95383830565179	0.000186078010524255	0.122800644251351	1.14760985808038
NA	0.896227135421306	5.60460723055852	6.95329696090951	0.000186170946354841	0.122800644251351	1.14720721019661
"KMT2C"	1.17967370963058	7.23367323750336	6.95275229037519	0.000186264505611084	0.122800644251351	1.14680204983754
"KMT2C"	1.04354585416989	8.0875609639869	6.94381579240692	0.000187807091568174	0.122800644251351	1.14014896016685
"LIF"	0.855204437491045	3.67108899209154	6.92102450374585	0.000191806422667371	0.123904638122366	1.12313365971478
"DUSP10"	0.785380779809695	7.4882384767604	6.8917223465197	0.000197089091359173	0.125217386655336	1.1011568469736
NA	0.924287924951788	7.527496370891	6.87141987501549	0.000200844792740342	0.125217386655336	1.08586313772164
NA	0.924287924951788	7.527496370891	6.87141987501549	0.000200844792740342	0.125217386655336	1.08586313772164
"LDHA"	0.75417176560931	6.08564961581269	6.78024390850255	0.000218728986710368	0.131186648451706	1.01650186219478
"MICA"	0.748137027182029	6.75488243352676	6.77439516385359	0.000219935662682945	0.131186648451706	1.01201430618921
"MICA"	0.748137027182029	6.75488243352676	6.77439516385359	0.000219935662682945	0.131186648451706	1.01201430618921
"SLC25A19"	1.04053763312101	6.45045004326753	6.76668337297801	0.000221538112957738	0.131186648451706	1.00609021480931
"FAM83D"	-0.868516647796975	5.99950645698042	-6.76135478899695	0.000222652983365448	0.131186648451706	1.00199216100761
"FBXL4"	-0.839603132687147	7.14372124961991	-6.73507085492415	0.000228244891483824	0.133019634203132	0.981721536716589
"SNORA23"	-0.996483822620595	9.66671475232432	-6.71727374976683	0.000232120413080582	0.133823657937006	0.967942656818399
"ICAM1"	0.903496411947916	7.94103451842885	6.69193315635353	0.000237766284983681	0.134850749190371	0.948248681795593
"IER3"	1.11618561106919	6.40314316907016	6.68391541074189	0.000239584499938714	0.134850749190371	0.941999172397605
"SNORD16"	-1.08000310849296	6.71655655767055	-6.6620982638521	0.000244611294951993	0.134850749190371	0.924948784159739
NA	-1.08000310849296	6.71655655767055	-6.6620982638521	0.000244611294951993	0.134850749190371	0.924948784159739
"ALDOC"	0.985716517892175	6.0814344555846	6.65412680740363	0.000246477300495298	0.134850749190371	0.918702605498496
"ENO2"	0.780665248246895	4.89243031279984	6.62043600618385	0.00025454162115985	0.137460636207513	0.892206386603199
