Symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
FOXJ1	0.362706811	6.00979805	4.937260881	0.002333698	0.999998307	-3.070050946
USP53	-0.32444471	8.292270254	-4.499136421	0.003724659	0.999998307	-3.167294626
CNOT4	0.302183444	5.123014036	4.002904639	0.006541466	0.999998307	-3.299500213
NA	-0.249951084	4.996045567	-3.975195125	0.006757824	0.999998307	-3.307663573
BANF2	-0.237301045	5.215223065	-3.821862631	0.008108241	0.999998307	-3.354453949
LENG8	-0.314092773	6.779022965	-3.792835513	0.008396159	0.999998307	-3.363627547
LIN7B	-0.326824998	6.04379144	-3.650619339	0.009980165	0.999998307	-3.410076524
HCG18	0.330032065	6.638886477	3.649813138	0.009990036	0.999998307	-3.410347079
KCNQ1OT1	-0.310659455	5.75745527	-3.614555113	0.010432425	0.999998307	-3.42226067
MRPL12	0.268847903	7.007116181	3.595318678	0.010682849	0.999998307	-3.428827947
LINC00937	0.224412105	5.650805064	3.565515888	0.011083991	0.999998307	-3.43909716
FAM159A	-0.295420348	5.350057508	-3.551824112	0.011273809	0.999998307	-3.44385373
NUP160	-0.255945128	6.008726188	-3.468886301	0.012502781	0.999998307	-3.473193986
SLC35D2	0.231448937	6.336362771	3.446972635	0.012851542	0.999998307	-3.481098893
TBC1D16	-0.218453122	6.050130653	-3.405143164	0.013547234	0.999998307	-3.496367247
LOC100505622	0.209936036	4.94504315	3.392179035	0.013771137	0.999998307	-3.501147361
DLEU7	0.233404312	4.495923798	3.365828078	0.01423882	0.999998307	-3.510933888
LINC00589	0.272203796	5.736778999	3.358869302	0.014365205	0.999998307	-3.513534131
MYO7B	-0.28021474	6.58645631	-3.331596236	0.014872483	0.999998307	-3.523789032
NA	-0.297723066	5.591913284	-3.304857219	0.015388868	0.999998307	-3.53394243
ECM2	0.216098753	4.20334034	3.304021834	0.015405313	0.999998307	-3.534261233
NA	-0.216899793	6.210936984	-3.29995813	0.015485584	0.999998307	-3.535813419
NAPSA	0.230010866	6.246186709	3.259904013	0.016301626	0.999998307	-3.551235094
NA	0.261931154	6.35048498	3.256902567	0.016364636	0.999998307	-3.552399694
GPR83	0.227871318	4.955441762	3.253217929	0.016442352	0.999998307	-3.553831097
CLDN3	0.210734288	4.194798295	3.245033186	0.016616424	0.999998307	-3.55701747
STIM1	-0.232803826	6.85630331	-3.243581299	0.016647512	0.999998307	-3.557583676
MAPKAP1	0.326939257	6.42551163	3.232804513	0.016880252	0.999998307	-3.561795598
CACNA1I	0.221223099	5.524207968	3.20484271	0.017500797	0.999998307	-3.572799803
NA	-0.229491656	4.963753516	-3.195037194	0.017724245	0.999998307	-3.576684686
NA	0.280372406	4.79972789	3.192863904	0.017774188	0.999998307	-3.577547559
TAF6L	-0.190539816	6.395041671	-3.184941274	0.017957553	0.999998307	-3.580698751
ALOXE3	-0.225666453	6.157742311	-3.182679191	0.018010284	0.999998307	-3.581600107
IGF1R	0.241155395	5.221597756	3.180137301	0.018069738	0.999998307	-3.582613814
LINC01018	-0.225939652	4.96111479	-3.167940071	0.01835801	0.999998307	-3.587490748
SCRN2	-0.250362103	5.829773982	-3.167530148	0.018367784	0.999998307	-3.587655016
WWC2-AS2	0.253605779	5.511594594	3.153894012	0.018696175	0.999998307	-3.593132924
ANK1	0.203386041	6.139021297	3.128267545	0.019330684	0.999998307	-3.603498719
TNK2	0.251739743	6.257874546	3.123578944	0.01944928	0.999998307	-3.605405302
BGN	0.220839272	5.446574193	3.120023535	0.019539738	0.999998307	-3.60685316
AGXT	-0.207928018	4.845975939	-3.109133717	0.019819648	0.999998307	-3.611298943
