Symbol	logFC	logCPM	PValue	FDR
STPG1	1.020042193	4.202275608	8.04E-13	4.31E-11
MYH16	2.287647924	0.992905694	7.68E-10	2.23E-08
WNT16	-1.098730672	6.320670994	9.52E-27	2.81E-24
DBNDD1	0.526423127	5.645891314	3.51E-06	4.12E-05
TFPI	0.537996878	6.334604405	3.02E-07	4.75E-06
SLC7A2	-1.317849709	4.553720712	4.37E-26	1.21E-23
ARF5	0.525520116	6.084735496	3.91E-06	4.53E-05
SARM1	-0.984325241	1.497819252	6.51E-05	0.000509602
CAMKK1	-1.021883621	3.480470824	2.07E-11	8.04E-10
DHX33	-0.607377219	6.022678959	4.50E-09	1.11E-07
THSD7A	2.922184369	3.171422988	3.41E-34	1.61E-31
ACSM3	-0.918872749	3.590750835	1.03E-09	2.88E-08
FAM214B	0.841050201	4.278801459	1.64E-09	4.44E-08
PRKAR2B	-0.919589097	4.712021104	2.59E-14	1.67E-12
GCFC2	-0.721639056	4.191188808	1.04E-07	1.86E-06
ZNF195	-0.499542599	5.55436663	4.68E-06	5.28E-05
CACNA1G	-0.865953099	1.853128015	0.000125622	0.000893249
TNFRSF12A	0.56667225	6.55280535	1.55E-07	2.66E-06
BAIAP2L1	0.526010288	7.001235779	1.55E-07	2.66E-06
ETV1	-1.032181673	5.61032881	8.46E-22	1.53E-19
PAF1	0.58672439	5.980019875	1.12E-07	2.00E-06
CCDC124	0.536661792	5.981005257	1.08E-06	1.45E-05
ADAM22	-0.81686654	4.85406702	2.80E-12	1.34E-10
IL32	1.435697571	1.240710452	3.19E-06	3.79E-05
REV3L	-0.512650274	6.135366399	7.60E-07	1.07E-05
ZNF207	-0.404618183	7.826382429	1.22E-05	0.000121348
CD9	0.687510334	7.586825593	6.36E-10	1.91E-08
PRSS3	1.157486266	4.252421815	6.48E-16	5.27E-14
MBTD1	-0.551292805	6.641366828	1.98E-08	4.20E-07
PLAUR	1.691753489	7.21326428	9.30E-60	1.64E-56
CEP68	-0.597617183	4.809129728	7.71E-07	1.09E-05
BRCA1	-0.662682032	5.436037487	2.06E-08	4.33E-07
SEMA3B	0.516679542	5.304725678	5.78E-05	0.000459802
EXTL3	0.508912607	7.174023382	4.09E-07	6.25E-06
MVP	0.639195812	6.923080353	6.67E-10	1.99E-08
GPRC5A	0.502699259	9.258682006	9.69E-08	1.76E-06
CAPN1	0.663046836	7.841302521	1.42E-10	4.75E-09
COX15	-0.410856928	6.693904718	3.21E-05	0.000277761
MATR3	-1.721712259	4.124509925	1.36E-29	5.06E-27
CHDH	-0.949785828	3.632730765	1.02E-10	3.51E-09
CYP24A1	-3.312000768	4.324079497	6.01E-118	8.50E-114
ZFP64	0.531161647	4.636564126	3.81E-05	0.000323823
SAMD4A	0.433401666	6.101666162	4.75E-05	0.000390267
MRE11A	-0.825240419	4.86154158	4.07E-12	1.84E-10
PLEKHB1	-0.790555278	4.07126724	6.23E-09	1.48E-07
SERPINB1	0.694044391	7.372290492	6.88E-12	2.95E-10
CPS1	-0.586990414	6.128838386	1.10E-08	2.45E-07
RNF10	0.428552062	7.220280425	1.44E-05	0.000139922
ERP44	0.532550119	5.730780912	3.72E-06	4.34E-05
ALAS1	0.612580328	6.397579814	3.52E-09	8.91E-08
BIRC3	1.681096703	6.083358218	4.80E-44	3.99E-41
AKAP11	-0.525779299	6.916671254	9.88E-08	1.78E-06
ABCC2	-1.408613075	6.582032808	1.14E-45	1.07E-42
DEF6	0.786739658	5.021986396	2.79E-09	7.25E-08
GCLM	0.456211475	6.14844236	2.07E-05	0.00019172
EHD2	0.905894963	7.070515248	8.12E-17	7.65E-15
TYMP	0.544111477	4.637897985	3.29E-05	0.000284442
AGPAT4	1.200360191	5.30571319	1.10E-23	2.28E-21
GRN	0.455225883	7.020665171	1.08E-05	0.000109882
FAM13B	-0.531383995	4.858372611	8.22E-06	8.68E-05
SARS	0.499016646	8.156902529	5.60E-07	8.26E-06
TMSB10	0.660723813	9.997771811	7.17E-11	2.52E-09
ADSS	-0.409855947	5.971517828	9.68E-05	0.000717026
TIMP2	0.696414056	7.794143584	1.44E-12	7.32E-11
ZZZ3	-0.420591632	6.652482983	2.19E-05	0.000201808
CDH1	0.717574582	7.663705655	3.68E-13	2.05E-11
PQLC2	1.091090597	2.776728157	7.82E-08	1.45E-06
CAPG	0.716761961	6.257557972	2.17E-11	8.35E-10
ZIC2	-0.588962691	4.644660387	1.84E-06	2.33E-05
CNTLN	-0.746417972	3.674700494	4.29E-07	6.53E-06
HSPA5	0.572313606	10.47706419	3.16E-09	8.10E-08
