Symbol	logFC	logCPM	PValue	FDR
STPG1	0.79056517	4.202275608	2.72E-08	5.70E-07
WNT16	-0.850495861	6.320670994	3.51E-17	3.88E-15
SLC7A2	-1.167946019	4.553720712	2.48E-22	4.81E-20
ARF5	0.46297254	6.084735496	3.81E-05	0.00032754
SARM1	-1.094899824	1.497819252	4.20E-06	4.90E-05
CAMKK1	-0.941537658	3.480470824	1.30E-10	4.60E-09
THSD7A	3.199587419	3.171422988	9.69E-45	1.05E-41
ACSM3	-1.099972445	3.590750835	1.03E-13	6.33E-12
FAM214B	0.608865408	4.278801459	1.06E-05	0.000108789
PRKAR2B	-0.954171597	4.712021104	6.57E-16	5.90E-14
RHBDD2	0.451806905	5.13513967	0.000107173	0.000786582
ZNF195	-0.574040016	5.55436663	9.31E-08	1.70E-06
MYCBP2	-0.783754624	7.272223423	3.32E-10	1.08E-08
CACNA1G	-1.291623346	1.853128015	1.29E-08	2.95E-07
BAIAP2L1	0.586477587	7.001235779	4.18E-09	1.07E-07
KDM7A	-0.426088059	5.728603044	6.89E-05	0.000544095
ETV1	-0.776159206	5.61032881	1.26E-13	7.60E-12
PAF1	0.502969984	5.980019875	3.97E-06	4.66E-05
CCDC124	0.426119957	5.981005257	8.31E-05	0.000635645
GAS7	-0.810330645	2.841546184	8.39E-06	8.88E-05
CACNA2D2	-0.603322587	4.078055644	6.50E-06	7.12E-05
ADAM22	-0.786504912	4.85406702	5.21E-12	2.45E-10
REV3L	-0.565260383	6.135366399	3.62E-08	7.32E-07
ZNF207	-0.442587772	7.826382429	1.53E-06	2.05E-05
CD9	0.787760649	7.586825593	1.42E-12	7.31E-11
GIPR	-0.554618071	4.270579003	2.15E-05	0.000200681
PRSS3	0.764334914	4.252421815	9.43E-08	1.72E-06
MBTD1	-0.47769135	6.641366828	8.92E-07	1.27E-05
PLAUR	1.533972666	7.21326428	6.35E-50	9.97E-47
QPCTL	0.742471034	4.104215088	1.90E-07	3.16E-06
MVP	0.567594309	6.923080353	3.50E-08	7.10E-07
ZC3H3	0.599201966	3.851263539	3.75E-05	0.000323271
CAPN1	0.567547439	7.841302521	3.41E-08	6.92E-07
YAF2	-0.554066284	4.199349695	1.75E-05	0.000168996
MATR3	-1.564014796	4.124509925	5.37E-26	1.58E-23
CHDH	-0.889061437	3.632730765	3.61E-10	1.17E-08
CYP24A1	-3.367667271	4.324079497	2.51E-131	3.55E-127
MRE11A	-0.569227326	4.86154158	6.81E-07	9.91E-06
PLEKHB1	-0.746249429	4.07126724	1.38E-08	3.12E-07
SERPINB1	0.921892676	7.372290492	8.75E-20	1.35E-17
CPS1	-0.565480144	6.128838386	2.53E-08	5.35E-07
ERP44	0.656463532	5.730780912	8.04E-09	1.94E-07
ALAS1	0.504328263	6.397579814	1.00E-06	1.41E-05
BIRC3	0.525494711	6.083358218	1.00E-05	0.000103981
AKAP11	-0.447832779	6.916671254	4.88E-06	5.58E-05
ABCC2	-1.60429529	6.582032808	1.16E-59	2.34E-56
DEF6	1.002765239	5.021986396	1.12E-14	8.19E-13
EHD2	0.883118853	7.070515248	3.48E-16	3.33E-14
TYMP	0.515032359	4.637897985	5.95E-05	0.000481473
AGPAT4	0.727913633	5.30571319	1.16E-09	3.34E-08
GRN	0.426195397	7.020665171	3.41E-05	0.000299107
FAM13B	-0.459515494	4.858372611	7.75E-05	0.000601319
ARHGAP31	-0.754523102	2.571466608	0.000128551	0.000919624
SARS	0.5089588	8.156902529	3.17E-07	5.00E-06
FUT8	0.460327195	6.078305177	1.82E-05	0.000175042
TMSB10	0.455610973	9.997771811	5.82E-06	6.48E-05
TIMP2	0.441494509	7.794143584	6.02E-06	6.67E-05
VCAN	-0.482833019	7.369630466	6.59E-07	9.63E-06
CDH1	0.779053376	7.663705655	2.77E-15	2.24E-13
PQLC2	0.877942925	2.776728157	1.47E-05	0.000145078
CAPG	0.643123303	6.257557972	1.07E-09	3.13E-08
ZIC2	-0.533711059	4.644660387	8.02E-06	8.55E-05
HSPA5	0.74687035	10.47706419	1.65E-14	1.18E-12
ARAP2	-0.458123156	5.423252798	2.23E-05	0.000206964
CC2D2A	-0.492566479	4.165459758	0.000138068	0.000976833
KITLG	-0.96100883	10.45037306	2.98E-28	1.08E-25
VAMP3	0.425595566	6.756216515	3.62E-05	0.000314408
PER3	-0.817673059	3.452311012	4.57E-08	8.95E-07
TNFRSF9	1.161721776	2.797503828	8.13E-07	1.16E-05
LTBP1	-0.62921977	3.338004064	7.77E-05	0.000602579
PTCD2	-0.584774347	4.959055496	5.86E-07	8.68E-06
BCAR1	0.502631216	5.05109584	6.01E-05	0.000484885
POLQ	-0.523406058	4.623584474	1.08E-05	0.000110557
PRSS8	0.649951155	5.317342231	6.53E-08	1.24E-06
FNIP2	-0.90980969	3.146513393	6.42E-09	1.58E-07
