Symbol	logFC	logCPM	PValue	FDR
CFH	-0.455711712	6.185733214	1.33E-05	0.000192824
STPG1	0.567027426	3.693093425	0.000142337	0.001400765
CFTR	-1.225319937	7.079510668	2.68E-19	4.28E-17
CYP51A1	0.63938387	2.446891586	0.000666369	0.005015651
DBNDD1	0.590371855	4.365243816	7.57E-05	0.000833472
RBM5	-0.384246978	5.556823351	0.00086686	0.006218227
SLC7A2	-1.233697182	4.466405151	1.88E-20	3.31E-18
KDM1A	0.317270366	7.71570264	0.000465239	0.003772412
PDK4	-0.484945583	4.094206902	0.000587986	0.004545153
PRSS22	1.450350986	1.365224475	1.05E-07	2.63E-06
ACSM3	-0.869984867	4.851186138	5.78E-14	4.51E-12
NA	-0.864377835	2.697853285	4.67E-06	7.69E-05
SPPL2B	-0.623748293	5.029127529	1.39E-05	0.000200687
FAM214B	0.963266583	4.941930866	5.01E-12	2.93E-10
GCFC2	-0.521259523	3.882402131	0.000185555	0.001754194
CROT	-0.788769925	3.330186868	8.91E-07	1.78E-05
ITGA3	0.677636416	8.537856763	4.96E-14	3.95E-12
YBX2	-1.041160077	2.634717567	2.47E-08	7.04E-07
TMEM132A	0.692981134	4.808842018	8.80E-08	2.25E-06
AP2B1	0.38259068	9.6961085	3.82E-06	6.44E-05
CX3CL1	0.794455319	1.952152138	0.000151044	0.001471256
SPATA20	-0.511287289	4.35820051	7.49E-05	0.000826595
TNFRSF12A	0.815483795	6.774180741	1.90E-08	5.53E-07
BAIAP2L1	0.419940938	7.477277521	1.89E-06	3.47E-05
GTF2IRD1	0.512201443	6.03294754	9.39E-08	2.38E-06
SCIN	-0.703506151	2.263681917	0.000701899	0.00522584
MARK4	0.543180801	5.182514101	7.69E-07	1.56E-05
PROM1	-0.51777605	6.671357179	2.52E-07	5.78E-06
CCDC124	0.556349213	5.164143613	0.000221348	0.002043119
CEACAM7	2.658573388	1.095044998	1.17E-19	1.95E-17
MYLIP	-0.432462921	5.124305261	0.000697096	0.005198531
NOX1	-1.545697406	4.373792838	2.19E-28	8.62E-26
ADAM22	-0.594044952	4.816518889	2.23E-05	0.000299792
SPAG9	0.372910021	7.598260404	0.000692465	0.005175226
ST3GAL1	0.520558862	9.278070349	6.17E-09	2.02E-07
IL32	3.174977604	1.593092428	3.84E-31	1.95E-28
ETV7	0.909267896	1.771901335	8.26E-05	0.000892919
CD9	0.509443096	7.589218775	0.000980219	0.006884074
NISCH	-0.411546197	5.394110268	0.000436914	0.003600088
IDS	0.85915016	7.504695858	1.92E-19	3.18E-17
PRSS3	1.1360837	4.67461182	2.25E-09	8.00E-08
SYT7	0.430553086	6.279694501	4.95E-05	0.000584545
PLAUR	1.215979796	6.291025381	1.81E-23	4.45E-21
SEMA3B	0.529639844	6.544035971	7.69E-06	0.000119315
EXTL3	0.696846119	4.470020046	5.50E-06	8.86E-05
MVP	0.652229124	7.815300414	1.97E-11	1.02E-09
DNASE1L1	0.358719214	5.919329368	0.001036862	0.007230155
CAPN1	0.437046635	8.664726414	2.27E-05	0.000303106
CHDH	-0.731484875	5.019018396	1.27E-11	6.94E-10
SYT13	0.950921373	7.524169252	4.59E-24	1.21E-21
CD74	0.937265839	3.547600509	4.13E-09	1.41E-07
MRE11A	-0.490754654	6.577873151	7.13E-05	0.0007932
ZNF839	-0.818729738	2.646171652	1.48E-05	0.000211003
ERP44	0.488778207	6.48002667	5.37E-06	8.71E-05
ALAS1	0.462942257	5.944638145	2.41E-06	4.32E-05
BIRC3	1.666688746	5.179545085	3.22E-28	1.17E-25
EHD2	0.803465222	6.835680906	4.07E-14	3.27E-12
DEPDC1	-0.594347673	5.567886832	1.36E-06	2.57E-05
NR1H3	-0.461723718	5.858374245	7.18E-05	0.000798272
TYMP	0.873773567	2.400441748	0.000142375	0.001400765
TOMM34	0.508959889	6.560572933	1.33E-06	2.51E-05
CD44	-0.422764228	8.975222325	6.23E-05	0.000706697
IFNGR1	0.610809494	6.519386113	1.37E-05	0.000198288
VEZT	0.428993668	6.395770427	4.66E-05	0.000554789
POU2F2	1.033795693	1.850163546	3.67E-06	6.22E-05
GRN	0.601023422	8.250030982	7.51E-08	1.94E-06
FAM13B	-0.486120125	5.412176102	0.000541301	0.004265851
ARHGAP31	1.143685254	1.617159875	5.54E-07	1.16E-05
SARS	0.597479227	7.596575975	1.15E-06	2.23E-05
GAB2	0.727802371	4.103193267	5.52E-08	1.47E-06
ATP6V0A1	0.47680868	6.319677125	3.82E-05	0.00046654
TMSB10	0.748401281	10.64015588	3.52E-06	6.00E-05
TIMP2	1.069432757	7.952993352	3.35E-28	1.18E-25
PI4K2B	-0.468277767	5.056624846	0.000117722	0.001202054
FAM65A	0.437986531	6.459879718	6.66E-05	0.00075112
SPDL1	-0.499640924	4.926253725	6.80E-06	0.000106914
PQLC2	0.655340995	3.463921052	1.27E-05	0.000185815
RTN4R	0.582236979	4.843910672	0.000122552	0.001241233
TNC	1.878786264	1.746678326	2.53E-15	2.35E-13
CTNNA1	0.343942513	9.359293044	1.60E-05	0.000225701
HSPA5	0.417434177	9.144778648	7.10E-06	0.000111085
XK	-0.603862234	3.451432953	4.62E-05	0.000550529
SCML1	-0.58252324	4.97747188	1.27E-06	2.42E-05
HDAC9	2.285535496	3.376161936	3.62E-37	2.93E-34
ADAMTS6	-1.790876219	5.490121016	7.25E-29	3.11E-26
VAMP3	0.329731245	7.325852908	0.000846206	0.006098718
PER3	-0.631887957	4.300921836	3.02E-06	5.25E-05
NFE2L3	0.370473842	6.815816517	0.000140131	0.001385579
HERPUD1	0.385101283	6.920029527	0.000192635	0.001814654
HOMER3	1.211783017	1.711563217	8.82E-08	2.25E-06
POLQ	-0.617048772	5.720410325	0.000745286	0.005501187
CYBA	0.611988656	7.354147225	3.21E-05	0.000399952
PRSS8	0.802168293	6.554082652	1.59E-11	8.49E-10
MSMO1	0.676777264	6.769044223	2.07E-09	7.46E-08
LAMA3	1.178082113	6.642670403	1.68E-22	3.72E-20
ANAPC4	-0.467892845	4.730838528	0.000119684	0.001219379
SZRD1	0.34967029	7.603382456	0.000254504	0.002289205
IL17RB	-1.174084887	3.506413526	1.83E-11	9.68E-10
DCBLD2	0.947055431	10.03777212	4.24E-22	9.10E-20
SOAT1	-0.619522455	3.740598077	2.71E-05	0.00034771
TMCC3	-0.709441567	4.011203454	9.83E-08	2.48E-06
USP13	-0.48827632	4.853099874	0.000126841	0.001278085
LAMC2	1.885432031	6.573113433	1.75E-78	1.20E-74
ATP2B4	0.760915491	6.293964104	1.65E-08	4.85E-07
YIPF1	0.603894057	4.127075957	5.95E-05	0.000682008
NDC1	-0.348497474	7.009928034	0.000182083	0.001729472
DGKG	1.852480037	0.538928028	2.29E-07	5.27E-06
TBXAS1	-0.478354109	4.092418237	0.00057443	0.004470533
TARBP1	-0.675923095	6.59960673	2.46E-06	4.40E-05
GNA15	0.942148497	4.168054814	2.14E-09	7.66E-08
VMP1	0.496512233	7.789402057	7.51E-09	2.42E-07
ZNF275	-0.482278999	4.659252767	0.000332301	0.002863417
GPC1	0.410229823	4.733726544	0.00063593	0.004823519
CTSA	0.523599694	7.76237962	5.57E-08	1.48E-06
SUGP2	-0.485925343	6.085353426	2.64E-05	0.00034047
SLC12A2	-0.473837138	9.825512885	0.000959006	0.006770705
PMS1	-0.596106321	4.812731415	3.78E-05	0.000462992
AP3D1	0.394471079	7.619414796	1.53E-05	0.000217011
SLC9A3R2	0.465270591	6.946622129	6.94E-05	0.000778056
TBC1D22B	0.390683718	4.84488318	0.000524929	0.004158286
GSTO2	-0.553478843	4.760284745	7.17E-06	0.000111764
FAM107B	0.539525527	7.024943084	1.41E-07	3.45E-06
