Symbol	logFC	logCPM	PValue	FDR
CFH	-0.288416965	6.185733214	0.005379425	0.04889869
FUCA2	0.257933077	6.668774907	0.014174164	0.099151279
GCLC	0.342984738	7.459421631	0.000171089	0.003122776
CFTR	-1.104606922	7.079510668	4.21E-16	8.03E-14
SLC7A2	-0.985237666	4.466405151	3.08E-14	4.37E-12
PLXND1	-0.247910164	6.267146495	0.014316884	0.099530224
CAMKK1	-0.389980833	3.442197962	0.007778894	0.063638759
PRSS22	1.253791709	1.365224475	4.71E-06	0.000138878
ACSM3	-0.669293284	4.851186138	2.65E-09	1.66E-07
FAM214B	0.692280782	4.941930866	7.79E-07	2.71E-05
CROT	-0.581285229	3.330186868	0.000151357	0.002818768
ITGA3	0.650279598	8.537856763	4.59E-13	5.64E-11
LAMP2	0.253898782	7.403777385	0.002712503	0.028989614
YBX2	-0.628455759	2.634717567	0.000314729	0.005249554
TNFRSF12A	0.679766202	6.774180741	2.72E-06	8.47E-05
BAIAP2L1	0.458987468	7.477277521	1.76E-07	7.14E-06
GTF2IRD1	0.389917648	6.03294754	4.74E-05	0.00106127
ADIPOR2	0.270115393	7.727963752	0.002425424	0.026646707
PROM1	-0.56782363	6.671357179	1.49E-08	7.79E-07
CEACAM7	1.282637805	1.095044998	0.000296707	0.004973104
NOX1	-1.246332953	4.373792838	3.05E-20	1.07E-17
CDKL5	-0.550552741	4.647033585	0.001868671	0.02191384
ADAM22	-0.559066606	4.816518889	6.27E-05	0.001337318
SPAG9	0.290603967	7.598260404	0.008109643	0.065835167
ST3GAL1	0.451990377	9.278070349	4.39E-07	1.61E-05
IL32	1.377480319	1.593092428	6.10E-05	0.001311649
IYD	-1.727346479	0.467939786	6.52E-07	2.29E-05
CD9	0.583538162	7.589218775	0.000158753	0.002924798
NCAPD2	-0.327215018	7.774635407	0.000691834	0.010023114
IDS	0.783001902	7.504695858	1.82E-16	3.80E-14
PRSS3	0.82187102	4.67461182	1.55E-05	0.000397694
MBTD1	-0.292383162	5.918305012	0.010774024	0.081227748
SYT7	0.312993221	6.279694501	0.00317264	0.032859657
PLAUR	1.165736212	6.291025381	8.96E-22	3.85E-19
CD22	1.280906901	0.244727617	0.000461022	0.007241466
SEMA3B	0.601572086	6.544035971	3.47E-07	1.31E-05
MVP	0.536482736	7.815300414	3.31E-08	1.59E-06
DNASE1L1	0.33716497	5.919329368	0.001991153	0.022977675
GPRC5A	0.238993033	9.37608206	0.005559454	0.050104354
TACC3	-0.248581144	6.836301008	0.010342333	0.078663543
CAPN1	0.317303003	8.664726414	0.002083979	0.023789212
ACPP	-1.35272783	1.821605896	2.95E-08	1.43E-06
CHDH	-0.7548729	5.019018396	1.70E-12	1.96E-10
SYT13	0.732631193	7.524169252	5.99E-15	9.47E-13
SAMD4A	0.348123049	5.045138561	0.002659312	0.028532075
MRE11A	-0.380873733	6.577873151	0.001962399	0.022703045
PLEKHB1	-0.362255886	5.296029599	0.000585826	0.008770805
SLC45A4	0.244856176	6.953863244	0.008642637	0.069100873
ERP44	0.344898142	6.48002667	0.001314206	0.01669499
ALAS1	0.293923181	5.944638145	0.002802132	0.029670644
BIRC3	0.896413472	5.179545085	3.52E-09	2.17E-07
GCLM	0.35002639	6.276500854	0.000724014	0.010376281
EHD2	0.563504471	6.835680906	1.16E-07	4.95E-06
DEPDC1	-0.306426749	5.567886832	0.011757845	0.086741721
TOMM34	0.330420887	6.560572933	0.00171673	0.020606762
CD44	-0.445228938	8.975222325	2.47E-05	0.000608157
IFNGR1	0.470408019	6.519386113	0.000807163	0.011239772
VEZT	0.394792847	6.395770427	0.000168889	0.003090817
GRN	0.331927041	8.250030982	0.002949275	0.030966257
SARS	0.579675144	7.596575975	2.31E-06	7.33E-05
FUT8	0.515437054	3.264957035	0.001255015	0.01616486
MAP2K3	0.382798533	6.315070758	0.001375739	0.017331038
RNF19A	0.333371726	5.778273743	0.00212631	0.024112217
VCL	0.256154143	7.437581473	0.009276109	0.072768747
TIMP2	0.873103724	7.952993352	2.08E-19	6.34E-17
AGA	0.451982835	3.546652668	0.003447808	0.035101235
SPDL1	-0.328440345	4.926253725	0.002551485	0.027677667
PQLC2	0.571181859	3.463921052	0.000135469	0.002578784
RTN4R	0.727535227	4.843910672	1.26E-06	4.20E-05
TNC	0.941942818	1.746678326	0.00036388	0.005953767
TDP1	-0.360098603	3.871083259	0.007059093	0.059303283
CTNNA1	0.224638062	9.359293044	0.004811741	0.044896514
HSPA5	0.336115304	9.144778648	0.000296158	0.00496996
ATP6V1H	0.301817486	5.716338364	0.011866603	0.087030197
ARAP2	0.325399742	6.122672062	0.012096575	0.088199111
HDAC9	1.678912568	3.376161936	9.50E-20	3.18E-17
CC2D2A	-0.636453926	2.450606943	0.000669976	0.009723502
ADAMTS6	-1.545830055	5.490121016	7.80E-23	3.70E-20
PER3	-0.436159215	4.300921836	0.000980447	0.01325001
JKAMP	0.316814461	4.720788768	0.013299307	0.094414091
