Symbol	logFC	logCPM	PValue	FDR
HECW1	0.350389441	1.697902424	0.165437228	1
MAD1L1	0.262834284	3.710952667	0.136634602	1
CYP26B1	-0.459730807	3.203250469	0.012216537	0.706020647
CFLAR	0.262960301	4.823201652	0.163306858	1
TFPI	0.188027297	7.197787299	0.168529571	1
PDK4	-0.918004145	1.129807241	0.012097	0.702151982
NA	-0.301368732	3.823590131	0.113607113	1
KMT2E	0.230543584	8.003959487	0.135294105	1
ITGA3	-0.279982845	6.334416452	0.036412498	1
BAIAP2L1	-0.195092952	6.064386384	0.116080273	1
FARP2	0.262253674	5.896223164	0.056712705	1
GTF2IRD1	0.307978623	6.034210016	0.013834186	0.75691139
ARSD	0.509809403	4.735367758	0.000405402	0.096644879
PNPLA4	0.422135628	3.664368739	0.079789494	1
TSR3	0.210405757	4.946765426	0.1708956	1
CELSR3	0.567956915	3.215961768	0.090707549	1
CRY1	-0.337527737	6.200632221	0.030136971	1
MAPK8IP2	0.622298818	0.452996566	0.0915865	1
NCAPD2	-0.243608393	8.155702833	0.101447709	1
GIPR	-0.454399914	3.266924628	0.166616069	1
IDS	0.291187516	6.592121551	0.01810951	0.845321538
PLAUR	0.295610229	6.848057368	0.098605424	1
ANLN	-0.383626573	7.440903476	0.001570021	0.246585647
WIZ	0.202424715	6.022541957	0.175822923	1
GPRC5A	0.611287951	5.12460334	3.33E-05	0.013898761
TACC3	-0.335834903	6.432929413	0.008275893	0.575433186
POLA2	-0.481658396	4.780546531	0.001342345	0.224003897
ZC3H3	0.242045179	4.291087353	0.138183037	1
MTMR11	-0.463600893	3.946544472	0.029477664	0.996723806
RGPD5	-1.140291001	1.239649557	0.067472609	1
NCDN	0.233904708	4.858374493	0.106918971	1
SERPINB1	-0.353031462	6.061320814	0.125910223	1
CPS1	-0.207876746	4.093574531	0.198065375	1
BIRC3	0.28454966	4.917428147	0.198485722	1
GLRX2	0.251022998	3.960187459	0.12143321	1
ABCC2	0.65230365	0.249093317	0.189704246	1
PLEKHO1	0.275660244	4.496708458	0.065518395	1
DEPDC1	-0.361437672	6.300243697	0.008525122	0.584679482
NR1H3	0.563732619	1.681674828	0.039105683	1
NCAPH2	-0.249362022	4.755071019	0.162242969	1
VIM	0.658234715	3.149415436	0.020083029	0.867664844
RTEL1-TNFRSF6B	-0.583149183	3.223005694	0.095498374	1
AGPAT4	0.352550677	2.598057931	0.139783766	1
SLAMF7	0.683905669	2.373604619	0.004674507	0.4484741
HMGB3	-0.183570614	6.09272161	0.146591884	1
CENPQ	-0.315372128	3.831515422	0.064271836	1
IFT88	0.395522009	3.249946726	0.133752897	1
UBA6	-0.223343406	7.881114187	0.065089666	1
GAB2	0.303973808	5.885273651	0.03713049	1
MAP2K3	-0.248744278	6.758377428	0.152837921	1
DEPDC1B	-0.290880192	5.063690511	0.14115323	1
TBC1D23	-0.165009681	6.536219162	0.166295344	1
USP2	0.557080997	1.560179944	0.056263014	1
METTL1	0.365900729	3.228809123	0.052782505	1
HOXC8	0.221382258	3.747934583	0.199358271	1
DCUN1D1	-0.222832065	5.756279343	0.084841497	1
GEMIN8	0.29822125	4.081611621	0.135444924	1
KIAA0556	0.26016929	4.958209465	0.109543066	1
XK	-0.363616402	3.351153762	0.038770226	1
HDAC9	0.27403228	6.684205606	0.067369026	1
CC2D2A	0.173761899	5.298260189	0.185142386	1
RRM2B	-0.225983129	7.433507236	0.061497429	1
SNX29	0.320391396	4.155475908	0.064855509	1
R3HDM1	0.221887975	6.027002418	0.106228353	1
KITLG	-0.38858687	1.822291335	0.128860124	1
LTBP1	-0.29468415	4.431128923	0.062714934	1
RFC2	-0.261450447	5.085779271	0.094155098	1
JKAMP	-0.175684533	5.837685287	0.181834412	1
NFE2L3	-0.312952573	3.822119138	0.137664854	1
SLC4A8	0.529862395	7.063396116	0.037734301	1
MAPK9	-0.185177426	6.519113566	0.139936176	1
HEBP2	0.198725266	5.917568911	0.130953086	1
RRP12	0.413093067	6.322204038	0.004464113	0.444745559
USP36	0.32011651	7.538272951	0.044046363	1
IL17RB	-0.783285678	3.658493961	0.03388968	1
DCBLD2	-0.175295819	6.316697865	0.184649307	1
PKP2	-0.231707303	5.08975869	0.157146255	1
LAMC2	0.455031951	1.198871914	0.15375093	1
CROCC	0.386521209	4.247156027	0.186077076	1
DGKG	0.259741854	4.565964724	0.122239787	1
GATB	0.225125247	4.781922676	0.176347555	1
CDK17	0.225190763	7.602363086	0.052309333	1
CTDP1	0.311402158	3.562353793	0.072835663	1
HDAC7	-0.343610659	6.433123218	0.15264863	1
LTK	-0.340064878	5.37921256	0.031814643	1
POLD1	-0.326156879	5.522784696	0.037054359	1
SPHK2	0.276590755	3.726606827	0.11799357	1
ZNF275	0.192565062	5.635901046	0.185521694	1
LPAR2	-0.387253159	3.251458636	0.083668724	1
CTSA	0.275898688	7.63777961	0.085132996	1
SNX24	-0.268983061	4.886724961	0.065139986	1
SNCAIP	1.594122778	0.662188411	7.23E-06	0.004197487
NTN1	-0.277085599	3.598844908	0.130076881	1
MCM10	-0.412726237	5.931008446	0.010471544	0.659644729
DGKA	-0.309469407	5.655608706	0.082295915	1
ERBB3	-0.381270798	4.982180258	0.00907553	0.602460858
GSTO2	-0.166660955	5.548241556	0.191961504	1
TLE2	-0.213385108	4.737038996	0.170623077	1
ASB1	-0.297368005	8.471352337	0.119632743	1
MTHFD2	-0.186178621	8.264857525	0.153904171	1
PDE4A	-0.442750873	3.015675084	0.021936034	0.88639826
NFYC	0.246174028	4.927143843	0.126325422	1
ZFAT	0.235496532	3.498793364	0.175680301	1
SP100	0.173205616	6.631631717	0.179914488	1
KLF6	0.547495063	6.926451733	0.00010457	0.034049153
RRP15	-0.208430585	4.458352322	0.165182323	1
PRKCZ	0.252387795	5.024752074	0.123848042	1
IARS2	-0.279572236	7.876244939	0.105431004	1
CBFB	0.156958774	7.103882021	0.189749206	1
IFI35	-0.576327663	2.295588765	0.016918421	0.816971936
PLEKHH3	-0.381444417	3.822766458	0.041089924	1
POLR1A	0.237442378	7.493597504	0.047253634	1
PPP2R5B	0.34192118	4.195961474	0.042107998	1
MAST4	0.391849689	6.033585309	0.011971327	0.700952691
PIGB	0.231182958	4.241208005	0.163032167	1
SPTB	-0.395228223	2.153241146	0.157776019	1
SLC44A1	-0.225029403	7.010808139	0.078269379	1
EXOC5	-0.158012331	7.087354684	0.16557538	1
FSTL3	-0.369149063	4.47708567	0.014332032	0.77147173
ASNS	-0.396221026	8.179092749	0.062112515	1
OSBPL3	-0.262033177	5.64567595	0.050570647	1
RAD18	-0.28642586	5.52300953	0.032470671	1
ING3	0.182024785	5.029062843	0.177923637	1
TRIP13	-0.270137203	5.219912958	0.123127486	1
TRIB2	-0.356926885	2.033103493	0.144531705	1
RDH11	0.200265549	6.747178948	0.149427966	1
ZFYVE26	0.292051359	6.727194007	0.077396624	1
TFRC	2.002240494	8.651088856	3.19E-24	4.25E-20
