Symbol	logFC	logCPM	PValue	FDR
STPG1	1.307863978	3.712484781	1.88E-18	3.66E-17
ENPP4	-0.653880528	4.948295728	7.18E-10	5.86E-09
CYP51A1	1.620069463	2.015226425	2.99E-13	3.55E-12
MYH16	5.996708855	1.602654241	4.64E-49	4.09E-47
TMEM176A	-1.357469528	4.242357744	3.20E-27	1.11E-25
PLXND1	-0.987841236	7.162923875	3.33E-27	1.15E-25
CAMKK1	-0.740627554	5.209712367	2.11E-12	2.29E-11
ST7	0.745299292	6.074520018	1.53E-12	1.69E-11
SKAP2	0.573216083	6.643058173	1.28E-10	1.15E-09
SPPL2B	-1.549662037	6.027660678	3.93E-21	9.24E-20
FAM214B	1.142561423	2.680087286	2.39E-10	2.08E-09
BZRAP1	-1.538605206	3.515043831	3.44E-24	1.00E-22
ITGA3	1.501357567	5.406703767	1.64E-50	1.53E-48
GDE1	-0.690395993	5.460276454	1.42E-11	1.41E-10
YBX2	-1.705624688	3.841784127	2.87E-35	1.46E-33
TNFRSF12A	1.424116704	5.885969359	6.47E-44	4.74E-42
MAP3K9	0.73730302	6.169952827	8.64E-12	8.73E-11
BAIAP2L1	0.619260822	6.047543614	2.17E-11	2.11E-10
KDM7A	-1.102453854	7.954435023	6.87E-36	3.58E-34
PROM1	-0.651303198	5.091366966	1.01E-10	9.15E-10
CCDC124	0.760258162	5.357787492	2.36E-09	1.79E-08
PAX6	1.171583345	3.127101273	1.39E-12	1.54E-11
MYLIP	-1.722208484	3.35977407	1.79E-28	6.61E-27
ADAM22	-0.696513897	5.474307586	1.29E-11	1.29E-10
SPAG9	0.616632011	7.564383871	2.28E-14	3.02E-13
AASS	1.186009471	2.607454397	6.02E-10	4.97E-09
IL32	4.82630204	2.102086526	1.14E-42	8.05E-41
MLXIPL	-2.002635366	5.628920798	1.90E-63	2.81E-61
ZNF207	-0.544156336	8.079424825	1.65E-09	1.28E-08
NCAPD2	0.781127104	7.795342443	3.37E-16	5.30E-15
SEMA3G	-1.59897524	2.23951845	5.87E-15	8.23E-14
NISCH	-0.940162258	6.156661464	1.47E-09	1.15E-08
CD4	-0.970232465	3.5386224	3.37E-11	3.21E-10
HIVEP2	0.809489968	6.760515231	3.80E-14	4.90E-13
LYPLA2	0.66174325	5.533219063	2.46E-10	2.14E-09
CLCN6	0.846108796	5.503352055	9.07E-16	1.37E-14
MBTD1	-0.59459352	6.042991405	2.08E-11	2.03E-10
PLAUR	2.54752719	5.064126183	5.09E-82	1.16E-79
CEP68	-0.588934453	5.350279021	2.47E-09	1.87E-08
CD22	3.377015305	2.504284264	1.42E-43	1.03E-41
