Symbol	logFC	logCPM	PValue	FDR
TSPAN6	-0.666723908	5.677107106	2.57E-10	3.12E-09
STPG1	1.21985842	3.712484781	1.45E-15	3.38E-14
ENPP4	-0.826240833	4.948295728	3.14E-14	6.36E-13
MYH16	4.438134802	1.602654241	1.15E-15	2.71E-14
MAD1L1	0.703789083	4.594321472	1.53E-09	1.65E-08
LASP1	-0.54807629	8.376326641	1.47E-09	1.59E-08
TMEM176A	-1.719291644	4.242357744	1.30E-38	1.40E-36
PLXND1	-0.814660127	7.162923875	5.60E-19	1.80E-17
PDK4	-1.860756228	0.650710596	7.44E-08	5.91E-07
ST7	0.56677979	6.074520018	1.07E-07	8.33E-07
SKAP2	0.540203843	6.643058173	1.80E-09	1.93E-08
LIG3	0.555651902	6.158720892	1.48E-08	1.35E-07
SPPL2B	-1.200891759	6.027660678	1.73E-13	3.20E-12
BZRAP1	-1.469887646	3.515043831	1.60E-21	6.16E-20
PDK2	-0.77700962	4.037406135	1.09E-08	1.02E-07
ITGA3	1.008201646	5.406703767	4.37E-22	1.75E-20
LAMP2	-0.473504482	7.617656208	7.14E-10	8.14E-09
YBX2	-1.504405934	3.841784127	3.65E-28	2.24E-26
MAP3K14	0.796002578	4.442452625	1.91E-11	2.68E-10
TNFRSF12A	1.252856773	5.885969359	1.28E-33	1.06E-31
MAP3K9	0.654461806	6.169952827	1.65E-09	1.78E-08
BAIAP2L1	0.669105625	6.047543614	6.05E-13	1.04E-11
KDM7A	-1.266266562	7.954435023	5.15E-46	7.62E-44
ETV1	-0.558151935	6.050837109	9.55E-08	7.48E-07
PROM1	-0.918628284	5.091366966	1.07E-18	3.33E-17
CCDC124	0.947622383	5.357787492	1.02E-13	1.94E-12
PAX6	0.91179128	3.127101273	1.38E-07	1.05E-06
TSR3	0.648641423	4.604235029	1.76E-08	1.59E-07
MYLIP	-1.455248454	3.35977407	1.40E-21	5.42E-20
ADAM22	-0.722654827	5.474307586	3.89E-12	6.05E-11
AASS	1.066817288	2.607454397	6.86E-08	5.50E-07
IL32	4.308258791	2.102086526	1.78E-29	1.18E-27
MLXIPL	-1.101985869	5.628920798	1.61E-22	6.69E-21
BAZ1B	0.520927813	7.869818927	1.72E-10	2.12E-09
ZNF207	-0.555132519	8.079424825	8.67E-10	9.76E-09
NCAPD2	0.68173867	7.795342443	1.22E-12	2.02E-11
SEMA3G	-1.176146748	2.23951845	6.28E-09	6.13E-08
CD4	-1.336380419	3.5386224	3.41E-18	1.02E-16
HIVEP2	0.563011787	6.760515231	1.63E-07	1.23E-06
CLCN6	0.70493457	5.503352055	5.03E-11	6.65E-10
MBTD1	-0.572042969	6.042991405	1.59E-10	1.97E-09
