Symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
SMC3	-0.981477518	8.910550744	-21.48993233	1.18E-05	0.214445025	-0.203747369
SON	-0.884473008	7.834849775	-18.51648906	2.28E-05	0.214445025	-0.259919469
DHCR7	-0.800282245	10.88537649	-17.34817531	3.03E-05	0.214445025	-0.289653781
NA	0.85286334	9.293377586	16.42544054	3.85E-05	0.214445025	-0.317366507
C14orf1	-0.637175639	8.668856184	-14.22475087	7.21E-05	0.321387177	-0.404104434
EBP	-0.630773877	10.55596107	-13.29541424	9.67E-05	0.359277081	-0.452654708
SCD	-0.485491982	12.13970995	-11.38547155	0.000189244	0.457378297	-0.586116957
FDFT1	-0.958760734	11.34788257	-10.70637442	0.000246564	0.457378297	-0.648478979
SCD	-0.568932288	11.46771923	-10.59290889	0.000258103	0.457378297	-0.6598696
PROX1	-0.843121479	7.574032408	-10.47795288	0.000270472	0.457378297	-0.671718955
NA	0.510009249	8.818020919	10.4416388	0.000274528	0.457378297	-0.675528468
CCNL1	0.541965731	8.433156437	10.31326887	0.000289475	0.457378297	-0.689257531
INSIG1	-1.137260821	8.420557986	-10.25357031	0.000296763	0.457378297	-0.695784761
FASN	-0.457428965	10.90944404	-10.13975343	0.000311286	0.457378297	-0.708487385
DHCR7	-0.85720454	10.52459342	-10.08563102	0.000318495	0.457378297	-0.714649354
NA	-0.697954431	10.15943379	-10.01355888	0.000328414	0.457378297	-0.722979564
ICAM1	0.651633943	10.8733277	9.200730526	0.000471086	0.566653377	-0.827785054
NA	-0.630456237	8.646050922	-9.193483076	0.000472665	0.566653377	-0.828817811
CXCL5	0.711198263	10.79673707	9.146024976	0.000483167	0.566653377	-0.83562744
PPIG	-0.64911612	8.135770909	-9.02335842	0.000511654	0.570059822	-0.853612422
NA	-0.619932514	8.850751813	-8.834145241	0.000559713	0.570609309	-0.882481804
HMGCR	-0.646282653	9.678530603	-8.820587907	0.000563362	0.570609309	-0.884604684
PSME4	-0.543394586	8.320256594	-8.658000238	0.000609466	0.58392594	-0.910652184
SCD	-0.601151112	10.64937392	-8.518492188	0.000652723	0.58392594	-0.933898233
LGALS3	-0.373644179	11.66292675	-8.511076419	0.000655125	0.58392594	-0.935157855
HSD17B2	-0.422133074	8.202055436	-8.2688367	0.000739837	0.594153952	-0.977690033
EMP3	0.459368265	8.354775402	8.248412699	0.00074757	0.594153952	-0.981402649
HMGCS1	-1.101375276	10.42381723	-8.246390776	0.000748341	0.594153952	-0.98177129
TMEM97	-0.573427578	11.43826152	-8.1207584	0.000798192	0.594153952	-1.005072586
MTUS1	-1.027424264	8.614967966	-8.116576502	0.00079992	0.594153952	-1.005861801
FDPS	-0.709520705	10.83083627	-8.00981893	0.000845598	0.607821626	-1.026313519
INSIG1	-0.721350114	9.300638598	-7.811857349	0.000938974	0.614480655	-1.065840633
ESD	-0.360461829	10.96651183	-7.807197659	0.000941318	0.614480655	-1.066796997
SQLE	-0.906740001	10.63122696	-7.694408801	0.001000293	0.614480655	-1.09032312
MSMO1	-1.086599138	10.8289892	-7.667346464	0.001015103	0.614480655	-1.096077415
IDI1	-0.841265897	10.74640233	-7.641304421	0.001029607	0.614480655	-1.101655509
NA	-1.227089038	10.94477284	-7.578033407	0.001065903	0.614480655	-1.115376555
KPNB1	-0.42834208	11.78459004	-7.573727798	0.001068429	0.614480655	-1.11631905
TRIM8	0.558217407	8.722937782	7.449884183	0.001144285	0.614480655	-1.143917327
TOP2A	-0.766174928	10.19346073	-7.442668514	0.001148902	0.614480655	-1.145554902
NA	-0.36906994	12.6681113	-7.431982257	0.001155782	0.614480655	-1.147986196
MLEC	-0.716627727	9.802587035	-7.410205474	0.001169957	0.614480655	-1.152963326
INSIG1	-1.427074444	8.092959568	-7.381424743	0.001189016	0.614480655	-1.159587983
MVD	-0.653472477	8.907092488	-7.298460259	0.001246096	0.614480655	-1.178986908
APP	0.406254923	8.676356752	7.254446283	0.001277723	0.614480655	-1.189463868
NSDHL	-0.499025194	7.235318943	-7.240452541	0.001287982	0.614480655	-1.192822273
FLRT3	-0.714628388	9.819020834	-7.200963113	0.001317473	0.614480655	-1.202371479
NA	-0.35118167	10.52052276	-7.192816121	0.001323658	0.614480655	-1.204354882
NA	-0.347422538	9.678058833	-7.147341672	0.001358836	0.617937719	-1.215510328
CDC42BPA	-0.652155245	7.317085085	-7.102634974	0.001394529	0.621485705	-1.226618859
KRAS	-0.731834513	10.19615646	-7.018529622	0.0014648	0.640002621	-1.247904566
TMEM97	-0.541382885	11.53820668	-6.734009988	0.001736494	0.721700845	-1.323844166
TM4SF1	0.36825202	9.666062838	6.724652061	0.00174642	0.721700845	-1.326449435
PNPLA3	-0.387557717	7.714081767	-6.698017766	0.001775049	0.721700845	-1.333903367
HMGCR	-1.012394908	8.348131786	-6.692236272	0.001781338	0.721700845	-1.335529025
ESF1	-0.487456911	7.781401637	-6.63643794	0.001843438	0.733523736	-1.35136
CETN2	-0.54690888	8.306391896	-6.540336287	0.001956638	0.764908008	-1.37923743
KLF2	-0.436896681	9.288875154	-6.465834584	0.002050201	0.777041859	-1.401395521
GNPDA1	0.326940425	8.659592148	6.442475953	0.002080642	0.777041859	-1.408443232
MINA	-0.490029738	8.024847867	-6.401139983	0.002135857	0.777041859	-1.421034407
AHCYL1	-0.626731411	9.638308276	-6.381921771	0.002162128	0.777041859	-1.426940833
CXCL2	0.283890931	6.729005873	6.36877497	0.002180325	0.777041859	-1.43100064
SMARCC1	0.459389286	8.53562258	6.342257586	0.002217593	0.777041859	-1.439237478
