Symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
C11orf96	1.774347211	9.816727211	24.00045434	9.84E-10	3.91E-05	10.65964449
PDK4	3.566635241	6.448434913	22.49530225	1.79E-09	3.91E-05	10.36412952
SLC14A1	-1.667489357	7.170141904	-22.05933493	2.14E-09	3.91E-05	10.27087171
AGT	1.564713986	6.524958394	18.1498089	1.28E-08	0.00015149	9.242086659
SLC14A1	-1.697653725	7.032565495	-17.6648108	1.64E-08	0.00015149	9.085364056
CXCL3	1.280591535	8.626326086	17.64231174	1.66E-08	0.00015149	9.077909314
SST	2.820554084	5.200329769	16.26974857	3.47E-08	0.000245832	8.589733456
SERPINE1	-1.143885045	10.88882271	-16.10995653	3.80E-08	0.000245832	8.528348215
TCEAL7	1.365023201	7.180651049	15.99868826	4.05E-08	0.000245832	8.485004013
AREG	1.136503564	8.34853302	15.51126072	5.36E-08	0.00029284	8.289137675
NA	1.718396187	5.667509076	14.83218492	8.03E-08	0.000398966	7.99909221
TNFAIP6	1.264672397	8.328723269	14.29666055	1.12E-07	0.000472062	7.755201503
NR4A2	1.659539493	5.648210853	14.29035585	1.12E-07	0.000472062	7.752246318
PTGES	1.057943535	7.22930992	14.00545807	1.35E-07	0.00052533	7.616595517
RGCC	1.619947583	7.607579243	13.46464685	1.91E-07	0.000656852	7.347306379
CXCL5	1.473966873	10.40490974	13.45885326	1.92E-07	0.000656852	7.34433484
RGMB	-1.01185829	10.0105943	-13.28461528	2.16E-07	0.000685743	7.254081518
SLC16A6	1.017633137	10.54312379	13.21899946	2.26E-07	0.000685743	7.219643572
SEMA7A	-1.016780485	7.323436958	-12.9686343	2.68E-07	0.000770594	7.085931
CXCL6	0.988713024	7.18998337	12.87678094	2.85E-07	0.000779967	7.03593993
CHRM3	-1.057530932	7.495038832	-12.66009479	3.32E-07	0.000784706	6.915969773
HSD17B14	1.200658927	5.479525593	12.63252001	3.38E-07	0.000784706	6.900494209
CXCL10	1.146311622	8.560035191	12.61586713	3.42E-07	0.000784706	6.891125173
NR4A2	1.253728665	6.652590295	12.60724188	3.44E-07	0.000784706	6.886265695
