Symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
ANGPTL4	1.799998573	6.498628212	7.756655628	0.000161007	1	-3.368744398
CPT1A	1.268776236	7.367800265	6.617859491	0.000408211	1	-3.430277221
NA	-0.600164178	4.040049042	-6.013704909	0.000704361	1	-3.474470943
LOC100129484	0.567503126	3.041108888	5.600673985	0.001047289	1	-3.510972215
GFRA2	0.522390311	3.529593044	5.555777949	0.00109479	1	-3.515300085
NA	-0.908749609	5.039391006	-5.391125407	0.001290976	1	-3.531836431
ARMCX4	-0.545479244	4.849150304	-5.372988438	0.001314907	1	-3.533724044
ERCC5	-0.498090689	6.717229874	-5.291695092	0.001428483	1	-3.542352437
CBX5	0.564299842	2.159712214	4.840896442	0.002297815	1	-3.595622089
ACADVL	0.517922641	8.971177051	4.795877319	0.002413209	1	-3.601492722
PTCD3	-0.449849376	4.894246755	-4.741162509	0.002562268	1	-3.608773883
SYNPO2	-0.459838757	8.915701181	-4.686672098	0.002721013	1	-3.616188319
ABCA1	-0.884242588	6.120181889	-4.607212647	0.002972551	1	-3.627300394
NA	0.390807384	2.198643464	4.330006871	0.004075771	1	-3.669030236
NA	0.432546196	3.246940149	4.315341232	0.00414571	1	-3.671373386
PDK4	2.007753775	3.834451096	4.303589913	0.004202714	1	-3.673261166
NA	-0.412157981	3.131378258	-4.209890325	0.004689652	1	-3.688645435
TPD52L1	-0.507586612	6.210198581	-4.197317993	0.004759621	1	-3.690755291
FLCN	0.486724421	5.543700833	4.093939894	0.005380846	1	-3.708525482
HCG4B	0.452700331	3.667178831	4.081537905	0.005461215	1	-3.710708715
NA	-0.377245862	4.422727325	-4.07372266	0.005512542	1	-3.712090253
NA	0.466242862	2.315346294	4.065797496	0.005565136	1	-3.713495778
SLC25A20	0.486378076	6.376431941	4.051838934	0.005659123	1	-3.715982528
MTMR4	-0.461258762	5.974774298	-4.035556867	0.005770979	1	-3.718901367
SMA4	-0.413564539	1.708258199	-4.032144454	0.00579473	1	-3.71951559
PRSS41	0.520273555	3.421553215	3.986544869	0.006122694	1	-3.727806827
SLC18A3	0.562679052	2.650831388	3.956429978	0.006350501	1	-3.733368585
OLAH	0.348251438	1.951185652	3.947756071	0.006417839	1	-3.734983362
CLASP2	-0.423907123	3.028597648	-3.934025491	0.006526048	1	-3.737551331
LUC7L3	0.352516472	3.807108418	3.917700084	0.006657332	1	-3.740623544
ZKSCAN7	-0.366738226	4.758230661	-3.893873859	0.006854189	1	-3.745144499
DUSP27	0.440962909	2.147562969	3.889608866	0.006890099	1	-3.745958453
NA	-0.378805487	1.634855942	-3.872292544	0.007038043	1	-3.749277887
KLF11	0.538126419	5.684614967	3.87046378	0.00705387	1	-3.749629831
TMTC1	-0.518368716	2.91745695	-3.822023606	0.007487701	1	-3.759048942
GDF6	-0.68232933	7.269382897	-3.820910878	0.007498005	1	-3.759267517
NA	-0.539502295	3.047436317	-3.783825941	0.007850514	1	-3.766609484
SPATC1	0.442639039	2.582766039	3.777627903	0.007911186	1	-3.767847465
