Symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
ZC3H12A	1.113681939	5.901754401	8.524313467	1.64E-07	0.008961085	1.052408706
NFKBIZ	0.515194603	10.16697493	7.615290659	7.55E-07	0.015180527	0.661513651
CCL28	1.095182848	7.126496929	7.55886951	8.33E-07	0.015180527	0.634551674
CCL28	0.788936122	8.169450678	7.371667077	1.16E-06	0.015825564	0.542629359
CYP1A1	4.163978301	7.932122535	7.085800293	1.93E-06	0.019790273	0.394666475
NFKBIZ	0.760515173	8.147284508	6.967124878	2.40E-06	0.019790273	0.330430196
CCL28	0.644062081	6.856367343	6.936775111	2.53E-06	0.019790273	0.31372979
CCL20	3.268698806	6.975929725	6.716294467	3.81E-06	0.026011212	0.188988917
ZC3H12D	0.611438311	6.137488791	5.838571069	2.05E-05	0.124707212	-0.371424581
RIMKLB	-0.488981271	4.255759284	-5.429475495	4.66E-05	0.254894334	-0.670253119
ZC3H12C	0.622361861	5.928479768	5.342739656	5.56E-05	0.276477084	-0.736846582
ATP10B	0.440952245	6.528025655	5.251208413	6.71E-05	0.305651245	-0.808365903
SOCS3	0.973346071	2.300376435	5.210893258	7.29E-05	0.306501603	-0.840273256
TFRC	0.473553351	9.941764706	4.981593611	0.000117134	0.457449906	-1.026491431
LINC00342	0.500389849	4.752369347	4.910712738	0.000135798	0.494981958	-1.085685662
CXCL2	1.685078421	4.314148276	4.841798753	0.000156868	0.536047506	-1.143973241
E2F3	0.371907657	6.434944183	4.701219402	0.000210838	0.678091887	-1.265112818
TFRC	0.541796853	9.829634056	4.612743487	0.0002542	0.772133564	-1.342880357
NA	0.447746747	6.169497521	4.536169236	0.00029903	0.84602442	-1.411127304
SERPINA10	0.283286563	3.440328659	4.520012975	0.000309474	0.84602442	-1.425637122
IL1B	0.624367688	4.761133498	4.437380035	0.000368995	0.85617104	-1.500445319
TIMM8A	-0.272451496	4.535022402	-4.432526778	0.000372833	0.85617104	-1.504869813
MAPT	-0.280589763	2.565910364	-4.430941918	0.000374095	0.85617104	-1.506315393
BIRC3	1.270015971	6.699561157	4.428781312	0.000375823	0.85617104	-1.508286705
FAM78B	0.368783108	2.621939278	4.402365061	0.000397612	0.869578349	-1.532442883
SAV1	0.427994409	6.498150512	4.343184878	0.000451204	0.93152428	-1.586921721
PAG1	-0.47469074	6.987093458	-4.304183197	0.000490478	0.93152428	-1.623095873
CXCL3	0.744116047	4.150855	4.2935385	0.000501787	0.93152428	-1.633005878
STEAP2	0.368452305	6.346937812	4.287603577	0.000508206	0.93152428	-1.638538034
REG1B	2.193426454	6.717502208	4.281273635	0.000515145	0.93152428	-1.6444438
NSDHL	-0.298677375	5.504036753	-4.268063595	0.000529937	0.93152428	-1.65678653
SPIDR	0.303368478	3.794812168	4.248498824	0.000552639	0.93152428	-1.675111084
DENND1A	-0.694800571	6.356871118	-4.240470673	0.000562237	0.93152428	-1.682645574
