Symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
ANGPTL4	1.43312027	6.312679348	14.81178661	3.20E-06	0.076575834	-3.226691435
CPT1A	1.124430248	7.417474495	6.26605203	0.000578678	1	-3.449585201
MAML3	-0.470852713	1.949311115	-4.99528519	0.001999077	1	-3.571195315
NA	-0.450284215	4.44397252	-4.974805422	0.002042846	1	-3.573695829
NRD1	-0.662334395	2.775169784	-4.763756143	0.00256231	1	-3.600710006
MMP26	0.523499251	2.341448888	4.624849071	0.002984532	1	-3.619801077
DST	-0.587217754	2.408006628	-4.408669107	0.003805168	1	-3.651765635
MORN1	0.46450837	4.017201001	4.181470262	0.004948484	1	-3.688580389
ACADVL	0.502960134	8.861536771	4.161542489	0.005065703	1	-3.691977621
EYA4	0.38757187	3.576051564	4.130961918	0.005251619	1	-3.697245737
GDF3	0.461655386	2.310522972	4.092883387	0.005493769	1	-3.703899464
EFHC1	-0.717367929	4.47286205	-4.091324922	0.00550394	1	-3.704174026
IDO1	0.427433052	2.960233132	4.075091384	0.005611131	1	-3.707044526
CREBZF	-0.440379297	4.803117207	-4.074292484	0.005616466	1	-3.70718629
NA	0.400922872	3.476566026	4.035973071	0.005879052	1	-3.714041389
LOC643406	-0.400744919	2.871954279	-4.031773066	0.005908649	1	-3.714799375
NA	0.397021031	5.010646796	4.003290144	0.006113768	1	-3.719974663
RUSC1-AS1	-0.386638845	2.461662721	-3.85831679	0.00728745	1	-3.747281123
NA	-0.373265257	1.469676813	-3.846893678	0.007389995	1	-3.749502948
TNK2-AS1	0.351263338	1.965341266	3.844761165	0.007409314	1	-3.749918886
GRAMD4	0.442690068	5.027555564	3.800977331	0.007818519	1	-3.758539956
NA	-0.436392817	3.675388677	-3.80025942	0.007825433	1	-3.758682611
NEGR1	-0.353245417	5.453463388	-3.787215365	0.00795223	1	-3.761281922
ASGR2	0.372312272	3.188601894	3.712801719	0.008720214	1	-3.77637958
ABHD6	0.353719041	3.952170744	3.68884344	0.00898454	1	-3.781339202
SRSF4	-0.502088754	2.745143801	-3.658188985	0.00933565	1	-3.787756229
NA	-0.394572562	2.97424329	-3.656712373	0.009352939	1	-3.788067366
MS4A2	0.441917063	1.780378049	3.645629233	0.009483831	1	-3.790408685
DNAJC6	-0.362576764	5.355855084	-3.634317107	0.009619502	1	-3.792809308
SMARCA1	-0.355876423	8.168476841	-3.626819974	0.00971059	1	-3.794406431
NA	-0.677927039	2.604665927	-3.601121409	0.010030063	1	-3.799918141
FADS2	-0.557226454	6.666263023	-3.60000118	0.010044249	1	-3.800159715
TMEM97	-0.43834338	5.410877618	-3.584508626	0.010242704	1	-3.803511925
TRHR	0.385422541	2.21117249	3.577341897	0.010335956	1	-3.805069774
ECH1	0.587432972	7.486557529	3.566839088	0.0104743	1	-3.807360988
NA	0.378244872	3.838783584	3.537146228	0.010876496	1	-3.813891518
ORAI2	-0.638020377	3.483206904	-3.5291438	0.010987758	1	-3.815664994
NA	-0.494913491	5.426979238	-3.528271659	0.010999959	1	-3.815858622
SLC25A20	0.413210828	6.231843068	3.521282185	0.011098275	1	-3.817412852
RASL10A	0.397568506	2.860869691	3.513795931	0.011204645	1	-3.819082419
DCAF7	-0.37224428	4.909446325	-3.49929455	0.011413873	1	-3.822330849
TRIM43	0.38759	2.014061962	3.496562158	0.011453772	1	-3.822945055
ZNF83	-0.390462797	4.347282066	-3.467881388	0.011881889	1	-3.829433002
NA	0.344294232	2.037023546	3.466876384	0.011897204	1	-3.829661705
NA	-0.443612086	3.042640621	-3.461340569	0.01198195	1	-3.830923112
ARTN	0.413039286	2.852770456	3.458645043	0.012023453	1	-3.831538337
CRTC3	-0.478880957	1.894827046	-3.451335793	0.012136784	1	-3.833209945
NA	0.400155313	2.084320093	3.447004458	0.012204492	1	-3.834202823
DISC1	0.410607328	2.809336379	3.443038362	0.012266852	1	-3.835113489
KLK4	0.383977972	2.472877835	3.41801175	0.01266845	1	-3.84089335
NA	0.513998387	2.495013962	3.413130349	0.012748439	1	-3.842027452
NA	-0.389362405	3.420858358	-3.338776663	0.014037291	1	-3.859577141
C9orf40	-0.32733796	5.005199945	-3.337189823	0.014066297	1	-3.859957348
FZD5	-0.500037121	3.245441465	-3.320273489	0.0143796	1	-3.864025346
KTN1-AS1	0.36460134	2.23132946	3.288259608	0.014993461	1	-3.871798529
NME9	-0.328527496	2.147051481	-3.271375176	0.015328622	1	-3.875937694
NA	0.378486946	2.892861795	3.258798005	0.01558356	1	-3.879038769
TMEM86B	-0.460380286	3.059225834	-3.248377085	0.015798273	1	-3.881619752
RBMS3	-0.423514157	6.158790553	-3.240145849	0.015970136	1	-3.883665833
NA	0.358958043	1.96476042	3.236470966	0.016047517	1	-3.884581437
RAP1GAP	0.372422426	5.071766695	3.222538387	0.016344604	1	-3.888064671
NA	-0.506188497	3.43247655	-3.208147682	0.016657719	1	-3.891682266
NA	-0.402085848	2.730310718	-3.20680341	0.016687298	1	-3.892021225
NA	0.317518503	4.419269733	3.176631028	0.017366364	1	-3.899675728
PRRG1	-0.352871739	6.64471882	-3.171489847	0.017485022	1	-3.900988907
UTRN	-0.340762206	8.016501014	-3.167930526	0.017567684	1	-3.901899563
NA	-0.386417079	1.899633157	-3.150383737	0.017981407	1	-3.906407162
OLAH	0.330078253	1.848143973	3.138489107	0.018267838	1	-3.909480054
NA	-0.401521977	2.006573055	-3.132689889	0.018409269	1	-3.910983313
C14orf23	0.284605201	2.021532114	3.131973276	0.018426827	1	-3.911169303
LINC00087	-0.541453296	3.2905571	-3.13068252	0.018458499	1	-3.911504434
SLC25A45	0.306435451	4.143840955	3.120976219	0.018698557	1	-3.914029863
FLJ38668	0.342872052	3.841435788	3.11714724	0.018794179	1	-3.915028674
SLC45A2	0.486597823	3.565819233	3.112124281	0.01892042	1	-3.916341149
BPIFB3	0.380022661	4.023756965	3.109326575	0.01899113	1	-3.917073263
LOC441239	0.32679017	3.312928573	3.088993299	0.019513675	1	-3.922417556
LRRC37B	0.348100365	1.942566487	3.087257228	0.019559003	1	-3.922875765
ZNF641	-0.345864508	5.581077492	-3.076546924	0.01984116	1	-3.925709237
MAOB	0.3614037	2.414178551	3.074301533	0.019900868	1	-3.926304721
AHSA2	-0.358912592	2.894431613	-3.072597389	0.019946312	1	-3.926757001
GALNT6	0.371893355	2.931763614	3.068480162	0.020056567	1	-3.927850913
KLRB1	0.309219689	2.183321665	3.066092171	0.020120815	1	-3.928486159
NA	0.354179476	2.325404157	3.063875283	0.020180658	1	-3.9290764
CNTLN	-0.320926193	2.975713309	-3.062120774	0.020228155	1	-3.929543882
LYPD3	0.384710121	3.601871641	3.061990646	0.020231682	1	-3.929578566
NA	-0.492623195	1.615931257	-3.059433514	0.020301136	1	-3.93026049
NA	0.311763668	2.169427117	3.05586231	0.020398562	1	-3.931213938
ENPP6	0.302223481	1.579765689	3.055504823	0.020408343	1	-3.931309451
NA	-0.316446466	1.957389737	-3.045074356	0.020695935	1	-3.934101897
MYO15A	0.416183844	2.113786553	3.043192727	0.020748278	1	-3.93460681
HNRNPD	-0.375908855	4.477091046	-3.038727025	0.020873076	1	-3.93580655
NA	0.349652624	2.12043158	3.032947083	0.0210358	1	-3.937362346
RFX7	0.35329294	2.46877491	3.032131095	0.021058883	1	-3.937582258
NA	-0.318580191	2.144883036	-3.030488626	0.021105427	1	-3.938025111
PDK4	2.373744155	3.8474652	3.019603906	0.021416682	1	-3.940966784
OAS2	0.639476704	3.122664566	3.011732311	0.021644845	1	-3.943101573
BEX1	0.273436458	4.350177173	3.004545193	0.021855448	1	-3.945056188
KRBA1	0.351915723	5.378384145	3.002470032	0.021916664	1	-3.94562152
SLC33A1	-0.296414777	6.651159746	-2.992335878	0.022218272	1	-3.948388594
GALP	0.318273247	1.679395358	2.991162482	0.022253481	1	-3.948709653
FNBP4	-0.300802575	6.021326287	-2.980514009	0.022575745	1	-3.951629604
NA	0.414924316	2.227559266	2.977715804	0.022661257	1	-3.952398812
SLC51B	0.319159426	2.093621575	2.966725144	0.023000503	1	-3.95542774
NA	-0.311129558	2.634264523	-2.955924829	0.023339178	1	-3.958416133
NA	0.332811216	2.099356671	2.955748639	0.023344747	1	-3.958464982
CBLN4	0.346548311	1.83454488	2.95537588	0.023356534	1	-3.95856834
NA	-0.458926507	1.821645604	-2.954206429	0.023393554	1	-3.958892696
ZNF251	-0.552214355	4.357030214	-2.937389737	0.023932907	1	-3.963572275
SWAP70	-0.392607849	7.153249513	-2.930844291	0.02414642	1	-3.965401438
NA	-0.392003126	2.679180229	-2.926477424	0.02429	1	-3.966624206
NA	0.270428807	2.494734724	2.922410298	0.024424546	1	-3.967764787
RASA2	-0.412598202	4.866380121	-2.917730751	0.024580339	1	-3.969079194
DUSP21	0.378324411	2.286798798	2.917109372	0.024601106	1	-3.969253897
VILL	0.536243608	4.441230868	2.911808216	0.024779037	1	-3.97074593
C3P1	0.294485174	3.515911121	2.910883163	0.024810227	1	-3.971006583
TCTEX1D1	-0.312371911	1.733273617	-2.908460553	0.024892109	1	-3.971689617
PPARA	-0.312489008	2.910283326	-2.908009098	0.0249074	1	-3.971816967
STRBP	0.316124229	4.002584393	2.907371283	0.024929019	1	-3.971996922
BTNL8	0.326129985	1.890678034	2.904349261	0.025031728	1	-3.972850127
BRSK2	0.319672354	3.252851379	2.899776527	0.025188	1	-3.974142911
ZNF23	-0.403132502	4.743349777	-2.896675729	0.025294562	1	-3.975020766
NA	0.334204665	3.142421346	2.895583053	0.025332228	1	-3.975330343
TCF4	-0.313724493	8.768313633	-2.888259708	0.025586221	1	-3.97740833
NA	0.356589647	3.836937589	2.885727925	0.025674661	1	-3.97812799
KRT17	0.305517292	2.072169451	2.883219358	0.025762613	1	-3.978841695
GK2	0.312765112	1.656043242	2.882384196	0.025791965	1	-3.979079447
NA	0.327546131	1.836878981	2.876127604	0.026012996	1	-3.980862817
OR3A3	0.393541054	2.847706214	2.875373051	0.026039788	1	-3.981078164
ZNF285	-0.362297111	4.168687851	-2.872972664	0.026125218	1	-3.98176361
BAI2	0.662752405	4.636282037	2.871488185	0.0261782	1	-3.982187807
TNFSF9	-0.270297079	5.722003045	-2.865098493	0.026407563	1	-3.984016255
ACTRT2	0.294484164	3.12903696	2.86489184	0.026415017	1	-3.98407546
FAM71C	0.305958387	1.907978663	2.86311948	0.026479036	1	-3.984583406
RBMS2	-0.352627986	5.853049053	-2.862303354	0.02650857	1	-3.98481741
STAP2	0.394922366	3.615762107	2.860677503	0.026567512	1	-3.985283784
QSER1	0.512117947	3.743488068	2.858344028	0.026652352	1	-3.985953611
GH1	0.376756132	1.962189127	2.857578555	0.026680246	1	-3.986173462
RP1	0.32235524	1.6661512	2.857478284	0.026683902	1	-3.986202266
AJAP1	-0.282826805	3.106404612	-2.856844082	0.02670704	1	-3.986384466
ZNF419	-0.316403252	5.223423483	-2.855218335	0.026766448	1	-3.986851716
SLC43A2	0.330386251	4.933433247	2.853865169	0.026816004	1	-3.98724083
NA	0.33491119	2.280158413	2.853207917	0.026840109	1	-3.987429895
ARMC5	-0.290572492	5.222491441	-2.846478433	0.027088249	1	-3.989368237
FMN2	-0.372151847	3.863096288	-2.841793939	0.027262426	1	-3.990720273
TMEM178A	-0.618572184	4.268526749	-2.84178807	0.027262645	1	-3.990721968
NA	0.306698504	5.675711498	2.838600711	0.027381838	1	-3.991643183
NIPAL4	0.290398973	3.309318729	2.837154938	0.027436086	1	-3.992061384
KIF5A	0.275110632	3.870514114	2.836384835	0.027465029	1	-3.992284229
IFNA7	0.266494701	2.077347777	2.834448586	0.027537942	1	-3.99284479
PNN	-0.658666822	4.219416448	-2.829214987	0.027736057	1	-3.994361876
NA	-0.325207891	1.717173223	-2.829156381	0.027738284	1	-3.99437888
C12orf60	-0.318758606	2.350635213	-2.825976913	0.027859391	1	-3.99530191
CARF	-0.384458787	2.302528293	-2.825902738	0.027862223	1	-3.995323456
NA	0.283937128	3.296128114	2.824583513	0.027912644	1	-3.995706752
NA	0.266411626	1.74917149	2.820680813	0.028062373	1	-3.996841707
KIAA0430	-0.295534204	7.110935634	-2.815037687	0.028280388	1	-3.998485548
API5	-0.314792149	7.234468698	-2.812255217	0.028388548	1	-3.999297277
MAPK8IP2	0.304236067	4.512144685	2.811196844	0.028429804	1	-3.999606243
GLRA3	0.317511651	1.602759495	2.807693804	0.028566811	1	-4.000629684
