Symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
ANGPTL4	1.157996561	6.463840012	11.03470771	1.78E-05	0.426890541	-3.349589853
NA	-0.77088829	3.311454997	-6.232761343	0.000559002	1	-3.519556658
CPT1A	0.915402457	7.43944699	5.533784026	0.001091709	1	-3.576029751
RHBDL3	0.492930312	3.010112996	5.123518914	0.001662998	1	-3.617046823
ACADVL	0.504532564	9.018295824	4.588850297	0.002977882	1	-3.681724324
ECH1	0.657533772	7.740781814	4.532671798	0.003173321	1	-3.689376731
NA	0.446547525	3.461941681	4.355992068	0.003887253	1	-3.714631906
NA	-0.506061564	3.243323995	-4.198195605	0.004677911	1	-3.738801881
NA	0.42605459	2.382280554	4.179473465	0.004782993	1	-3.741775842
C9orf40	-0.375669881	5.015113285	-4.018799697	0.005800192	1	-3.768269666
ANKRD36BP1	0.424482765	1.603968191	4.004763629	0.005899818	1	-3.770668934
NA	0.511402731	2.694371456	3.942489182	0.006365175	1	-3.781483541
HIPK2	0.578505408	5.163351804	3.936693621	0.0064105	1	-3.782504238
PNN	-0.779119282	4.38058551	-3.910331818	0.006621199	1	-3.787177974
PCDHB5	0.503551033	4.762305391	3.900227508	0.006703971	1	-3.788982922
EYA4	0.420517207	3.400452743	3.775557629	0.007824522	1	-3.811882893
NA	-0.338149582	1.949701991	-3.734392666	0.008238491	1	-3.819705892
FOSL1	-0.421038952	6.270152523	-3.730650938	0.008277294	1	-3.820423543
NA	-0.515769803	3.247621849	-3.691381443	0.008696832	1	-3.828022048
RBM25	-0.453943148	3.005890169	-3.637738849	0.009308015	1	-3.83860085
HOXA7	-0.39693	2.300160793	-3.615403228	0.009576224	1	-3.843074346
NME9	-0.360260228	2.394687941	-3.546053458	0.01046425	1	-3.857225716
DLG3	-0.373309563	3.851386487	-3.538979585	0.010559765	1	-3.85869168
PDK4	2.365771158	3.974054313	3.498985208	0.011117988	1	-3.867059231
G6PC2	0.382904577	2.929067568	3.497721441	0.011136144	1	-3.86732584
NA	-0.311411712	1.805248164	-3.471084274	0.011526428	1	-3.872976989
SLC25A20	0.418020084	6.498439755	3.400000937	0.012642708	1	-3.888356382
MESP1	0.362997018	3.511513484	3.387483024	0.012851188	1	-3.891110228
FBXW8	-0.337842179	5.010852988	-3.348725194	0.013520703	1	-3.899724049
NADK2	0.541429885	6.726035763	3.329229964	0.013871692	1	-3.904107066
NA	-0.297947287	3.631231193	-3.296047059	0.014492025	1	-3.911645378
CLRN3	0.343481893	1.883090555	3.264223372	0.015115244	1	-3.918967823
CENPM	-0.483386597	5.327328547	-3.259411031	0.015211984	1	-3.920083077
KRTAP8-1	0.446494448	2.48234074	3.232499647	0.01576545	1	-3.926358503
PNCK	0.336467375	2.660723106	3.221292335	0.016002326	1	-3.92899137
GPR68	-0.431701737	5.32528762	-3.21640429	0.016106839	1	-3.930143283
PAX2	-0.330990999	2.359979484	-3.195028169	0.016572627	1	-3.935206473
NA	0.32703617	2.165148697	3.191981452	0.01664019	1	-3.935931539
SULT1B1	0.451802302	3.726373858	3.188984891	0.016706931	1	-3.936645501
TTC28-AS1	0.381669172	2.046232819	3.174826847	0.017026193	1	-3.940029985
BAI2	0.531778924	4.752389094	3.167000651	0.017205489	1	-3.941908774
