Symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
KIRREL3-AS3	0.287518538	2.354340031	5.008182501	0.000110094	0.964988121	-1.032387609
SLC7A1	-0.389154083	3.717490345	-4.940325673	0.000126832	0.964988121	-1.088232593
MRPL50	-0.270963307	3.362677541	-4.869756944	0.000147018	0.964988121	-1.147052066
PPIL1	-0.467960294	5.282795741	-4.809842508	0.000166725	0.964988121	-1.197583708
IRS2	0.524774019	6.913625486	4.757358888	0.0001862	0.964988121	-1.242293687
LINC00992	-0.465290743	4.181981913	-4.675106926	0.000221513	0.964988121	-1.313195321
HOGA1	0.294500415	2.625621124	4.45199871	0.000355843	0.964988121	-1.510563497
FAM13A-AS1	0.484782226	6.882310254	4.436243125	0.000368011	0.964988121	-1.524775767
ATP9B	-0.304799134	5.76333258	-4.408365466	0.000390587	0.964988121	-1.550009958
TCP11L2	0.416957391	3.771691755	4.347243265	0.000445137	0.964988121	-1.6057235
HHLA3	0.299282022	1.601914222	4.328159953	0.000463705	0.964988121	-1.623226163
NA	0.315027907	1.955597758	4.323061652	0.000468798	0.964988121	-1.627910816
NA	-0.292622475	7.553920421	-4.282500829	0.000511387	0.964988121	-1.66530979
JADE2	0.299360029	3.537621975	4.244122802	0.000555292	0.964988121	-1.700905545
RALGPS1	0.232882	3.869928558	4.237972014	0.000562675	0.964988121	-1.706629198
CACNA1F	0.329865632	3.288454388	4.230027611	0.000572359	0.964988121	-1.714029547
NA	-0.27176319	4.164130283	-4.189720926	0.000624155	0.964988121	-1.75170776
CD44	0.279399537	1.651627149	4.181335546	0.000635513	0.964988121	-1.759573821
HELZ2	0.329243272	4.349238335	4.173058649	0.000646929	0.964988121	-1.767347348
PUS7L	-0.308280155	3.423542969	-4.159201017	0.000666508	0.964988121	-1.780382669
OTUD1	0.298527068	6.750778913	4.151414015	0.000677773	0.964988121	-1.787718791
FBXO32	0.382705565	5.421968117	4.145155904	0.000686964	0.964988121	-1.793620369
HHIPL2	0.270176163	2.842985756	4.144948095	0.000687272	0.964988121	-1.793816428
PPA2	-0.279520496	1.463508516	-4.096503556	0.000762858	0.964988121	-1.839676471
NA	0.263177506	1.798921322	4.095432625	0.000764621	0.964988121	-1.840693727
OR2B2	0.304969257	1.867223335	4.087795469	0.00077731	0.964988121	-1.847952418
KIAA1671	0.365053985	5.603828843	4.072602088	0.00080319	0.964988121	-1.862415256
IL2RB	0.253045641	6.373100112	4.031566672	0.000877518	0.964988121	-1.901625091
TIMM8A	-0.275029432	4.720001531	-4.030709742	0.000879142	0.964988121	-1.902446174
RIOK2	-0.274251065	4.56617667	-4.015926017	0.000907641	0.964988121	-1.916626003
