Symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
MORN1	-0.305270146	2.724564639	-4.736135578	0.00021293	0.999952619	-1.523387939
FGB	-0.26322437	2.863188359	-4.39050787	0.000437561	0.999952619	-1.796892093
SCARNA2	-0.302609802	3.159390004	-4.239715629	0.000600941	0.999952619	-1.921498599
NA	-0.260222183	3.530909677	-3.998333764	0.001001582	0.999952619	-2.127326706
HOTAIRM1	-0.27382145	4.04710008	-3.995667546	0.001007266	0.999952619	-2.129642298
C11orf84	0.243832347	4.478409479	3.904985591	0.001221254	0.999952619	-2.208924222
PHF6	-0.25918342	2.341126569	-3.898159358	0.001239107	0.999952619	-2.214933007
FAM117B	-0.351629394	3.462736457	-3.893493689	0.001251461	0.999952619	-2.219043185
PELI1	0.293557	6.550796806	3.891487314	0.001256811	0.999952619	-2.220811487
NA	0.326397759	2.268687712	3.839445073	0.001403939	0.999952619	-2.266845856
CASP8AP2	0.373518555	3.085800345	3.814694453	0.001479873	0.999952619	-2.288850782
C3orf65	0.2506674	1.966799313	3.793745258	0.001547362	0.999952619	-2.30753121
NA	-0.24985717	1.811452318	-3.767100268	0.001637687	0.999952619	-2.331362724
SLC10A2	-0.765013736	7.905562942	-3.750256193	0.0016975	0.999952619	-2.346469352
NA	-0.283200892	2.333326609	-3.732304946	0.001763658	0.999952619	-2.362603583
PDE5A	-0.28842653	3.028131298	-3.70129966	0.001884075	0.999952619	-2.390553504
NA	0.383552232	3.411331575	3.688342943	0.001936806	0.999952619	-2.402264128
DNAL1	0.201865555	4.53440118	3.682009234	0.001963118	0.999952619	-2.407995213
NCOA6	0.301836019	3.838329151	3.663319231	0.002042866	0.999952619	-2.424931635
NA	-0.337406951	4.448522119	-3.638614764	0.002153276	0.999952619	-2.447374126
NOS1	-0.251732887	2.467436778	-3.618470993	0.002247706	0.999952619	-2.465719857
NA	-0.254219459	2.827864583	-3.605159708	0.002312367	0.999952619	-2.47786547
DIRAS3	-0.39494227	5.748064229	-3.572400405	0.002479525	0.999952619	-2.507830884
DPP6	-0.29568325	3.310001024	-3.563093414	0.002529179	0.999952619	-2.516363234
TMEFF2	0.209131322	1.602214051	3.55950623	0.002548581	0.999952619	-2.519654076
RIMBP2	-0.233033933	3.244989092	-3.553225675	0.002582908	0.999952619	-2.525418752
TMEM206	-0.228126542	2.427293374	-3.53783826	0.002668974	0.999952619	-2.539558092
NA	0.365825292	6.230356766	3.529515416	0.002716711	0.999952619	-2.547215152
CES3	-0.208141269	2.318504971	-3.515113806	0.002801334	0.999952619	-2.560479914
LINC00592	-0.433687621	3.132787292	-3.51390897	0.002808532	0.999952619	-2.561590509
AGRN	0.190427879	5.764734665	3.504430889	0.002865798	0.999952619	-2.570331847
KMT2A	0.307419682	2.179033137	3.490559853	0.002951711	0.999952619	-2.583139348
LINC00894	0.26071798	3.053885634	3.486949027	0.002974492	0.999952619	-2.586476155
LRCH1	0.206565163	6.447152851	3.479330066	0.003023139	0.999952619	-2.593520733
SLC26A8	-0.260734591	2.162415615	-3.477397053	0.003035606	0.999952619	-2.595308837
HPGD	-0.382975765	8.651300637	-3.406601224	0.003529224	0.999952619	-2.661018661
MAPK11	0.267290893	3.269947793	3.391361699	0.003645492	0.999952619	-2.675217768
TP73	-0.213332634	2.017126029	-3.386151077	0.003686112	0.999952619	-2.680076909
PMCHL1	0.230931447	2.06947529	3.378927625	0.003743167	0.999952619	-2.686816646
NA	-0.219984766	1.733810295	-3.372781012	0.003792405	0.999952619	-2.692554866
BMPR2	0.306422199	6.351184668	3.369858676	0.00381604	0.999952619	-2.695284066
NA	0.219585763	1.878731097	3.351627597	0.003966818	0.999952619	-2.712325028
AP4S1	-0.203124892	5.131973644	-3.348268412	0.003995237	0.999952619	-2.715467672
NA	-1.037753643	6.908351718	-3.335244466	0.004107341	0.999952619	-2.72766001
LOC283070	-0.302077448	3.204455962	-3.32470367	0.004200348	0.999952619	-2.737536874
NA	-0.246526485	2.120623521	-3.318973286	0.004251782	0.999952619	-2.742909691
NA	0.211525054	2.627832351	3.314770084	0.004289905	0.999952619	-2.746852116
HFE	0.265893981	4.353392635	3.314028511	0.004296666	0.999952619	-2.747547809
NA	-0.222050103	1.412846717	-3.311899684	0.004316133	0.999952619	-2.749545149
DDIT4L	-0.256420566	2.638028509	-3.311539455	0.004319436	0.999952619	-2.74988316
NA	-0.281557107	2.51631102	-3.300743598	0.004419587	0.999952619	-2.760017392
XCL1	0.238875477	1.7723132	3.300105486	0.004425578	0.999952619	-2.760616652
PELI1	0.236292959	7.745528791	3.299878448	0.004427712	0.999952619	-2.760829873
NA	-0.205074612	2.065651412	-3.296021741	0.00446411	0.999952619	-2.764452422
FER1L4	-0.307327413	2.433857696	-3.291193111	0.004510098	0.999952619	-2.768989326
NA	-0.346157594	5.817722483	-3.290607756	0.004515705	0.999952619	-2.769539425
NA	-0.231304529	3.398904	-3.288863742	0.004532451	0.999952619	-2.771178535
NA	0.252217606	4.087368284	3.281547901	0.004603367	0.999952619	-2.778056568
DNAI1	-0.1951368	3.262351605	-3.281088799	0.004607854	0.999952619	-2.778488315
LOC100129406	0.316713589	3.204393392	3.280047508	0.004618046	0.999952619	-2.779467617
GABRA2	-0.192114834	1.813212489	-3.275065407	0.004667121	0.999952619	-2.78415413
PLEKHS1	0.341158662	4.363398377	3.264315871	0.004774769	0.999952619	-2.794271489
LOC100506639	0.291024311	3.108712465	3.259538777	0.004823392	0.999952619	-2.798770068
NA	0.237255006	1.811668806	3.256829564	0.004851184	0.999952619	-2.801321984
PELI1	0.274651279	7.074665489	3.251231019	0.004909118	0.999952619	-2.806596966
NA	-0.205638309	1.62963771	-3.244394456	0.00498079	0.999952619	-2.813041114
NA	-0.190888249	1.841710936	-3.221484298	0.005228583	0.999952619	-2.834657382
SAMHD1	0.391239425	3.883535698	3.220376871	0.005240864	0.999952619	-2.835703073
NA	0.271921047	3.444894229	3.217461106	0.005273335	0.999952619	-2.838456643
LOC157740	-0.266303224	2.01110565	-3.217111099	0.005277246	0.999952619	-2.838787214
LOC100505474	-0.232781252	2.727567502	-3.20295596	0.005437842	0.999952619	-2.852162349
DIS3L2	0.208206202	4.73558328	3.201755884	0.005451677	0.999952619	-2.853296832
NMNAT2	-0.218046009	2.627394363	-3.195504708	0.005524304	0.999952619	-2.859207661
AGRN	0.218078414	6.330162303	3.194141162	0.005540273	0.999952619	-2.860497263
NA	-0.213704814	2.478588041	-3.177313021	0.005741126	0.999952619	-2.876421362
MICALL2	-0.205331681	2.466110766	-3.167894338	0.005856654	0.999952619	-2.885340795
LEPROT	-0.230182062	2.01632529	-3.160190137	0.005952852	0.999952619	-2.892640124
LPIN1	0.216609403	6.864682937	3.159254805	0.005964636	0.999952619	-2.893526513
HGF	-0.233749486	1.709715175	-3.149988595	0.006082627	0.999952619	-2.902310289
LOC643733	0.387398003	4.33687894	3.141146301	0.006197359	0.999952619	-2.910696273
