Symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
ANKRD10	-0.423889507	6.168026703	-5.342510585	0.001004611	1	-2.595724207
POLR2L	-0.327240042	4.968710083	-5.169280595	0.001217438	1	-2.63967262
NA	-0.292654566	3.705734106	-5.118189594	0.001289427	1	-2.653155275
HSDL2	0.372738093	4.208875564	4.594307871	0.002373705	1	-2.806434359
TTC26	0.389036669	5.08891772	4.57559127	0.002427798	1	-2.812454529
EYA4	-0.229667476	3.095262702	-4.377441345	0.003091641	1	-2.878693464
NA	0.474708499	7.043692165	4.287000649	0.003458949	1	-2.910499289
H1FNT	0.233002446	4.652671755	4.269594381	0.003534993	1	-2.916737456
RBM15	0.229451407	2.913275478	4.189117014	0.0039112	1	-2.946078994
NR2C2	0.403336952	4.890756199	4.181375755	0.003949637	1	-2.948945172
CAHM	0.326811348	4.544524343	4.098546111	0.00438778	1	-2.98010136
OSBPL10	-0.232736507	5.12897687	-4.080958554	0.004487491	1	-2.986833121
DAZL	0.239450853	2.737035917	3.97094112	0.005170183	1	-3.029884955
CCDC77	0.293469104	5.265299713	3.927329613	0.005471473	1	-3.047407214
ERVK13-1	0.31901995	3.060579248	3.890672822	0.005739521	1	-3.062338799
TIFA	0.450803745	11.32066068	3.867902293	0.005913198	1	-3.071708436
MPZL1	-0.268755545	4.714281703	-3.861653092	0.005961855	1	-3.07429258
NA	-0.228137071	3.823225651	-3.779646394	0.006642326	1	-3.10871547
NA	-0.340967477	4.678404629	-3.77455323	0.006687283	1	-3.110884947
DNAJB8	0.218026079	4.027799906	3.722171948	0.007169288	1	-3.133413657
NA	-0.255084904	3.239594886	-3.710728767	0.007279519	1	-3.138388017
MUSK	0.243527715	3.559854562	3.705897863	0.007326604	1	-3.140493718
SSPN	-0.403467217	4.536543939	-3.679372178	0.007591089	1	-3.152116283
NA	0.282667222	2.897978188	3.66543832	0.007734146	1	-3.158262706
HLA-DRB4	0.268042036	3.801813944	3.599501237	0.008451805	1	-3.187735091
RNF6	0.506696707	3.976762649	3.595990818	0.008491978	1	-3.189322148
RGL3	0.201585345	2.727978576	3.589373971	0.008568263	1	-3.192318582
VPS53	0.220045397	6.008652958	3.579435233	0.008684238	1	-3.196831529
FASLG	0.497868326	7.833149306	3.575816063	0.00872689	1	-3.19847855
SIAE	-0.219525935	5.195569115	-3.557048817	0.008951718	1	-3.207050421
DTHD1	0.285845321	3.084035155	3.491447746	0.009788	1	-3.237426525
NA	0.396362043	4.684604316	3.490463582	0.00980117	1	-3.237887144
NA	-0.232134715	4.415302715	-3.471754558	0.010055185	1	-3.246671241
NA	0.233487515	4.054783801	3.462268512	0.010186676	1	-3.251145175
LOC283682	-0.244702604	3.111190482	-3.455421303	0.010282738	1	-3.254382974
CELF2	-0.286287676	3.891358346	-3.434617987	0.010580617	1	-3.264263514
TIFA	0.506709061	7.149682253	3.434519834	0.010582045	1	-3.264310287
SNX19	0.642435281	4.39137052	3.43164801	0.010623895	1	-3.265679439
BAG1	0.326609644	7.019881797	3.429426285	0.010656394	1	-3.266739509
FGFBP3	-0.22428849	3.146749852	-3.426757606	0.010695572	1	-3.268013825
NA	0.209308509	3.18573002	3.408583519	0.010966529	1	-3.276720762
CPT1A	0.227084718	4.788465808	3.398152004	0.011125374	1	-3.281740947
NA	0.181343253	4.237351223	3.378875996	0.011425433	1	-3.291060989
NA	0.244681843	3.420351531	3.377181453	0.011452223	1	-3.291883006
ZNF292	0.313517152	2.677683761	3.3744962	0.011494814	1	-3.293186506
LINC01305	0.214744108	2.922251024	3.368305143	0.011593659	1	-3.296195999
GALNT16	0.310694088	3.628612194	3.356810329	0.011779609	1	-3.301799116
NA	0.215550456	3.341652332	3.355087561	0.011807753	1	-3.302640607
