Symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
PTGS2	7.149571157	6.655253086	54.9860427	6.89E-11	3.77E-06	12.80065656
RSAD2	8.504701353	7.737958612	48.86660309	1.64E-10	4.48E-06	12.4948398
IL12B	7.078222312	6.24804135	43.31055762	3.97E-10	7.23E-06	12.12888197
PTGS2	8.013990568	7.329488457	40.77434743	6.18E-10	8.05E-06	11.92467507
ITGB8	6.368607155	6.258224797	39.80662669	7.36E-10	8.05E-06	11.83934553
HS3ST3B1	5.562165395	5.867291649	37.48957627	1.14E-09	1.04E-05	11.61612705
MMP1	6.359190638	6.354881437	36.03552864	1.53E-09	1.19E-05	11.46088445
GBP5	4.677628495	7.257747556	34.44729543	2.12E-09	1.45E-05	11.27620961
ISG20	5.850962976	7.114932027	33.62914816	2.53E-09	1.54E-05	11.17434221
IFIT2	4.675555695	7.962495923	33.15079091	2.81E-09	1.54E-05	11.11251045
MX2	5.721967518	8.338996567	31.3981203	4.18E-09	1.86E-05	10.87053878
MX1	6.096423773	10.09139039	31.28113513	4.29E-09	1.86E-05	10.85347433
IFIT1	5.767830953	9.457331792	31.16536891	4.41E-09	1.86E-05	10.83646955
OAS3	4.282196206	9.132105675	30.60383526	5.04E-09	1.97E-05	10.75228547
RSAD2	8.37897982	8.213256609	30.00750387	5.82E-09	2.00E-05	10.65969612
ISG15	4.610919808	10.78818491	29.98239149	5.85E-09	2.00E-05	10.65572282
EPSTI1	5.049208735	8.304725836	29.66631042	6.32E-09	2.03E-05	10.60518684
GBP5	4.370156855	5.908945042	29.01627063	7.43E-09	2.11E-05	10.49811899
IFI44L	7.153235831	6.914656134	28.98761832	7.49E-09	2.11E-05	10.49330003
CMPK2	6.32595909	8.810768403	28.86967225	7.71E-09	2.11E-05	10.47337252
STAT1	3.013699609	9.458853913	28.09366939	9.41E-09	2.45E-05	10.33854712
GCH1	5.792210347	8.193009988	27.68828104	1.05E-08	2.51E-05	10.26545949
G0S2	6.655581455	8.897979282	27.65207568	1.06E-08	2.51E-05	10.25884055
IDO1	7.946409872	8.657962429	27.48932674	1.10E-08	2.51E-05	10.22889917
CXCL1	6.44408987	7.542909374	26.88715663	1.30E-08	2.83E-05	10.11538158
IFIT3	4.212087332	9.88116831	26.50297589	1.44E-08	3.03E-05	10.0406383
IRF7	3.83588258	8.11265277	26.09525191	1.61E-08	3.26E-05	9.959262811
MARCKS	3.301045736	10.25177774	25.90644997	1.70E-08	3.32E-05	9.920845917
CCL20	7.276655002	7.2037722	25.68144626	1.81E-08	3.41E-05	9.874441532
GBP4	3.484711894	5.347071874	25.37178914	1.98E-08	3.52E-05	9.809451583
EREG	5.517697088	6.517317435	25.33484283	2.00E-08	3.52E-05	9.801608867
NA	3.377776462	11.75016171	24.97159287	2.22E-08	3.79E-05	9.723475702
GBP1	3.586693417	9.945488477	24.6969227	2.41E-08	3.99E-05	9.663136911
OAS2	3.595892182	7.016156508	24.5654008	2.50E-08	4.02E-05	9.633852474
OASL	3.52134204	7.655618562	24.00581146	2.96E-08	4.62E-05	9.506338977
CLEC4E	2.396273665	5.29524185	23.51248785	3.44E-08	5.22E-05	9.389874764
IL1B	6.912691034	9.868820882	22.85141268	4.23E-08	6.25E-05	9.22755728
CD80	4.091525029	7.453579465	22.63080456	4.54E-08	6.53E-05	9.171732585
NA	2.357502403	11.33198312	22.52226002	4.70E-08	6.59E-05	9.143952127
TNFRSF9	3.639430908	5.914800309	22.25582942	5.13E-08	6.87E-05	9.074871217
SP110	2.690425478	8.804171949	22.22699705	5.17E-08	6.87E-05	9.067318579
SLAMF7	2.190269661	9.589024408	22.16570366	5.28E-08	6.87E-05	9.051212352
RPS6KA2	-2.131757996	6.461212191	-22.02548814	5.53E-08	6.91E-05	9.014107849
SLC7A11	3.050757204	7.601431315	22.00760124	5.56E-08	6.91E-05	9.00934837
IL1A	6.25581962	7.17120788	21.87058272	5.82E-08	7.07E-05	8.972691363
MCOLN2	3.352449977	6.832567846	21.66794074	6.22E-08	7.40E-05	8.917828576
STAP1	3.154519713	5.659640188	21.4617258	6.67E-08	7.76E-05	8.861189906
CCL4	5.107788569	10.51100588	21.1083624	7.52E-08	8.57E-05	8.762195146
TNFSF15	4.720578239	6.258024134	20.93199082	8.00E-08	8.92E-05	8.711846974
SEMA4D	2.842557567	7.010253805	20.78900765	8.40E-08	9.19E-05	8.670562277
IL23A	5.625571207	7.930787373	20.72929139	8.58E-08	9.20E-05	8.653194453
STK39	-1.982579386	5.218463177	-20.58682591	9.02E-08	9.48E-05	8.611458168
INHBA	3.672319612	10.20332112	20.44928507	9.47E-08	9.77E-05	8.57075686
OAS1	3.542414677	9.07965305	20.26516583	1.01E-07	0.000102354	8.515635852
TNFSF10	5.106977841	7.222532978	20.17123828	1.05E-07	0.000103929	8.487231946
ISG20	5.130668211	7.109899868	20.04958175	1.09E-07	0.00010507	8.450153723
DDX58	2.210487564	7.454487264	20.04168695	1.10E-07	0.00010507	8.447736214
LOC731424	3.661761669	6.77766856	19.91540552	1.15E-07	0.000105776	8.408877328
NA	2.889383407	10.12672641	19.85280972	1.17E-07	0.000105776	8.389482476
SP110	2.624080946	8.835974142	19.83175547	1.18E-07	0.000105776	8.382939011
IER3	3.03600057	9.992409491	19.79817273	1.20E-07	0.000105776	8.372480936
NA	5.309298045	5.37012602	19.71604052	1.23E-07	0.000105776	8.346795395
HERC5	4.882785252	7.944810495	19.70220499	1.24E-07	0.000105776	8.342453322
MCOLN2	3.621832042	6.848866959	19.67441791	1.25E-07	0.000105776	8.333719446
TAP1	2.223183608	9.884175093	19.64746276	1.26E-07	0.000105776	8.325230025
TNFAIP6	7.534437371	8.900976115	19.57892069	1.30E-07	0.000105776	8.303567114
NA	5.682445352	6.54075873	19.54244417	1.31E-07	0.000105776	8.291994032
MARCKS	3.629513289	7.698622392	19.54057644	1.32E-07	0.000105776	8.291400611
ZC3H12A	2.88785558	7.996736049	19.23688107	1.47E-07	0.00011674	8.193814141
CCR7	5.155544552	6.268975632	19.0379493	1.59E-07	0.000123207	8.12869145
MCL1	1.774928004	7.648796939	19.01849913	1.60E-07	0.000123207	8.122272362
IFI35	2.999700456	9.171712828	18.95698559	1.64E-07	0.000123994	8.101909865
HERC6	2.697282874	7.230043501	18.91322265	1.67E-07	0.000123994	8.087366277
