Symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
CSF2	4.153836678	7.673594757	35.13360673	1.29E-09	5.54E-05	10.17278243
IL1B	6.351854133	9.907754064	30.92449919	3.35E-09	5.54E-05	9.79712416
LOC731424	3.720238358	7.404876944	30.30127612	3.90E-09	5.54E-05	9.731432137
C11orf96	5.153396538	6.165488963	30.14995455	4.05E-09	5.54E-05	9.715029417
SGPP2	4.161517088	6.512100876	26.98107181	9.28E-09	8.79E-05	9.325596346
SERPINB2	7.611753653	7.555558359	26.84084501	9.65E-09	8.79E-05	9.306106856
TNFSF15	5.112055038	7.615618034	25.98049649	1.23E-08	9.60E-05	9.181763544
LOC731424	3.536480923	6.541959753	25.27375133	1.51E-08	0.000103175	9.073136176
IL1B	6.362809624	10.05440998	24.07793791	2.16E-08	0.000131519	8.874752506
TNFSF15	4.616692853	10.09307123	23.64912974	2.47E-08	0.00013528	8.798788349
NA	4.682554223	6.664183539	23.31274052	2.75E-08	0.000136772	8.737292679
NAMPT	2.876952611	7.135888548	23.04169452	3.00E-08	0.000136772	8.686481222
GCH1	3.707961215	8.861996959	22.21428318	3.94E-08	0.000165622	8.524056045
NA	2.780134012	11.34188902	20.98320135	6.01E-08	0.000213462	8.260258532
PTX3	2.831977036	10.22074181	20.9559753	6.07E-08	0.000213462	8.25410277
SGPP2	3.922580656	5.256762856	20.87370466	6.25E-08	0.000213462	8.235412838
CCL20	7.711491643	7.822495933	20.63968367	6.79E-08	0.000218398	8.181511147
EHD1	3.543260714	7.934110019	20.33453358	7.58E-08	0.00022969	8.109549604
IL6	6.529038377	8.375098055	20.19377264	7.98E-08	0.00022969	8.075699331
ZC3H12A	2.857497707	8.397000906	19.93198215	8.79E-08	0.000240316	8.011614587
CCL4	4.026200293	11.74172517	19.66648992	9.71E-08	0.000252725	7.945086694
CXCL3	5.097303984	8.572212935	19.42945073	1.06E-07	0.000252871	7.884343728
IER3	2.952083194	9.956755926	19.42436208	1.06E-07	0.000252871	7.883025552
CXCL1	6.235497301	7.784124886	19.19932855	1.16E-07	0.000257764	7.824126367
MARCKS	3.162186648	8.505815009	19.15655585	1.18E-07	0.000257764	7.812795835
NAMPT	2.937814146	8.621920038	18.93864305	1.28E-07	0.000269695	7.75438679
DIRAS2	1.930429459	4.203944219	18.12110943	1.78E-07	0.000359607	7.524645369
HS3ST3B1	4.090465184	5.647252503	17.89982397	1.94E-07	0.000379617	7.459439141
PTGS2	7.044939684	7.000568856	17.75808892	2.06E-07	0.000381323	7.416967037
RNF125	-2.674004105	6.715256326	-17.72211605	2.09E-07	0.000381323	7.406098274
TRAF1	3.325903217	7.706441385	17.53978853	2.26E-07	0.000393581	7.350447179
TNFAIP3	1.725378369	9.156889143	17.49204528	2.30E-07	0.000393581	7.335717716
EREG	3.78323452	6.842614306	17.34910651	2.45E-07	0.000399545	7.291223904
GBP1	2.086464752	9.892773125	17.29918667	2.50E-07	0.000399545	7.275544021
DNAAF1	3.586773582	7.432634599	17.24496225	2.56E-07	0.000399545	7.258428622
POU2F2	1.741154795	7.414548519	16.82226467	3.07E-07	0.000450396	7.121967748
SLAMF7	2.285635968	10.84188084	16.80136991	3.10E-07	0.000450396	7.115079678
TNF	4.940809606	9.124500774	16.7453735	3.17E-07	0.000450396	7.096552636
IL1A	6.466196252	7.195338867	16.7181091	3.21E-07	0.000450396	7.08749616
GBP1	2.169729274	9.285034721	16.55272279	3.46E-07	0.000472388	7.032052738
KLF4	-2.32520991	6.997912936	-16.42270633	3.66E-07	0.000488323	6.987847953
CXCL10	3.253914715	6.570595344	16.13242084	4.17E-07	0.000543308	6.887141287
CCL1	4.058531157	8.041284722	16.02644965	4.38E-07	0.000556937	6.8496705
MARCKS	2.657328851	10.6232944	15.89786077	4.65E-07	0.000577372	6.803683659
NA	2.080806256	12.3571782	15.78121688	4.90E-07	0.000595826	6.761469854
TNFAIP6	5.897569347	9.174685056	15.64890349	5.22E-07	0.000619932	6.713001957
G0S2	4.556944688	8.525563367	15.60088993	5.33E-07	0.000620542	6.695258888
INHBA	2.900899464	10.21098306	15.19384149	6.47E-07	0.000737212	6.541436945
SLC2A6	2.420737542	8.189077777	15.11995071	6.71E-07	0.000748354	6.512847324
CXCL2	4.396068652	9.138258413	15.02010017	7.04E-07	0.000769752	6.473880152
STAT4	3.231310757	7.278047456	14.77898372	7.92E-07	0.000849282	6.378176518
IL12B	7.098164512	6.281319483	14.73242192	8.11E-07	0.000852346	6.359429234
SLAMF7	2.497960627	9.109770392	14.59876891	8.66E-07	0.0008904	6.305129357
NFKB1	1.909390437	9.100124705	14.56884363	8.79E-07	0.0008904	6.292871646
SLAMF1	2.326003573	5.933023579	14.48945159	9.15E-07	0.000909729	6.260173032
TNFAIP3	1.588261544	10.09764902	14.45119306	9.33E-07	0.000910864	6.244322469
KYNU	1.779086591	5.30929436	14.24124194	1.04E-06	0.000995528	6.156244136
LYN	1.372210759	9.886488778	14.04050373	1.15E-06	0.001062088	6.070264677
TNFAIP6	6.13082945	9.019947156	14.01809953	1.16E-06	0.001062088	6.060559504
SLC7A11	1.558070118	8.257295931	14.01595569	1.17E-06	0.001062088	6.059629666
CLEC4E	2.028540743	5.723730139	13.96593465	1.20E-06	0.001072189	6.037876558
MARCKS	3.381696528	9.032704863	13.91459962	1.23E-06	0.001083514	6.015436517
