Symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
TNFAIP3	3.482431793	10.63462179	38.12443798	4.15E-07	0.009925601	2.509612712
CXCL1	4.882374797	10.18422347	31.10256152	1.09E-06	0.013049959	2.421238693
RCAN1	2.089309022	12.44817059	21.41736403	6.38E-06	0.049249562	2.148053583
CXCL2	3.406577048	10.36938054	20.29473236	8.23E-06	0.049249562	2.09260511
CXCL1	4.34811893	9.786561668	18.78017504	1.19E-05	0.056292208	2.003990589
CXCL8	4.493600495	8.930854214	18.10135157	1.41E-05	0.056292208	1.958088023
NA	1.858534645	8.816279551	17.130106	1.83E-05	0.062542114	1.884428409
CCL20	4.943900051	11.08984941	14.78634143	3.65E-05	0.089262384	1.65705997
CXCL3	4.324545228	9.372690062	14.23592599	4.35E-05	0.089262384	1.590708047
NA	1.28948367	8.868555141	14.18470717	4.43E-05	0.089262384	1.584232184
ELF3	1.789395382	9.215585915	14.05818204	4.62E-05	0.089262384	1.568004038
CYP7A1	-1.470210539	6.810109018	-14.04450043	4.64E-05	0.089262384	1.56622928
FERMT2	1.24708989	10.2337517	13.91264997	4.85E-05	0.089262384	1.548922577
BIRC3	2.493220985	8.003266502	13.48761858	5.60E-05	0.095795229	1.490526178
ICAM1	2.735177534	9.489054048	13.12074328	6.37E-05	0.09934193	1.436711229
NFKB1	1.315685084	9.481112433	13.00458491	6.64E-05	0.09934193	1.418972031
CXCL10	2.574023661	7.032277018	12.78720127	7.18E-05	0.09939942	1.384823823
BCL3	1.751663541	9.59007667	12.67785031	7.47E-05	0.09939942	1.367163159
NFKBIA	2.292614877	11.51443738	12.27989398	8.67E-05	0.09996842	1.300018808
REL	1.884227855	8.233725906	12.21453355	8.88E-05	0.09996842	1.288542286
SDC4	1.314539246	12.94348615	12.12740589	9.18E-05	0.09996842	1.273039001
TRIM16	1.082797656	8.685560991	12.12672612	9.19E-05	0.09996842	1.272917114
TRIM31	1.073177059	8.374375527	11.93437542	9.89E-05	0.102979446	1.237837512
NA	2.233067139	10.21579263	11.51523695	0.000116739	0.115748753	1.157139285
IRAK2	1.782430308	9.078999778	11.33460888	0.000125591	0.115748753	1.120455802
SOD2	1.353039771	9.848465451	11.33240364	0.000125704	0.115748753	1.120000531
ARRDC3	1.327343456	9.078623044	11.20124395	0.000132647	0.11761878	1.092593648
TIFA	1.560515776	9.651419656	10.93920657	0.000147954	0.126506079	1.035843129
DST	1.043703334	8.715512517	10.79094674	0.000157556	0.130070693	1.002507464
ACKR3	1.448501093	8.664498065	10.71144714	0.000163013	0.130089977	0.984253742
ADM	1.205375972	10.4254741	10.61834919	0.000169696	0.131054239	0.962533677
RELB	1.031961352	8.209079315	10.49125725	0.000179358	0.134187692	0.932269901
NA	2.147399152	7.103367	10.31328945	0.000194025	0.14076186	0.888666323
NA	1.045423184	8.379356336	10.20236157	0.000203897	0.143573644	0.860741985
FSTL3	0.964289374	9.59169807	10.12354233	0.00021128	0.144521825	0.840542502
NA	1.157138077	12.05940753	9.852902603	0.0002392	0.159074657	0.768839434
CXCL5	0.849626808	4.181565948	9.26756825	0.000316339	0.20311109	0.600412082
IFNLR1	0.853932497	9.20189393	9.229095166	0.000322385	0.20311109	0.588656901
EREG	0.885225451	11.87821402	9.028306792	0.000356286	0.213731225	0.525847263
ADRB1	0.872711739	5.321762627	9.023788257	0.000357097	0.213731225	0.524405063
BAZ1A	1.174479687	8.479339187	8.648402287	0.000432918	0.252792431	0.399969111
NFKB2	1.085152128	8.12620558	8.520613867	0.000463039	0.263943505	0.355440121
SERPINA3	1.12397658	7.500189555	8.256140041	0.000533756	0.281537434	0.259566391
NFKBIZ	1.984681391	11.34678323	8.242937285	0.000537613	0.281537434	0.25464475
NEURL3	0.888294357	8.76645156	8.23887927	0.000538806	0.281537434	0.253129381
TNFRSF9	1.036555592	6.815029974	8.231630946	0.000540943	0.281537434	0.250419564
NA	0.781719096	5.844992839	8.175267387	0.000557916	0.284193085	0.229211298
NEAT1	1.380907076	8.841011977	8.078340333	0.000588621	0.287058568	0.192167046
HS3ST3B1	1.346200194	4.908100224	8.05070369	0.000597744	0.287058568	0.181470035
NFKBID	1.589137183	8.438226552	8.036426469	0.000602523	0.287058568	0.175920245
BTG3	0.714707503	9.534017058	8.009962096	0.000611503	0.287058568	0.165590242
NA	0.745619289	12.96693445	7.970568253	0.000625169	0.287830087	0.150109597
IRAK2	0.750382122	6.437230103	7.89741859	0.000651527	0.294305938	0.121030861
NA	2.514622358	6.468490364	7.785398947	0.000694518	0.302573692	0.075646237
ZC3H12C	1.357628118	9.701385501	7.783922955	0.000695107	0.302573692	0.07504124
EFNA1	1.119883898	12.53151695	7.694483541	0.000731922	0.312909786	0.038035452
IFNGR2	0.69087796	11.96822903	7.602292991	0.000772338	0.324395332	-0.000830102
