Symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
CXCL1	3.787892572	9.240532952	46.77071433	2.25E-07	0.005394709	4.043692104
CXCL1	4.117963794	9.669743543	35.3176773	8.25E-07	0.009871076	3.863514657
PTGS2	1.974260354	5.382423235	25.00868283	4.05E-06	0.024181989	3.488029995
NA	2.403142209	6.937468446	24.71863369	4.27E-06	0.024181989	3.471499604
RCAN1	1.960060785	11.80420676	23.83350159	5.05E-06	0.024181989	3.417980711
TNFAIP3	3.159312356	10.37902258	22.28823742	6.87E-06	0.027422809	3.312048703
CXCL10	2.806095319	7.229583736	21.47921046	8.14E-06	0.027855247	3.249276984
IRAK2	2.046861551	9.023484766	19.73708079	1.20E-05	0.035928554	3.093543872
REL	1.382627951	7.779223738	17.64963788	2.00E-05	0.05327874	2.860725558
SAMD4A	1.381101191	7.778460662	16.90154237	2.44E-05	0.056454205	2.761985665
SOD2	1.716423871	9.989910843	16.67859315	2.59E-05	0.056454205	2.730743164
NA	2.112828552	6.351834444	16.05476432	3.09E-05	0.061581956	2.638514212
NFKBIA	2.249533225	11.38742773	14.9995596	4.21E-05	0.077482439	2.464662254
ICAM1	2.765067523	9.204943883	14.64658215	4.69E-05	0.078371085	2.400929551
CXCL3	4.111478375	9.349751723	14.37618663	5.10E-05	0.078371085	2.350038502
EREG	1.13491473	11.99919422	14.29409244	5.24E-05	0.078371085	2.334218435
NA	1.498968846	11.4351839	14.01762356	5.72E-05	0.080602071	2.279631974
NA	2.606644406	10.12313184	13.45018658	6.90E-05	0.091816587	2.160936278
NFKB2	1.382724794	7.847970977	13.07294172	7.85E-05	0.098945695	2.076716834
CXCL2	3.171232026	10.14373742	12.88142849	8.39E-05	0.099647615	2.032232334
GJA1	1.198115174	9.362981328	12.72140739	8.88E-05	0.099647615	1.994131855
ACKR3	1.408236695	8.704138646	12.62594395	9.19E-05	0.099647615	1.970988237
RND1	1.972715512	7.985064029	12.48832927	9.66E-05	0.099647615	1.937068647
PELI1	1.021946335	9.518478958	12.33052464	0.000102278	0.099647615	1.89734441
BIRC3	1.662606827	7.919690718	12.28354449	0.000104055	0.099647615	1.885343734
PPP4R2	0.963616177	11.11498783	12.0339806	0.000114149	0.105109546	1.820217666
IFNLR1	1.297509802	9.293006178	11.89686429	0.000120199	0.106581293	1.78342387
PIK3AP1	1.017332479	7.352795928	11.76733005	0.000126275	0.106695277	1.747985108
CCRN4L	0.96049218	5.868281291	11.47213528	0.000141568	0.106695277	1.664673773
CXCL8	5.368321179	8.475282971	11.46443701	0.000141995	0.106695277	1.662452472
RELB	1.098426966	8.068741639	11.3208694	0.00015027	0.106695277	1.62056128
ZFP36	1.479409083	12.15818286	11.27335461	0.000153136	0.106695277	1.606500179
ZC3H12A	1.611465346	8.932269808	11.19158417	0.000158225	0.106695277	1.582068735
FAM217B	-1.491902475	9.65101887	-11.13421237	0.000161918	0.106695277	1.564749184
FERMT2	1.128896005	10.33479393	11.11039299	0.000163482	0.106695277	1.557514989
NFKB1	1.205955637	9.307606261	11.08174476	0.000165387	0.106695277	1.548780162
NA	1.444331311	9.457897157	11.05298451	0.000167327	0.106695277	1.53997358
MGAT4A	0.895769482	9.299973271	11.02340125	0.000169351	0.106695277	1.530875471
NA	1.63332997	8.467155776	10.78711853	0.000186624	0.114563254	1.456744435
SIK2	0.834482651	9.866643037	10.50347231	0.000210262	0.124182591	1.364199228
PMAIP1	1.845495534	7.184432231	10.46848479	0.000213422	0.124182591	1.352505927
MAP3K8	0.831421637	8.045011197	10.42044492	0.000217855	0.124182591	1.336348661
TIFA	1.272553658	9.398271756	10.32644166	0.000226856	0.124418609	1.304388336
TNFRSF9	1.788962671	6.708348725	10.24001949	0.00023553	0.124418609	1.274597888
MAP3K2	-0.802926939	7.817525937	-10.22162054	0.000237428	0.124418609	1.268204574
ABTB2	1.227936025	8.889331211	10.1617127	0.000243738	0.124418609	1.247262217
NA	0.845795039	13.07061849	10.12966398	0.000247197	0.124418609	1.235979405
ODC1	0.814203875	12.48511636	10.10907183	0.00024945	0.124418609	1.228700513
LTB	0.968421217	7.639980976	10.02087731	0.000259388	0.125207412	1.197263214
FRMD4B	0.967921706	7.628271738	9.944997124	0.000268322	0.125207412	1.169870969
