Symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
IFIT5	-1.049473764	8.099343623	-7.454356874	0.000235833	0.999997623	-3.968033705
IFIT3	-1.36864675	10.12711843	-6.864365	0.000377402	0.999997623	-3.98277001
CXCL9	-2.272452251	11.23180167	-6.850309102	0.000381802	0.999997623	-3.983160042
LOX	-1.003669317	7.109363848	-6.633578385	0.000457628	0.999997623	-3.989433149
NA	-1.457632352	6.103325832	-6.123023899	0.000714572	0.999997623	-4.006371093
PGM3	-0.975686621	7.3190322	-4.97847816	0.002163462	0.999997623	-4.059327429
NA	-1.359316433	8.866816959	-4.94206134	0.002247223	0.999997623	-4.061457152
HIST1H3H	1.001872903	7.493232567	4.732640183	0.00280578	0.999997623	-4.074367501
GBP1	-1.135926992	11.42836894	-4.660706153	0.003032379	0.999997623	-4.079076666
CXCL11	-2.293191988	11.02052343	-4.580679507	0.003308901	0.999997623	-4.084490589
NA	-0.652150353	4.679318216	-4.562256273	0.00337649	0.999997623	-4.085763777
CD274	-1.248577267	11.29913436	-4.551506215	0.003416642	0.999997623	-4.086511412
CREM	-0.950042611	9.718616107	-4.548338951	0.003428573	0.999997623	-4.086732352
BRICD5	0.676502199	6.337136394	4.51452471	0.003558905	0.999997623	-4.089110226
ACRC	-1.146416198	6.861424678	-4.463544122	0.003766008	0.999997623	-4.092762147
CUL1	-0.704527421	8.154831364	-4.400682264	0.004040156	0.999997623	-4.097378552
ITGB3	-0.702129037	5.815502003	-4.33016863	0.004374517	0.999997623	-4.102710373
CXCL11	-2.511750272	10.50326492	-4.236727366	0.004866129	0.999997623	-4.110035095
ATG13	-0.740757334	6.836166897	-4.150035491	0.005377783	0.999997623	-4.117105682
KHNYN	-0.60848846	8.405416318	-4.114530146	0.005604384	0.999997623	-4.120080501
ZNFX1	-0.575897148	8.414050466	-4.085115435	0.005800165	0.999997623	-4.122580614
CYB5D1	-0.666417763	7.657691279	-4.033645068	0.006161286	0.999997623	-4.127034366
MGAT5	-0.5349641	9.978423914	-4.027783193	0.006203973	0.999997623	-4.127548059
NA	0.99228812	6.342333893	4.022443992	0.006243139	0.999997623	-4.128017111
IL13RA2	-2.162634889	7.436340448	-3.981476752	0.006552944	0.999997623	-4.131653229
COBLL1	-0.590311038	5.994609003	-3.930858893	0.006959502	0.999997623	-4.136237967
NA	-0.817145704	5.722756659	-3.920405651	0.007046897	0.999997623	-4.137197647
HIPK2	-0.547450627	7.739093228	-3.902600974	0.007198564	0.999997623	-4.138842505
TERF2	-0.583534149	6.453159757	-3.837790416	0.007781925	0.999997623	-4.144940679
ZHX2	-0.584565017	9.296146854	-3.834739692	0.007810644	0.999997623	-4.145232065
CEMIP	-1.209683071	8.456520881	-3.825621562	0.007897182	0.999997623	-4.146105322
NA	-0.495398698	7.440049958	-3.773721529	0.008410373	0.999997623	-4.151143562
ASPHD2	-0.596229724	7.392465112	-3.756087688	0.008593029	0.999997623	-4.152881892
ASNS	-0.779134779	9.592617662	-3.745091182	0.008709147	0.999997623	-4.153972804
MYOF	-0.506195558	7.837619842	-3.711665304	0.00907286	0.999997623	-4.157321585
DDX58	-0.655464165	6.153285062	-3.708506306	0.00910809	0.999997623	-4.157640637
CCNG2	-0.74979823	9.663426564	-3.693081399	0.009282292	0.999997623	-4.159204931
MIS12	-0.784920298	9.179558904	-3.680889046	0.009422583	0.999997623	-4.160448964
SLC7A1	-0.916122282	10.02777974	-3.664633254	0.009613275	0.999997623	-4.162118059
MIR210HG	-0.935184238	5.435082111	-3.645740436	0.009840254	0.999997623	-4.164073021
BRD4	-0.580185377	6.981570384	-3.645347426	0.009845037	0.999997623	-4.164113862
NA	0.81486472	8.924879116	3.611327905	0.010268985	0.999997623	-4.167676035
MCCC2	-0.551996488	8.74990069	-3.60980255	0.010288458	0.999997623	-4.167837008
CKS2	0.573705684	11.20551297	3.581872672	0.01065229	0.999997623	-4.170803701
SLC45A4	-0.561293449	8.309249816	-3.577897736	0.010705209	0.999997623	-4.171228889
CIART	-0.583716262	6.129359203	-3.570371684	0.010806196	0.999997623	-4.172035968
NA	-1.248062326	10.6795283	-3.563891374	0.01089399	0.999997623	-4.172733047
NA	0.531543223	5.58978122	3.55594982	0.011002649	0.999997623	-4.173590023
PRRX1	-1.362707488	8.333272172	-3.539208833	0.011235622	0.999997623	-4.175406374
CCDC109B	-0.857754568	9.042272488	-3.52313119	0.011464465	0.999997623	-4.177163367
TACSTD2	-1.45561374	7.704229902	-3.519259608	0.011520332	0.999997623	-4.177588316
TNFRSF9	-0.723705839	6.65214303	-3.511754062	0.011629489	0.999997623	-4.178414189
GZMB	-1.29249334	9.27321315	-3.510887121	0.01164217	0.999997623	-4.178509758
TNFAIP8	-0.711930864	10.96192293	-3.49309521	0.011905796	0.999997623	-4.18047913
MAMLD1	-0.496901165	7.680758497	-3.488796329	0.01197047	0.999997623	-4.180957276
NECAP2	-0.582796948	8.370074738	-3.482377595	0.012067753	0.999997623	-4.181672882
LIF	-1.259373867	9.597932239	-3.478619903	0.012125106	0.999997623	-4.182092749
NA	-0.495217002	5.654884962	-3.474961865	0.012181225	0.999997623	-4.182502146
OAS2	-0.706157715	5.504067159	-3.456301004	0.012471967	0.999997623	-4.184600835
IFIT2	-0.915992686	9.304094466	-3.447906788	0.01260522	0.999997623	-4.185550483
LGALS8	-0.781352809	9.57159863	-3.420934684	0.013044035	0.999997623	-4.188625529
NA	0.494167785	8.295879785	3.412111641	0.013191182	0.999997623	-4.189639305
SAMD9	-0.566924867	5.489151148	-3.407146904	0.013274779	0.999997623	-4.190211473
NA	-0.563723636	9.579944635	-3.37729684	0.013789756	0.999997623	-4.193677759
WNT9A	-0.466059804	6.895503218	-3.375768987	0.013816695	0.999997623	-4.193856391
PHEX	-0.530925398	4.082342547	-3.365006095	0.014008102	0.999997623	-4.195118118
MARK4	0.450598844	7.205855565	3.364335435	0.014020124	0.999997623	-4.195196934
RARA	0.906258889	7.051811312	3.360387699	0.014091121	0.999997623	-4.195661339
DDX58	-0.863643564	7.41763916	-3.34279635	0.014412287	0.999997623	-4.197740442
NA	-0.435964353	7.390652439	-3.321251638	0.014816546	0.999997623	-4.200308454
ZEB2	-0.748059959	7.029677782	-3.315910143	0.014918673	0.999997623	-4.20094884
LRRC8C	-0.685018176	8.541269744	-3.28602254	0.015504441	0.999997623	-4.204559391
CXCL16	-0.574079215	8.480610157	-3.280971532	0.015605886	0.999997623	-4.205174181
ago-02	-0.83511749	8.588786885	-3.279320563	0.0156392	0.999997623	-4.205375421
EIF5	-0.620235665	9.91277189	-3.275431196	0.01571799	0.999997623	-4.205850069
ZXDB	-0.658719168	7.822032002	-3.27507202	0.015725288	0.999997623	-4.205893942
RNF145	0.903876155	6.413851339	3.273986553	0.015747365	0.999997623	-4.206026572
TRIM27	-0.565219722	8.49637384	-3.270418292	0.015820177	0.999997623	-4.206463002
NA	0.408461148	4.783349798	3.253546787	0.016169441	0.999997623	-4.208535624
BYSL	-0.533776799	7.107629031	-3.240237017	0.016450887	0.999997623	-4.210181315
PAPD5	0.474098222	9.010553876	3.23615816	0.0165382	0.999997623	-4.210687529
NA	0.671782292	5.982389663	3.224391669	0.016792909	0.999997623	-4.21215279
RIBC2	0.438098893	5.152542866	3.224090904	0.016799475	0.999997623	-4.212190341
NA	-0.422148099	7.449189635	-3.222138062	0.016842177	0.999997623	-4.21243427
BNIP3	-0.881885102	10.23318008	-3.209960511	0.017111131	0.999997623	-4.21395997
GCLM	-0.626085343	9.551996531	-3.207531796	0.017165328	0.999997623	-4.214265208
DCTN5	-0.540232283	6.494517538	-3.201669568	0.017296911	0.999997623	-4.215003271
FAM195A	0.521949256	8.554827206	3.198567828	0.017366975	0.999997623	-4.215394531
NA	0.456858975	7.357949875	3.194200539	0.017466148	0.999997623	-4.215946308
KIAA0513	-0.458433497	4.347912243	-3.193841145	0.017474337	0.999997623	-4.215991761
ARNTL2	-1.083945385	7.28198819	-3.192173902	0.017512378	0.999997623	-4.216202708
NA	0.44008713	5.816678284	3.189100735	0.017582734	0.999997623	-4.216591933
NA	-0.546256272	7.831399403	-3.188676744	0.017592465	0.999997623	-4.216645673
NKRF	0.533051234	8.645758731	3.172531997	0.01796737	0.999997623	-4.218699196
NA	-0.623747077	8.873226397	-3.166909058	0.018099969	0.999997623	-4.219417717
EXOC8	-0.47989229	8.860932464	-3.159756738	0.018270168	0.999997623	-4.220334148
WARS	-1.132503629	10.33201407	-3.158244268	0.018306381	0.999997623	-4.220528298
DIEXF	-0.618192152	7.320636391	-3.151314781	0.018473289	0.999997623	-4.221419402
CXXC5	0.833321126	9.089529128	3.14509251	0.018624568	0.999997623	-4.222221792
EPN3	0.399785445	5.812914501	3.136676957	0.018831309	0.999997623	-4.22331038
GPR171	-1.115639218	8.932215822	-3.131497232	0.01895979	0.999997623	-4.223982327
GFER	0.482108784	6.847664082	3.12901174	0.019021779	0.999997623	-4.224305283
IL2RB	-0.557398213	8.3017891	-3.128343059	0.019038493	0.999997623	-4.224392227
C2orf42	-0.505465609	6.594545707	-3.126238341	0.019091207	0.999997623	-4.224666048
YPEL4	0.461255733	5.63266132	3.121397832	0.019213039	0.999997623	-4.225296717
C19orf54	0.475289762	7.392605043	3.118360791	0.019289909	0.999997623	-4.22569307
DDX50	-0.490834891	9.674364879	-3.115234001	0.019369397	0.999997623	-4.226101666
