Symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
CXCL9	-1.701267948	11.39299047	-6.300385861	0.000592607	0.999979248	-4.029399944
IL7R	-1.210705305	10.31194195	-6.179551153	0.000660132	0.999979248	-4.03340768
GPR171	-1.643149911	8.635435635	-5.074508665	0.001916388	0.999979248	-4.080482259
CREM	-0.812115283	9.729542194	-5.06961407	0.001926113	0.999979248	-4.080741721
CEMIP	-1.541452424	8.24307879	-4.912391883	0.002270095	0.999979248	-4.08936788
NA	0.989968661	9.116245279	4.899072645	0.002302273	0.999979248	-4.090125422
LOX	-1.154538623	6.900052458	-4.898024556	0.002304827	0.999979248	-4.090185215
NA	0.793096941	9.170407269	4.839866151	0.002451647	0.999979248	-4.093545372
AGMAT	0.954295073	8.580941683	4.758853207	0.002673975	0.999979248	-4.098367467
PF4	0.623851177	6.490853178	4.642878887	0.003032666	0.999979248	-4.105569516
CUL1	-0.724029851	8.285590478	-4.527056864	0.003445505	0.999979248	-4.11313185
PIK3R3	-0.749869579	7.047984515	-4.483620078	0.003616242	0.999979248	-4.116067569
CIART	-0.63552812	5.983440172	-4.410395993	0.00392588	0.999979248	-4.121144199
FLT1	-0.757336762	9.445998587	-4.407827002	0.003937268	0.999979248	-4.121325275
ZHX2	-0.617192472	9.587136411	-4.334785948	0.004276993	0.999979248	-4.126559765
CXXC5	0.691958205	9.43759505	4.286421476	0.004519888	0.999979248	-4.130119274
NXPE4	0.666096904	9.286128414	4.17274324	0.00515359	0.999979248	-4.138790085
NA	0.954182856	8.892236346	4.073094341	0.005791005	0.999979248	-4.146756773
HOXD10	0.817302382	8.508336743	4.011482132	0.006228644	0.999979248	-4.151860985
CTLA4	-1.607847764	6.69974475	-4.009561112	0.006242866	0.999979248	-4.152022378
HILPDA	0.708307489	10.25395436	3.980754837	0.006460505	0.999979248	-4.154459039
NHSL1	0.746968346	8.017617512	3.980032386	0.00646607	0.999979248	-4.15452055
IL2RB	-0.735090632	8.440819399	-3.957650732	0.006641139	0.999979248	-4.156435944
GBP5	-0.726426956	7.084697985	-3.948644288	0.006713062	0.999979248	-4.157212075
ZNF614	-0.576781253	5.057774107	-3.939101666	0.006790209	0.999979248	-4.158037795
IFFO2	0.634059116	7.331043135	3.916442304	0.006977356	0.999979248	-4.160012538
MIS12	-0.880428049	9.020395583	-3.882515578	0.007268313	0.999979248	-4.16300651
RARA	0.761666325	6.881104345	3.858264845	0.007484502	0.999979248	-4.165174326
ABHD17B	0.546087045	10.65915056	3.847020751	0.007587142	0.999979248	-4.16618738
GZMB	-0.91973868	9.351833061	-3.830565753	0.007740162	0.999979248	-4.167679039
BCL10	0.887992562	9.967086338	3.821032465	0.00783037	0.999979248	-4.168548222
GBP1	-0.761614104	11.54752783	-3.789080663	0.008141277	0.999979248	-4.17148827
GBP1	-0.824529973	12.39248737	-3.786820449	0.00816378	0.999979248	-4.171697822
PPARGC1B	0.520777168	6.864545346	3.780718109	0.008224879	0.999979248	-4.172264639
PDPR	-0.566010933	6.84530072	-3.765954605	0.008374793	0.999979248	-4.173642294
NA	-0.660274984	5.282528254	-3.756186999	0.008475631	0.999979248	-4.174558715
TTC14	-0.586052693	5.87864081	-3.717937625	0.008883578	0.999979248	-4.178185699
NA	-0.769858948	9.120206139	-3.683114159	0.00927384	0.999979248	-4.181541555
RNF126	0.463426584	7.690088265	3.678507642	0.009326862	0.999979248	-4.181989351
FBXO33	0.607267251	7.724838648	3.619733309	0.010033433	0.999979248	-4.187783353
COQ2	0.567450803	7.929796992	3.59061941	0.010405039	0.999979248	-4.190709469
PAPD5	0.714706163	8.985890853	3.57083158	0.010666219	0.999979248	-4.192719765
SGIP1	-0.719728931	5.895670443	-3.554943688	0.010881129	0.999979248	-4.194346561
PIK3AP1	-0.568052001	8.958150869	-3.536653666	0.011134426	0.999979248	-4.196233427
NA	-1.323568982	8.923045945	-3.525477911	0.011292374	0.999979248	-4.197393835
SLC1A2	-0.449778361	4.991914738	-3.503192475	0.01161471	0.999979248	-4.199724836
LRRC8C	-0.725363739	8.63150341	-3.500153835	0.011659436	0.999979248	-4.200044436
PDE4DIP	-0.498993429	5.35300734	-3.492752164	0.011769171	0.999979248	-4.200824718
C4orf46	0.775321648	6.747713872	3.483436218	0.011908897	0.999979248	-4.201810402
SLA	-0.745429301	7.38331811	-3.481212664	0.011942514	0.999979248	-4.202046263
LAMP3	-0.672506243	7.56909719	-3.479551257	0.0119677	0.999979248	-4.202222644
C2orf42	-0.515865973	6.677051539	-3.467426412	0.012153277	0.999979248	-4.203513748
EHF	1.372579804	6.528576202	3.44724256	0.012469216	0.999979248	-4.205678239
SLA	-1.073967161	7.241250812	-3.446448398	0.012481829	0.999979248	-4.205763794
IDO1	-1.66739034	10.01332526	-3.445515423	0.012496665	0.999979248	-4.205864342
FJX1	-0.510568173	6.21724056	-3.442114531	0.012550908	0.999979248	-4.206231207
TEC	0.494814298	5.926430687	3.436798595	0.01263621	0.999979248	-4.206805745
PPP1R36	0.441560746	7.559308348	3.425907818	0.012812955	0.999979248	-4.207986971
NA	-1.04106165	6.688447106	-3.416518683	0.012967497	0.999979248	-4.209009836
JAK3	-0.777221305	6.324929863	-3.414064771	0.013008223	0.999979248	-4.209277859
HIPK2	-0.664699297	7.556096465	-3.401092207	0.013225849	0.999979248	-4.210699522
PRKAB2	0.497250564	5.487095566	3.394112183	0.013344586	0.999979248	-4.211467789
PPM1K	-0.504921464	7.908244416	-3.387786784	0.013453192	0.999979248	-4.21216602
CENPU	0.748408414	5.547780457	3.376798256	0.013644163	0.999979248	-4.213383562
IL13RA2	-1.728028454	7.456463163	-3.36906152	0.013780392	0.999979248	-4.214244292
LGR4	0.686858627	9.067580078	3.360275152	0.013936905	0.999979248	-4.215225305
CXADR	0.811199351	9.540830627	3.355234457	0.014027569	0.999979248	-4.215789796
EIF5	-0.566153953	9.841182657	-3.343098396	0.014248499	0.999979248	-4.217153941
DUSP4	-0.994874741	7.788101045	-3.341690824	0.014274368	0.999979248	-4.217312622
KCNQ1	0.47706228	7.868244776	3.338624304	0.014330902	0.999979248	-4.217658658
CSPG4	-0.574192498	5.722287136	-3.337107175	0.014358961	0.999979248	-4.217830026
GMNN	0.930716724	10.1058017	3.335743474	0.014384234	0.999979248	-4.217984159
NA	0.601579014	6.484917251	3.333642993	0.014423257	0.999979248	-4.218221745
RBM3	-0.560126026	6.077098291	-3.305271972	0.014961771	0.999979248	-4.22145201
DPF3	0.709530589	6.122462664	3.281717069	0.015425499	0.999979248	-4.224164111
VSIG10	0.549831446	8.206994497	3.280419905	0.015451487	0.999979248	-4.224314266
MGAT5	-0.512170022	9.98905124	-3.273219695	0.015596604	0.999979248	-4.225149262
ACRC	-1.111739826	6.754502614	-3.268082027	0.015701056	0.999979248	-4.225746649
PGM3	-0.601792977	7.602250054	-3.25984665	0.015870076	0.999979248	-4.22670698
CDC20	0.896574562	7.759657824	3.254703733	0.015976629	0.999979248	-4.227308421
SLC35B3	0.488482496	5.539727099	3.248992102	0.016095876	0.999979248	-4.227977927
CD226	-0.501032589	4.739982705	-3.246507809	0.016148044	0.999979248	-4.228269643
PBX2	-0.456393809	5.559093553	-3.241698195	0.016249565	0.999979248	-4.22883529
HIVEP2	-0.660121391	8.618949685	-3.234273008	0.016407656	0.999979248	-4.229710839
BEND7	0.622622282	7.577580507	3.222032398	0.01667193	0.999979248	-4.231160288
CD79A	-0.416776041	6.45102765	-3.214039219	0.016846991	0.999979248	-4.232110884
KCNQ4	0.428232695	5.96791415	3.207685884	0.01698756	0.999979248	-4.232868776
MYOT	-0.571251147	7.873515356	-3.204836142	0.017051023	0.999979248	-4.233209391
FBXO46	0.729117188	8.44508557	3.200091473	0.017157258	0.999979248	-4.233777415
SMAD5	0.510854762	5.438454528	3.196004523	0.017249341	0.999979248	-4.234267619
SEMA6A	0.505045165	8.062985782	3.18219266	0.017564519	0.999979248	-4.23593059
SCML4	-0.691161016	4.783194293	-3.167006972	0.017918261	0.999979248	-4.23777027
TM4SF18	-0.892105749	6.566206407	-3.158996735	0.018107956	0.999979248	-4.23874546
LRPPRC	0.449511478	7.856311611	3.156833853	0.018159548	0.999979248	-4.239009344
NA	-0.660554695	8.811844641	-3.151332276	0.018291497	0.999979248	-4.239681657
PPFIA1	0.727594712	7.502989562	3.147120395	0.018393215	0.999979248	-4.240197424
BNIP3	-0.826099202	7.185113895	-3.146743844	0.018402339	0.999979248	-4.240243579
NA	0.495564748	9.280739414	3.137931414	0.018617262	0.999979248	-4.241325854
ZNF140	-0.764586369	5.965895759	-3.13367443	0.018722055	0.999979248	-4.241850109
NA	-0.786451083	5.789636374	-3.130447425	0.018801918	0.999979248	-4.242248149
SLC25A36	0.439862185	8.862401292	3.129311178	0.018830126	0.999979248	-4.24238843
BARD1	0.513412461	5.289364524	3.129169646	0.018833642	0.999979248	-4.242405908
CXADR	0.821455963	8.927502865	3.119169189	0.01908394	0.999979248	-4.24364354
CKS2	0.557741842	11.03240275	3.116534087	0.01915049	0.999979248	-4.243970523
FRMD4A	-0.515079729	6.796707436	-3.112762479	0.019246179	0.999979248	-4.244439163
FAM126B	0.691786204	8.541838846	3.102529462	0.01950841	0.999979248	-4.245714414
NA	0.46445226	5.155907844	3.075637319	0.02021611	0.999979248	-4.249091967
FCRL3	-1.200863603	5.623622948	-3.074553364	0.02024521	0.999979248	-4.249228907
NA	-0.720840794	5.787585233	-3.072364046	0.020304124	0.999979248	-4.249505681
XCL1	-0.910735774	9.005030074	-3.071157478	0.020336671	0.999979248	-4.249658323
GADD45B	0.468142857	7.548255047	3.063973295	0.020531631	0.999979248	-4.250568786
MTMR6	-0.426309902	9.58983474	-3.063968201	0.02053177	0.999979248	-4.250569433
CHP1	-0.428233621	7.027898866	-3.050226357	0.020910328	0.999979248	-4.252318581
CMAHP	-1.055060403	7.275900799	-3.049532671	0.020929636	0.999979248	-4.252407144
NA	-0.687867888	4.237445426	-3.041119712	0.021165335	0.999979248	-4.25348326
RASGRF2	-0.6172715	6.094347636	-3.029331591	0.021500414	0.999979248	-4.254997441
AGPAT5	-0.46149348	4.548206603	-3.02522468	0.021618492	0.999979248	-4.255526715
USP54	0.66978119	8.263362534	3.019258757	0.021791263	0.999979248	-4.256297173
NUFIP2	0.610101337	8.818540635	3.015553176	0.021899322	0.999979248	-4.256776682
MYOF	-0.61918177	7.525244659	-3.012466905	0.021989762	0.999979248	-4.257176613
CDS1	0.554917133	7.483349387	3.009940762	0.022064087	0.999979248	-4.257504341
NA	-0.825551716	6.265581469	-3.00646286	0.022166858	0.999979248	-4.257956104
RNF168	0.510498533	9.484616333	3.002177291	0.022294203	0.999979248	-4.258513672
TLE3	0.702183252	6.946815777	3.002056277	0.02229781	0.999979248	-4.258529431
BNIP3	-0.83962708	10.18541052	-3.001990129	0.022299782	0.999979248	-4.258538045
LOC654342	0.42715335	5.663132047	2.996784126	0.022455578	0.999979248	-4.259216745
C1orf53	0.73393172	5.916458505	2.995575274	0.022491922	0.999979248	-4.25937455
ARHGEF12	0.459363744	7.831516496	2.993666746	0.02254943	0.999979248	-4.259623852
NA	-0.442040634	6.414224947	-2.987255026	0.022743788	0.999979248	-4.26046282
SMCR8	-0.382320385	6.940683966	-2.976633631	0.023069726	0.999979248	-4.261857497
RIBC2	0.502830324	5.236057375	2.970709528	0.023253695	0.999979248	-4.262638027
RANBP6	0.599184913	8.138635804	2.95934368	0.023611078	0.999979248	-4.264140851
CLYBL	0.453503597	7.641402043	2.953758418	0.023788855	0.999979248	-4.264881914
SLC22A5	0.56004685	7.872106152	2.943897281	0.024106247	0.999979248	-4.266194443
CASP2	0.635242306	8.763810376	2.937509305	0.024314274	0.999979248	-4.267047512
CYB5D1	-0.73342884	7.526118379	-2.935023269	0.024395752	0.999979248	-4.267380104
APOL4	-0.507535002	5.257039067	-2.929882138	0.024565179	0.999979248	-4.268068974
APOE	-0.691608134	8.35646703	-2.929527628	0.024576908	0.999979248	-4.268116529
FGD3	-0.617918773	6.763123257	-2.925271329	0.024718202	0.999979248	-4.268688011
NA	0.636952994	8.204535827	2.919159574	0.024922614	0.999979248	-4.26951035
C3orf49	0.385002486	5.534212264	2.913177167	0.025124455	0.999979248	-4.27031726
PDE4D	-0.521840932	9.310469498	-2.900144497	0.025570251	0.999979248	-4.272081889
NOL4L	0.789875532	8.912068389	2.898417123	0.025629971	0.999979248	-4.272316475
