Symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
NA	-1.789587944	8.493519831	-5.537627143	0.00130197	1	-4.146576462
ACRC	-1.332738392	6.574157978	-5.530469222	0.001310908	1	-4.146830606
PGM3	-0.99212168	7.457224051	-5.075516614	0.002051956	1	-4.164638913
GZMB	-1.341231086	9.052158039	-4.792514872	0.002749004	1	-4.177580987
CXCL9	-1.989072451	11.16843853	-4.725463277	0.00295099	1	-4.180886611
LOX	-0.790025687	6.958665533	-4.586948795	0.003423335	1	-4.188030154
CYB5D1	-0.875703619	7.317933182	-4.468291764	0.003896146	1	-4.194505766
PRRX1	-1.34897675	8.147107138	-4.431525982	0.00405718	1	-4.196582246
HIPK2	-0.86021313	7.375896712	-4.158298286	0.005516351	1	-4.213127931
NA	-0.975363332	5.95200112	-4.115414221	0.005794734	1	-4.215913709
IFIT3	-1.188040693	9.996898391	-4.102046051	0.005884687	1	-4.216793156
LIF	-1.336960703	9.356339787	-4.049038149	0.006256998	1	-4.220332946
IFIT5	-0.875748735	8.017871186	-3.92958978	0.007195855	1	-4.228626533
NA	0.754388636	6.688847216	3.92110081	0.007268308	1	-4.229233134
CEMIP	-1.280370292	8.15697511	-3.858647311	0.007826916	1	-4.233768136
GBP1	-0.892684606	12.28002134	-3.825283478	0.008144718	1	-4.236243768
FAM43A	-0.849725332	7.242734257	-3.735718933	0.009070789	1	-4.243077087
NA	-0.576329302	4.575629559	-3.632297914	0.010287619	1	-4.251319136
NA	-0.541393915	7.295896226	-3.623494215	0.010399238	1	-4.252038657
HOXA10	0.549819638	7.93920184	3.623190349	0.010403115	1	-4.252063543
OAS2	-0.59153387	5.405632452	-3.617435669	0.010476828	1	-4.252535479
CREM	-0.773501873	9.682329316	-3.54362877	0.011475018	1	-4.258697976
THAP2	-1.259161854	8.906048792	-3.531897153	0.011643109	1	-4.259696483
FST	-0.860790204	8.367623792	-3.466071597	0.01263788	1	-4.265397621
CD226	-0.597598359	4.801722641	-3.440089893	0.013055891	1	-4.267694578
TNFRSF9	-0.620214508	6.485691536	-3.438464703	0.013082537	1	-4.267839145
