Symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
HIST1H2BM	-4.303061067	9.11279921	-37.18460341	1.35E-08	0.00011624	9.936277151
NA	-3.486087398	6.854816929	-36.65591122	1.48E-08	0.00011624	9.881990714
ASPM	-3.871017628	6.7921823	-36.13905445	1.62E-08	0.00011624	9.827437175
NA	-3.917227443	6.113730095	-35.85561785	1.70E-08	0.00011624	9.796880212
GADD45A	2.938046278	9.32620135	35.535318	1.80E-08	0.00011624	9.761789287
LMNB1	-3.126831222	8.875246981	-33.50935479	2.59E-08	0.000139747	9.525232306
SERPINE2	2.572731891	7.181036564	31.39049901	3.90E-08	0.000165547	9.247948839
PRIM1	-2.663338911	8.628257875	-30.6025097	4.57E-08	0.000165547	9.136100581
ESPL1	-2.619879309	7.473202631	-29.49116245	5.75E-08	0.000165547	8.969512787
KIFC1	-2.885393222	7.91789335	-29.45538921	5.80E-08	0.000165547	8.963970426
HBEGF	3.072441958	7.273972261	29.00845664	6.38E-08	0.000165547	8.893743115
CENPF	-3.314466127	7.625668086	-28.73193137	6.77E-08	0.000165547	8.849362656
IGFBP5	-2.912358125	6.880998917	-28.6475115	6.90E-08	0.000165547	8.835669406
NCAPG2	-2.591908511	9.325814188	-28.39618467	7.28E-08	0.000165547	8.794497104
CDC45	-2.81420199	7.677098797	-28.15452453	7.68E-08	0.000165547	8.754326803
EPAS1	2.223644661	7.535823418	27.57985906	8.74E-08	0.000167997	8.656449999
SAT1	2.704968494	11.21333292	27.26971856	9.37E-08	0.000167997	8.602211424
FANCD2	-2.371334951	8.202711252	-27.10096338	9.74E-08	0.000167997	8.572270721
KIF18A	-3.273909639	6.045416137	-26.83299013	1.04E-07	0.000167997	8.524094725
NDC80	-3.881738287	6.155528738	-26.81998287	1.04E-07	0.000167997	8.521736327
CPEB4	2.093201025	6.884832492	26.6026606	1.09E-07	0.000168308	8.482055848
GPER1	-2.328939647	7.164216507	-26.34629569	1.16E-07	0.000170637	8.434566278
NAALADL2	-2.882477182	6.533430346	-25.6546327	1.37E-07	0.000170782	8.302654157
SPC25	-3.612462244	5.715755859	-25.65406926	1.37E-07	0.000170782	8.30254439
MCM7	-2.206189988	9.177573574	-25.64564468	1.37E-07	0.000170782	8.300902694
PRC1	-3.014484421	9.916036238	-25.6447681	1.37E-07	0.000170782	8.300731827
ZWINT	-2.133537153	7.819899323	-25.38819863	1.46E-07	0.000173378	8.250318614
SLITRK6	-3.787501416	5.722392333	-25.27959864	1.50E-07	0.000173378	8.228736625
FANCA	-1.945753449	7.082306111	-24.93163907	1.64E-07	0.000181991	8.158593854
CHEK1	-3.081845725	7.783285047	-24.80645663	1.69E-07	0.000181991	8.132983149
CDKN1A	2.140170515	8.85329303	24.56105117	1.80E-07	0.000183202	8.082187719
PLEKHS1	-2.712572308	5.623103332	-24.49389825	1.83E-07	0.000183202	8.068150549
RERG	-2.162518827	7.019320617	-24.40292434	1.87E-07	0.000183202	8.049038756
DTL	-3.795406155	7.675197368	-23.8392449	2.16E-07	0.000195466	7.928128801
GINS1	-3.034442989	8.909173382	-23.74213265	2.22E-07	0.000195466	7.906855682
KIF14	-3.510489529	7.44825677	-23.51508278	2.35E-07	0.000195466	7.856598832
