Symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
HLA-DMA	1.118747405	8.904330734	17.81453708	6.88E-15	3.36E-10	19.95266485
FABP5	1.134397108	9.283506907	16.50053749	3.50E-14	8.55E-10	18.95924124
PCK1	1.158773433	6.902920919	14.73459484	3.75E-13	6.11E-09	17.41112666
CYP1B1	-1.323610862	7.2585515	-13.39414389	2.67E-12	3.25E-08	16.0444877
KIAA1881	0.935598329	10.95990114	12.76086814	7.11E-12	6.94E-08	15.33316271
HSPB7	-0.780703069	7.643046319	-12.42754862	1.21E-11	9.84E-08	14.94041319
MRAP	0.818640471	8.224771641	11.75884895	3.63E-11	2.53E-07	14.11212208
G0S2	0.689594903	8.743367433	10.94728349	1.47E-10	6.51E-07	13.02999811
CYP4F22	-0.787488476	6.319939593	-10.98096494	1.38E-10	6.51E-07	13.07666387
LPL	0.850664411	10.22948395	11.06775841	1.19E-10	6.51E-07	13.19620073
PFKFB3	0.80815276	9.411005025	11.04662618	1.23E-10	6.51E-07	13.16719092
NR1H3	0.622513872	8.840188083	10.13368762	6.41E-10	2.61E-06	11.8542414
GYG2	0.618836083	7.843225819	9.368063348	2.76E-09	1.04E-05	10.65883212
SERPINA5	-0.639802979	6.420417703	-9.274292281	3.32E-09	1.16E-05	10.50624002
DOCK11	0.561328185	8.113274315	9.095009902	4.73E-09	1.54E-05	10.21065609
MRAP	0.523289985	6.393920934	8.926581464	6.62E-09	1.96E-05	9.928333918
AQP7P2	0.635265256	7.693999322	8.909933976	6.85E-09	1.96E-05	9.900183834
VKORC1L1	0.660099149	9.128286314	8.855488735	7.64E-09	1.96E-05	9.80781019
KIAA1199	-0.66932648	8.196344998	-8.877640047	7.31E-09	1.96E-05	9.845450088
ADIPOQ	0.626314155	7.205310036	8.721015599	1.00E-08	2.45E-05	9.577621242
RASD1	0.737507977	9.742358647	8.545894377	1.44E-08	3.34E-05	9.273481236
PECR	0.554344869	7.493845526	8.519210316	1.52E-08	3.37E-05	9.226702004
LIPE	0.559175257	7.15545785	8.496242595	1.59E-08	3.38E-05	9.186345241
AQP7P2	0.532634132	7.581935418	8.409362134	1.91E-08	3.72E-05	9.03291114
CCL2	-0.535025408	8.913398418	-8.419568844	1.87E-08	3.72E-05	9.051000242
ACOT2	0.514404752	8.669861234	8.262315187	2.59E-08	4.87E-05	8.770418023
PPP1R3C	-0.595247814	9.151728425	-8.213747418	2.87E-08	5.19E-05	8.682943958
FAR2	0.653143237	6.51229206	8.142765007	3.34E-08	5.81E-05	8.554405289
DHRS11	0.517365274	7.837509169	7.853355452	6.18E-08	0.000104067	8.021781225
PPP1R1A	0.479408302	5.670904327	7.823148811	6.60E-08	0.000107364	7.965397917
C19ORF12	0.512280556	9.052893037	7.773383733	7.35E-08	0.000115693	7.872180898
PDE3B	0.635944105	6.629862504	7.671648375	9.16E-08	0.000139769	7.680353733
OAS1	0.49512849	5.629391798	7.378781898	1.74E-07	0.000257895	7.118701601
CSAD	0.655508779	7.158476564	7.315051673	2.01E-07	0.000288358	6.994634275
SLC19A3	0.478830026	6.382974742	7.061631885	3.55E-07	0.000494313	6.494819022
GLUL	-0.504402786	6.647092465	-7.046720831	3.67E-07	0.000496938	6.46509054
CEBPA	0.567480104	8.237020805	7.034693451	3.77E-07	0.000496938	6.441085598
PEMT	0.58201023	8.92309768	6.992292337	4.15E-07	0.00053261	6.356276266
PDK4	0.566972606	8.511870372	6.964482518	4.42E-07	0.000552747	6.300497755
AGPAT2	0.512174693	7.820795057	6.90611549	5.04E-07	0.000600412	6.183034586
CXCL12	-0.551344184	9.009380389	-6.915334776	4.94E-07	0.000600412	6.201623878
TM7SF2	0.479811439	7.392993549	6.854296384	5.68E-07	0.000659658	6.078301988
CCL8	-0.520488263	5.84651512	-6.839151131	5.88E-07	0.000667009	6.047612566
CABC1	-0.497766356	7.800003564	-6.762962712	7.00E-07	0.00075892	5.892689493
AGPAT2	0.446679305	7.656151154	6.770154973	6.88E-07	0.00075892	5.907352725
MMD	0.503296664	8.342102764	6.741359089	7.35E-07	0.000780198	5.848597203
SLC25A20	0.431814129	6.310889875	6.640976699	9.27E-07	0.000904642	5.642783081
LAMA4	0.425822213	7.677881732	6.644675609	9.19E-07	0.000904642	5.650394176
CNTFR	0.48947784	6.158108005	6.657609129	8.92E-07	0.000904642	5.676990636
GPER	0.418472344	7.57652259	6.644704631	9.19E-07	0.000904642	5.650453884
EGFLAM	0.480464271	7.097396936	6.620729193	9.71E-07	0.000929417	5.601083949
MGST3	0.460163079	10.1209777	6.610530498	9.94E-07	0.000933314	5.580056593
ACOT1	0.49283613	7.845181719	6.59220094	1.04E-06	0.000955415	5.542225875
