Symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
RAB40AL	0.271503632	2.315200507	4.656058012	0.000130334	0.999801432	-1.096387979
NA	0.232972948	2.355260632	4.376756029	0.000255217	0.999801432	-1.3828852
NA	0.232972948	2.355260632	4.376756029	0.000255217	0.999801432	-1.3828852
NA	0.69337793	2.296722826	4.164902064	0.000425247	0.999801432	-1.606236182
MGC39584	0.55584251	2.71140779	4.152330649	0.000438326	0.999801432	-1.61963918
NA	0.590592113	3.985978785	4.148969542	0.000441891	0.999801432	-1.623225314
NA	-0.495531848	3.210060345	-4.053441118	0.000556226	0.999801432	-1.725611266
NA	0.371583791	1.777392647	3.983389906	0.000658381	0.999801432	-1.80123247
NA	0.440559754	6.00395644	3.85773442	0.000890508	0.999801432	-1.937925892
NA	-0.277829236	1.682972132	-3.805953986	0.001008308	0.999801432	-1.994611211
ACKR4	0.316917798	3.852448787	3.765279067	0.001111553	0.999801432	-2.039271566
NA	0.211717583	2.328436644	3.741747915	0.001175986	0.999801432	-2.065158601
FAM208A	-0.256160055	4.727612524	-3.733906222	0.001198267	0.999801432	-2.073793255
ISX	-0.192905347	2.629439419	-3.726381847	0.001220039	0.999801432	-2.082082123
NA	0.224678523	1.715693147	3.711313411	0.001264821	0.999801432	-2.098692009
NA	0.255975788	2.033645062	3.689198955	0.001333497	0.999801432	-2.123093309
VMAC	-0.279360973	3.856374973	-3.688335976	0.001336251	0.999801432	-2.124046108
LRRC2-AS1	0.295452478	2.785734262	3.687170746	0.001339977	0.999801432	-2.125332685
NA	0.193360584	2.696857403	3.678032569	0.00136956	0.999801432	-2.135425196
NA	-0.722111054	3.877873707	-3.677157579	0.001372426	0.999801432	-2.136391813
NA	-0.593933156	2.384476892	-3.655749933	0.001444422	0.999801432	-2.160054467
NA	0.665607527	3.378211635	3.612176315	0.001602656	0.999801432	-2.208293041
NA	-0.612873869	4.465510775	-3.604026586	0.001634092	0.999801432	-2.217325849
NANS	-0.271637651	4.54758943	-3.599060508	0.001653544	0.999801432	-2.222831597
MMRN1	-0.390537545	3.129557378	-3.598309657	0.001656505	0.999801432	-2.223664146
NA	0.530499801	5.304433965	3.589907545	0.001689995	0.999801432	-2.232982267
LOC101928612	0.302712993	3.198501176	3.561261458	0.00180926	0.999801432	-2.264775425
MFAP2	0.243357954	4.829003941	3.548964427	0.001862962	0.999801432	-2.278434311
ZNF771	0.307456737	3.717761802	3.528993561	0.00195353	0.999801432	-2.300630025
NA	-0.182535333	1.726668418	-3.520676207	0.001992512	0.999801432	-2.309878569
SESN2	-0.21931651	3.567702161	-3.510346824	0.002041989	0.999801432	-2.321368012
DNAAF1	0.202799874	2.440213858	3.469192045	0.002251368	0.999801432	-2.367181719
NA	-0.824035217	1.862312232	-3.457089597	0.002316848	0.999801432	-2.380664583
SUSD6	-0.291688641	5.254777023	-3.425951946	0.002494014	0.999801432	-2.415372951
SELV	0.18842329	3.653099924	3.420425382	0.002526816	0.999801432	-2.421535932
LRRC19	0.134214332	1.548085357	3.411521263	0.002580554	0.999801432	-2.431466967
SIGLEC6	-0.209694476	3.104684311	-3.409679989	0.002591806	0.999801432	-2.433520827
NA	0.599762619	2.078719665	3.403989252	0.002626883	0.999801432	-2.439869081
NA	0.315543205	2.032405629	3.402693642	0.002634934	0.999801432	-2.441314489
GDF2	0.256381963	4.143871311	3.386759008	0.002735945	0.999801432	-2.459094387
NA	-0.408987874	3.358170034	-3.385990188	0.002740914	0.999801432	-2.459952369
NA	0.291637245	2.0334312	3.384660371	0.002749528	0.999801432	-2.461436435
NA	-0.557358938	4.006337705	-3.373539284	0.00282261	0.999801432	-2.473848797
NA	0.244487479	5.221153297	3.364486472	0.002883499	0.999801432	-2.483954371
ANKRD20A19P	0.29490808	2.85470304	3.356308308	0.002939607	0.999801432	-2.493084749
RHO	0.272888953	2.907678614	3.339347638	0.003059387	0.999801432	-2.5120234
OR52E4	0.19184064	2.02539557	3.33092027	0.003120661	0.999801432	-2.521435009
TSPYL4	-0.231444811	4.469119279	-3.326127401	0.003156041	0.999801432	-2.526788019
THEG	0.191742101	2.889900781	3.311947195	0.003263023	0.999801432	-2.542626878
OR4D6	0.181974504	2.315501342	3.309901143	0.003278748	0.999801432	-2.544912414
NA	-0.29280328	6.203623298	-3.307045862	0.003300817	0.999801432	-2.548101957
NA	-0.21657498	1.760297146	-3.301464292	0.003344375	0.999801432	-2.55433714
C16orf93	0.209495562	3.272525792	3.294453403	0.003399882	0.999801432	-2.562169341
FBXO9	0.258430193	5.120232072	3.288784196	0.003445422	0.999801432	-2.568502915
NA	0.319020546	1.607572713	3.288468646	0.003447975	0.999801432	-2.56885545
LINC00943	0.200596333	2.185302314	3.284656385	0.003478954	0.999801432	-2.573114573
ING2	0.26028473	4.577419683	3.273022152	0.00357518	0.999801432	-2.586112938
TNFRSF13B	0.205239299	3.725530767	3.270506093	0.003596329	0.999801432	-2.588924073
ZSCAN30	0.245348568	3.682834113	3.262788172	0.003661963	0.999801432	-2.597547228
FAM83C	0.28607928	3.448659725	3.258636338	0.003697752	0.999801432	-2.602186073
NA	0.250678397	6.722842416	3.258615406	0.003697933	0.999801432	-2.602209461
BHLHE23	0.197031754	4.232453728	3.247089965	0.003799078	0.999801432	-2.615086892
TRAT1	-0.578641492	2.469501018	-3.244561675	0.003821623	0.999801432	-2.617911757
EDDM3B	0.217621562	2.17084911	3.232102539	0.003934635	0.999801432	-2.63183222
OTOA	0.226141091	2.903749973	3.230544236	0.003948996	0.999801432	-2.633573268
SCG5	0.196272567	2.159836245	3.224018344	0.004009694	0.999801432	-2.640864366
NA	0.420994217	2.156956317	3.212305566	0.004120916	0.999801432	-2.653950055
NA	0.182564608	1.705421547	3.211985549	0.004123996	0.999801432	-2.654307572
HTR1B	0.212846199	3.622235536	3.208745488	0.004155311	0.999801432	-2.65792727
IER2	-0.335061524	3.777063636	-3.189808794	0.004343	0.999801432	-2.679081175
NA	0.469535348	3.613568886	3.174437376	0.004501375	0.999801432	-2.696249841
NA	0.195436704	1.889483496	3.169656124	0.004551769	0.999801432	-2.701589562
NA	-0.41523376	5.653143756	-3.162187088	0.004631588	0.999801432	-2.709930412
NA	0.188698837	3.161354371	3.162151211	0.004631975	0.999801432	-2.709970475
NA	-0.521520375	2.135991252	-3.150402375	0.004760293	0.999801432	-2.723089044
