Symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
EEF1A1	-0.146199042	14.09472681	-2.042530523	0.101567108	0.942340749	-4.303444625
LOC653113	-0.852684612	3.986091293	-2.19723059	0.08418679	0.942340749	-4.126849147
FLJ36848	0.424300053	5.987539951	1.960229178	0.112344938	0.942340749	-4.397829771
ATP13A4	1.757341063	0.878670532	2.058929625	0.099554171	0.942340749	-4.284662505
LOC653493	-1.728622182	0.864311091	-2.135454242	0.090709769	0.942340749	-4.197191186
USP21	2.418716007	1.232821113	2.345760622	0.070494832	0.942340749	-3.959098431
LOC643038	-1.228646716	0.614323358	-2.12547377	0.091813824	0.942340749	-4.208580458
LOC642161	1.544514605	2.237735146	2.212350625	0.082668751	0.942340749	-4.109677529
SYTL2	1.987976915	0.892653062	2.243399019	0.079643796	0.942340749	-4.074478117
LOC652663	1.77771845	0.78154986	2.178981408	0.086059319	0.942340749	-4.147599151
CYP26A1	2.067211287	0.982937946	2.929326664	0.036195551	0.942340749	-3.329179699
WNT2B	1.453845173	1.432820934	2.803197684	0.041618807	0.942340749	-3.460593763
NCOA6IP	-0.36013737	4.588487334	-3.139287712	0.028852762	0.942340749	-3.116994443
SKIV2L2	-0.170156718	7.349608834	-2.024059127	0.103886533	0.942340749	-4.32461224
STK10	-0.42068593	5.195981231	-2.062878245	0.099075885	0.942340749	-4.280141764
EPS8	0.326232791	6.436656618	1.950555959	0.113689162	0.942340749	-4.408931532
LOC646537	-1.043094339	0.521547169	-2.064641055	0.098863155	0.942340749	-4.278123757
MAP3K11	-0.475932745	4.85433099	-5.507246782	0.00351135	0.620454873	-1.299892511
GRIK1	-0.999346161	1.780733044	-2.37666746	0.067963425	0.942340749	-3.924486462
CCT3	0.281978635	8.424184525	2.24086039	0.079886557	0.942340749	-4.077352899
KIAA1257	1.534806744	1.355914954	2.545602809	0.055782763	0.942340749	-3.737467358
EVC	-2.171490269	2.089338414	-2.779933078	0.042716339	0.942340749	-3.485143785
FGFR3	0.793832658	3.637444517	2.389724078	0.066924171	0.942340749	-3.909898843
