Symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
MMP10	4.994987589	3.386902785	30.70114747	3.17E-07	0.015467559	4.954554505
LOC201229	-4.424449198	3.204071989	-20.42861858	2.76E-06	0.027795739	4.23564154
LOC644284	-3.994768833	2.790854954	-20.308299	2.85E-06	0.027795739	4.222048285
SNX10	-4.343231535	3.0305639	-21.0824408	2.34E-06	0.027795739	4.306483802
PRMT2	-3.625282595	2.61046674	-20.34687863	2.82E-06	0.027795739	4.226426342
IFIT3	-3.705480009	2.751195707	-18.709167	4.39E-06	0.029108792	4.023048748
MAP6	-4.431772501	3.124125736	-18.41960942	4.77E-06	0.029108792	3.983010935
PDZD7	-3.693677152	2.678792776	-18.43929103	4.74E-06	0.029108792	3.985774757
MAP2K6	-4.14931904	2.848108442	-17.96184812	5.45E-06	0.029551072	3.916920933
GPX2	3.430198197	9.291271378	17.52763759	6.20E-06	0.030261119	3.850882747
TMPRSS7	-4.3276003	3.1154975	-16.66184528	8.10E-06	0.03293379	3.708603792
PPP4R2	-3.017507148	2.420757484	-16.86690582	7.59E-06	0.03293379	3.743648285
PTGIS	-3.517674102	2.799513316	-15.16549411	1.33E-05	0.037932361	3.424387851
FOXQ1	3.160855055	10.92253151	15.05170712	1.38E-05	0.037932361	3.400527744
GPRC5A	2.866496016	7.554762616	14.52705956	1.66E-05	0.037932361	3.285934895
ZNF160	-3.186842938	2.613536445	-14.84950003	1.48E-05	0.037932361	3.357267908
TRIM63	-3.409061389	2.503989143	-14.84116533	1.49E-05	0.037932361	3.355460811
NTN5	-3.201910542	2.347876236	-15.70286131	1.11E-05	0.037932361	3.532567397
HS.164221	-2.503522086	2.175606891	-14.56374052	1.64E-05	0.037932361	3.29419916
FOXG1	2.619794696	2.199394671	14.45168816	1.71E-05	0.037932361	3.268830732
DDX59	-3.94860412	2.693745359	-15.1131835	1.35E-05	0.037932361	3.413461424
NUDT6	-4.229326473	2.927992972	-15.46710211	1.20E-05	0.037932361	3.486001148
KLRG1	-3.142770474	2.598524498	-14.12773542	1.93E-05	0.039152933	3.193389353
C2ORF65	-4.135785129	3.023847429	-14.23421495	1.85E-05	0.039152933	3.218536215
TK2	-3.687359038	2.949634919	-13.85684552	2.13E-05	0.041592015	3.127819101
ZNF346	-2.96988108	2.340959341	-13.56511126	2.38E-05	0.043039812	3.054548931
C17ORF108	-3.69741276	2.988792116	-13.61865199	2.33E-05	0.043039812	3.068207795
USP19	-3.106147006	2.532543137	-13.27774935	2.66E-05	0.045722329	2.979560327
SLCO1A2	-3.642641428	2.624117407	-13.22652714	2.72E-05	0.045722329	2.965889976
MMP23B	-2.209920293	2.055199763	-13.05457095	2.91E-05	0.047319179	2.919307038
NBPF3	-3.593783765	2.928246401	-12.80467277	3.22E-05	0.048008425	2.849662606
DKK1	2.869576593	12.27742062	12.78235964	3.25E-05	0.048008425	2.843329205
LOC642946	-4.236267648	3.119298592	-12.8326081	3.18E-05	0.048008425	2.857564939
PHLDA2	2.661871378	6.121539465	12.69217474	3.37E-05	0.048345795	2.817535138
FLJ42957	-2.705080424	2.308778063	-12.54243701	3.58E-05	0.049393778	2.77400472
LOC389791	-3.504180669	2.699868852	-12.50183687	3.64E-05	0.049393778	2.762048137
TNIK	-2.402603315	2.095639783	-12.02224471	4.46E-05	0.049682352	2.61566043
PLAG1	-4.345660488	3.396710537	-12.35621963	3.87E-05	0.049682352	2.718615073
BCL7C	-2.182339135	1.992725671	-12.03556391	4.44E-05	0.049682352	2.619857754
CD55	2.059170597	9.691570322	11.96259658	4.58E-05	0.049682352	2.596768086
HS.267120	-2.537944229	2.150438887	-12.22488362	4.09E-05	0.049682352	2.678691655
LOC440350	-3.294645279	2.530861762	-12.37804292	3.84E-05	0.049682352	2.725179509
TMEM178	-3.756195728	2.750943558	-12.00195657	4.50E-05	0.049682352	2.609252072
C21ORF129	-1.99317938	7.755241251	-12.06191537	4.39E-05	0.049682352	2.62813924
NA	2.598964007	2.249773732	11.9893149	4.53E-05	0.049682352	2.605249872
SRM	1.927606052	7.611697264	11.81156644	4.89E-05	0.049748428	2.548227383
TMEM45A	-2.986992724	4.969136415	-11.83395288	4.85E-05	0.049748428	2.555486808
GIYD1	-2.956050683	2.225754749	-11.87797043	4.75E-05	0.049748428	2.569694968
HS.566801	3.109412823	2.493600492	11.71557057	5.10E-05	0.050837625	2.516840031
IFI30	-2.563448342	2.336082766	-11.55711111	5.48E-05	0.053460038	2.464099306
LOC643813	-3.596575126	2.746289945	-11.29340441	6.17E-05	0.05518017	2.373684336
GYG2	-3.865606278	3.051915786	-11.19902461	6.44E-05	0.05518017	2.340498381
LOC100101266	-2.239766121	8.563548076	-11.20719821	6.42E-05	0.05518017	2.343389979
GCNT3	2.262505387	9.514351298	11.33557329	6.05E-05	0.05518017	2.388369175
HS.365998	-3.808240913	3.114502761	-11.26022558	6.27E-05	0.05518017	2.362068469
CACNB2	-3.06693721	2.323221029	-11.39921255	5.88E-05	0.05518017	2.410365931
NA	-3.247930109	2.50107685	-11.23770969	6.33E-05	0.05518017	2.354154553
LOC643888	-2.702663066	4.123106038	-11.00586985	7.05E-05	0.055796702	2.271178914
EMX1	-3.277794496	2.534952323	-11.00596926	7.05E-05	0.055796702	2.271215084
PHLDA1	1.924105915	9.094391177	10.73837884	8.00E-05	0.055796702	2.171969472
PFKFB1	-2.418982993	2.095269181	-10.76034896	7.92E-05	0.055796702	2.18026217
ABCA2	-3.184457151	2.423679015	-10.77540794	7.86E-05	0.055796702	2.18593112
GIT2	-4.045984468	3.201248241	-10.97980324	7.14E-05	0.055796702	2.261677229
ADCYAP1	-2.593254997	2.149137718	-11.06913732	6.84E-05	0.055796702	2.294094523
BHLHB2	2.123792127	9.001970316	10.78978401	7.81E-05	0.055796702	2.19133156
MTHFD1L	2.093956059	7.340725641	10.92325303	7.33E-05	0.055796702	2.240941784
LOC650111	-3.080688332	2.713131886	-11.11405161	6.70E-05	0.055796702	2.310237705
HS.22566	2.558860295	4.29848528	10.92124892	7.34E-05	0.055796702	2.240203851
PDE6A	-3.686113166	3.113973187	-10.80825362	7.74E-05	0.055796702	2.198253418
AURKC	-2.456452111	2.150028266	-10.85006753	7.59E-05	0.055796702	2.213856404
MMP1	2.294706753	9.193042712	10.69405481	8.18E-05	0.056194481	2.155159224
HS.133261	-4.78799881	3.736653077	-10.62766077	8.44E-05	0.05721829	2.129777073
UHMK1	-2.484062072	2.090171827	-10.48006103	9.07E-05	0.059024251	2.072470594
ZNF509	-3.292939159	3.378433528	-10.51854629	8.90E-05	0.059024251	2.087530891
