Symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
SLC4A4	-0.61514336	6.354409516	-7.782790852	6.78E-05	0.980029055	-2.016374461
GLS	-0.467091176	6.406277374	-6.720044803	0.000183169	0.980029055	-2.172519181
PRMT2	-0.468422675	4.105433976	-6.444208575	0.000241725	0.980029055	-2.222353006
BCL6B	0.420225656	5.506764026	6.248850515	0.000295752	0.980029055	-2.260448033
SIAE	1.281298853	6.439642813	6.14051963	0.000331399	0.980029055	-2.282649412
MFSD7	-0.385933802	4.605391673	-6.096685096	0.000347155	0.980029055	-2.291860943
TBL1XR1	-0.412191667	7.688647031	-6.033640731	0.000371291	0.980029055	-2.305346014
S100A2	-0.616768908	9.259035111	-5.97335255	0.000396121	0.980029055	-2.318508331
JMJD6	-0.495390616	5.304268543	-5.651045467	0.000564277	0.980029055	-2.393556755
AGR3	-0.763870034	6.74646056	-5.637441642	0.000572935	0.980029055	-2.396906638
CDA	-0.375496953	5.893941814	-5.517770818	0.000655746	0.980029055	-2.427047966
PDZRN3	-0.406437007	6.270973418	-5.514239386	0.000658382	0.980029055	-2.427956091
NA	0.459864663	5.488584422	5.45256162	0.000706367	0.980029055	-2.443993359
ABCB1	-0.372164369	3.885017303	-5.442723062	0.000714372	0.980029055	-2.446582718
NA	-0.374105611	6.992954526	-5.437740032	0.000718465	0.980029055	-2.447897478
PRKACB	-0.357863405	4.993894342	-5.417205155	0.000735604	0.980029055	-2.453339084
TNFRSF10A	-0.385985614	6.629679702	-5.26002261	0.000882754	0.980029055	-2.496273917
TPCN2	-0.347926984	3.735210574	-5.205532767	0.000941103	0.980029055	-2.511702538
KIAA1683	-0.356679431	4.799279429	-5.151257561	0.001003466	0.980029055	-2.527358065
NA	-0.421786067	6.655258794	-5.054539736	0.001126165	0.980029055	-2.555985196
NA	0.340234482	6.671498571	4.977506013	0.001235706	0.980029055	-2.579472422
ZDHHC20	-0.393728192	7.835691078	-4.939210646	0.00129447	0.980029055	-2.591380565
HINT3	0.915363106	5.624241445	4.935912976	0.001299671	0.980029055	-2.592413298
MARCH3	-0.391453447	7.096337298	-4.908798491	0.001343322	0.980029055	-2.600949013
NA	-0.396487223	5.755623188	-4.806657658	0.001522773	0.980029055	-2.633822537
GLUD2	-0.326824741	8.140125415	-4.76439312	0.001604572	0.980029055	-2.647764108
CERS6	-0.344041892	7.869992354	-4.714250489	0.001707911	0.980029055	-2.664567255
NA	0.308592755	4.386943946	4.710169397	0.001716637	0.980029055	-2.665947544
LOC101928813	0.374553657	3.84518821	4.700256059	0.001738036	0.980029055	-2.669308397
HIST1H2BL	-0.297173314	4.434200104	-4.693696227	0.001752357	0.980029055	-2.671538586
PIFO	-0.295183333	5.285349262	-4.684138602	0.001773453	0.980029055	-2.67479689
SLC38A5	-0.45763005	7.941844976	-4.669957935	0.001805267	0.980029055	-2.679650834
ZBTB20	-0.48996175	6.083080414	-4.648195086	0.001855311	0.980029055	-2.687145854
WDR62	-0.395486642	4.357327353	-4.624801614	0.0019108	0.980029055	-2.695264623
PRKACB	-0.337557916	7.422157162	-4.568663135	0.002051498	0.980029055	-2.7150132
IDH1-AS1	-0.41005511	4.634074472	-4.565039409	0.002060961	0.980029055	-2.716300959
FAM198B	-0.363204788	6.150227152	-4.562110128	0.002068645	0.980029055	-2.717343093
SRCAP	0.317644597	5.016178896	4.511037066	0.002207771	0.980029055	-2.735680595
NA	0.32901927	7.785040755	4.495497635	0.002252102	0.980029055	-2.74132326
ST7L	-0.356211456	5.686410242	-4.474200482	0.002314443	0.980029055	-2.749105077
MAP7D3	-0.279234595	5.025039908	-4.464962869	0.002342065	0.980029055	-2.752497918
CYP2A13	-0.402965488	5.592148194	-4.460340128	0.002356023	0.980029055	-2.754199769
NA	-0.516556272	6.264525984	-4.457784323	0.002363779	0.980029055	-2.755141826
ERGIC1	-0.305366001	7.713684394	-4.448621061	0.002391815	0.980029055	-2.758526061
ATF2	-0.438951388	6.85536017	-4.432064681	0.002443395	0.980029055	-2.764667419
CLN8	-0.324723854	5.842370151	-4.423928337	0.002469186	0.980029055	-2.767698098
STAT5B	0.410190049	6.577176018	4.413425345	0.002502917	0.980029055	-2.771622657
AQP1	-0.488456078	6.004697365	-4.369429247	0.00264977	0.980029055	-2.788214275
FGD4	-0.606990271	5.656316628	-4.368378065	0.002653391	0.980029055	-2.78861371
C8orf44	-0.334676689	5.816266823	-4.364118724	0.002668121	0.980029055	-2.79023365
HINT3	1.380202887	8.177506331	4.357694318	0.002690505	0.980029055	-2.79268142
NA	-0.327408299	3.577737282	-4.352580973	0.002708468	0.980029055	-2.794633449
SPIN4	0.307187432	9.109585654	4.329611239	0.002790782	0.980029055	-2.803443728
LOC101927849	0.366047707	4.412268477	4.315061003	0.002844329	0.980029055	-2.809059918
ABCC12	0.286639254	3.73275532	4.303430706	0.002887934	0.980029055	-2.813568829
SLC39A6	-0.326211545	8.53075042	-4.290940168	0.002935574	0.980029055	-2.818430881
MTA2	-0.372319078	6.248049099	-4.271527359	0.00301132	0.980029055	-2.826028017
FST	0.46839366	5.114465553	4.265983187	0.00303334	0.980029055	-2.828206794
SULF2	-0.277164265	8.19564124	-4.25956512	0.00305905	0.980029055	-2.830734055
ZNF33A	-0.282421328	5.457808153	-4.249417783	0.003100183	0.980029055	-2.834740891
TNFRSF11A	-0.332132482	7.065966664	-4.247637675	0.003107461	0.980029055	-2.835445198
MMP25-AS1	0.288152088	4.357089466	4.242742227	0.003127571	0.980029055	-2.837384265
NA	-0.33550746	6.446912516	-4.242102442	0.003130209	0.980029055	-2.837637915
LOC147004	0.294069202	4.060074726	4.233861219	0.003164414	0.980029055	-2.840910103
KITLG	-0.316495338	8.193507221	-4.230891733	0.003176838	0.980029055	-2.842091351
NA	-0.40470978	4.320678756	-4.219135165	0.003226548	0.980029055	-2.846779573
NA	0.295053575	5.197074366	4.212499821	0.003254976	0.980029055	-2.849433711
THRA	0.45513627	4.568785886	4.207209425	0.003277837	0.980029055	-2.851554083
PLBD1	-0.279508764	6.120483855	-4.198308387	0.003316694	0.980029055	-2.855130037
SAP30L	-0.482622867	5.570658573	-4.183203611	0.003383781	0.980029055	-2.861222632
MAPK8IP3	0.49269834	5.99436705	4.175733633	0.003417502	0.980029055	-2.864247027
IGFBP6	-0.331785087	10.14966584	-4.163408264	0.003473939	0.980029055	-2.869253694
APH1A	-0.309504054	8.246934049	-4.153866773	0.003518323	0.980029055	-2.873143632
KCNJ5	0.375852502	5.49704889	4.153348935	0.003520749	0.980029055	-2.873355101
NA	0.333390757	5.379919105	4.149583005	0.003538449	0.980029055	-2.87489408
PP12719	0.338587077	4.333422369	4.140926951	0.003579499	0.980029055	-2.878438748
ZDHHC21	-0.408671887	5.88310539	-4.139611111	0.003585785	0.980029055	-2.878978478
SKAP2	0.281977043	9.523013842	4.125700462	0.003652967	0.980029055	-2.884698761
KRT13	-0.346687939	6.224866403	-4.123548034	0.003663483	0.980029055	-2.885586231
TMPRSS4	-0.339231532	8.328664581	-4.121581485	0.00367312	0.980029055	-2.886397615
ALDH3B1	0.348952883	6.1039587	4.120741284	0.003677246	0.980029055	-2.886744437
PTPRJ	-0.257474624	4.494553036	-4.116026598	0.00370049	0.980029055	-2.888692376
PPP3R1	-0.515700574	6.436428128	-4.113995821	0.003710552	0.980029055	-2.889532357
NA	0.303394775	4.263662303	4.107283552	0.003744018	0.980029055	-2.892312742
SCAMP1	-0.325729134	8.220539189	-4.104714576	0.003756913	0.980029055	-2.893378508
PTGDS	0.280585749	5.1717728	4.096910388	0.003796381	0.980029055	-2.896621712
CFH	-0.347720447	9.006844792	-4.091662974	0.003823172	0.980029055	-2.898807098
NA	0.344889014	5.398059262	4.07529251	0.003908074	0.980029055	-2.905649267
NA	-0.321856023	9.187085702	-4.062136793	0.003977782	0.980029055	-2.911174634
ERGIC3	0.312725598	5.830119332	4.057752733	0.00400131	0.980029055	-2.913021253
DGKK	0.369603169	4.473313459	4.0501204	0.00404263	0.980029055	-2.916242447
LOC285147	-0.325166065	4.343546313	-4.047978141	0.004054311	0.980029055	-2.917148033
NA	-0.288044303	4.828809948	-4.046600349	0.004061843	0.980029055	-2.917730797
RBMS1	-0.301762564	8.982020381	-4.046590602	0.004061896	0.980029055	-2.91773492
NUP37	-0.298076497	6.651786622	-4.045286865	0.004069037	0.980029055	-2.918286606
ARPC4	-0.315338768	8.768301498	-4.041406533	0.004090371	0.980029055	-2.919929996
LOC101927943	-0.263757459	3.649253492	-4.0265117	0.004173393	0.980029055	-2.926257714
KRT10	0.358171345	9.664015138	4.025907277	0.0041768	0.980029055	-2.926515142
PELO	-0.27755522	4.678802021	-4.014003807	0.004244518	0.980029055	-2.931595338
SLC39A8	-0.259874002	8.080815678	-4.012712043	0.004251938	0.980029055	-2.932147833
STRN3	-0.290899747	4.941684436	-4.007308413	0.004283128	0.980029055	-2.934461537
GS1-124K5.11	0.289142844	7.589420751	4.000095486	0.004325148	0.980029055	-2.937556323
LOC100507388	0.344796428	4.435521501	3.99310128	0.00436632	0.980029055	-2.940564248
EPOR	0.395191502	7.711767182	3.980809229	0.004439707	0.980029055	-2.945867253
NA	0.285002963	4.171371485	3.974900326	0.004475458	0.980029055	-2.948424043
CLSPN	-0.355407491	5.662721259	-3.971926603	0.004493567	0.980029055	-2.949712642
NA	0.273041691	3.743874647	3.966901912	0.004524347	0.980029055	-2.951892828
NA	0.324453483	5.868307944	3.965540808	0.004532724	0.980029055	-2.952484018
LINC00841	0.300352011	4.269825489	3.958017494	0.004579329	0.980029055	-2.955756475
GP6	0.354852534	3.985630219	3.95548056	0.004595161	0.980029055	-2.956861789
RGR	0.267769031	4.486554124	3.954359764	0.004602175	0.980029055	-2.957350398
NA	-0.475686673	5.342859533	-3.952032126	0.004616777	0.980029055	-2.958365697
CA9	-0.337346615	9.025798917	-3.945921933	0.004655346	0.980029055	-2.961034582
DCAF13	-0.357491289	5.370314081	-3.93654976	0.004715184	0.980029055	-2.965138591
TCF21	-0.396937691	4.187387136	-3.930165099	0.004756423	0.980029055	-2.967941554
LINC01547	0.288352494	5.561918484	3.926523443	0.004780119	0.980029055	-2.9695429
PLA2G4A	-0.320257568	9.107792751	-3.925929155	0.004783998	0.980029055	-2.969804406
ARV1	0.378846434	4.90273298	3.924177012	0.004795454	0.980029055	-2.970575699
ANKRD36BP2	-0.315778924	3.241959121	-3.923986252	0.004796703	0.980029055	-2.970659698
MICB	-0.352872761	4.3921902	-3.921581659	0.004812478	0.980029055	-2.971718979
MEI1	0.252849453	5.531139521	3.909586143	0.004892013	0.980029055	-2.977015641
CLK4	-0.403326947	4.462849142	-3.901021101	0.00494967	0.980029055	-2.980810175
DCLRE1C	-0.352545847	5.699021956	-3.893461116	0.00500117	0.980029055	-2.984168187
NA	-0.269212744	4.924668866	-3.88913125	0.005030926	0.980029055	-2.986095135
SLC4A7	-0.401216384	7.779975088	-3.879164834	0.005100145	0.980029055	-2.990540803
NA	0.289258139	3.521249201	3.873455466	0.00514026	0.980029055	-2.993093997
TTBK2	-0.263871345	4.413562949	-3.86988775	0.005165499	0.980029055	-2.994691844
LEPROT	-0.29189295	3.949848838	-3.868596582	0.005174667	0.980029055	-2.995270563
ago-03	-0.256691728	8.252224569	-3.867915502	0.005179509	0.980029055	-2.995575929
KIAA1755	0.341964468	4.226139983	3.85277138	0.00528846	0.980029055	-3.002383203
AMBN	0.297485387	4.555624904	3.851408713	0.005298384	0.980029055	-3.002997348
CSRP2	-0.271035988	4.424801462	-3.839782577	0.005383872	0.980029055	-3.008248115
MSI2	-0.38436597	6.183192873	-3.83873028	0.005391683	0.980029055	-3.008724336
TMEM53	-0.338889065	7.488025741	-3.831733977	0.005443924	0.980029055	-3.011894632
AQP5	-0.296446574	7.660548836	-3.831070152	0.005448909	0.980029055	-3.012195806
DNAH6	0.392976151	5.532572657	3.830385659	0.005454055	0.980029055	-3.012506425
CXADR	-0.362849772	7.76230443	-3.824217436	0.005500658	0.980029055	-3.015308596
NPAS3	-0.307735385	3.575785099	-3.823026332	0.005509707	0.980029055	-3.015850343
ITGB8	-0.32160585	4.964567697	-3.819631113	0.005535587	0.980029055	-3.017395713
PCK1	-0.328415199	4.293476813	-3.819403853	0.005537324	0.980029055	-3.017499213
COLGALT1	-0.359843662	8.3501971	-3.819288561	0.005538206	0.980029055	-3.017551723
RNASE7	-0.251806395	3.461550171	-3.814897701	0.005571887	0.980029055	-3.01955298
ADCY5	0.270604738	5.045902118	3.807557652	0.005628685	0.980029055	-3.02290469
DAB2IP	0.378416093	5.166288646	3.801610051	0.005675164	0.980029055	-3.02562633
C12orf66	0.275453801	4.688154809	3.79493876	0.005727791	0.980029055	-3.028685284
DEFB1	-0.390966139	6.009697243	-3.78955813	0.005770619	0.980029055	-3.031157181
GBP6	-0.257012114	3.754760974	-3.782950872	0.005823682	0.980029055	-3.034198397
TGIF2	-0.291149876	6.027787182	-3.775833587	0.005881429	0.980029055	-3.03748153
C19orf45	0.299936603	5.587350398	3.768230709	0.005943796	0.980029055	-3.040996875
LOC101928820	-0.415571766	4.636717993	-3.758721319	0.006022805	0.980029055	-3.045405692
ABO	0.253136804	6.302362588	3.754312932	0.006059815	0.980029055	-3.047454055
NA	-0.401795283	4.860095923	-3.74424145	0.006145287	0.980029055	-3.052144525
NA	0.280064935	5.835993113	3.73831783	0.006196163	0.980029055	-3.054910248
KIR2DS3	0.339408327	4.945351835	3.735775083	0.00621814	0.980029055	-3.056099039
SRPRB	-0.354840449	8.588122198	-3.735200126	0.006223121	0.980029055	-3.056367976
ZBTB20	-0.415209075	6.378071421	-3.72911851	0.006276071	0.980029055	-3.059215657
NA	0.293156571	6.98655452	3.728814159	0.006278733	0.980029055	-3.059358311
CD84	0.449355693	4.693540717	3.727928425	0.006286489	0.980029055	-3.059773547
ZNF286A	-0.321748421	5.990071615	-3.727425201	0.0062909	0.980029055	-3.060009512
MGAT3	-0.362223393	5.879909518	-3.723238203	0.006327728	0.980029055	-3.061974275
ADAM19	-0.362598894	7.941219578	-3.722531029	0.006333972	0.980029055	-3.062306375
GABRD	0.281442144	5.713212907	3.71775086	0.006376346	0.980029055	-3.064553158
CYP2C9	0.293772386	4.456734881	3.716481755	0.006387647	0.980029055	-3.065150233
NA	-0.275244082	5.13997404	-3.71502355	0.006400659	0.980029055	-3.065836568
CTSZ	-0.618840517	8.134245664	-3.713567086	0.006413683	0.980029055	-3.066522399
EHD4	-0.287389147	5.741999755	-3.711313232	0.006433894	0.980029055	-3.06758433
NA	-0.263175307	4.257375165	-3.698984798	0.006545665	0.980029055	-3.073406352
NA	-0.24531608	4.301179721	-3.692451531	0.00660574	0.980029055	-3.07650079
BACE2	-0.397674526	5.28521931	-3.692014554	0.006609779	0.980029055	-3.076707988
IFNA17	0.342137035	5.136681149	3.690411374	0.00662462	0.980029055	-3.077468397
AGBL5	-0.294663036	5.753504093	-3.679999311	0.006721884	0.980029055	-3.082416274
GPATCH2L	-0.343975196	5.903135049	-3.674478587	0.006774076	0.980029055	-3.085046303
SNRNP48	-0.276552718	7.587307834	-3.671801763	0.006799539	0.980029055	-3.086323155
SGSM1	0.244724494	3.7798114	3.669577657	0.006820773	0.980029055	-3.087384872
PPIL2	0.316022181	6.787463458	3.6678822	0.006837008	0.980029055	-3.088194723
KITLG	-0.296025424	7.98883883	-3.666317843	0.006852024	0.980029055	-3.088942334
EFHC2	-0.328916781	4.38283	-3.661883089	0.006894786	0.980029055	-3.0910637
C12orf76	0.263204344	4.552632775	3.661856174	0.006895046	0.980029055	-3.091076584
DHX29	0.276624585	8.86727222	3.6610707	0.00690265	0.980029055	-3.091452625
PDE10A	-0.429094835	4.112367359	-3.652107481	0.00699006	0.980029055	-3.095750233
SULT1B1	0.362134848	5.178197201	3.649952732	0.007011249	0.980029055	-3.096785163
SERPINH1	-0.332286333	9.365467109	-3.649675345	0.007013982	0.980029055	-3.096918443
NA	0.242351878	4.801641856	3.647492034	0.007035532	0.980029055	-3.097967889
GXYLT1	-0.303931145	6.798652008	-3.64613774	0.007048935	0.980029055	-3.098619213
