Symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
ITGB8	-0.598067061	4.826337092	-8.617244451	2.79E-05	0.389588849	0.211320594
ATL3	-1.019659136	6.012743361	-8.559257054	2.93E-05	0.389588849	0.196749349
REEP3	-0.720937324	7.389653631	-8.48433074	3.12E-05	0.389588849	0.177608429
UBA6	-0.693835131	7.770857136	-8.373848185	3.43E-05	0.389588849	0.148724233
EIF2S3	-0.770364442	9.416147255	-8.10197162	4.35E-05	0.389588849	0.074140616
FGD4	-0.673946733	5.622838397	-8.064388894	4.49E-05	0.389588849	0.063421791
HINT3	0.822363925	5.577741854	7.938405785	5.02E-05	0.389588849	0.026734434
GLUD2	-0.518906656	8.044084458	-7.751939704	5.94E-05	0.389588849	-0.029780097
PRKAR1A	-0.615249211	9.261139435	-7.668661354	6.41E-05	0.389588849	-0.055908168
ADAM10	-0.535264593	9.463628767	-7.226525308	9.72E-05	0.530608209	-0.204485239
ZDHHC20	-0.737458963	7.663825692	-6.960641486	0.000125926	0.530608209	-0.302478493
SLC16A1	-0.608115087	8.964244872	-6.84961528	0.00014064	0.530608209	-0.345479882
ABCC12	0.494207052	3.836539219	6.805351803	0.000147029	0.530608209	-0.3629798
SCARB2	-0.517808171	9.235962566	-6.751080098	0.000155306	0.530608209	-0.384719463
TBL1XR1	-0.508522651	7.640481539	-6.739698017	0.000157107	0.530608209	-0.389318751
PTBP3	-0.55476769	7.979249406	-6.715710039	0.000160978	0.530608209	-0.399057613
ARGLU1	-0.478811192	7.335530001	-6.691567788	0.000164981	0.530608209	-0.408922145
G3BP2	-0.502560494	8.882389216	-6.438048198	0.00021438	0.569645181	-0.516442531
GLUD1	-0.483902477	9.214165595	-6.387509392	0.000226071	0.569645181	-0.538762433
STRN3	-0.425323954	4.874472332	-6.38664979	0.000226276	0.569645181	-0.539144688
CALR	0.951817133	8.089283096	6.366569152	0.00023112	0.569645181	-0.54809944
PPHLN1	-0.421757558	7.232239248	-6.343600019	0.000236802	0.569645181	-0.558401603
RC3H2	-0.573997709	6.936971906	-6.294099052	0.000249581	0.569645181	-0.580820961
U2AF1	-0.478084364	5.645193542	-6.292335153	0.00025005	0.569645181	-0.581625355
PGGT1B	-0.456259573	6.959870908	-6.213931075	0.000271924	0.573511566	-0.617767785
GLS	-0.41921245	6.430216737	-6.128563648	0.000298173	0.573511566	-0.657995963
GLUD1	-0.432055588	9.516856995	-6.053081566	0.000323727	0.573511566	-0.694343421
SNRNP40	-0.448725184	9.064698816	-6.051102945	0.000324429	0.573511566	-0.695306165
MEPE	0.443357552	5.832598221	5.976197142	0.000352264	0.573511566	-0.732132979
G3BP1	-0.490432976	9.876822699	-5.971508559	0.000354092	0.573511566	-0.734462866
SNX13	-0.431447706	7.633308555	-5.953910818	0.000361047	0.573511566	-0.743233945
PHTF2	-0.509037202	7.194807313	-5.941171471	0.000366175	0.573511566	-0.749609473
ARHGAP18	-0.420909776	9.864288179	-5.938694799	0.000367182	0.573511566	-0.750851488
LMAN1	-0.415617978	8.327251332	-5.937356866	0.000367727	0.573511566	-0.751522786
NA	-0.550437386	6.396425599	-5.905976787	0.000380767	0.573511566	-0.767337045
TRIM23	-0.591005385	6.318148834	-5.857746673	0.000401814	0.573511566	-0.791904938
ATF2	-0.568733358	6.790469185	-5.857301988	0.000402014	0.573511566	-0.792132942
TMPO	-0.440140768	8.358272166	-5.842895805	0.00040855	0.573511566	-0.79953425
ATP13A3	-0.46921521	9.203948739	-5.841719233	0.000409089	0.573511566	-0.800139993
OSTF1	-0.446838169	8.117198482	-5.729486535	0.000464294	0.603078369	-0.858812168
TMEM64	-0.43642078	6.419157112	-5.722927653	0.000467765	0.603078369	-0.862296064
HNRNPH1	-0.839837987	7.857565197	-5.716910081	0.000470975	0.603078369	-0.865497841
PAXBP1	-0.41498738	6.96889852	-5.710722361	0.0004743	0.603078369	-0.868795557
NA	0.409270908	6.706016783	5.688158537	0.000486649	0.604716216	-0.880867424
TRAM1	-0.436858682	10.52113397	-5.664859461	0.000499772	0.607222673	-0.893409739
NA	0.404777322	5.153621779	5.612591276	0.000530651	0.61600134	-0.921833972
SELENOT	-0.436433623	10.97234691	-5.587972812	0.000545918	0.61600134	-0.935360738
MFSD7	-0.370039218	4.613338966	-5.547333202	0.000572188	0.61600134	-0.957886933
NA	0.413628022	5.958026119	5.544616551	0.000573993	0.61600134	-0.959401527
TRPS1	-0.525553651	7.494510253	-5.538506198	0.000578075	0.61600134	-0.962812223
NA	0.549564928	7.895313584	5.525608751	0.000586798	0.61600134	-0.970029739
CHP1	-0.427811609	8.078325757	-5.522850287	0.000588682	0.61600134	-0.971576641
LINC01365	0.388480549	4.484388638	5.51060245	0.00059713	0.61600134	-0.978458865
ADAM17	-0.582960956	7.685092009	-5.484813388	0.000615355	0.62304736	-0.993024175
NA	-0.433263682	4.734413202	-5.447410785	0.000642884	0.637753815	-1.014328281
SCAMP1	-0.577190285	8.094808613	-5.41943053	0.000664362	0.637753815	-1.030405597
AGPS	-0.393470168	8.730127604	-5.418776206	0.000664874	0.637753815	-1.030783011
LOC100190986	-0.532732178	8.257651982	-5.386068341	0.000691007	0.642077092	-1.0497333
LARP4	-0.438241508	7.936008254	-5.368576901	0.000705444	0.642077092	-1.059935699
