Symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
DOCK4	1.48	1.48	407.703887	9.88E-05	0.22814953	-0.071279726
NA	1.615	1.615	294.8690348	0.00015998	0.22814953	-0.075735194
NA	1.275	1.275	232.7913432	0.000227328	0.22814953	-0.081359072
NA	0.9065	0.9065	217.4258281	0.000251611	0.22814953	-0.083536695
NA	1.185	1.185	216.3590131	0.000253457	0.22814953	-0.083705175
PDZK1	0.539	0.539	148.481348	0.00044352	0.22814953	-0.102887165
NECAB2	0.724	0.724	147.9636033	0.000445828	0.22814953	-0.103139373
AKR1C1	0.551	0.551	138.3185504	0.000492807	0.22814953	-0.10835636
SP5	0.483	0.483	129.7828026	0.00054174	0.22814953	-0.113951867
IRF8	0.9115	0.9115	127.6070957	0.000555524	0.22814953	-0.115555994
NA	1.0015	1.0015	127.409064	0.000556808	0.22814953	-0.115705989
C22orf24	0.841	0.841	123.8038425	0.000581076	0.22814953	-0.118560296
TCL6	1.08	1.08	120.4035874	0.000605631	0.22814953	-0.121483809
CRYAB	0.4375	0.4375	119.7586845	0.000610485	0.22814953	-0.122065741
NA	0.732	0.732	119.697271	0.00061095	0.22814953	-0.122121635
NA	-0.4325	-0.4325	-118.3900138	0.000621003	0.22814953	-0.123331484
GAS2L3	-0.4305	-0.4305	-117.8425455	0.000625296	0.22814953	-0.123849798
ITGAX	1.05	1.05	117.0590433	0.000631526	0.22814953	-0.124603879
LOC400581	0.466	0.466	116.980843	0.000632153	0.22814953	-0.12467995
NA	1.01	1.01	112.5996512	0.000669053	0.22814953	-0.129189974
NA	1.01	1.01	112.5996512	0.000669053	0.22814953	-0.129189974
NA	0.416	0.416	111.7798051	0.000676359	0.22814953	-0.130091379
BBOX1	0.675	0.675	110.3765819	0.000689177	0.22814953	-0.131679464
NA	0.387	0.387	106.6090569	0.000725683	0.22814953	-0.136246488
NA	0.58	0.58	105.8972385	0.000732944	0.22814953	-0.137162517
ELF3	-0.4895	-0.4895	-105.766804	0.000734288	0.22814953	-0.137332305
NA	0.381	0.381	104.9562033	0.000742732	0.22814953	-0.138401169
PSG2	0.417	0.417	104.6802823	0.000745643	0.22814953	-0.138770462
CENPE	-0.4245	-0.4245	-101.8171694	0.000777016	0.22814953	-0.142774326
FBXO4	0.3595	0.3595	98.40742186	0.000817363	0.22814953	-0.14798654
C19orf43	-0.362	-0.362	-97.26992658	0.000831609	0.22814953	-0.149843135
NA	0.529	0.529	96.58558477	0.000840381	0.22814953	-0.150990449
PDXDC2	-0.358	-0.358	-96.19512077	0.000845455	0.22814953	-0.151655582
CYP7A1	0.86	0.86	95.87693072	0.000849628	0.22814953	-0.152203351
LOC201229	0.345	0.345	95.03908177	0.000860784	0.22814953	-0.153670937
NA	-0.3605	-0.3605	-94.05344702	0.000874224	0.22814953	-0.155445516
ZNF354C	0.6005	0.6005	93.09968035	0.000887567	0.22814953	-0.157214119
BIRC5	-0.3535	-0.3535	-92.2271665	0.000900074	0.22814953	-0.158878033
LARGE	0.3835	0.3835	91.98323782	0.000903624	0.22814953	-0.159351295
NA	0.503	0.503	91.83846718	0.000905741	0.22814953	-0.159633872
NA	-0.3345	-0.3345	-91.56406846	0.000909778	0.22814953	-0.160172973
TXNDC13	0.337	0.337	90.55239022	0.000924925	0.22814953	-0.162200999
NA	-0.395	-0.395	-90.06920894	0.000932308	0.22814953	-0.163192582
NA	-0.439	-0.439	-89.71826222	0.000937733	0.22814953	-0.163922352
GBP4	-0.5165	-0.5165	-89.19789905	0.000945874	0.22814953	-0.165019497
THBS1	0.3715	0.3715	89.10501395	0.00094734	0.22814953	-0.165217259
PTPRB	-0.35	-0.35	-87.86114817	0.00096734	0.22814953	-0.167923134
STIM2	0.4525	0.4525	87.40507096	0.00097485	0.22814953	-0.168942799
CDC2	-0.3265	-0.3265	-85.18294162	0.001012881	0.22814953	-0.174134372
CENPE	-0.414	-0.414	-84.60902178	0.001023109	0.22814953	-0.175538381
NA	-0.311	-0.311	-83.5661524	0.00104214	0.22814953	-0.178159767
WIPI1	0.309	0.309	83.02874949	0.00105218	0.22814953	-0.179547078
PRKCA	0.3175	0.3175	82.83486666	0.001055842	0.22814953	-0.18005384
CDC2	-0.325	-0.325	-81.58535188	0.001079962	0.22814953	-0.183401694
MCM6	0.303	0.303	81.41654076	0.001083292	0.22814953	-0.183865136
CDC2	-0.323	-0.323	-81.08328817	0.001089915	0.22814953	-0.184788019
NA	-0.3375	-0.3375	-80.95004632	0.001092582	0.22814953	-0.185160007
STRA6	-0.2945	-0.2945	-80.61470302	0.001099343	0.22814953	-0.186103902
NA	0.29	0.29	79.8879238	0.001114238	0.22814953	-0.188187972
NFE2	0.541	0.541	79.64075959	0.001119381	0.22814953	-0.188908942
D4S234E	0.2895	0.2895	79.24603234	0.001127677	0.22814953	-0.190073481
ASB2	-0.433	-0.433	-79.05776598	0.00113167	0.22814953	-0.190634674
NA	-0.3025	-0.3025	-78.92140839	0.001134577	0.22814953	-0.191043484
BIRC5	-0.3615	-0.3615	-78.10970307	0.001152142	0.22814953	-0.193518625
ZNF114	0.477	0.477	77.99945122	0.001154563	0.22814953	-0.193860402
MFSD2	0.303	0.303	76.06265113	0.001198521	0.22814953	-0.200092311
ADCY10	0.915	0.915	75.97428875	0.001200593	0.22814953	-0.20038727
APOE	0.2775	0.2775	75.96122271	0.001200899	0.22814953	-0.200430967
SPOCK1	0.416	0.416	75.9538814	0.001201072	0.22814953	-0.200455528
NA	0.37	0.37	75.61675859	0.001209038	0.22814953	-0.201590573
GADD45A	0.281	0.281	75.50510876	0.001211696	0.22814953	-0.201969606
NA	-0.367	-0.367	-75.00364974	0.001223754	0.22814953	-0.20369144
HMGB2	-0.366	-0.366	-74.79928012	0.001228726	0.22814953	-0.204402427
NA	-0.3865	-0.3865	-74.65648602	0.00123222	0.22814953	-0.204902421
PID1	0.297	0.297	74.55646002	0.001234677	0.22814953	-0.205254254
SFRP1	0.326	0.326	74.33560029	0.001240133	0.22814953	-0.206035786
WSB1	-0.2705	-0.2705	-74.04508376	0.00124737	0.22814953	-0.207073711
MCM9	-0.2825	-0.2825	-73.70346403	0.001255971	0.22814953	-0.208308813
FAM122C	-0.274	-0.274	-73.62419857	0.001257981	0.22814953	-0.208597674
NA	-0.2685	-0.2685	-73.49761549	0.001261202	0.22814953	-0.209060769
FUT9	0.492	0.492	72.42745604	0.001288994	0.22814953	-0.213066171
SLC6A4	0.8415	0.8415	72.21220935	0.001294707	0.22814953	-0.21389177
CENPE	-0.4175	-0.4175	-72.10091549	0.001297678	0.22814953	-0.214321332
NA	-0.267	-0.267	-71.74328839	0.001307302	0.22814953	-0.215714204
NA	-0.2595	-0.2595	-71.03400827	0.001326747	0.22814953	-0.218534368
NA	-0.2955	-0.2955	-70.87626278	0.001331137	0.22814953	-0.219172223
NA	0.3645	0.3645	70.40695771	0.001344344	0.22814953	-0.22109332
RGNEF	-0.276	-0.276	-69.28479113	0.001376826	0.22814953	-0.225833422
FYB	-0.2525	-0.2525	-69.11786931	0.00138177	0.22814953	-0.226556706
NA	-0.2645	-0.2645	-69.00731411	0.001385061	0.22814953	-0.227038406
NA	-0.2875	-0.2875	-68.95744686	0.001386549	0.22814953	-0.22725638
FBXO31	0.3565	0.3565	68.86167469	0.001389416	0.22814953	-0.227676228
GOLT1B	0.2515	0.2515	68.84413518	0.001389942	0.22814953	-0.227753293
NA	0.3185	0.3185	68.81864572	0.001390707	0.22814953	-0.227865384
CTH	0.249	0.249	68.59342423	0.001397498	0.22814953	-0.228860798
NA	0.271	0.271	68.02963187	0.001414743	0.22814953	-0.231392479
NFKBID	-0.253	-0.253	-67.98146803	0.001416232	0.22814953	-0.231611438
NA	0.3925	0.3925	67.7834954	0.001422383	0.22814953	-0.232515942
NA	-0.27	-0.27	-67.77860002	0.001422536	0.22814953	-0.232538401
CCNB1	-0.2825	-0.2825	-67.75818692	0.001423173	0.22814953	-0.232632097
