"Symbol"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"KLHL24"	1.52773949381116	6.67583213843516	30.1817307534904	2.49820400059554e-09	0.000136589303732561	10.1870832552049
"DDIT4"	1.56841506436041	11.0232486119387	27.1582117387014	5.6298792431865e-09	0.000153906823810611	9.79547877591017
"GDF15"	1.47176863299646	9.32109093666178	24.7853602597763	1.13650843914588e-08	0.000177110932058554	9.41882279435691
"TMCC1"	1.22677970734069	10.0320978264816	24.3654977454739	1.29573612845764e-08	0.000177110932058554	9.34456899806556
"DUSP5"	1.23430201489253	8.08610866167427	23.5082005716007	1.70539622736729e-08	0.000186485077462613	9.18496379024448
"ATF3"	1.44885283429741	9.02565188845656	20.9131833385344	4.17501950583769e-08	0.000366674748589143	8.62721246487906
"ZC3H12D"	1.09936204222408	5.85602045195967	20.5395784486444	4.79140126850785e-08	0.000366674748589143	8.53638633197254
"SLC1A4"	1.21410969459625	7.37191737613159	19.8648923977724	6.1826924159918e-08	0.000366674748589143	8.36475500493681
"STC2"	1.02048240043537	9.30591515659838	19.8283606737079	6.27011715488815e-08	0.000366674748589143	8.35517125228191
"ASNS"	1.05042269730599	11.7432430139036	19.4868358805792	7.15837612795369e-08	0.000366674748589143	8.26407602621625
"RHOU"	1.26933683051544	8.13089259994168	19.3759118515804	7.47673457260668e-08	0.000366674748589143	8.23389592120351
"INHBE"	1.52898021251599	6.27145091051761	19.1896879577813	8.04773110758065e-08	0.000366674748589143	8.18255888237812
"SLC1A4"	1.02059223081151	7.34940731700851	18.7186778309516	9.7244433346457e-08	0.000397578984888889	8.04886190350325
"GBE1"	1.16472081972877	8.97699157203269	18.4837494702092	1.07054741239902e-07	0.000397578984888889	7.98004471354353
"EMP1"	1.38906329938681	8.05832298448245	18.4383786486326	1.09075167322055e-07	0.000397578984888889	7.96658620808214
"CREBRF"	1.16573918632597	7.83462377273422	18.1971830892205	1.20563831721392e-07	0.000411989218710444	7.89410800658158
"GBP3"	1.10684478544645	4.27285877164281	17.2867369628688	1.78039728858874e-07	0.000572607186785819	7.60573778386053
"CEBPB"	0.881713308526017	11.7852591311333	16.9537305285641	2.06336554754196e-07	0.000626747285065869	7.49408596590974
"CCNG2"	1.09884265369445	10.334908251826	16.6962843972881	2.3170073261919e-07	0.000666749345050221	7.40536738990928
"MAFF"	0.791057303355186	6.92551467651731	16.3957960301608	2.65851763549338e-07	0.000687656505350534	7.29907496810302
"CREBRF"	1.14929867055937	7.79028318231454	16.3819441807345	2.67557513626546e-07	0.000687656505350534	7.29410233132286
"PCK2"	0.801201925218816	9.43519968501206	16.3093749835679	2.76697633611555e-07	0.000687656505350534	7.26794447573604
"BTG1"	0.832983594529141	10.2882234591595	15.9575809680344	3.2629445052735e-07	0.000747190637301491	7.13856088245467
"CREBRF"	1.51935429209085	5.88032264081033	15.9466723122522	3.27984916236594e-07	0.000747190637301491	7.13447936162624
"BNIP3L"	0.903028425354227	11.3879162499792	15.4788459853284	4.10667575766419e-07	0.0008624307123533	6.95537306361723
"CTH"	1.083857553072	8.24252327328978	15.4424506679743	4.18025386653647e-07	0.0008624307123533	6.94109899962556
"SLC7A11"	1.52328726561826	9.75732957155186	15.4043287278477	4.25891709804099e-07	0.0008624307123533	6.92609394500134
"PPP1R15A"	0.970999921646773	7.01045932549282	15.2723747759723	4.54434061578968e-07	0.000864686699557184	6.8737272402102
"VEGFA"	0.937744653814361	11.0584291054636	15.2537391728865	4.58635835156074e-07	0.000864686699557184	6.86627756817772
"GPRC5A"	0.863184890841168	10.3594030554348	15.0903364540224	4.97409604087324e-07	0.00090257675358091	6.80037658057599
"KLHL24"	1.78311157845842	5.32547573910443	15.024680212221	5.14017093236003e-07	0.00090257675358091	6.77360094806765
NA	-0.737636068589616	8.02233692600543	-14.9679633839577	5.28866668039404e-07	0.00090257675358091	6.75033264693693
"SLC6A8"	0.737725991233348	8.03218372679079	14.909192714878	5.44765118759397e-07	0.00090257675358091	6.72608549835367
"SLC38A2"	0.734145945083634	11.7779516726557	14.8010405825473	5.75447170790399e-07	0.000925369825381325	6.6810991781256
"KLF5"	0.780838935400249	10.2156729018719	14.6937915614511	6.07805538753477e-07	0.00094947908089561	6.63601516811533
"TRIB3"	0.777257019484674	11.3903352496342	14.6131054722239	6.33500172969613e-07	0.0009621283876976	6.60178283509769
"BHLHE40"	1.32638205317283	8.5768937619722	14.5525615328705	6.53583473234504e-07	0.000965802064840446	6.57591693903904
"EDNRA"	-1.020372094095	6.21556848968906	-14.3892949837322	7.11405816528477e-07	0.00102358192154459	6.50538986507392
"NAV3"	0.735833703367	7.44606255181714	14.3218116093928	7.36968755194914e-07	0.00103317350487902	6.47590422272922
"INSIG2"	0.776056305605216	8.88171679693641	14.1573446538045	8.03709705924697e-07	0.00106310826126022	6.40321020974255
"SPAG4"	1.74688482048428	8.39344983789162	14.1369824127706	8.12435626532686e-07	0.00106310826126022	6.39412707734912
"PLEKHG1"	0.773901541529394	8.19026732993054	14.1132531044442	8.22739131098922e-07	0.00106310826126022	6.38351867649897
"GPRC5A"	0.817485791711915	9.62981137504071	14.04581234566	8.52833869654149e-07	0.00106310826126022	6.35323112675976
NA	0.730190711395929	8.63596554320836	14.0398749938679	8.55542084964782e-07	0.00106310826126022	6.35055488388404
"ERN1"	0.907099462737432	7.51064644258325	13.8930792041535	9.25675233148642e-07	0.00111430912668799	6.28387878521045
"KLF6"	0.735309420064194	9.19058771799516	13.8527461948951	9.46060680145468e-07	0.00111430912668799	6.26538659962264
"SLC16A4"	0.928233764454685	8.06566912716832	13.8297908623783	9.57888046718525e-07	0.00111430912668799	6.2548283555707
"HERPUD1"	0.737505136340753	11.1372076078676	13.7435141918717	1.00385099996838e-06	0.00113987400676749	6.21492687770993
"ARHGAP18"	0.653796728475015	9.57137410449878	13.667880007478	1.04619078268389e-06	0.00113987400676749	6.17966086173514
"NR1D2"	1.13260240573502	6.91937274107376	13.6426716118163	1.06074554023638e-06	0.00113987400676749	6.16784697015254
"ALDOC"	1.0539257871364	10.2134346200885	13.6383612525085	1.06325696104512e-06	0.00113987400676749	6.16582390998222
"PPP1R15A"	0.80010902051331	7.70083480815509	13.555210593768	1.11303686244887e-06	0.00114808113078848	6.12662416415076
"USP54"	0.780925701906913	8.65220353906361	13.5398110831226	1.12254076906032e-06	0.00114808113078848	6.11932808054842
"IRS2"	1.01485624809794	8.89557700736915	13.5187052440906	1.13571489687767e-06	0.00114808113078848	6.10930989722949
"PLOD2"	0.991103372399063	10.9602159571505	13.4884478736547	1.15490557280963e-06	0.00114808113078848	6.09491035271222
"CCNG2"	1.12820683884883	8.88490434566921	13.4417616799287	1.18523545742293e-06	0.00115719193990355	6.07260534975376
"SESN2"	0.822917612461341	8.00550197429706	13.4046915599127	1.20995648007765e-06	0.00116060299207448	6.05481904242125
"CYP1A1"	1.62866690766807	9.75417605033327	13.3062522196437	1.27846364300153e-06	0.00118475730033293	6.00726064238979
"FAM134B"	0.751542449766541	6.33116946987431	13.3062348645465	1.27847609912469e-06	0.00118475730033293	6.007252215589
"AK4"	0.666220694283231	9.4897778307365	13.202784982295	1.35520728682913e-06	0.00119083476411606	5.95675564470385
"MAFF"	1.36163972613589	9.2147883007427	13.1885459587497	1.36616831395382e-06	0.00119083476411606	5.94976330478075
"PFKFB4"	0.954271613355075	8.8519399925198	13.1653691455187	1.38422325160314e-06	0.00119083476411606	5.93836007806153
"ICAM1"	0.743828805237484	7.02358648287812	13.1432824342497	1.40167883914115e-06	0.00119083476411606	5.92746797525813
"UNC5B"	1.19264392591609	6.55822503722567	13.13598681427	1.40749895940173e-06	0.00119083476411606	5.92386470712918
"ATF3"	1.13206462056945	7.65623319679449	13.1257444129393	1.41571576895371e-06	0.00119083476411606	5.91880148993843
"GNG2"	-0.824958827119115	7.23985517894907	-13.0293659520654	1.49573046111314e-06	0.00123907671153577	5.87089632128576
"SH2B3"	0.795359322776114	7.44270844262904	12.9772101095754	1.54114202996452e-06	0.00125531219560145	5.84477356769397
"DDIT3"	0.985161887195568	9.86475780884358	12.9546670465985	1.56124790673798e-06	0.00125531219560145	5.83343917432923
"BTG1"	0.832329115741235	10.0772858692979	12.8235653767084	1.68418164716494e-06	0.00131096690330341	5.76699787492631
"CHD2"	0.616425043451777	8.75256975261153	12.7934059237396	1.71397765292979e-06	0.00131096690330341	5.751585536358
"VEGFA"	0.951429289386462	7.70198552571302	12.7768682085583	1.73056718309763e-06	0.00131096690330341	5.74311384652537
"EIF1"	0.677256497793287	12.9349947035175	12.7540932620341	1.75370954492186e-06	0.00131096690330341	5.73142326395092
"CD55"	0.757237475616893	11.1736043419938	12.7376720744228	1.77061136914035e-06	0.00131096690330341	5.72297698615253
"JMY"	0.934648049570475	8.75324603031525	12.7340817966194	1.77433106254142e-06	0.00131096690330341	5.72112840158694
"FNDC3B"	0.629860188956444	9.91319281677196	12.6975582560579	1.81267415106117e-06	0.00132143945612359	5.70228375567241
NA	0.871891045415882	8.1637966806475	12.6557922521621	1.85766614635436e-06	0.00133641969147269	5.68064645698454
"KLF6"	0.820213633239465	9.72959616475345	12.6220298414731	1.89495422397489e-06	0.00133972541437687	5.66308672051172
"SLC7A11"	1.5157479693348	9.62874511182723	12.6074924161249	1.91126808086687e-06	0.00133972541437687	5.65550683108955
