Symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
XLOC_008079	-3.028159313	0.94923871	-8.065323536	0.000162957	0.305613678	0.311748427
KRT34	-3.964887467	0.841592533	-10.57311692	3.36E-05	0.305613678	0.949160483
KIAA1908	3.937323067	0.179922333	7.87543509	0.000186766	0.305613678	0.246902675
LRP8	-3.2470163	1.02781615	-7.936238334	0.000178732	0.305613678	0.2679852
FGF1	-3.583473533	-0.2638405	-9.109590711	8.06E-05	0.305613678	0.621242523
DHCR7	-4.104673687	0.619832657	-8.165762917	0.000151783	0.305613678	0.344888766
DMGDH	3.70205864	-1.23076368	8.732825169	0.000103016	0.305613678	0.518072971
FAM84A	-3.702455667	0.263848067	-8.755166849	0.000101501	0.305613678	0.524441588
EDN2	-3.604107833	1.074525183	-9.649485675	5.75E-05	0.305613678	0.754608261
BCL2	3.464248667	0.2203671	8.431206117	0.000126247	0.305613678	0.428803381
IL7R	-3.319400975	1.320449446	-8.732108491	0.000103065	0.305613678	0.517868137
MAL2	3.055906633	0.044085017	7.879825791	0.000186172	0.305613678	0.248435304
KLHDC7B	5.095935883	-2.238530825	10.78180486	2.99E-05	0.305613678	0.988053398
WWC1	-3.375641387	1.128354007	-8.732943798	0.000103008	0.305613678	0.518106873
KRT17	-3.091990333	0.5435361	-8.485848711	0.000121625	0.305613678	0.445441703
RRAD	-4.186248257	1.045781038	-9.146380929	7.87E-05	0.305613678	0.63085162
IFI27	-4.265810667	0.051984767	-9.468697079	6.43E-05	0.305613678	0.711725131
PSG8	-3.467678373	1.035017813	-8.408994795	0.000128184	0.305613678	0.421979491
PCSK9	-3.9436121	0.691313117	-8.315475637	0.00013672	0.305613678	0.392857207
LOC285141	4.517092853	-1.646334873	9.764010818	5.37E-05	0.305613678	0.780901547
DRD5	4.731659353	-1.869815723	10.7273558	3.08E-05	0.305613678	0.978069367
BST2	-4.3454846	-0.2617492	-8.093577607	0.000159721	0.305613678	0.321150418
PVRL4	-3.172725233	0.691170283	-7.956339617	0.000176164	0.305613678	0.274888319
LOC100134259	-3.611420933	0.9974284	-8.460284604	0.000123763	0.305613678	0.437683898
RND2	-4.262647807	1.751042297	-10.86487368	2.86E-05	0.305613678	1.003068304
SAA2	-3.641039843	0.704196912	-7.947500216	0.000177288	0.305613678	0.271856774
PSG3	-3.727786847	1.450281543	-7.797754386	0.000197639	0.311428052	0.219520695
SLC2A5	-3.422697393	0.799151437	-7.691627765	0.000213689	0.314820263	0.181281885
RIMS3	3.422565987	-1.14605294	7.653038371	0.000219891	0.314820263	0.167135176
INSIG1	-3.678275733	1.1491812	-7.640256625	0.000221991	0.314820263	0.162420523
