Symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
LYVE1	-3.61250304	1.935218647	-13.91340402	6.46E-07	0.024589858	5.18764128
BEX1	-3.47759768	-1.525318527	-12.24384948	1.73E-06	0.024589858	4.635464445
ENPP5	-4.058574657	1.232529472	-12.51649577	1.46E-06	0.024589858	4.734917998
NA	3.001385233	0.519318483	11.33007977	3.14E-06	0.03339749	4.271513709
NA	3.236139943	1.229734895	9.753706928	9.75E-06	0.069104002	3.512806303
ZNF192	2.613267967	0.331896983	9.753968308	9.74E-06	0.069104002	3.512947983
NA	3.295951077	1.033466895	8.797861443	2.10E-05	0.081114855	2.953803787
SERPINA3	-2.456019097	-0.664197285	-8.934470986	1.87E-05	0.081114855	3.038953383
CYP19A1	-2.369534503	-0.915589182	-8.972700404	1.81E-05	0.081114855	3.062453384
IL1RL1	-2.524656098	-1.145819884	-8.889373341	1.94E-05	0.081114855	3.01104765
ATRX	2.91238592	1.138813007	9.03267333	1.73E-05	0.081114855	3.09903377
NA	2.24313991	0.427538878	8.166955449	3.62E-05	0.084493485	2.535576828
NA	2.840245067	1.0940667	8.469908715	2.77E-05	0.084493485	2.741670753
PHEX	2.32276882	-0.546586357	7.978697593	4.28E-05	0.084493485	2.402366058
SERPINA3	-2.187572627	-0.696531053	-8.101159079	3.84E-05	0.084493485	2.489477204
NA	3.811773587	1.57839774	7.95677063	4.37E-05	0.084493485	2.38658659
GAL	-3.171303584	1.148637208	-8.290251592	3.24E-05	0.084493485	2.620662521
IFI27	-2.466771263	0.951504468	-8.055955223	3.99E-05	0.084493485	2.457521783
MUC3	2.560076233	0.230164283	8.04661681	4.03E-05	0.084493485	2.450891285
LOC283112	2.881821467	0.084864033	8.528227057	2.64E-05	0.084493485	2.780209265
SERPINA3	-2.201925123	-0.258118238	-8.021463207	4.12E-05	0.084493485	2.432981985
AREG	-3.587067233	-0.366562517	-8.337068242	3.11E-05	0.084493485	2.652532109
AREG	-3.24693289	0.325947755	-7.886844372	4.66E-05	0.086144452	2.335891089
NA	2.534542083	1.272911392	7.777197342	5.15E-05	0.091324792	2.255238925
MLL5	2.603892152	1.047911557	7.600836658	6.07E-05	0.103375085	2.122482574
NA	2.10638618	0.705346577	6.586613798	0.000166607	0.103431022	1.28088669
XLOC_005764	2.354248967	-0.337015617	7.068231892	0.000101793	0.103431022	1.697781792
NA	2.178629233	0.14852525	6.704024151	0.000147399	0.103431022	1.385534347
NA	2.432689513	-0.224628543	7.097891383	9.88E-05	0.103431022	1.722407897
NA	3.434629767	0.16081555	6.82797155	0.000129739	0.103431022	1.493872382
NA	2.064575687	-0.419752057	6.48972319	0.000184548	0.103431022	1.193019941
NA	2.727760527	-0.302611603	6.64421281	0.000156859	0.103431022	1.332472906
NA	2.23458303	-0.197405418	6.963975774	0.000113006	0.103431022	1.610273343
NA	2.41042996	0.77746852	7.049988427	0.000103663	0.103431022	1.682575458
XLOC_005327	4.276739467	0.118992967	7.296401597	8.13E-05	0.103431022	1.884218101
NA	2.419301667	1.347161133	6.692493997	0.000149173	0.103431022	1.375345316
NA	2.434871967	-0.249957383	6.632796551	0.00015874	0.103431022	1.322286536
NA	3.8658309	0.360792883	7.364062246	7.61E-05	0.103431022	1.938191617
NA	3.468985367	0.383563417	6.598299056	0.000164576	0.103431022	1.291390994
SOCS2	-1.783085673	0.30171593	-6.526637576	0.000177473	0.103431022	1.226658585
