Symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
DRD5	5.724271567	-1.373509617	18.07215756	4.99E-08	0.001485652	8.208047531
KRT14	-4.286072083	2.006884092	-16.50907739	1.05E-07	0.001485652	7.71701194
TM4SF1	-4.03184716	1.14059202	-16.67218973	9.67E-08	0.001485652	7.77195121
KLHDC7B	5.237582907	-2.167707313	15.58954968	1.67E-07	0.001780193	7.389433158
RIMS3	4.161244767	-0.77671355	14.99221006	2.30E-07	0.001958322	7.159170702
LOC285141	4.306217973	-1.751772313	14.64494519	2.78E-07	0.001974736	7.01846377
LYVE1	-3.963699007	1.759620663	-14.06845594	3.86E-07	0.002119667	6.77301022
RGS4	-3.718876533	-0.297290333	-14.01218546	3.99E-07	0.002119667	6.748223531
KRT16P2	-4.56699404	1.45867318	-13.51652941	5.33E-07	0.002521705	6.523201862
LOC100505695	3.5863342	-0.301777833	13.03419586	7.15E-07	0.003042878	6.292145119
TM4SF1	-3.830043147	1.185729327	-12.81316731	8.21E-07	0.003174659	6.182060798
XLOC_008079	-3.21397306	0.856331837	-12.26856987	1.16E-06	0.003264565	5.898887595
MLXIPL	3.1843713	-1.145972717	11.91651347	1.47E-06	0.003264565	5.706315504
KCNG1	3.2782871	0.671842517	12.01201375	1.38E-06	0.003264565	5.759319653
PSG3	-3.723518527	1.452415703	-12.32831556	1.12E-06	0.003264565	5.930809819
SLC6A6	-3.183253333	0.387403333	-12.27890422	1.16E-06	0.003264565	5.904424725
HMGCS1	-3.45827081	0.515587862	-11.95962756	1.43E-06	0.003264565	5.730316159
XDH	-3.78879369	1.149067788	-12.44275888	1.04E-06	0.003264565	5.991357651
DDIT4L	-3.587881077	1.313591795	-11.90438672	1.48E-06	0.003264565	5.69954345
RND2	-4.333180137	1.715776132	-11.85104108	1.53E-06	0.003264565	5.669641209
ATF5	3.421742133	-0.4962859	11.70974558	1.69E-06	0.003396383	5.589549679
RRAD	-3.271756603	1.503026865	-11.56985173	1.86E-06	0.003396383	5.508959316
INSIG1	-3.212026427	1.382305853	-11.5258233	1.92E-06	0.003396383	5.483324954
PSG5	-3.62888788	1.257668927	-11.60759657	1.81E-06	0.003396383	5.530831677
HIST1H3H	4.545956167	-0.606120683	11.45129088	2.02E-06	0.003433336	5.439631804
LOC100129119	3.1699319	-0.978450383	11.25041951	2.32E-06	0.003799999	5.319976564
COL15A1	3.166222033	-0.738157083	10.86833174	3.05E-06	0.004226489	5.084485847
AGT	2.954433133	-0.016668633	10.62490161	3.65E-06	0.004226489	4.928842423
CA9	-3.574188383	1.279343208	-10.71715844	3.41E-06	0.004226489	4.988356488
BMP6	-3.64232527	1.225128265	-10.77753017	3.26E-06	0.004226489	5.026951887
LRP8	-2.629157571	1.336745514	-10.75977774	3.31E-06	0.004226489	5.015631372
ALDH2	2.72113372	-0.579039807	10.5118375	3.97E-06	0.004226489	4.855012859
P2RY6	-3.866353035	1.511029716	-10.6343167	3.63E-06	0.004226489	4.934945836
WARS	2.6711866	0.757643467	10.72576936	3.39E-06	0.004226489	4.993878255
CXCL1	2.663078467	0.218817133	10.52989108	3.92E-06	0.004226489	4.866868213
C9orf140	2.61306748	0.43583386	10.5121124	3.97E-06	0.004226489	4.855193568
NA	-3.413422905	1.069425914	-10.57383866	3.79E-06	0.004226489	4.895621524
LAIR1	2.96888255	-0.499129458	10.91116005	2.96E-06	0.004226489	5.111410087
HAR1B	3.185833133	-1.122271633	10.78258246	3.25E-06	0.004226489	5.030169341
AIM1L	-2.696295418	1.256211758	-10.88506504	3.02E-06	0.004226489	5.095021473
PLK1	2.99667206	1.235676637	10.40837008	4.30E-06	0.004250032	4.786575054
GPR1	2.608345833	0.021175483	10.42248375	4.25E-06	0.004250032	4.795960168
LOC100134259	-2.79055593	1.407860902	-10.45575906	4.14E-06	0.004250032	4.818024782
CYP26A1	2.701721447	-0.440415577	10.35023608	4.49E-06	0.004340493	4.747750977
DHCR7	-2.937577697	1.203380652	-10.30891107	4.63E-06	0.004379612	4.719988318
MSMO1	-3.094400877	0.807343228	-10.21391703	4.98E-06	0.004415501	4.655647659
GALNT5	-3.4730792	0.171652067	-10.23115245	4.92E-06	0.004415501	4.667375816
NA	2.983021267	0.137911067	10.26274835	4.80E-06	0.004415501	4.688813063
KRT34	-3.047602323	1.300235105	-10.05445373	5.64E-06	0.004432266	4.545980114
HSPB7	-2.751208493	0.92345342	-10.02853958	5.75E-06	0.004432266	4.527958816
C21orf67	2.997994573	-1.263637613	10.14164424	5.27E-06	0.004432266	4.606203644
DMGDH	3.42355555	-1.370015225	10.04009183	5.70E-06	0.004432266	4.535999461
STC1	-2.766264567	0.241460183	-9.999909139	5.88E-06	0.004432266	4.50798306
FBXO15	2.745321263	-0.991937635	10.08523023	5.50E-06	0.004432266	4.567309924
IL7R	-3.301312243	1.329493812	-10.10098996	5.44E-06	0.004432266	4.578201759
CSTA	2.4275921	-0.10423335	9.986131481	5.94E-06	0.004432266	4.498345655
SPP1	-3.35000484	1.037282947	-9.965351961	6.04E-06	0.004432266	4.483780169
FLJ41484	-2.58255055	-0.916504625	-10.1656445	5.17E-06	0.004432266	4.622670508
SLC6A9	2.992256667	0.195092767	9.940041495	6.16E-06	0.004444664	4.465989308
NA	2.805983417	-0.835383658	9.797130049	6.90E-06	0.004568448	4.364508696
SLC6A9	2.682550577	0.465253278	9.771828425	7.04E-06	0.004568448	4.346358525
ASNS	2.7316076	0.6363221	9.806244218	6.85E-06	0.004568448	4.371033141
PSAT1	2.47241132	0.319684907	9.736206266	7.25E-06	0.004568448	4.320710315
TRIML2	-2.592963963	1.051470652	-9.880673052	6.46E-06	0.004568448	4.424044958
IL20RB	2.40769086	0.78891477	9.808270128	6.84E-06	0.004568448	4.372482425
NA	2.73198572	0.61248604	9.739820336	7.23E-06	0.004568448	4.323317527
CXCL1	2.512856353	0.41043449	9.767683209	7.07E-06	0.004568448	4.343379635
CCL19	-2.9065937	0.303519117	-9.7266256	7.30E-06	0.004568448	4.313793226
SLC2A5	-2.458761077	1.281119595	-9.662023079	7.69E-06	0.004742154	4.266940498
C4orf47	-2.628814267	1.005823067	-9.589471707	8.16E-06	0.004835007	4.213882147
PI15	-3.158004133	0.678455833	-9.613832514	8.00E-06	0.004835007	4.23175001
PSG2	-3.51913451	1.222938678	-9.585413283	8.18E-06	0.004835007	4.210900267
GUCY1B3	-2.440288067	0.3291258	-9.566050386	8.31E-06	0.004844353	4.196653282
MYPN	-3.0830582	1.038590033	-9.508134427	8.71E-06	0.005009834	4.15383802
SLC7A5	2.564516847	0.53293711	9.456069767	9.09E-06	0.005158339	4.115089096
MARC1	2.394673567	-0.152520683	9.418271637	9.38E-06	0.005251145	4.086803021
RASGRP1	-4.051495087	1.326195323	-9.204918626	1.12E-05	0.006045768	3.92465937
KIAA1199	-2.80299078	0.715612977	-9.195479148	1.13E-05	0.006045768	3.917386895
KRT19	-3.138151007	1.203610663	-9.172549119	1.15E-05	0.006045768	3.899685616
PSG8	-3.33819524	1.09975938	-9.228411734	1.10E-05	0.006045768	3.942722563
DGCR14	2.427939413	-0.442383927	9.172617347	1.15E-05	0.006045768	3.89973836
FER1L4	-2.578266333	0.277801067	-9.123663955	1.20E-05	0.006144613	3.861780345
C10orf107	2.72834334	-0.937197063	9.129410946	1.19E-05	0.006144613	3.866248389
SAA2	-2.880096893	1.084668387	-9.110279527	1.21E-05	0.006144613	3.851362221
C9orf103	2.231090093	0.863497187	9.005719574	1.33E-05	0.006155569	3.769379649
BDKRB1	-2.626469483	0.842967758	-8.902978774	1.45E-05	0.006155569	3.687783464
IGF1	-2.78461297	-0.869632715	-8.987253431	1.35E-05	0.006155569	3.754790394
TRIB3	3.031998607	0.88071393	8.955389761	1.38E-05	0.006155569	3.729537784
KDELR3	-2.27776348	1.01596536	-8.986920644	1.35E-05	0.006155569	3.754527168
EDN2	-3.435244383	1.158956908	-9.020999178	1.31E-05	0.006155569	3.781426183
RGS16	-2.631900147	1.075035093	-8.89296434	1.46E-05	0.006155569	3.679774318
G0S2	2.37924432	0.736453607	9.011568436	1.32E-05	0.006155569	3.773993619
ALDOC	-2.578154187	1.114299106	-9.058442618	1.27E-05	0.006155569	3.810850747
PIP	-2.522240767	-0.861957617	-9.024244333	1.31E-05	0.006155569	3.783981752
CXCL2	2.260131387	-0.25178934	8.986122732	1.35E-05	0.006155569	3.753895996
PCSK9	-2.749906063	1.288166135	-8.913107037	1.44E-05	0.006155569	3.695873529
SCD	-2.28337099	0.746847472	-8.88099073	1.48E-05	0.006155569	3.670185225
NA	-3.389763025	1.277136388	-9.092578096	1.23E-05	0.006155569	3.837557384
FAM153B	-2.453101973	0.918861947	-8.865824923	1.50E-05	0.006155569	3.658019173
HTRA3	-2.28642495	0.305196592	-8.882722359	1.47E-05	0.006155569	3.671572886
KCNG1	2.843526687	-0.03832191	8.959063355	1.38E-05	0.006155569	3.732454269
MGC16121	2.66568057	-1.095892748	8.936055157	1.41E-05	0.006155569	3.714166042
SAA2	-3.116991187	-0.174352873	-8.870255313	1.49E-05	0.006155569	3.661575613
LOC284561	2.9110578	-0.880025233	8.858920615	1.50E-05	0.006155569	3.652472922
PAX6	2.35265592	0.06905756	8.843290487	1.53E-05	0.006180169	3.639899607
FLYWCH1	2.30424628	0.388952427	8.786820776	1.60E-05	0.00643026	3.594269652
PSG1	-2.339345753	0.861119023	-8.706273116	1.72E-05	0.00677256	3.528626117
PHGDH	2.385953107	0.332861813	8.712064888	1.71E-05	0.00677256	3.533368227
AKR1B10	-2.179304893	0.935631187	-8.682147669	1.76E-05	0.00685446	3.508836113
XLOC_008079	-2.612010353	0.640260857	-8.629099192	1.84E-05	0.007020886	3.465110521
CCL19	-2.862494323	0.420672638	-8.636014086	1.83E-05	0.007020886	3.470826605
CXCL2	2.240489833	-0.203826983	8.620718636	1.85E-05	0.007020886	3.45817625
FAM179A	2.889721727	-0.95270707	8.614249685	1.86E-05	0.007020886	3.452818716
GPR87	-2.807563803	1.163852065	-8.542748316	1.99E-05	0.007024878	3.39331225
CCNB1	2.506165673	0.657951597	8.58482209	1.91E-05	0.007024878	3.428392259
PCK2	2.39876698	0.88035591	8.548930358	1.98E-05	0.007024878	3.398478259
FAM84A	-2.503636188	0.863257806	-8.482750386	2.10E-05	0.007024878	3.342966752
EVI2B	2.373140643	-0.669646578	8.522642454	2.02E-05	0.007024878	3.376483153
HYAL1	-2.23465949	0.780226688	-8.536478725	2.00E-05	0.007024878	3.388068996
WWC1	-2.770871833	1.430738783	-8.541296807	1.99E-05	0.007024878	3.392098721
LEPR	-2.959351723	0.387118738	-8.509824311	2.05E-05	0.007024878	3.365731908
FAM129A	2.16866098	0.16210581	8.515089142	2.04E-05	0.007024878	3.370149886
ENTPD1	-2.678962833	1.185538517	-8.501952888	2.06E-05	0.007024878	3.359121172
SPANXB2	-2.87652289	0.855908655	-8.49562774	2.07E-05	0.007024878	3.353804332
GPER	2.215161473	-0.73371083	8.488815497	2.09E-05	0.007024878	3.348073329
HIST3H2A	2.5834853	-0.030489617	8.516011501	2.04E-05	0.007024878	3.370923582
MGC20647	-2.727429867	0.7871228	-8.521230455	2.03E-05	0.007024878	3.375299682
FLJ43315	2.2293188	0.373788267	8.418554245	2.22E-05	0.007384993	3.288677334
NA	2.273999674	0.924777263	8.402409926	2.25E-05	0.007435522	3.274955411
NA	2.329968267	-0.0079852	8.369366281	2.32E-05	0.007487498	3.246782904
HIST1H2BF	4.6478311	-0.342546383	8.374567603	2.31E-05	0.007487498	3.251225235
AKR1B15	-2.266471467	0.284179567	-8.38269171	2.30E-05	0.007487498	3.258158041
NA	2.70403734	-0.93396933	8.336792864	2.39E-05	0.007654627	3.218896512
KISS1	-2.201796987	0.106249873	-8.316862764	2.44E-05	0.007736818	3.201777736
PVRL4	-2.795293647	0.879886077	-8.306130771	2.46E-05	0.007755131	3.192541785
PLK1	2.849181033	0.111234117	8.296930037	2.48E-05	0.007763116	3.184613692
XLOC_005327	2.259312247	-0.889720643	8.239628886	2.62E-05	0.007915667	3.135031026
NA	-2.324376567	0.25033085	-8.257463163	2.57E-05	0.007915667	3.150501419
ENPP5	-2.990990773	1.766321413	-8.247011071	2.60E-05	0.007915667	3.141438943
ANXA8L2	-2.93256001	0.686627262	-8.236339837	2.62E-05	0.007915667	3.13217413
LOC100130894	-2.658217233	0.73039855	-8.248141303	2.60E-05	0.007915667	3.142419485
NA	2.091173483	-0.034942792	8.224912347	2.65E-05	0.007943018	3.122238897
GPR56	-2.28516596	1.118094053	-8.175049618	2.78E-05	0.008258979	3.078719453
