Symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
EGFR	-2.951255248	-2.951255248	-7.830184823	3.41E-06	0.058489942	4.345971499
FTSJ1	-2.324830299	-2.324830299	-5.991054007	5.11E-05	0.063360912	2.118786303
ACTB	-2.236062879	-2.236062879	-5.58834531	9.82E-05	0.063360912	1.555203449
NA	-2.099781853	-2.099781853	-5.717483356	7.95E-05	0.063360912	1.738985246
HDAC7	-2.105766248	-2.105766248	-5.906845745	5.85E-05	0.063360912	2.003258915
CEBPA	-2.337645932	-2.337645932	-6.574142608	2.06E-05	0.063360912	2.885296911
SPG21	-2.21669252	-2.21669252	-6.24194837	3.44E-05	0.063360912	2.455738609
LOC441131	-2.264177348	-2.264177348	-6.330262973	3.00E-05	0.063360912	2.57177161
NA	-2.303521167	-2.303521167	-6.366860907	2.83E-05	0.063360912	2.619465443
IFI16	-2.265710832	-2.265710832	-5.818103367	6.75E-05	0.063360912	1.880183091
YDJC	-2.266819825	-2.266819825	-5.657548795	8.77E-05	0.063360912	1.654048085
DVL1	-2.350358268	-2.350358268	-5.727747604	7.81E-05	0.063360912	1.753469082
ZYG11B	-2.017112436	-2.017112436	-5.683767202	8.40E-05	0.063360912	1.691280301
HADH	2.034663108	2.034663108	5.586327378	9.86E-05	0.063360912	1.5523088
PUS7	-2.23914389	-2.23914389	-5.816023559	6.77E-05	0.063360912	1.877282278
C4orf12	-2.263753687	-2.263753687	-6.375571458	2.80E-05	0.063360912	2.630783236
NA	-2.373081546	-2.373081546	-5.639482726	9.03E-05	0.063360912	1.628323722
MRPL12	-2.051519467	-2.051519467	-5.7793781	7.18E-05	0.063360912	1.826048193
NA	-1.97831089	-1.97831089	-5.558415643	0.00010321	0.063360912	1.512198462
SNX3	-2.153917596	-2.153917596	-5.864812822	6.26E-05	0.063360912	1.945133849
SLC25A35	-1.989362567	-1.989362567	-5.567478098	0.000101674	0.063360912	1.525236307
FAM8A1	-2.615059553	-2.615059553	-6.794300793	1.48E-05	0.063360912	3.159726357
LOC100131482	-2.17824965	-2.17824965	-6.139666333	4.04E-05	0.063360912	2.319682449
NA	-2.09789432	-2.09789432	-5.78533319	7.12E-05	0.063360912	1.834389833
SHC1	-2.177753227	-2.177753227	-6.137286526	4.05E-05	0.063360912	2.3164954
CYFIP1	2.051671334	2.051671334	5.734621685	7.73E-05	0.063360912	1.763158879
RAC1	-2.003855975	-2.003855975	-5.556471497	0.000103543	0.063360912	1.509399641
KGFLP1	-2.145105392	-2.145105392	-6.018599331	4.89E-05	0.063360912	2.156310282
RC3H2	-2.035235503	-2.035235503	-5.522558874	0.00010953	0.064603308	1.460473902
PIP5K1C	1.963678527	1.963678527	5.503179648	0.000113114	0.064603308	1.432426678
RAB27A	-2.276433628	-2.276433628	-5.423677637	0.000129157	0.06856759	1.316690189
LRP1	-1.93353276	-1.93353276	-5.446779891	0.000124263	0.06856759	1.350433368
PMAIP1	-1.985954464	-1.985954464	-5.410402551	0.000132061	0.06856759	1.297259277
NA	-1.912279456	-1.912279456	-5.380380578	0.000138883	0.069988937	1.253204705
RPL23AP7	-1.916143612	-1.916143612	-5.280832675	0.000164276	0.080420233	1.10602915
DHRS4	-1.87257113	-1.87257113	-5.257084709	0.000171025	0.081398412	1.070671031
NGDN	-1.886072214	-1.886072214	-5.192196228	0.000190989	0.084385421	0.97357453
VPS39	-1.974607302	-1.974607302	-5.188869266	0.000192076	0.084385421	0.968577135
ZNF429	-2.081527509	-2.081527509	-5.195870937	0.000189796	0.084385421	0.979092116
TXNDC13	1.923124945	1.923124945	5.095623074	0.000225338	0.085518134	0.827761272
C11orf10	-1.900124344	-1.900124344	-5.100087731	0.000223616	0.085518134	0.834536541
THAP3	-1.851201331	-1.851201331	-4.991902288	0.000269521	0.085518134	0.669436757
FABP5	-1.859088664	-1.859088664	-5.033491357	0.000250806	0.085518134	0.733132587
LOC100131262	-2.049047553	-2.049047553	-4.998778583	0.000266329	0.085518134	0.679987666
C1orf53	-1.920094296	-1.920094296	-4.999525601	0.000265985	0.085518134	0.681133418
SF3A1	-1.780768913	-1.780768913	-5.014387336	0.000259228	0.085518134	0.703908912
PHIP	-1.836827059	-1.836827059	-5.092677022	0.000226483	0.085518134	0.823288729
TANC1	1.817174305	1.817174305	5.081199383	0.000230999	0.085518134	0.805850277
ZNF350	-1.777217828	-1.777217828	-4.994180256	0.000268459	0.085518134	0.6729329
DDX60	-1.970162349	-1.970162349	-5.082499135	0.000230483	0.085518134	0.807826138
NA	1.778895072	1.778895072	5.010132765	0.000261144	0.085518134	0.697392503
SLC5A2	-1.784591155	-1.784591155	-4.992552825	0.000269218	0.085518134	0.670435264
CORO2A	-1.93018052	-1.93018052	-5.034921898	0.000250187	0.085518134	0.735318497
BAT2D1	-1.827539035	-1.827539035	-5.033242495	0.000250914	0.085518134	0.732752284
DHX9	-1.764642468	-1.764642468	-4.97094561	0.000279499	0.087071698	0.637233566
NA	-1.763781204	-1.763781204	-4.953242014	0.000288229	0.088187836	0.609973652
ROCK2	-1.769631782	-1.769631782	-4.938684399	0.000295621	0.08886259	0.587519878
LPP	-1.746311225	-1.746311225	-4.915216198	0.000307956	0.089432647	0.551250344
KIF24	-1.748305325	-1.748305325	-4.924764298	0.000302874	0.089432647	0.566017405
C21orf70	-1.764158333	-1.764158333	-4.894043351	0.000319547	0.089755987	0.51845224
NA	-1.750234673	-1.750234673	-4.903347272	0.000314399	0.089755987	0.53287347
FAM136A	-1.741762886	-1.741762886	-4.862972478	0.000337386	0.093238333	0.470191617
HLA-B	2.017366731	2.017366731	4.835874276	0.000353793	0.096220435	0.427976119
LPGAT1	-1.688416591	-1.688416591	-4.735379749	0.00042227	0.098612226	0.270410544
NA	-1.85406789	-1.85406789	-4.757563076	0.00040605	0.098612226	0.305327274
TMEM188	-1.755190367	-1.755190367	-4.751007001	0.000410775	0.098612226	0.295015893
NADSYN1	-1.775846986	-1.775846986	-4.748240203	0.000412786	0.098612226	0.290662279
EGFR	-1.935662346	-1.935662346	-4.744718828	0.000415361	0.098612226	0.285119609
ABHD10	-2.147453465	-2.147453465	-4.777387964	0.000392103	0.098612226	0.336467181
TOM1L2	-1.682573539	-1.682573539	-4.722951226	0.000431652	0.098612226	0.250814728
OASL	-1.715369191	-1.715369191	-4.743687043	0.000416118	0.098612226	0.283495208
WDR89	-1.697998067	-1.697998067	-4.774289229	0.000394249	0.098612226	0.331603883
NA	-1.791948748	-1.791948748	-4.730054018	0.000426264	0.098612226	0.262016479
CENPB	-1.734600713	-1.734600713	-4.749148548	0.000412125	0.098612226	0.292091709
LCLAT1	1.695862853	1.695862853	4.754583254	0.00040819	0.098612226	0.300641443
LOC100131206	-1.726932784	-1.726932784	-4.708099492	0.000443147	0.09990638	0.227367125
SLC9A6	-1.686907692	-1.686907692	-4.692127943	0.000455866	0.101439077	0.202113873
NA	-1.693742613	-1.693742613	-4.662830426	0.000480194	0.104147423	0.155689384
LOC100190986	-1.658380307	-1.658380307	-4.667651631	0.0004761	0.104147423	0.163337962
DBF4	-2.198996043	-2.198996043	-4.625901905	0.000512797	0.104344354	0.096988102
RFT1	1.779522955	1.779522955	4.639565029	0.000500474	0.104344354	0.11873079
NA	-1.758531165	-1.758531165	-4.640800364	0.000499375	0.104344354	0.120695248
SENP6	-1.647729722	-1.647729722	-4.626862504	0.00051192	0.104344354	0.098517656
BGLAP	-1.740325355	-1.740325355	-4.620623374	0.000517642	0.104344354	0.088580678
HLA-B	-1.669424504	-1.669424504	-4.63366869	0.000505754	0.104344354	0.109351136
INPP5E	-2.035492225	-2.035492225	-4.610690445	0.000526888	0.104973223	0.072748648
RAD54B	-1.634004023	-1.634004023	-4.603297446	0.000533881	0.10514392	0.060955462
ZNF335	-1.661558829	-1.661558829	-4.596088159	0.000540794	0.105294998	0.049447513
PGRMC2	-1.628847828	-1.628847828	-4.587750956	0.000548904	0.105673241	0.036129514
SERPINE1	-2.04154333	-2.04154333	-4.571975878	0.000564597	0.106183808	0.010902046
PRPF4B	-1.656548411	-1.656548411	-4.574694272	0.00056186	0.106183808	0.015251909
H3F3A	-1.658163265	-1.658163265	-4.566504907	0.000570148	0.106183808	0.002144334
HEMK1	1.624309973	1.624309973	4.550013535	0.000587225	0.108188346	-0.024280922
PRELID1	-1.856194826	-1.856194826	-4.511771369	0.000628902	0.113427447	-0.085711157
UBXN11	1.625767336	1.625767336	4.514889983	0.000625391	0.113427447	-0.080693662
SLC25A37	-1.601433871	-1.601433871	-4.447514217	0.000705981	0.114374061	-0.189402365
NA	-1.573928937	-1.573928937	-4.436157143	0.000720592	0.114374061	-0.207789786
HLA-C	-1.604537402	-1.604537402	-4.479601593	0.000666336	0.114374061	-0.137549965
H2AFV	-1.635169918	-1.635169918	-4.469905686	0.000678066	0.114374061	-0.153202984
ZSWIM5	-1.604928544	-1.604928544	-4.442922794	0.000711851	0.114374061	-0.196833837
hCG_18290	-1.597133933	-1.597133933	-4.500013587	0.000642324	0.114374061	-0.104640649
