Symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
BCL2L1	1.319781045	10.86245434	12.13270822	2.85E-06	0.02432355	4.308859663
NA	-1.378978474	9.0373136	-13.99477473	9.95E-07	0.02432355	4.902933283
CREBZF	-1.376363658	10.66038336	-11.91868474	3.24E-06	0.02432355	4.229746861
NA	1.299080368	14.78316225	12.02368663	3.04E-06	0.02432355	4.268872131
NA	2.893810055	12.99051013	12.75242732	1.98E-06	0.02432355	4.524441848
TNFRSF9	0.940059867	10.03798073	12.40758109	2.42E-06	0.02432355	4.406885518
FOXF1	1.486269802	8.688263187	11.55161458	4.07E-06	0.026194061	4.08808716
PRSS35	0.889833713	10.4729022	10.88055385	6.29E-06	0.031593078	3.808097828
NA	1.831162503	10.70805955	10.44998043	8.42E-06	0.031593078	3.61283846
LOC100128988	1.249663413	11.66651479	10.49191549	8.18E-06	0.031593078	3.632426319
ZNF268	1.683335362	9.917840951	10.45828428	8.37E-06	0.031593078	3.616727217
NA	1.145215723	12.7708252	10.724643	6.98E-06	0.031593078	3.738873569
KDELC1	0.780685775	12.38237333	10.05813428	1.11E-05	0.038387725	3.423553289
CREB1	1.575510533	7.248742018	9.781452605	1.35E-05	0.03907729	3.28279678
FAM21C	-0.784523391	8.976135432	-9.794873107	1.34E-05	0.03907729	3.289765278
ZFYVE16	-0.851731362	11.86593874	-9.725158316	1.41E-05	0.03907729	3.253406516
FGFR1	-0.711550978	11.4822141	-9.663987203	1.48E-05	0.03907729	3.22117514
LOC641844	-0.927733442	10.63605711	-9.226796633	2.05E-05	0.045446553	2.981566739
INSL4	1.125470186	7.602967244	9.28514869	1.96E-05	0.045446553	3.014511075
SIRT1	-0.845934029	8.304114203	-9.184004429	2.12E-05	0.045446553	2.957212987
BST2	-1.387932153	12.829844	-9.27909346	1.97E-05	0.045446553	3.011106546
NA	0.988038717	9.983032622	9.104646731	2.25E-05	0.046130384	2.91160957
NA	0.864948091	7.041541919	8.820650016	2.82E-05	0.048819515	2.743612788
NA	0.584144579	8.437182895	8.914717557	2.62E-05	0.048819515	2.800101863
LEP	-1.142955863	10.28271506	-8.912938698	2.62E-05	0.048819515	2.799041473
ATP1B1	-0.915441676	9.090204518	-8.867812513	2.72E-05	0.048819515	2.772040611
C11orf35	1.092077998	8.899724867	8.592437044	3.39E-05	0.05086788	2.60298462
ZXDC	-1.382466752	8.488707105	-8.618657741	3.32E-05	0.05086788	2.619404797
AYP1p1	1.077024165	13.69314215	8.626172995	3.30E-05	0.05086788	2.624098355
MSH2	0.939355857	14.14588375	8.629362634	3.29E-05	0.05086788	2.626088695
SFTA1P	-0.677766468	9.217534676	-8.348705167	4.15E-05	0.05293913	2.44699675
LOC595101	1.236666605	9.629846163	8.41683726	3.92E-05	0.05293913	2.491218721
NA	1.558692124	9.699966366	8.351791342	4.14E-05	0.05293913	2.449010381
CUL1	-0.588791365	7.553116851	-8.497471824	3.66E-05	0.05293913	2.542932851
MTFR1	1.153019018	7.814403405	8.323667231	4.23E-05	0.05293913	2.430623211
NA	1.594949463	13.21631868	8.365284587	4.09E-05	0.05293913	2.457802546
NA	-0.646677251	8.293901187	-8.230624752	4.58E-05	0.055704239	2.369195457
LMBR1	-0.909328425	7.223883754	-8.193414504	4.73E-05	0.055975305	2.344369365
NA	1.08221016	13.766463	8.060368914	5.29E-05	0.059578306	2.254371793
DLG4	0.918762237	11.64767786	8.061781156	5.29E-05	0.059578306	2.255337302
HICE1	-0.698911526	8.74435856	-7.903373687	6.07E-05	0.060991414	2.145649314
PVR	1.342852716	8.582491203	7.770492645	6.82E-05	0.060991414	2.051437085
PRAMEF10	1.20451258	8.331266402	7.964972275	5.75E-05	0.060991414	2.188637807
ZNF366	1.590120861	9.839370357	7.816796741	6.54E-05	0.060991414	2.084497667
NA	-0.873661199	8.636809373	-7.777937206	6.77E-05	0.060991414	2.056769216
RBKS	0.701258758	11.72604722	7.972279042	5.71E-05	0.060991414	2.193708625
NA	-0.809095768	9.250594082	-7.755430269	6.91E-05	0.060991414	2.04062897
NA	2.908514131	8.078333026	7.771077965	6.81E-05	0.060991414	2.051856552
C8orf33	1.420890503	13.73962628	7.764694592	6.85E-05	0.060991414	2.047279785
NA	1.431935357	10.92058015	7.8362916	6.43E-05	0.060991414	2.098342522
NA	0.745077508	11.46484983	7.790791644	6.70E-05	0.060991414	2.065960968
NA	0.912811445	9.226437145	7.626558238	7.75E-05	0.06711616	1.947065143
SLC15A4	1.73809634	13.40348756	7.604379586	7.91E-05	0.06717778	1.930764052
NA	0.735802455	11.72103593	7.574219239	8.13E-05	0.067753477	1.908501773
FLJ35024	1.579637113	8.394149103	7.528116446	8.47E-05	0.069359917	1.874259705
LOC51152	-0.913156969	8.796439106	-7.459507899	9.02E-05	0.072518723	1.822822929
LOC644192	-0.52283202	10.82160972	-7.378256334	9.72E-05	0.075446339	1.761158102
TCF25	-0.698985023	7.593920795	-7.391090978	9.61E-05	0.075446339	1.77095326
RPS26	-0.748926585	8.083043826	-7.350863073	9.97E-05	0.076069383	1.7401833
RXFP1	0.575598378	10.14695483	7.298873474	0.000104631	0.078499617	1.700116314
NA	-1.256492121	8.636887835	-7.266955376	0.000107792	0.079544948	1.675348776
CCT6P1	0.713785863	11.5748539	7.233694274	0.000111199	0.080735598	1.649401295
ARL13B	0.725847345	13.16762764	7.15300564	0.000119973	0.083086142	1.585865568
CTDSP2	0.58146882	11.88978503	7.164324242	0.000118697	0.083086142	1.594828663
SPTAN1	-0.488618435	10.98847263	-7.166209957	0.000118486	0.083086142	1.596320332
CEBPZ	0.859087808	7.292792982	7.08708021	0.000127717	0.08322118	1.533328835
USP48	-0.93878854	11.95154203	-7.073240762	0.000129412	0.08322118	1.522227899
VEGFB	0.658799168	11.78741907	7.11585404	0.000124271	0.08322118	1.556328705
DNAJB11	1.782321103	14.01123358	7.088865789	0.0001275	0.08322118	1.534759259
TRIM13	0.987563404	6.996675901	7.106974693	0.000125323	0.08322118	1.549242694
BFAR	0.702107275	11.55991077	6.983444166	0.00014104	0.088179309	1.449586235
F2R	-0.814643502	7.669523419	-6.996947713	0.000139219	0.088179309	1.460578323
NA	0.836908522	13.13909458	6.968427719	0.000143096	0.088239041	1.43733407
SPTBN2	-1.025869297	7.245441736	-6.906720731	0.000151901	0.090424281	1.386669119
EHD4	0.778930918	8.13561661	6.901547115	0.000152666	0.090424281	1.382397997
MYOG	-0.478649647	9.804712902	-6.906084315	0.000151994	0.090424281	1.386143915
ABCC4	-0.700444442	8.957504689	-6.862943729	0.000158512	0.091634985	1.350414252
NA	-0.621976354	10.11825201	-6.861207787	0.000158781	0.091634985	1.348971234
UBE2A	0.83093286	13.72962507	6.805025374	0.000167757	0.095589735	1.30204709
TGDS	0.566980838	11.53986276	6.783049533	0.000171421	0.096456211	1.283574952
DCTN2	-0.660551753	8.994028435	-6.759212297	0.000175495	0.096980785	1.263462951
NA	0.77658325	10.81351015	6.752501173	0.000176662	0.096980785	1.257786463
SPHK1	0.683156659	9.837625046	6.720564268	0.000182332	0.098608031	1.230687622
NA	0.552011067	9.0800303	6.69942078	0.000186198	0.098608031	1.212669071
AATF	0.858917733	10.06075982	6.705688885	0.000185042	0.098608031	1.218017272
NA	0.811352908	11.37207256	6.669865598	0.000191754	0.100300498	1.187377378
NA	0.416710637	6.945858206	6.450152679	0.000239338	0.100300498	0.99547839
NA	1.710619548	13.16491593	6.400664676	0.000251782	0.100300498	0.951296364
MAP4	-1.008259226	10.02018648	-6.445543301	0.000240468	0.100300498	0.991378279
RHOBTB3	-0.409257762	7.94723305	-6.408517548	0.00024976	0.100300498	0.95833112
MYL9	0.785206781	6.427268715	6.442530773	0.00024121	0.100300498	0.988696921
MRPS14	0.765894814	7.08382956	6.473351166	0.000233742	0.100300498	1.016067005
