Symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
CYP1A1	3.386970712	7.109409989	27.87598036	2.26E-08	0.000752991	7.839812274
TGFB2	-2.438311691	8.642824306	-25.04473593	4.72E-08	0.000785488	7.539042023
FAM105A	1.806528632	6.932697923	19.86276014	2.30E-07	0.002123571	6.745537958
SERPINA3	-1.628283125	6.822121211	-18.41034953	3.87E-07	0.002123571	6.442462213
MME	-1.27515032	6.614368897	-18.34839516	3.96E-07	0.002123571	6.428519908
NA	1.382876475	8.844054049	18.3068394	4.02E-07	0.002123571	6.419118581
RGS16	1.943297256	8.900448927	17.72223095	5.01E-07	0.002123571	6.282518862
NA	1.112267839	8.583799281	17.61899149	5.21E-07	0.002123571	6.257527398
CYP1B1	1.106357934	10.18979907	17.37004761	5.74E-07	0.002123571	6.196149309
MICAL2	1.565412322	7.062442121	16.80928751	7.17E-07	0.002387794	6.05188346
ID3	-1.178027916	8.323706584	-16.1139142	9.55E-07	0.002440514	5.860648402
TARP	2.075474113	8.892556055	16.07390397	9.71E-07	0.002440514	5.849205606
TARP	2.075474113	8.892556055	16.07390397	9.71E-07	0.002440514	5.849205606
SELL	1.083496678	8.510648095	15.89658844	1.05E-06	0.002440514	5.797894858
KIAA1324	-1.133035798	7.843032116	-15.63657234	1.17E-06	0.002440514	5.720846978
MAP3K1	-0.968720004	9.553387997	-15.55758358	1.21E-06	0.002440514	5.697006024
SGMS2	-0.966230478	5.528139538	-15.49153322	1.25E-06	0.002440514	5.67691177
ID2	-2.130939052	7.786373691	-15.26459433	1.38E-06	0.002546423	5.606752704
GCNT1	1.105262377	8.070278393	14.75251882	1.73E-06	0.00303653	5.441842065
BMP7	-0.913943875	9.235988592	-14.54653969	1.90E-06	0.00317121	5.372815497
ID1	-1.955500727	8.226222438	-14.3925766	2.05E-06	0.003244405	5.320170769
ARRB1	0.979805162	7.882434943	13.90512648	2.58E-06	0.003903924	5.147339602
BMPR1B	1.709557577	6.858047315	13.81076675	2.70E-06	0.003908827	5.112764749
EDN1	-1.131395329	7.65742276	-13.06283675	3.92E-06	0.005439405	4.825051223
MGST2	0.732266999	9.859185531	12.7247652	4.67E-06	0.006007246	4.686582195
NA	0.857364371	8.932424606	12.71682527	4.69E-06	0.006007246	4.683263772
SNAI2	-1.483471249	7.769102808	-12.36636701	5.65E-06	0.006893852	4.533655767
LACTB	0.792722269	9.846815645	12.3191863	5.80E-06	0.006893852	4.5130368
TSPAN5	0.710575465	5.984132587	12.20619287	6.16E-06	0.006980307	4.463183715
KCNK2	0.873460454	9.334191169	12.16932109	6.29E-06	0.006980307	4.446770078
MAP2	-0.88016125	7.390070895	-12.07859363	6.61E-06	0.007099797	4.406073526
KRT80	-1.240767833	8.606088001	-11.88659298	7.35E-06	0.007510565	4.31847897
THBS1	-0.818405641	10.16032916	-11.86456949	7.44E-06	0.007510565	4.308301745
NA	-0.784591605	5.242066963	-11.79128459	7.76E-06	0.007595657	4.274241333
FN1	-0.846968709	7.932901395	-11.54783999	8.91E-06	0.00825605	4.158908249
ERRFI1	-0.732320265	8.575298676	-11.54394228	8.93E-06	0.00825605	4.157033893
ZFP36L2	-0.792836243	8.742946818	-11.27810264	1.04E-05	0.009160376	4.027073864
HEG1	-0.664887436	5.266836549	-11.27149346	1.05E-05	0.009160376	4.023788844
NA	0.645518962	8.499506463	11.02923977	1.21E-05	0.010113996	3.901523383
