Symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
INSIG1	-1.160877408	8.719157494	-9.585052823	7.59E-06	0.181714376	0.167359965
LDLR	-0.788806497	9.177793245	-8.118902272	2.75E-05	0.300917361	-0.150961244
SCD	-0.559391383	10.67255605	-7.786726278	3.77E-05	0.300917361	-0.241091355
IDI1	-0.549003627	9.783363376	-7.341600389	5.87E-05	0.351113242	-0.374895797
SQLE	-0.444217861	9.391760549	-7.118902889	7.37E-05	0.353102221	-0.448037419
SREBF1	-0.481698282	9.20215453	-6.683594697	0.000117159	0.38186685	-0.604360208
FDFT1	-0.544161443	10.36797596	-6.515402665	0.000140923	0.38186685	-0.669899933
MSMO1	-0.608290783	9.203379956	-6.513632233	0.0001412	0.38186685	-0.670605995
NA	-0.612163293	7.915196385	-6.498728649	0.000143553	0.38186685	-0.676563267
IDH1	-0.406407471	10.33671396	-6.321841918	0.000175026	0.39774673	-0.749161249
LMNTD2	0.416906052	6.434541503	6.244061276	0.000191198	0.39774673	-0.782218583
TMEM30B	-0.432679892	4.205816966	-6.147287256	0.000213645	0.39774673	-0.824349114
LINC00921	-0.430871844	4.423271215	-6.137876028	0.000215977	0.39774673	-0.828506549
NA	0.449764591	3.756474677	5.976321332	0.000260687	0.445793081	-0.901582173
LPIN1	-0.465046636	7.217178216	-5.891752587	0.000288054	0.459753454	-0.941153631
NA	-0.421460937	9.303205074	-5.814027759	0.000315993	0.472824873	-0.978346147
CNN1	0.345605316	5.423156717	5.721847318	0.000353028	0.497166602	-1.023502314
LOC100499221	0.359699999	4.926838247	5.662857561	0.000379199	0.504356062	-1.053007644
FBLN2	0.37412956	5.693506724	5.484879161	0.000471861	0.59456943	-1.144989621
NA	0.417348297	5.03606498	5.394922633	0.000527862	0.631876769	-1.193221194
ENTPD1	0.309810442	6.716188854	5.253613793	0.000630983	0.635303444	-1.271428242
PGBD2	0.33454221	5.915436669	5.248371888	0.000635208	0.635303444	-1.27438788
NA	-0.559540103	5.196417765	-5.222897729	0.000656181	0.635303444	-1.288831293
DHCR24	-0.407773896	9.698930533	-5.210609601	0.000666567	0.635303444	-1.295834405
IDH1	-0.373119606	10.37035932	-5.203238145	0.000672882	0.635303444	-1.30004673
CD248	-0.362426972	6.079599861	-5.147909172	0.000722414	0.635303444	-1.331935069
NA	-0.326619261	4.268408732	-5.143789364	0.000726257	0.635303444	-1.334328733
TEKT5	0.366902461	5.773515718	5.126100164	0.000743014	0.635303444	-1.344636901
NA	-0.592706069	8.112943231	-5.092838048	0.00077567	0.640355781	-1.364154547
DHCR7	-0.35416217	8.863824293	-4.995337725	0.000880703	0.69923418	-1.422389441
MMAB	-0.309757992	8.261698806	-4.945817238	0.000939873	0.69923418	-1.452559023
JUND	-0.394561146	11.00940766	-4.938835867	0.000948555	0.69923418	-1.45684474
COPS7B	-0.311927165	6.800681884	-4.882384973	0.001022036	0.69923418	-1.491795399
NA	-0.427083804	3.581884301	-4.865485514	0.001045216	0.69923418	-1.502361672
ASPHD2	-0.474445501	4.101881261	-4.855325256	0.001059425	0.69923418	-1.508737331
DCX	0.332653582	3.990803398	4.851486592	0.001064848	0.69923418	-1.511150639
AK7	-0.285613984	3.675877263	-4.830122789	0.001095581	0.69923418	-1.524627019
ACAD10	0.336244189	6.164484515	4.812951175	0.00112098	0.69923418	-1.53551476
CCDC37	0.329076381	6.062054667	4.774483672	0.001180219	0.69923418	-1.56008667
SECISBP2L	-0.344961384	6.644981777	-4.725179395	0.001261143	0.69923418	-1.591949991
VWA5A	-0.312858672	5.929030359	-4.72429586	0.001262647	0.69923418	-1.592524787
USHBP1	0.360539738	5.575240496	4.711298274	0.001284994	0.69923418	-1.600996079
FLJ42220	0.351824689	3.497947203	4.709350492	0.00128838	0.69923418	-1.602268071
ENPP5	0.28257264	3.308107279	4.703129686	0.001299257	0.69923418	-1.606334934
LOC100499221	0.319241363	5.265355701	4.68048847	0.001339691	0.69923418	-1.621193157
PPFIBP1	-0.360379902	5.867400416	-4.678393019	0.001343502	0.69923418	-1.622572778
METTL7A	-0.314860464	7.892587792	-4.646188212	0.001403557	0.710023386	-1.643872034
DFNA5	-0.337158814	8.094843076	-4.616777746	0.001460938	0.710023386	-1.6634812
NA	0.323478282	4.346052697	4.598966031	0.001496916	0.710023386	-1.675430659
NA	0.285975061	5.020427882	4.598307863	0.001498264	0.710023386	-1.675873276
RND2	-0.435465276	5.678182418	-4.58326212	0.00152943	0.710023386	-1.686012289
EPHA6	-0.537839671	7.86825945	-4.56034571	0.00157825	0.710023386	-1.701531853
PLA2G3	-0.328773539	5.340269551	-4.536512239	0.001630811	0.710023386	-1.717770981
NBR2	-0.313774783	5.823683489	-4.485111964	0.001750698	0.710023386	-1.753136541
GRIP2	0.34386508	7.148994949	4.466072022	0.001797487	0.710023386	-1.766356523
TRIM38	-0.269272465	6.151961419	-4.461381399	0.001809219	0.710023386	-1.769623327
FADS2	-0.297308484	8.563572254	-4.447930864	0.001843321	0.710023386	-1.779012899
NA	0.287434554	4.605658492	4.432688066	0.001882805	0.710023386	-1.789692912
IGSF9	0.343172709	4.808555607	4.391398282	0.001994402	0.710023386	-1.81883335
LRRC7	0.362338456	4.013238062	4.370621269	0.002053228	0.710023386	-1.833613401
SPATA31E1	0.378476125	4.571643339	4.366304322	0.002065683	0.710023386	-1.836694148
NA	-0.30179242	6.751856662	-4.338019254	0.002149326	0.710023386	-1.856963279
FAM159A	-0.365147934	5.492428028	-4.334058852	0.002161325	0.710023386	-1.859812927
NA	-0.394928028	5.417887568	-4.330852726	0.002171091	0.710023386	-1.862121939
ACOXL	0.367064935	5.20580368	4.323458822	0.002193795	0.710023386	-1.86745408
MUC15	-0.330337028	3.434052964	-4.305931252	0.00224864	0.710023386	-1.880134
SLC25A47	0.312508357	5.529716424	4.300078569	0.00226728	0.710023386	-1.884380485
PRSS58	0.448726627	5.523816509	4.296096196	0.002280058	0.710023386	-1.887273525
ZNF69	-0.282646493	4.451769573	-4.291296353	0.002295562	0.710023386	-1.89076428
NA	-0.285277644	6.072398763	-4.261143574	0.002395582	0.710023386	-1.912789828
SLC25A27	-0.256715643	3.768618482	-4.240533096	0.002466633	0.710023386	-1.927941036
SPP2	-0.390966524	5.337250836	-4.239778667	0.002469276	0.710023386	-1.928497113
RBP1	-0.299041428	5.438219795	-4.234648315	0.002487332	0.710023386	-1.932281393
SYT14	0.302668281	3.119766885	4.229753199	0.002504692	0.710023386	-1.935896669
SAMD14	0.264904946	6.0703898	4.226886895	0.002514917	0.710023386	-1.938015619
CDKN1C	-0.300975341	8.995838484	-4.226864584	0.002514997	0.710023386	-1.938032118
C4orf17	0.317274714	6.310597741	4.21795274	0.002547076	0.710023386	-1.944630005
SLC5A2	0.25493947	7.106503792	4.208019642	0.00258335	0.710023386	-1.952001218
NA	-0.285776632	4.851688351	-4.188148786	0.002657586	0.710023386	-1.966801712
ATP8B3	0.308577439	4.876564399	4.150712116	0.002803727	0.710023386	-1.994883982
ANXA2	-0.336481616	4.778384613	-4.130065821	0.002887984	0.710023386	-2.010482296
NA	0.353629218	4.117737959	4.129961005	0.002888419	0.710023386	-2.010561687
NA	0.316214595	5.201966433	4.121317582	0.002924499	0.710023386	-2.017115436
IQCF2	0.30323366	5.178713382	4.117673436	0.002939855	0.710023386	-2.019882709
RDH11	-0.291871239	10.21824647	-4.098859508	0.003020519	0.710023386	-2.034208734
ITGB1BP2	-0.277198183	4.561973477	-4.091030009	0.003054783	0.710023386	-2.040189938
POU3F2	-0.284500219	4.852955812	-4.09088327	0.003055429	0.710023386	-2.040302145
NA	-0.321094236	3.886175527	-4.066838655	0.003163299	0.710023386	-2.058742451
NA	-0.246860176	4.262528217	-4.052794105	0.003228183	0.710023386	-2.069563239
PARP10	0.342919935	5.968996305	4.045329954	0.003263244	0.710023386	-2.075329016
GPR3	-0.312258602	6.884821421	-4.044547535	0.003266943	0.710023386	-2.075934005
NA	0.350199957	4.364919429	4.034939153	0.003312731	0.710023386	-2.083372787
CD40LG	0.248737096	6.201996643	4.033832265	0.003318049	0.710023386	-2.08423084
LRCH3	0.28073507	5.787177996	4.016365076	0.003403199	0.710023386	-2.09780152
NA	-0.25959182	6.362426945	-3.99578436	0.00350653	0.710023386	-2.113864113
DCST2	0.37471819	4.977292981	3.988001442	0.003546474	0.710023386	-2.119959002
COX8C	0.338025166	3.418172688	3.969770207	0.003641954	0.710023386	-2.134280291
NA	0.278660036	3.718873894	3.967379604	0.003654676	0.710023386	-2.136162791
KIF6	0.303213315	4.780036839	3.966438404	0.003659698	0.710023386	-2.136904239
HIPK2	0.257943642	8.173541071	3.961459089	0.003686388	0.710023386	-2.140829537
NA	0.293084187	4.80993198	3.952970771	0.003732366	0.710023386	-2.147531714
TMEM175	0.274344305	7.31204668	3.944579921	0.003778417	0.710023386	-2.154170138
HEATR5A	-0.275781102	9.362461469	-3.943897118	0.003782191	0.710023386	-2.154710915
PCP2	0.343849741	5.869333678	3.940909676	0.00379875	0.710023386	-2.157077981
NA	0.281019505	5.268648473	3.933838358	0.003838255	0.710023386	-2.162687492
LUC7L3	-0.267497963	7.256783529	-3.93072065	0.003855812	0.710023386	-2.165163659
HSPB9	-0.248866422	4.988772152	-3.927133669	0.003876117	0.710023386	-2.168014778
NA	-0.282809619	3.645654368	-3.925697367	0.003884279	0.710023386	-2.169157097
NA	-0.270391497	5.771565992	-3.913757367	0.003952846	0.710023386	-2.178668113
RIMKLA	-0.229092191	6.094785279	-3.913738067	0.003952958	0.710023386	-2.178683509
NA	0.254404479	6.836380431	3.908816509	0.003981596	0.710023386	-2.182611617
EXOSC6	0.270757771	7.166140313	3.907958892	0.003986609	0.710023386	-2.18329658
LSS	-0.238146047	9.149471579	-3.90441758	0.00400738	0.710023386	-2.186126415
LSM8	-0.333038389	5.970966087	-3.901329903	0.004025584	0.710023386	-2.188595662
SYNGR1	0.248817848	6.881683549	3.899425117	0.004036858	0.710023386	-2.190119825
FLJ34521	0.288817925	6.011852141	3.894121773	0.004068425	0.710023386	-2.194366995
SLC12A9	0.306672369	4.637464107	3.888545938	0.004101898	0.710023386	-2.198838044
HES7	0.253952709	8.36023495	3.887613095	0.004107526	0.710023386	-2.19958662
RAB26	-0.235122415	7.173491556	-3.879815893	0.004154896	0.710023386	-2.205849972
NA	0.279416862	3.315076513	3.87485627	0.004185329	0.710023386	-2.209839845
PODN	0.229733965	6.334445968	3.874565005	0.004187123	0.710023386	-2.210074302
MYO15A	0.348251728	5.307243146	3.853401528	0.004319736	0.710023386	-2.227152361
ZNF443	-0.244174127	6.692969837	-3.843732177	0.004381806	0.710023386	-2.234982899
NA	-0.300933775	3.275582907	-3.84163117	0.004395417	0.710023386	-2.236686661
CCDC34	-0.23992392	10.85645025	-3.84078683	0.0044009	0.710023386	-2.237371591
CPT1C	0.33116733	6.027116817	3.839162237	0.00441147	0.710023386	-2.238689835
SNX18	0.345528704	4.860044403	3.837120636	0.004424792	0.710023386	-2.24034715
DEFB128	0.234648203	3.339595003	3.835519831	0.004435267	0.710023386	-2.241647181
NA	0.395655381	6.188134002	3.833248976	0.004450173	0.710023386	-2.243492186
FRMD1	-0.352431264	7.055528679	-3.829898857	0.004472259	0.710023386	-2.246215815
CCR5	-0.353693973	6.944726987	-3.828300201	0.00448284	0.710023386	-2.247516249
BCL11A	0.224368313	6.029860078	3.820680281	0.004533638	0.710023386	-2.253721247
CCDC110	0.268089733	3.569479576	3.81455265	0.004574932	0.710023386	-2.25871889
NA	0.218701507	4.012820906	3.812951566	0.004585788	0.710023386	-2.260025872
NEURL2	0.29298223	4.912969933	3.811024079	0.004598892	0.710023386	-2.261599932
TBX4	0.400743575	4.885172203	3.810913628	0.004599645	0.710023386	-2.261690151
APPL1	-0.280100146	8.364885223	-3.809439481	0.004609696	0.710023386	-2.262894492
NA	0.338023426	4.550935955	3.805384057	0.004637467	0.710023386	-2.266209758
RGPD1	0.29503961	4.944744813	3.805283007	0.004638162	0.710023386	-2.266292404
NA	0.257836456	7.002634341	3.801480475	0.004664367	0.710023386	-2.269403782
KIRREL	0.290129007	7.716427462	3.775016552	0.004851158	0.710023386	-2.291131986
PDCD11	0.25161091	4.544836729	3.769033274	0.004894481	0.710023386	-2.296062579
SREBF2	-0.285491479	8.50796361	-3.755987277	0.004990374	0.710023386	-2.306836315
PWWP2A	-0.232661522	4.332874297	-3.751452224	0.005024173	0.710023386	-2.310588875
MAPK4	-0.241082566	6.475642031	-3.749752802	0.005036901	0.710023386	-2.311996054
RIMKLB	0.325531468	5.996704014	3.741602913	0.005098418	0.710023386	-2.318751876
CASP5	0.236443869	3.981004935	3.732947436	0.005164626	0.710023386	-2.325940269
LINC00305	0.329772797	3.769185696	3.731652074	0.005174612	0.710023386	-2.327017263
SHD	0.281825891	5.27164361	3.730035622	0.005187103	0.710023386	-2.328361653
FOSL1	0.261480342	8.242578487	3.723923852	0.00523462	0.710023386	-2.333449134
CDH18	-0.280316321	4.86917411	-3.723802278	0.00523557	0.710023386	-2.333550403
WAC-AS1	0.270254821	9.532828594	3.723570744	0.00523738	0.710023386	-2.333743275
C6orf223	-0.316732249	6.391166939	-3.712652366	0.005323467	0.710023386	-2.34284971
FAIM2	0.25138105	6.610639771	3.71254936	0.005324287	0.710023386	-2.342935726
GABRB2	-0.308549374	4.145382972	-3.711731575	0.005330796	0.710023386	-2.343618699
FOXK2	0.260820063	4.548522874	3.704220202	0.005390978	0.710023386	-2.349897597
NA	0.358114719	6.022513959	3.701422602	0.005413577	0.710023386	-2.352238824
CHST2	0.331463137	4.723955254	3.697535606	0.005445142	0.710023386	-2.355494132
KRTAP13-4	0.337285705	4.512544751	3.680328204	0.005587239	0.710023386	-2.369938564
NA	0.2784957	5.362846983	3.679078016	0.005597715	0.710023386	-2.370990138
ENTPD3	0.309700646	4.822697258	3.678855518	0.005599581	0.710023386	-2.371177317
NFKBIB	0.316261732	6.079697666	3.676427844	0.005619991	0.710023386	-2.373220232
NA	-0.229343421	4.494425136	-3.674857024	0.005633238	0.710023386	-2.374542672
SYNDIG1	0.244791279	4.646950364	3.672821205	0.005650457	0.710023386	-2.37625726
NA	0.286431403	4.213176205	3.670665069	0.005668754	0.710023386	-2.378074013
NA	0.254699521	4.719156253	3.66878112	0.005684792	0.710023386	-2.379662122
NA	0.2705522	3.326306104	3.667155319	0.005698672	0.710023386	-2.381033145
PBLD	-0.278989211	5.261226575	-3.663941455	0.005726214	0.710023386	-2.383744795
ORM1	0.269462058	5.280556422	3.661652543	0.005745915	0.710023386	-2.385677189
NA	-0.326368615	5.541833204	-3.661572184	0.005746608	0.710023386	-2.385745049
NA	-0.260509187	8.381799978	-3.659161067	0.005767442	0.710023386	-2.38778169
C2orf76	-0.350774608	6.967457899	-3.657473062	0.005782075	0.710023386	-2.389208162
TGFA	0.273281348	4.713350378	3.657204061	0.005784411	0.710023386	-2.389435534
PIP5KL1	0.377292707	5.958911182	3.648030275	0.005864661	0.710023386	-2.397197573
PRDM14	-0.252244613	4.27413712	-3.647300348	0.005871097	0.710023386	-2.397815835
NA	0.303020566	4.072531479	3.646736457	0.005876074	0.710023386	-2.398293528
NA	0.292195888	3.811647981	3.646637254	0.00587695	0.710023386	-2.398377573
IGSF9B	-0.271072028	6.401507532	-3.644117014	0.005899252	0.710023386	-2.400513323
MYEOV	0.309337951	6.430740741	3.641513745	0.005922382	0.710023386	-2.402720657
RPGRIP1	0.244587523	5.827308944	3.635269659	0.005978254	0.710023386	-2.408020135
NA	0.293588907	3.389313608	3.633443903	0.005994696	0.710023386	-2.409571039
NA	0.26738862	3.203238849	3.632620653	0.006002125	0.710023386	-2.410270556
SLC45A3	0.234358361	7.0610604	3.626666515	0.006056149	0.710023386	-2.415333487
TEX35	0.231169091	6.63320316	3.626179544	0.00606059	0.710023386	-2.415747856
HPGD	-0.334491207	4.691818663	-3.620639779	0.006111355	0.710023386	-2.420464755
SNCG	0.217256808	7.238371127	3.618888271	0.006127499	0.710023386	-2.421957265
YPEL2	-0.231782462	4.732608224	-3.614560659	0.006167581	0.710023386	-2.42564735
NA	-0.28253611	3.88111459	-3.59811222	0.006322472	0.710023386	-2.439703857
BOLA2	0.248190136	6.123455418	3.586385218	0.006435409	0.710023386	-2.449755628
NA	-0.239427108	5.122188406	-3.586102185	0.006438161	0.710023386	-2.449998538
