Symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
LDLR	-1.256287285	9.026022988	-22.19167884	1.92E-05	0.238972284	1.752005386
DUSP4	0.485503453	5.94615919	20.44610291	2.68E-05	0.238972284	1.670707275
CDKN1C	-0.493939081	8.996929302	-19.89509758	2.99E-05	0.238972284	1.641203438
CAMTA2	0.414711523	8.689081679	17.76888407	4.75E-05	0.26087249	1.505382996
DHCR24	-0.827462129	9.577235505	-16.84302801	5.91E-05	0.26087249	1.432863776
SSR1	0.350808378	7.744637282	15.15740134	9.07E-05	0.26087249	1.273332778
NA	-0.249930316	5.172308544	-14.476971	0.000109237	0.26087249	1.196629125
SQLE	-0.469402982	9.374435688	-14.22771403	0.000117202	0.26087249	1.166448209
INSIG1	-1.699674884	8.58040337	-14.02948484	0.000124056	0.26087249	1.141588791
AGPS	-0.334306351	10.06200272	-13.67953031	0.000137411	0.26087249	1.095748609
LAMB3	-0.312283887	9.095530033	-13.52384756	0.000143923	0.26087249	1.074516284
FDFT1	-0.688963164	10.43085264	-13.48708206	0.000145516	0.26087249	1.069423913
NA	-0.387924456	6.461567404	-13.30999323	0.000153503	0.26087249	1.044466292
IDI1	-0.781861137	9.677390718	-13.02740705	0.000167406	0.26087249	1.003118607
EIF4EBP1	0.394672748	11.11081351	13.01185904	0.000168215	0.26087249	1.000787563
SREBF1	-0.815252859	9.034332205	-12.89704088	0.000174344	0.26087249	0.983387181
DLX2	-0.3030758	9.240737867	-11.9856873	0.000234254	0.307352177	0.832766321
CNN3	-0.312135758	7.703393103	-11.72897855	0.000255566	0.307352177	0.785956315
FADS2	-0.324877129	8.466279166	-11.70690829	0.000257508	0.307352177	0.781834257
NA	0.38869435	9.97547449	11.07753501	0.000321455	0.307352177	0.657346024
NA	-0.231957812	11.90939332	-10.88014655	0.000345463	0.307352177	0.615367416
NUPR1	0.694145416	7.590267827	10.8711922	0.000346604	0.307352177	0.613427821
LSS	-0.314442113	9.116442675	-10.76639646	0.000360307	0.307352177	0.590495336
H1FNT	-0.211660599	5.508690502	-10.57854934	0.000386587	0.307352177	0.548291486
SLC20A1	0.31177056	10.68671733	10.33918716	0.000423599	0.307352177	0.492391686
MMAB	-0.304564719	8.29629576	-10.33493963	0.000424294	0.307352177	0.491377573
NA	0.32440054	6.916928645	10.2997386	0.000430112	0.307352177	0.482942853
CLIC3	-0.687590241	7.475420238	-10.17535121	0.000451475	0.307352177	0.452698512
PPAPDC1B	0.488495185	8.20725174	10.13682458	0.000458356	0.307352177	0.443189996
PEG10	-0.280752999	10.69410436	-10.11936497	0.000461517	0.307352177	0.438858662
TPBG	0.478919277	9.684614811	10.10398466	0.000464324	0.307352177	0.435031604
PRSS23	0.182288226	9.250010403	10.06995669	0.00047061	0.307352177	0.426525836
SCD	-0.740226495	10.69852861	-10.05505127	0.000473396	0.307352177	0.422783172
CDKN2C	-0.456260508	10.76911618	-9.811207765	0.000522008	0.307352177	0.360066235
DISC1	-0.166713655	6.04893188	-9.764694194	0.00053197	0.307352177	0.347776754
RNF145	-0.454583986	10.6491452	-9.727597525	0.000540083	0.307352177	0.337898598
NT5E	0.705502324	8.440665589	9.672192568	0.000552487	0.307352177	0.323017152
NTN4	0.505588096	6.184377049	9.619035285	0.00056472	0.307352177	0.308593557
MSMO1	-0.730882347	9.257615892	-9.548322424	0.000581515	0.307352177	0.289182074
EPAS1	0.578465269	8.599084622	9.545573848	0.00058218	0.307352177	0.288422336
PLEK2	0.229194923	9.203408352	9.531484229	0.000585604	0.307352177	0.284521631
C15orf48	0.291159493	4.385246605	9.514738082	0.000589707	0.307352177	0.27987199
NA	-0.341041246	9.123210478	-9.464627316	0.000602197	0.307352177	0.265870542
PCSK9	-0.343126272	9.246916916	-9.380589488	0.000623885	0.307352177	0.242090114
GDF15	0.899353116	6.851030804	9.26969271	0.000654	0.307352177	0.210124439
ALG5	0.198748056	11.20937724	9.255346496	0.000658025	0.307352177	0.205939796
STC2	0.486936269	8.457546911	9.253744542	0.000658477	0.307352177	0.205471813
REEP1	-0.199794402	7.137708107	-9.177549625	0.000680395	0.307352177	0.183047152
WT1	0.150454918	3.784304361	9.160007091	0.000685568	0.307352177	0.177837979
DHRS13	0.256369726	9.136179134	9.057288793	0.000716852	0.307352177	0.146983293
COL9A3	-0.544415074	6.916207629	-9.030717949	0.000725229	0.307352177	0.138902636
IL11	0.573765238	7.285954318	8.969920896	0.000744856	0.307352177	0.120257472
SCARA3	-0.243850591	9.925957457	-8.963942573	0.000746821	0.307352177	0.11841226
C18orf49	0.212784348	5.414312593	8.961278118	0.000747699	0.307352177	0.117589192
TMEM52	0.295514657	5.80737718	8.94316763	0.000753699	0.307352177	0.111983546
ENC1	0.239920705	8.096288083	8.910438613	0.000764695	0.307352177	0.101803408
KRTAP23-1	-0.262521094	7.387862842	-8.900681369	0.000768011	0.307352177	0.098756046
OPN1SW	-0.380276407	4.513565036	-8.87936559	0.000775318	0.307352177	0.092078775
CHEK2	0.157197867	8.366162031	8.796683364	0.000804483	0.307352177	0.065916637
NA	-0.606622322	8.178525556	-8.780990187	0.00081017	0.307352177	0.060903646
CALU	0.385917759	9.115852963	8.74689321	0.000822699	0.307352177	0.049959147
MAMDC2	-0.360017856	9.556689213	-8.73707747	0.00082635	0.307352177	0.046795049
OLFML2A	-0.453518332	9.215850414	-8.724728252	0.000830971	0.307352177	0.042805723
SATB1	-0.151749858	4.480891567	-8.716273796	0.000834154	0.307352177	0.040069056
AFP	0.205849659	5.638940382	8.715452545	0.000834464	0.307352177	0.039802981
PCK2	0.574765608	7.913953279	8.672469565	0.000850885	0.308651934	0.025817691
BEX2	0.272943321	6.159911619	8.563307987	0.000894412	0.311050028	-0.010230007
DPYSL5	0.171245773	5.685572003	8.526523058	0.000909695	0.311050028	-0.022551083
SCARA3	-0.214573956	8.109377272	-8.495493623	0.000922837	0.311050028	-0.033013431
NA	-0.207107156	10.27252551	-8.430803271	0.000950997	0.311050028	-0.055030741
TAAR9	0.288288574	4.709346647	8.403320363	0.00096328	0.311050028	-0.064469336
CDCP1	0.426025984	8.308776317	8.40207819	0.000963839	0.311050028	-0.064897145
FAM26F	0.30605359	5.454802617	8.374363573	0.000976433	0.311050028	-0.074469344
CLEC4G	-0.139014771	4.399745372	-8.341720421	0.000991527	0.311050028	-0.085810834
LIMA1	-0.186319074	8.774409483	-8.333156061	0.000995535	0.311050028	-0.088798497
NOTCH2NL	0.203371713	8.13836116	8.285472028	0.001018217	0.311050028	-0.105525398
LFNG	-0.209283557	7.259450222	-8.241915129	0.001039493	0.311050028	-0.120942533
NA	-0.156706253	4.726937567	-8.187115089	0.001067045	0.311050028	-0.140528486
GMPPA	0.269753499	8.584616134	8.176120412	0.001072681	0.311050028	-0.144483686
NA	0.550157246	7.379722122	8.13012357	0.001096658	0.311050028	-0.161124128
PCDH17	-0.145281626	5.444109257	-8.122852611	0.001100509	0.311050028	-0.163768474
NAGPA	0.152247758	8.799484306	8.116523884	0.001103874	0.311050028	-0.166073248
RBPMS	0.177448646	8.663858311	8.104854711	0.001110112	0.311050028	-0.170330478
SPRED2	0.382331352	7.91526725	8.102331477	0.001111466	0.311050028	-0.171252318
SFXN4	0.238611954	9.817452634	8.094748627	0.001115549	0.311050028	-0.17402542
FERMT2	-0.208064969	11.62961156	-8.091427646	0.001117343	0.311050028	-0.175241241
GPR56	-0.200044215	11.0729327	-8.025321858	0.001153801	0.316257908	-0.199610354
NA	0.439050202	4.156248719	8.009980461	0.00116247	0.316257908	-0.205311707
CDKN2B	-0.288695158	8.198144915	-7.98450743	0.001177042	0.316624349	-0.214816836
KCNIP3	-0.18438333	7.70361192	-7.889527761	0.001233396	0.321058796	-0.250686586
NA	-0.304261959	7.307760728	-7.807840091	0.001284538	0.321058796	-0.282085768
NA	0.187802513	3.386821901	7.797420133	0.001291247	0.321058796	-0.286128066
MANF	0.265577491	11.04055238	7.797206406	0.001291385	0.321058796	-0.286211068
TMEM14A	-0.288074859	10.86160238	-7.790063464	0.00129601	0.321058796	-0.288987088
CD164L2	-0.162990557	7.264931303	-7.783263609	0.001300432	0.321058796	-0.291633469
NA	0.15140554	3.030416103	7.765445721	0.001312107	0.321058796	-0.298585018
CHAC1	0.210796949	6.545066014	7.755838689	0.001318455	0.321058796	-0.302343476
ERICH3	0.226710688	3.516339574	7.713307515	0.001347017	0.321058796	-0.3190699
ATF4	0.325428571	12.17123328	7.70729233	0.001351117	0.321058796	-0.321447081
NA	0.129420313	6.013901238	7.696390762	0.001358588	0.321058796	-0.325762679
NA	0.247145866	7.312785368	7.675371467	0.001373136	0.321058796	-0.334110349
MIR4435-1HG	0.291558103	10.27723189	7.669918429	0.001376942	0.321058796	-0.336281762
POU4F1	0.272182692	3.770712512	7.610357733	0.001419364	0.321058796	-0.360154981
CCDC89	0.201142074	3.379446545	7.598483764	0.001428012	0.321058796	-0.364948705
NA	0.235817175	11.39854704	7.594737674	0.001430754	0.321058796	-0.366463451
CDRT1	0.196178283	5.001829884	7.587538616	0.001436041	0.321058796	-0.369377637
SERPINE2	0.348671983	12.14555335	7.552500458	0.00146212	0.321058796	-0.383621781
LOC100131496	0.147889132	5.164553062	7.542159188	0.001469928	0.321058796	-0.387845159
NA	-0.22130085	7.995335419	-7.539101654	0.001472246	0.321058796	-0.38909555
