Symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
LDLR	-1.265382409	8.957904999	-23.80767585	1.02E-08	0.000245163	7.472498317
SREBF1	-1.12221202	8.876512463	-19.46783762	5.00E-08	0.000469661	6.886818552
INSIG1	-1.945897543	8.316547005	-19.06876415	5.89E-08	0.000469661	6.817791736
IDI1	-0.923802844	9.533710345	-14.99221623	3.85E-07	0.002302879	5.891673715
FDFT1	-0.802148276	10.32149012	-14.16168339	5.98E-07	0.002387133	5.63880803
CLIC3	-0.775785522	7.422276156	-14.08472857	6.24E-07	0.002387133	5.613979484
DHCR24	-0.808420973	9.510874608	-13.88152392	6.98E-07	0.002387133	5.547210434
SCD	-0.791982074	10.5938565	-12.43762594	1.62E-06	0.004811238	5.017439136
COL9A3	-0.79301859	6.751771715	-12.26286534	1.81E-06	0.004811238	4.946067698
KRT19	-0.554908109	6.998279157	-11.58381437	2.79E-06	0.006683598	4.651948697
NA	-0.778462547	8.306323894	-11.35121483	3.26E-06	0.007087367	4.54468416
CDKN1C	-0.624383987	8.885091144	-11.00679737	4.11E-06	0.008203422	4.379312438
NA	-1.018635647	7.778971703	-10.77544457	4.83E-06	0.008889407	4.263644257
IDH1	-0.510140839	10.31146038	-10.05824981	8.10E-06	0.01384439	3.879913014
MSMO1	-0.719974364	9.126600017	-9.733136586	1.03E-05	0.016510062	3.69250921
NA	-0.474987052	6.175785375	-8.835456682	2.11E-05	0.030344113	3.126480454
NA	-0.623731171	9.305764328	-8.762914104	2.25E-05	0.030344113	3.077390625
NT5E	0.914482287	8.540471238	8.744352523	2.28E-05	0.030344113	3.06474497
IL11	0.765770472	7.534241242	8.523118474	2.75E-05	0.033956281	2.911309928
REEP1	-0.470945928	6.999325769	-8.435644964	2.97E-05	0.033956281	2.849237295
ID2	-0.466321253	9.23806973	-8.430631626	2.98E-05	0.033956281	2.845655181
METTL7A	-0.740450095	7.584756789	-8.167143113	3.75E-05	0.039787378	2.653564793
OLFML2A	-0.601097458	9.127544543	-8.14552738	3.82E-05	0.039787378	2.63746788
NA	0.577709772	10.01824633	8.052658567	4.15E-05	0.041420333	2.567713685
DPYSL2	-0.429621332	9.57785796	-7.984824104	4.41E-05	0.042262619	2.516145471
SQLE	-0.55465262	9.348296448	-7.904577444	4.75E-05	0.043699037	2.454459423
LETM2	0.950347315	5.923251391	7.81947635	5.13E-05	0.045312838	2.388223788
EPPK1	-0.447173093	8.750065534	-7.783884498	5.30E-05	0.045312838	2.360269584
CDKN1A	-0.411203713	9.061967606	-7.733617879	5.55E-05	0.045656531	2.320533661
TNS3	-0.402725241	8.660988532	-7.701038391	5.72E-05	0.045656531	2.294618334
TTC17	0.544583653	8.130476494	7.652944265	5.98E-05	0.046205263	2.256128617
IDH1	-0.484019144	10.33356208	-7.593039956	6.33E-05	0.047341035	2.207795263
ETV4	0.734001892	9.335423918	7.52611274	6.74E-05	0.048892196	2.153276397
RNF145	-0.454089209	10.86484434	-7.491664308	6.96E-05	0.049026869	2.124999297
GEM	0.47601575	7.158214984	7.358963856	7.90E-05	0.054058799	2.014686212
SREBF2	-0.568777176	8.298359073	-7.295242107	8.40E-05	0.055194457	1.960923228
NT5E	0.797317607	8.432745859	7.279862335	8.53E-05	0.055194457	1.947869291
PCSK9	-0.404364847	9.272938723	-7.243881931	8.83E-05	0.055653133	1.917211207
RGS2	0.506831615	10.46603637	7.143941249	9.74E-05	0.058309126	1.831173154
CCNG2	-0.384315362	7.152601426	-7.116202582	0.000100104	0.058309126	1.807061551
CCND1	0.437332848	9.19426186	7.091820385	0.000102544	0.058309126	1.785783762
LSS	-0.369395602	9.068728364	-7.033241275	0.000108679	0.058309126	1.734340919
AHNAK2	-0.567348496	9.046394079	-7.012533246	0.000110944	0.058309126	1.716046168
NBR2	-0.436174044	6.153191101	-6.989858293	0.000113485	0.058309126	1.695947809
DHCR7	-0.396363628	8.735194363	-6.989029583	0.000113579	0.058309126	1.695211958
NA	-0.398790149	4.128225292	-6.978588238	0.000114771	0.058309126	1.685932686
ZNF362	-0.351714306	8.507768136	-6.952190394	0.000117848	0.058309126	1.662407258
HPGD	-0.577786307	4.60167995	-6.933547953	0.000120077	0.058309126	1.6457366
NA	0.469991965	7.432329737	6.919761466	0.000121754	0.058309126	1.633377983
CDKN2B	-0.383925485	8.288937972	-6.899971274	0.000124208	0.058309126	1.615592303
TUFT1	-0.385676555	8.199152766	-6.883364507	0.00012631	0.058309126	1.600626419
GRAMD3	-0.387311718	6.644909351	-6.880722742	0.000126648	0.058309126	1.598242211
LRIG1	0.642066696	8.506967478	6.822795589	0.000134315	0.059942053	1.54572214
CLDN1	0.40216024	7.362055913	6.816329387	0.000135202	0.059942053	1.539830878
MED12L	-0.429088587	8.919806309	-6.711406448	0.000150543	0.065530092	1.443426631
NA	-0.423681444	8.058331645	-6.667776342	0.000157481	0.06666255	1.402885931
RGCC	-0.636051609	8.487336058	-6.641013099	0.000161912	0.06666255	1.377884982
AMDHD1	-0.328379509	4.3223577	-6.632652741	0.000163324	0.06666255	1.370054357
LPIN1	-0.559709255	7.115006685	-6.616386997	0.00016611	0.06666255	1.354790841
STC2	0.590982259	8.587045241	6.607373889	0.000167677	0.06666255	1.346316897
TRIM6	-0.467203967	6.591268981	-6.595015745	0.000169852	0.06666255	1.33467922
HSPA5	0.359966004	13.29063635	6.57839724	0.000172825	0.066735615	1.318995222
RAB5B	-0.36143703	7.817423169	-6.497207834	0.000188205	0.06964536	1.241802148
ABCA1	-0.541701026	4.13980033	-6.493500295	0.000188942	0.06964536	1.238254433
DLX2	-0.354028938	9.279941784	-6.482401148	0.000191169	0.06964536	1.227621856
NA	-0.351581445	9.171744081	-6.47471004	0.00019273	0.06964536	1.220243589
SPRED2	0.503586644	7.972086887	6.464097256	0.000194906	0.06964536	1.210048399
MEGF9	-0.44470704	9.466424953	-6.416182534	0.000205074	0.072201204	1.163815022
NA	-0.332242939	3.66614105	-6.397665313	0.00020916	0.072572359	1.145857765
NA	-0.327162641	10.196551	-6.359220548	0.000217932	0.073598432	1.108414921
CAMTA2	0.509593991	8.906603593	6.357793282	0.000218265	0.073598432	1.107020665
UCP2	-0.344570506	9.116228852	-6.293303874	0.000233933	0.077055203	1.04370861
