Symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
HMOX1	5.009256352	9.909468841	56.1482639	2.33E-12	1.10E-07	15.88132049
FTH1	3.140747253	10.81419701	32.18275382	2.76E-10	4.64E-06	13.42814903
DLGAP5	-2.005443854	9.556676193	-31.94711928	2.94E-10	4.64E-06	13.38619699
FTHL3	2.780331726	10.62260285	30.30512558	4.62E-10	5.47E-06	13.0779776
FTHL11	2.751615718	10.38473237	28.21586308	8.51E-10	8.05E-06	12.64164961
AKR1C4	3.760412657	9.299065252	25.59363909	1.96E-09	1.03E-05	12.0122514
S100P	2.968485682	9.738557212	26.51246481	1.45E-09	1.03E-05	12.24415981
UBE2C	-1.643326107	11.43804217	-25.66230271	1.91E-09	1.03E-05	12.03003412
AKR1C2	4.309537266	10.34953038	25.69391372	1.89E-09	1.03E-05	12.03819576
SAT1	2.352091782	11.14683079	25.07517204	2.33E-09	1.10E-05	11.87552909
TRIP13	-1.623592246	9.545042744	-24.55743023	2.78E-09	1.15E-05	11.73455596
FTHL2	1.86147613	8.37299537	24.41566715	2.92E-09	1.15E-05	11.69515746
SLC7A11	1.890843605	7.696191421	24.01788323	3.36E-09	1.22E-05	11.58272035
KIF20A	-1.629347182	10.06721612	-23.11678888	4.65E-09	1.57E-05	11.31732287
CDCA3	-1.785876422	8.639038745	-22.03028627	7.00E-09	1.61E-05	10.976237
COQ2	-1.552758938	9.885279861	-22.51612828	5.82E-09	1.61E-05	11.13172678
C12ORF24	-1.854354424	9.208588625	-21.9784835	7.14E-09	1.61E-05	10.95936532
NUPR1	2.61075587	8.967734272	22.09542944	6.82E-09	1.61E-05	10.99737253
LOC100132863	-1.566155857	11.22203682	-22.19230961	6.58E-09	1.61E-05	11.02863915
FTHL16	1.856043274	8.311999115	22.57058498	5.70E-09	1.61E-05	11.14885122
LOC642567	2.280161583	8.906226648	22.03560631	6.98E-09	1.61E-05	10.97796645
RFC3	-1.422871983	9.372384959	-21.61190674	8.23E-09	1.62E-05	10.83832107
CEP55	-1.579224911	10.20930432	-21.64270115	8.14E-09	1.62E-05	10.84860217
OIP5	-1.603871544	9.151671271	-21.61592046	8.22E-09	1.62E-05	10.83966229
TYMS	-1.915562852	10.13683307	-21.2281967	9.59E-09	1.80E-05	10.70844248
KIF11	-1.613592482	8.21187365	-21.15641235	9.86E-09	1.80E-05	10.68377531
MND1	-1.355661817	8.423201294	-20.0885908	1.53E-08	1.99E-05	10.302453
PHPT1	-1.718656355	10.30732327	-20.64638581	1.21E-08	1.99E-05	10.5050654
FTHL8	2.371851013	12.46940442	20.05292986	1.55E-08	1.99E-05	10.28923647
TXNRD1	1.826049904	10.58117347	20.32324111	1.39E-08	1.99E-05	10.38862195
CCNF	-1.351347888	9.905876763	-20.2332597	1.44E-08	1.99E-05	10.35574125
CDKN1A	1.526303003	12.94055206	20.38503548	1.35E-08	1.99E-05	10.41108659
FAM129A	1.996773956	7.909283071	20.44053056	1.32E-08	1.99E-05	10.43118115
PTTG3P	-1.55127444	10.33735995	-20.76356349	1.16E-08	1.99E-05	10.54666629
FABP5	-1.736577185	9.223324164	-20.10841352	1.52E-08	1.99E-05	10.30978572
GABARAPL1	1.42415865	8.120314615	20.41188505	1.34E-08	1.99E-05	10.42081815
PAICS	-1.255417537	11.94612518	-20.06355373	1.55E-08	1.99E-05	10.29317722
LOC387882	-1.238056106	8.980346537	-19.90567083	1.65E-08	2.06E-05	10.2343174
FLJ20489	1.808548799	8.766477745	19.79873513	1.73E-08	2.10E-05	10.1940879
TOP2A	-2.082938622	10.6211106	-19.67740264	1.82E-08	2.16E-05	10.14808291
DHTKD1	-1.448657785	8.627607085	-19.39815872	2.06E-08	2.17E-05	10.04072911
AURKB	-1.869100792	9.481624928	-19.2116999	2.23E-08	2.17E-05	9.967880434
FTHL11	2.232055203	12.04143183	19.51657529	1.95E-08	2.17E-05	10.08650694
NCAPG	-1.29074795	9.29884013	-19.19017949	2.25E-08	2.17E-05	9.959411505
NCAPG2	-1.482422086	9.654455184	-19.59435169	1.89E-08	2.17E-05	10.11637056
MCM10	-1.435118005	8.685204456	-19.24122295	2.20E-08	2.17E-05	9.979478008
LOC392437	1.573097793	11.75417347	19.40250806	2.05E-08	2.17E-05	10.04241714
LOC642956	-1.500125979	8.493234894	-19.31880234	2.13E-08	2.17E-05	10.00984027
FABP5L2	-2.14477502	9.753159667	-19.25008674	2.19E-08	2.17E-05	9.982955331
ILF3	-1.50434983	9.469065652	-19.01343097	2.43E-08	2.18E-05	9.889372234
DARS2	-1.588351832	9.827737037	-18.96713572	2.48E-08	2.18E-05	9.870883505
FBXO5	-1.475818972	9.333439418	-19.03331086	2.41E-08	2.18E-05	9.897293196
CCNA2	-1.695158776	10.14528857	-19.09380853	2.35E-08	2.18E-05	9.9213303
FEN1	-1.36555952	11.29205611	-18.99645916	2.45E-08	2.18E-05	9.882601237
S100A4	-1.769400911	8.570426874	-18.84000427	2.63E-08	2.21E-05	9.81980169
ASF1B	-1.647726286	9.09537507	-18.82402333	2.65E-08	2.21E-05	9.813348161
ACSL3	1.314439257	10.86088256	18.81737407	2.66E-08	2.21E-05	9.810660874
SLC29A1	-1.651662467	8.78032348	-18.69859681	2.80E-08	2.25E-05	9.762444639
MT1X	-1.671720063	9.228448821	-18.71605776	2.78E-08	2.25E-05	9.769558042
ESR1	-1.582553062	10.05343643	-18.59987149	2.93E-08	2.27E-05	9.7220596
TMPO	-1.337928683	9.273032761	-18.63458739	2.88E-08	2.27E-05	9.736292776
RAD51AP1	-1.49744813	8.957792108	-18.51069463	3.05E-08	2.33E-05	9.685337262
ABCC3	3.531319621	9.572396906	18.39216846	3.22E-08	2.42E-05	9.636168208
UHRF1	-1.628833461	10.22433119	-18.32372712	3.32E-08	2.46E-05	9.607586928
SKP2	-1.546334701	9.990430103	-18.28345684	3.39E-08	2.47E-05	9.590704729
LOC729009	2.663763277	11.59289169	18.21060403	3.50E-08	2.51E-05	9.560039681
CDC2	-1.44925406	9.925435933	-18.13629077	3.63E-08	2.56E-05	9.528594988
