Symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
HSPA6	5.198514661	9.655623696	55.92513197	2.47E-13	1.17E-08	20.07286213
HSPA1A	4.305915101	11.49010205	51.46305878	5.46E-13	1.29E-08	19.54363184
HMOX1	5.284373671	10.16850638	46.97561233	1.30E-12	2.05E-08	18.92439914
HSPA6	3.295215512	8.700600351	45.02979613	1.94E-12	2.19E-08	18.62418539
FTHL8	2.604893387	12.15558689	41.17991441	4.54E-12	2.19E-08	17.96418122
RMND5A	2.850271038	8.809493534	43.46197811	2.72E-12	2.19E-08	18.36657689
ZNF77	2.427873996	8.464022957	41.08831398	4.63E-12	2.19E-08	17.94730694
ABL2	3.453739648	9.267408199	42.74936467	3.18E-12	2.19E-08	18.24454001
ATF3	4.749401408	10.39925704	42.16515589	3.63E-12	2.19E-08	18.14208052
C17ORF91	3.028572795	9.874211659	42.00136163	3.76E-12	2.19E-08	18.11295478
LOC285074	2.284349099	9.447096134	37.7362712	1.04E-11	4.10E-08	17.28767327
FTHL12	2.265904973	12.00144331	37.83641339	1.01E-11	4.10E-08	17.30863681
HIST1H4H	3.560419222	10.06349516	37.09938192	1.22E-11	4.45E-08	17.15241043
CLK1	2.264976292	8.812430927	34.36338051	2.52E-11	5.98E-08	16.53080768
HIST1H2BJ	2.782612255	9.598500746	34.1836411	2.65E-11	5.98E-08	16.48751917
CHST15	-2.187454516	10.33947925	-34.64562796	2.34E-11	5.98E-08	16.59814647
LOC649859	2.325384099	8.273704091	34.21261357	2.63E-11	5.98E-08	16.49451845
LOC653450	2.782473408	9.82854623	34.54780262	2.40E-11	5.98E-08	16.57489488
OLFML2A	-2.837403182	9.113273346	-33.88587577	2.88E-11	5.98E-08	16.41509992
SETX	2.350198989	8.901204292	33.91139658	2.86E-11	5.98E-08	16.42134157
PRSS23	-2.326472167	10.10720182	-34.87672815	2.19E-11	5.98E-08	16.65270961
FAM21A	2.779100572	9.331359034	34.52319788	2.42E-11	5.98E-08	16.56903212
LOC729009	2.500698388	10.99990736	33.8546913	2.91E-11	5.98E-08	16.4074642
