Symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
NA	3.922260009	2.085818577	9.164544258	4.10E-05	0.862981693	-4.454569195
C4orf33	-3.528929845	0.711655135	-9.095730039	4.31E-05	0.862981693	-4.454760968
PLEKHA5	-3.912303079	1.074866143	-8.82925388	5.21E-05	0.862981693	-4.455541681
SP8	3.381744997	1.948871274	8.122190335	8.87E-05	0.862981693	-4.457950299
NA	-3.160181131	1.529422868	-8.077485779	9.19E-05	0.862981693	-4.458121411
BC048420	2.619057454	2.376740014	8.038594932	9.47E-05	0.862981693	-4.458272292
NPSA	3.57067854	1.839838847	7.535122675	0.000142165	0.98643057	-4.460410177
NCLN	2.648095336	3.92910284	7.372041428	0.000162928	0.98643057	-4.461183893
NA	-3.228949713	2.605617389	-7.173683413	0.000192947	0.98643057	-4.462185563
NA	2.720265282	2.750107641	7.134562128	0.000199578	0.98643057	-4.462391442
NA	-2.378437936	3.162300543	-6.811107985	0.000265415	0.98643057	-4.464207865
NA	3.060970526	1.126853002	6.753925974	0.000279439	0.98643057	-4.46455156
PCSK6	3.569259505	2.575984992	6.693803711	0.00029509	0.98643057	-4.464920743
CFTR	4.062925945	1.911978316	6.664364349	0.000303113	0.98643057	-4.465104504
PDCL2	3.195523918	1.254713177	6.604157183	0.000320295	0.98643057	-4.465486577
NA	2.546359105	2.473903483	6.527248163	0.00034386	0.98643057	-4.465987185
NA	3.568241139	1.15446434	6.474122111	0.000361277	0.98643057	-4.466341449
PRLR	2.224000832	1.993747253	6.430233706	0.000376415	0.98643057	-4.466639472
NA	-2.767481434	1.861393853	-6.312848621	0.000420531	0.98643057	-4.467461205
ARHGAP29	-2.723998784	2.433374327	-6.280187071	0.000433819	0.98643057	-4.46769642
DICER1	-2.914301083	2.999219036	-6.220256588	0.000459445	0.98643057	-4.468135705
RP11-305O6.3	-3.975574954	1.903941222	-6.210176284	0.00046392	0.98643057	-4.468210586
LOC100128554	-2.471941659	3.067485368	-6.161816697	0.000486081	0.98643057	-4.468573883
