Symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B	Symbol
MAGEB4	3.624823039	1.742112592	9.918855294	2.51E-05	0.880415385	-4.46156388	MAGEB4
NA	-3.50546681	1.789743843	-8.947397719	4.89E-05	0.880415385	-4.46388917	NA
MTFR1	3.263517379	1.561459762	8.252507151	8.17E-05	0.880415385	-4.466016642	MTFR1
LINC01393	2.706227191	2.082791537	8.127623071	9.00E-05	0.880415385	-4.466450494	LINC01393
NA	3.263358977	1.3811911	8.12259094	9.04E-05	0.880415385	-4.466468342	NA
ETV5	-3.735857301	4.550055957	-8.036646039	9.66E-05	0.880415385	-4.466777699	ETV5
PELO	-3.138893882	1.771120326	-7.768196045	0.000119588	0.93406547	-4.467801775	PELO
HILS1	2.497457818	2.341489636	7.437360631	0.000156865	0.999932036	-4.469196577	HILS1
LOC101928519	3.473268796	2.042763143	6.984878624	0.00023105	0.999932036	-4.471380542	LOC101928519
NA	-2.610842277	3.046098373	-6.914078773	0.00024592	0.999932036	-4.471754967	NA
NA	2.885093049	3.948000494	6.840235295	0.00026259	0.999932036	-4.472155783	NA
NR1D1	2.312714868	3.459050877	6.742668406	0.000286602	0.999932036	-4.472702087	NR1D1 /// THRA
THRA	2.312714868	3.459050877	6.742668406	0.000286602	0.999932036	-4.472702087	
C17orf104	-2.576178725	2.048605994	-6.730069168	0.000289879	0.999932036	-4.472774061	C17orf104
RP11-121C2.2	-2.422408028	4.291485278	-6.72891274	0.000290182	0.999932036	-4.472780683	RP11-121C2.2
UBXN10	2.70084002	3.954359274	6.589340188	0.000329504	0.999932036	-4.473601032	UBXN10
SMC1A	2.951116515	2.756618221	6.545732057	0.000342994	0.999932036	-4.47386614	SMC1A
ST8SIA4	-3.577106344	1.125718385	-6.506467673	0.000355674	0.999932036	-4.474108549	ST8SIA4
BCL2L14	2.890249804	1.595814312	6.499900379	0.000357846	0.999932036	-4.474149442	BCL2L14
COL4A3	-2.382150395	3.500057947	-6.371624561	0.000403409	0.999932036	-4.474968717	COL4A3
SYCE1	3.122341134	2.088207292	6.359006538	0.000408233	0.999932036	-4.475051466	SYCE1
NA	-2.761895479	2.116912024	-6.297615995	0.000432646	0.999932036	-4.475459761	NA
RUNDC3A	2.099236558	5.123660956	6.234461805	0.000459487	0.999932036	-4.475889864	RUNDC3A
NA	2.752855345	2.969163864	6.187211497	0.000480793	0.999932036	-4.476218523	NA
NA	-2.219308591	3.128804386	-6.117148288	0.000514459	0.999932036	-4.476716993	NA
KCNE3	2.229098404	3.817286133	6.097548624	0.000524345	0.999932036	-4.476858869	KCNE3
NA	-3.155851258	3.178035786	-6.062881356	0.000542358	0.999932036	-4.477112471	NA
RP11-744D14.2	-2.057224221	2.269434119	-6.011240527	0.000570492	0.999932036	-4.477496638	RP11-744D14.2
NA	-3.013804523	2.691314798	-5.997779445	0.000578092	0.999932036	-4.477598056	NA
LOC100506885	3.297076313	2.812617411	5.970839124	0.000593646	0.999932036	-4.477802641	LOC100506885
PBRM1	-2.59990045	1.424638798	-5.904726728	0.000633844	0.999932036	-4.478313963	PBRM1
LOC101929497	-2.361891173	2.9365411	-5.881844803	0.00064846	0.999932036	-4.478494059	LOC101929497
TRAV12-2	3.065993707	3.049142395	5.838294252	0.000677336	0.999932036	-4.478841366	TRAV12-2
PDE7B	-2.977911689	3.692138558	-5.834865878	0.000679669	0.999932036	-4.478868961	PDE7B
CT47A1	-2.069091281	3.455932664	-5.812563346	0.000695072	0.999932036	-4.4790494	CT47A1 /// CT47A10 /// CT47A11 /// CT47A12 /// CT47A2 /// CT47A3 /// CT47A4 /// CT47A5 /// CT47A6 /// CT47A7 /// CT47A8 /// CT47A9
CT47A10	-2.069091281	3.455932664	-5.812563346	0.000695072	0.999932036	-4.4790494	
CT47A11	-2.069091281	3.455932664	-5.812563346	0.000695072	0.999932036	-4.4790494	
CT47A12	-2.069091281	3.455932664	-5.812563346	0.000695072	0.999932036	-4.4790494	
CT47A2	-2.069091281	3.455932664	-5.812563346	0.000695072	0.999932036	-4.4790494	
CT47A3	-2.069091281	3.455932664	-5.812563346	0.000695072	0.999932036	-4.4790494	
CT47A4	-2.069091281	3.455932664	-5.812563346	0.000695072	0.999932036	-4.4790494	
CT47A5	-2.069091281	3.455932664	-5.812563346	0.000695072	0.999932036	-4.4790494	
CT47A6	-2.069091281	3.455932664	-5.812563346	0.000695072	0.999932036	-4.4790494	
CT47A7	-2.069091281	3.455932664	-5.812563346	0.000695072	0.999932036	-4.4790494	
CT47A8	-2.069091281	3.455932664	-5.812563346	0.000695072	0.999932036	-4.4790494	
CT47A9	-2.069091281	3.455932664	-5.812563346	0.000695072	0.999932036	-4.4790494	
NA	3.407078898	6.860012105	5.801006244	0.000703207	0.999932036	-4.479143533	NA
NA	2.562335357	2.514351556	5.795190802	0.00070734	0.999932036	-4.479191065	NA
ETV1	-4.559065373	2.636329129	-5.767433247	0.00072745	0.999932036	-4.479419458	ETV1
LDHAL6A	3.181384204	4.624561455	5.748971293	0.00074118	0.999932036	-4.479572773	LDHAL6A
LINC00210	-2.495684976	1.366557091	-5.739375705	0.00074843	0.999932036	-4.479652906	LINC00210
FLJ35700	2.777272323	2.331648724	5.707727926	0.000772912	0.999932036	-4.47991939	FLJ35700
KIRREL	-1.933986864	2.723462512	-5.661087145	0.000810642	0.999932036	-4.480318342	KIRREL
FSD1L	3.360901159	2.602578293	5.652479483	0.000817829	0.999932036	-4.480392791	FSD1L
RP11-52A20.2	2.196469469	2.57105468	5.642851448	0.000825951	0.999932036	-4.480476372	RP11-52A20.2
NA	2.559237776	3.630670485	5.630781297	0.000836262	0.999932036	-4.480581613	NA
LOC339539	-2.506626934	3.717968559	-5.553276394	0.000906003	0.999932036	-4.481269769	LOC339539
LINC00648	3.459536196	2.621254982	5.547894553	0.000911082	0.999932036	-4.481318362	LINC00648
NA	2.512424342	2.666279842	5.524411222	0.00093362	0.999932036	-4.481531643	NA
BCAS4	2.088020065	4.322903897	5.501395218	0.000956316	0.999932036	-4.481742669	BCAS4
SYTL3	2.226390958	2.173669026	5.468337158	0.000990001	0.999932036	-4.482049258	SYTL3
CYCSP19	1.864948195	2.676118462	5.450020495	0.001009234	0.999932036	-4.482220925	CYCSP19 /// RP11-3L10.1
RP11-3L10.1	1.864948195	2.676118462	5.450020495	0.001009234	0.999932036	-4.482220925	
NA	-2.442049141	1.881885553	-5.426395104	0.001034661	0.999932036	-4.482444259	NA
DLX6-AS1	2.519133043	3.101119602	5.424615637	0.001036605	0.999932036	-4.482461169	DLX6-AS1
NA	-2.768803653	2.616325546	-5.422108762	0.00103935	0.999932036	-4.482485011	NA
NLGN4X	3.544682136	1.921974719	5.402339233	0.001061288	0.999932036	-4.4826739	NLGN4X
C1S	-2.02915428	0.856600077	-5.377460435	0.001089635	0.999932036	-4.482913801	C1S
TNKS	2.563313709	2.801854417	5.33314791	0.001142241	0.999932036	-4.483347243	TNKS
MIR124-2HG	2.263414871	4.061721491	5.32096415	0.001157197	0.999932036	-4.483467817	MIR124-2HG
LOC285423	2.503604536	2.608598711	5.286257795	0.001201014	0.999932036	-4.483814636	LOC285423
APLN	-2.182903775	8.273761028	-5.272545283	0.001218834	0.999932036	-4.483953048	APLN
LOC101930028	1.938285364	2.359971854	5.267724514	0.001225168	0.999932036	-4.484001895	LOC101930028 /// LOC101930449
LOC101930449	1.938285364	2.359971854	5.267724514	0.001225168	0.999932036	-4.484001895	
KLF4	3.756853766	7.380339778	5.258322303	0.001237629	0.999932036	-4.484097448	KLF4
CAPS2	2.818765119	1.640489119	5.230799068	0.001274924	0.999932036	-4.484379321	CAPS2
HIATL1	-2.58664691	2.530855382	-5.196451452	0.001323236	0.999932036	-4.484735655	HIATL1
LIX1	2.434469336	0.702661495	5.19558622	0.001324479	0.999932036	-4.484744698	LIX1
TFDP1	-1.925919307	5.361310611	-5.179842723	0.001347326	0.999932036	-4.484909804	TFDP1
FMN2	1.865677268	3.22520327	5.179730163	0.001347491	0.999932036	-4.484910989	FMN2
PRG4	2.392762277	2.310850413	5.170354814	0.001361307	0.999932036	-4.485009833	PRG4
ISG20	4.422789278	5.56821255	5.160449166	0.001376076	0.999932036	-4.485114692	ISG20
PTPN18	-2.97349916	0.981891856	-5.14981893	0.001392125	0.999932036	-4.485227706	PTPN18
SH2D1A	2.330639241	2.449052734	5.11787603	0.001441617	0.999932036	-4.485570356	SH2D1A
NA	-2.518196284	0.541763777	-5.105146026	0.001461884	0.999932036	-4.485708198	NA
