Symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
NA	3.818253761	1.978424498	8.664353421	5.92E-05	0.876842436	-4.230623381
NA	3.119572375	2.738470488	8.062599107	9.35E-05	0.876842436	-4.236370187
NA	-3.038823275	2.02306561	-7.883343271	0.000107701	0.876842436	-4.238305732
NA	2.748746565	3.879827252	7.709393256	0.000123893	0.876842436	-4.240295627
OVOL2	3.106564867	3.181253773	7.697273467	0.00012512	0.876842436	-4.240438581
HERC1	-4.311353132	1.136045336	-7.534005068	0.000143061	0.876842436	-4.242421845
NPSA	3.075520906	1.59226003	7.383438251	0.000162218	0.876842436	-4.244350215
MTIF3	-2.546762491	2.390213661	-7.292041959	0.000175253	0.876842436	-4.245570054
MTMR14	-2.516911901	3.895950021	-7.192488715	0.000190815	0.876842436	-4.246943271
SP8	3.060235334	1.788116442	7.171637604	0.000194269	0.876842436	-4.247236949
MTFR1	3.113283334	1.48634274	7.072661659	0.000211654	0.876842436	-4.24866055
NA	2.7250731	1.663549307	6.905446805	0.000245162	0.876842436	-4.251181459
NA	2.796116174	2.140227597	6.862749051	0.00025465	0.876842436	-4.251849575
RP11-52A20.2	2.319786005	2.632712948	6.740380163	0.000284216	0.876842436	-4.253822153
NA	2.698094332	1.191070103	6.710508025	0.000292009	0.876842436	-4.254317092
SLC16A10	2.320830788	2.591342644	6.696396072	0.000295773	0.876842436	-4.254552782
DCAF4L1	-3.275780901	1.359056695	-6.514117716	0.00034965	0.876842436	-4.257709058
TENM1	-2.705341875	1.763966958	-6.508972585	0.000351324	0.876842436	-4.257801259
BC036311	-3.198259685	2.498980387	-6.439812616	0.000374715	0.876842436	-4.259057849
SLC23A1	2.595465578	3.418158484	6.431695055	0.000377574	0.876842436	-4.25920747
PLEKHA5	-3.188994745	1.43652031	-6.388678382	0.000393137	0.876842436	-4.260007954
FAM104B	-2.540378704	2.10140513	-6.341567653	0.000411014	0.876842436	-4.260899538
MYB	-2.337079442	2.563379169	-6.336021254	0.000413179	0.876842436	-4.261005546
LINC00032	-2.281113033	1.928560535	-6.309269641	0.000423799	0.876842436	-4.261519968
NA	2.878626989	6.595786151	6.122309294	0.000507182	0.876842436	-4.265264364
PARP11	2.401303117	3.669621814	6.0883511	0.000524226	0.876842436	-4.265973594
NA	2.644906029	2.895404605	6.079413006	0.000528818	0.876842436	-4.266161812
LINC00458	2.706906585	2.293887306	6.072021374	0.00053265	0.876842436	-4.266317954
CTC-471F3.6	-2.737129107	2.401550714	-6.068721448	0.000534371	0.876842436	-4.266387806
CDH19	-2.251508263	2.197232697	-6.054110629	0.000542065	0.876842436	-4.266698152
ISG20	4.148422755	5.431029288	6.018379539	0.00056141	0.876842436	-4.267464518
NA	-2.685770432	3.008634295	-6.015989116	0.000562731	0.876842436	-4.267516166
NMBR	2.102071825	3.295098506	5.996294159	0.000573754	0.876842436	-4.267943528
C10orf90	-2.620281945	2.13741283	-5.989968719	0.000577345	0.876842436	-4.268081477
FLJ35700	3.040290966	2.463158046	5.912785657	0.000623257	0.886527293	-4.269792309
KLF4	3.365605669	7.18471573	5.890109346	0.000637513	0.886527293	-4.270304803
DCDC2B	2.210270471	4.804549462	5.88376832	0.000641565	0.886527293	-4.270448928
DNAH3	-2.422163862	2.688735067	-5.872895481	0.00064858	0.886527293	-4.270696888
LOH12CR2	2.597056498	3.089187241	5.823561396	0.000681506	0.908813351	-4.271835345
APLN	-2.029056004	8.350684914	-5.789584755	0.000705271	0.918111844	-4.272632338
NA	-2.455475818	3.241076468	-5.747423801	0.000736061	0.930316868	-4.273636272
NA	-2.185272052	2.682912375	-5.691521028	0.000779232	0.930316868	-4.274993519
ATM	3.205480244	1.719572538	5.687771499	0.000782227	0.930316868	-4.275085634
CTB-12O2.1	2.767243456	1.785001967	5.687170588	0.000782708	0.930316868	-4.27510041
VWA8-AS1	-2.339551098	2.440950445	-5.654600725	0.000809295	0.941451203	-4.275906564
NA	2.447578465	2.519630989	5.597770859	0.000858139	0.957525987	-4.277338516
KIRREL	-1.942617024	2.719147432	-5.575202781	0.000878444	0.96057828	-4.277916261
NA	-2.413969302	2.131650093	-5.508332055	0.00094183	0.981709795	-4.279659235
