Symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
RSRC1	-6.053429583	5.71566408	-45.43851785	4.84E-09	5.54E-05	10.72694833
LOC730993	6.129048987	6.447184528	42.08422352	7.76E-09	5.54E-05	10.45928125
RASSF6	5.884834119	5.930539108	41.50974948	8.44E-09	5.54E-05	10.40910633
EFCBP1	-5.248470661	4.950614706	-41.05065361	9.04E-09	5.54E-05	10.36801781
APOF	5.580707116	5.088912008	39.82318992	1.09E-08	5.54E-05	10.25364072
ATF3	4.936036389	6.418626656	38.71134396	1.30E-08	5.54E-05	10.14403058
KIAA0240	-5.594657176	5.454276045	-38.58176839	1.33E-08	5.54E-05	10.13086623
KIF11	-5.097159255	6.150885854	-38.538901	1.33E-08	5.54E-05	10.12649267
PRICKLE1	-5.341960032	6.171347426	-38.07324163	1.44E-08	5.54E-05	10.07838629
DDX10	-5.412708267	5.342283766	-36.38112125	1.90E-08	5.94E-05	9.893936656
PHF21A	-5.497350113	5.919933677	-36.32159352	1.92E-08	5.94E-05	9.887159641
CHES1	-6.098046178	6.153645025	-35.53129329	2.20E-08	5.94E-05	9.795229762
TTC27	-5.802684202	6.026537344	-35.46913245	2.22E-08	5.94E-05	9.787841633
GLCE	-4.559253143	5.385449012	-34.39290912	2.69E-08	6.55E-05	9.656135241
VTRNA1-2	6.791222262	6.179473314	34.10173589	2.83E-08	6.55E-05	9.619231331
CYP1A1	6.184673545	6.41679121	33.0994034	3.40E-08	6.88E-05	9.487838623
CCDC85A	-4.631199199	5.128062918	-32.89740628	3.54E-08	6.88E-05	9.460515199
SLC7A2	-4.629246898	5.305839817	-32.84264542	3.57E-08	6.88E-05	9.453057738
C12ORF26	-4.599545817	4.935226347	-32.26228696	3.99E-08	7.28E-05	9.372683719
ASCL1	-5.241049024	5.75403789	-31.80111326	4.35E-08	7.55E-05	9.307026951
C11ORF63	5.235545146	6.267601705	31.06184607	5.03E-08	7.69E-05	9.198338857
FNBP1L	-4.382202211	5.467432878	-31.0485646	5.05E-08	7.69E-05	9.196346385
FAM71A	5.098171737	5.188699984	30.9154363	5.18E-08	7.69E-05	9.176295409
CUTC	-5.356470484	5.901964811	-30.71322595	5.39E-08	7.69E-05	9.145561942
TMEM106A	4.786151644	8.154458665	30.45332003	5.68E-08	7.69E-05	9.105560699
HS.163752	4.517096573	10.29314229	30.38631878	5.76E-08	7.69E-05	9.095156694
NCOA1	-4.380097231	5.335298414	-29.78951822	6.51E-08	7.79E-05	9.00078386
FCAR	5.864200159	6.779180785	29.58664661	6.79E-08	7.79E-05	8.967992685
OVOL2	-4.818507347	5.029091766	-29.56477584	6.82E-08	7.79E-05	8.964435649
UPRT	-4.125498789	4.985225998	-29.46836628	6.95E-08	7.79E-05	8.948704398
TAF5	-4.546424701	4.903134777	-29.01434491	7.65E-08	7.79E-05	8.873481456
KIAA1751	5.821065095	8.401225636	28.9301247	7.79E-08	7.79E-05	8.859317857
ARHGAP10	-4.727232917	5.119807176	-28.88845371	7.86E-08	7.79E-05	8.852285285
ARHGEF3	-5.120371891	5.280950295	-28.62292411	8.32E-08	7.79E-05	8.807086942
GPHN	-3.995267073	4.769046774	-28.36885164	8.78E-08	7.79E-05	8.763204968
PDS5B	-4.531400195	5.302814743	-28.3010288	8.91E-08	7.79E-05	8.751384681
TMEM191A	4.508968577	6.485153682	28.15224496	9.21E-08	7.79E-05	8.725295656
TNS3	-6.260888854	6.753913811	-28.07276631	9.37E-08	7.79E-05	8.711269213
HS.579631	4.029762859	11.6970407	28.00446827	9.51E-08	7.79E-05	8.69916551
POLR3B	-6.092714163	5.541991666	-27.99417439	9.53E-08	7.79E-05	8.697337182
DDN	4.60102825	5.373914138	27.98827271	9.54E-08	7.79E-05	8.696288487
HS.553217	5.020012012	5.999734178	27.97986653	9.56E-08	7.79E-05	8.694794152
LRRC1	-3.576290391	6.437324122	-27.93446091	9.66E-08	7.79E-05	8.686710259
ORC5L	-3.876377965	6.784894951	-27.72146812	1.01E-07	7.98E-05	8.64851068
C9ORF102	-5.029586117	5.227863204	-27.50348043	1.06E-07	8.18E-05	8.608933603
MAMLD1	-5.605681577	6.045243379	-27.41050566	1.08E-07	8.18E-05	8.59190329
LOC648852	5.910342315	9.386803919	27.22099977	1.13E-07	8.36E-05	8.556909826
LOC100131786	4.183214382	4.738913479	27.06055281	1.17E-07	8.48E-05	8.52698386
ANKRD17	-4.019662518	5.102050322	-26.91619897	1.21E-07	8.59E-05	8.499822809
C7ORF61	4.351516518	5.477950043	26.6332202	1.29E-07	8.98E-05	8.445918503
STARD3NL	-4.030013545	4.922444233	-26.46510801	1.35E-07	9.10E-05	8.41347484
VPREB3	4.159974	5.064798114	26.40810309	1.36E-07	9.10E-05	8.402401557
TANC1	-3.812588832	5.356271132	-26.16780056	1.44E-07	9.15E-05	8.355316851
MIR2116	4.188042824	5.208875504	26.14339826	1.45E-07	9.15E-05	8.350498511
FARS2	-4.278811247	5.829880997	-26.14286925	1.45E-07	9.15E-05	8.35039398
PMP22	-4.826302368	5.214937352	-25.95188047	1.52E-07	9.21E-05	8.312443069
HS.27048	-4.26882595	5.240530394	-25.83406018	1.56E-07	9.21E-05	8.288818836
C7ORF52	4.648029394	5.288967067	25.80835623	1.57E-07	9.21E-05	8.283643193
TLK1	-4.926102453	5.65190326	-25.78026501	1.58E-07	9.21E-05	8.277977921
MBNL2	-3.793315526	5.206631845	-25.70022501	1.61E-07	9.21E-05	8.261784556
CGN	-4.247419437	5.979720159	-25.42956108	1.72E-07	9.21E-05	8.206456067
SLC24A3	-3.944757287	4.72289834	-25.42103196	1.72E-07	9.21E-05	8.204698162
STS-1	-4.093665027	4.871072937	-25.37849247	1.74E-07	9.21E-05	8.195917256
JARID2	-6.017410015	5.949411169	-25.24924325	1.80E-07	9.21E-05	8.169101875
ZMYND8	-4.961267161	6.035546289	-25.19601113	1.82E-07	9.21E-05	8.157997926
TGFBR2	-5.116010479	6.133423541	-25.18026551	1.83E-07	9.21E-05	8.154706741
LOC644949	4.139682638	4.868349193	25.16980606	1.83E-07	9.21E-05	8.152518784
GSTTP2	4.019795022	5.698325084	25.1677553	1.83E-07	9.21E-05	8.152089635
PMAIP1	4.363473913	6.861748232	25.09436874	1.86E-07	9.21E-05	8.136698111
TRK1	4.635622446	8.11315707	25.08754684	1.87E-07	9.21E-05	8.135263924
LOC644852	4.979303648	6.342195298	25.03310825	1.89E-07	9.21E-05	8.123798277
ZNF626	3.964849825	4.978255947	24.95968975	1.93E-07	9.21E-05	8.108276177
FLJ40722	4.986879889	7.11360508	24.87256755	1.97E-07	9.21E-05	8.089768479
LOC100129104	4.36592748	6.343156364	24.83221276	1.99E-07	9.21E-05	8.081163087
MYO3B	5.723251795	6.333488264	24.77476231	2.02E-07	9.21E-05	8.068876295
RBM47	-4.627921144	5.795721305	-24.77141289	2.02E-07	9.21E-05	8.068158659
SNORA74B	4.71498815	5.498710486	24.67340334	2.07E-07	9.32E-05	8.047095626
GUCA1B	4.738569459	5.496191446	24.59422592	2.11E-07	9.38E-05	8.029989192
TULP4	-3.600362708	5.108295897	-24.53372125	2.14E-07	9.38E-05	8.016862136
HS.566647	4.463495867	5.369304004	24.47047038	2.18E-07	9.38E-05	8.003088136
NIPBL	-3.655831677	4.686572156	-24.4434847	2.19E-07	9.38E-05	7.997195558
PIK3CB	-4.704558014	4.762744115	-24.27488992	2.28E-07	9.67E-05	7.960163578
RASD1	3.644443364	9.051732708	23.96062023	2.47E-07	0.000103447	7.89011833
PTGR2	5.897240733	7.616123683	23.84278894	2.55E-07	0.000105348	7.863509511
MTMR12	-3.371323827	5.374804854	-23.77365406	2.60E-07	0.000105976	7.847808282
KLHL28	4.241729095	7.864989414	23.6800592	2.66E-07	0.000106882	7.826446164
SNORD56	4.118251472	5.01912949	23.58406025	2.73E-07	0.000106882	7.80440804
C9ORF152	5.340743765	5.600325371	23.49630726	2.79E-07	0.000106882	7.784149285
ASAP2	-4.02316213	6.182243042	-23.407792	2.86E-07	0.000106882	7.763603789
ZSWIM6	-4.422892343	7.343897853	-23.38894847	2.87E-07	0.000106882	7.759215532
MGC42367	-4.271913667	4.909118497	-23.30221617	2.94E-07	0.000106882	7.738951736
RFC1	-3.68808587	6.644815218	-23.26951328	2.96E-07	0.000106882	7.731283029
IGF1R	-3.268233381	3.966647296	-23.18800583	3.02E-07	0.000106882	7.712102426
ZNF248	-3.187299636	5.461143188	-23.15682474	3.05E-07	0.000106882	7.704739242
CCBE1	5.159664284	9.599715621	23.1434218	3.06E-07	0.000106882	7.701569877
LOC100133420	3.738723923	5.042200766	23.11117108	3.09E-07	0.000106882	7.693932854
