Symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
GMDS	-6.043755047	6.493488882	-39.50874566	2.30E-09	6.40E-05	10.19869958
FARS2	-5.48602826	6.433441414	-36.87841408	3.69E-09	6.40E-05	10.00569051
CCDC46	-4.115118887	5.078474498	-27.25602656	2.91E-08	0.000197601	8.950775846
TIPARP	3.47787061	8.817660552	26.84410608	3.23E-08	0.000197601	8.888481171
PLXDC2	-4.122482454	6.014062674	-26.05036317	3.97E-08	0.000197601	8.763141452
BBOX1	-3.480544663	4.672472885	-25.80734822	4.23E-08	0.000197601	8.723309859
C7ORF10	-4.410200238	6.130342145	-25.72855379	4.32E-08	0.000197601	8.710243383
KIAA1797	-3.845531819	4.715876054	-25.32180847	4.81E-08	0.000197601	8.641585896
JAZF1	-3.413524743	5.593983577	-24.97326229	5.29E-08	0.000197601	8.581102245
COMMD10	-4.169533312	5.011864192	-24.70228459	5.70E-08	0.000197601	8.532993635
ODZ3	-4.465151816	6.153582567	-24.17035225	6.61E-08	0.000208324	8.435695028
PRR16	-3.08442212	5.728710058	-23.0952204	9.00E-08	0.000226892	8.226766541
C14ORF145	-4.102664577	5.457223493	-22.95927397	9.37E-08	0.000226892	8.199113854
FHOD3	-4.19995817	5.01626112	-22.82577574	9.75E-08	0.000226892	8.171677864
FBXL7	-4.547890478	5.390161851	-22.80456721	9.81E-08	0.000226892	8.16729328
TLN2	-4.245179385	4.651392189	-22.49592651	1.08E-07	0.000233346	8.102670434
LPP	-3.222402011	8.740772568	-22.22227754	1.17E-07	0.000238658	8.044072863
BRE	-3.741495176	6.359663451	-22.02857223	1.24E-07	0.000239206	8.001836025
PCCA	-3.276361804	7.942917716	-21.65785265	1.39E-07	0.000250272	7.919201833
CDKAL1	-3.89216142	4.589671335	-21.54529144	1.44E-07	0.000250272	7.893633353
RSRC1	-3.42636345	7.624688574	-21.12536239	1.65E-07	0.000260182	7.796220551
CHES1	-2.778055215	8.244512204	-21.12347238	1.65E-07	0.000260182	7.795774769
SMYD3	-3.08862983	9.441191418	-20.85695253	1.80E-07	0.00027125	7.732238291
LOC151162	-3.453275538	6.850279337	-20.02875491	2.37E-07	0.000338434	7.525933285
ELP4	-3.960087626	5.106964762	-19.93993422	2.44E-07	0.000338434	7.502979015
KCNMA1	-2.987538212	4.196181915	-19.74017354	2.61E-07	0.000348374	7.450744944
EBF1	-3.633547278	7.304027902	-19.52250804	2.81E-07	0.000361616	7.392852214
OSBPL10	-2.410410882	3.947861906	-19.07225707	3.30E-07	0.000374708	7.26976726
HS.5724	-3.485865533	6.95177662	-19.02660522	3.35E-07	0.000374708	7.257030409
PTPRM	-2.636262469	3.648641148	-18.96043995	3.43E-07	0.000374708	7.238484673
LRBA	-2.760574033	5.828067549	-18.82593301	3.60E-07	0.000374708	7.200468006
KANK4	-3.08463567	8.327947365	-18.78267481	3.65E-07	0.000374708	7.188151072
SYT1	-3.468938496	4.31997156	-18.77249706	3.67E-07	0.000374708	7.185246708
CASK	-2.661957212	6.717043607	-18.76930521	3.67E-07	0.000374708	7.184335361
DPYD	-4.029896288	5.238998068	-18.51656237	4.02E-07	0.000398921	7.111395971
FGGY	-3.1672806	4.848818887	-18.17589652	4.56E-07	0.000419494	7.010607308
COMMD1	-2.496767853	9.842524217	-18.16011315	4.59E-07	0.000419494	7.00586728
NAV2	-3.282797692	5.513667367	-18.11448771	4.67E-07	0.000419494	6.992129585
CLYBL	-2.454561478	4.70522934	-18.08699448	4.72E-07	0.000419494	6.983825852
SLC7A11	3.463186007	4.204353496	17.83581192	5.18E-07	0.000449484	6.907059901
SEMA3A	-3.285338465	4.902207396	-17.21872204	6.57E-07	0.00055601	6.711335702
SH3RF2	-2.97012495	5.943011936	-17.11545396	6.84E-07	0.000558527	6.677556317
MOXD1	-3.136941815	5.434049602	-17.07221535	6.96E-07	0.000558527	6.663323004
SORBS2	-3.355326596	4.868937168	-16.98600137	7.20E-07	0.000558527	6.634783457
OKL38	2.707731215	6.762287767	16.97097854	7.24E-07	0.000558527	6.629788563
RASD1	2.683085943	4.4819465	16.80778005	7.73E-07	0.000583108	6.575104997
XPR1	-2.179586644	7.154724481	-16.60192515	8.40E-07	0.000620039	6.505009611
HBEGF	2.584473176	5.537721901	16.54071325	8.61E-07	0.000622395	6.483921785
STAU2	-2.732992279	6.286753502	-16.32699704	9.40E-07	0.000665406	6.409400081
FBN2	-2.67153364	7.845027095	-16.07459943	1.04E-06	0.000706588	6.319561486
ACYP2	-2.659947052	6.310701741	-16.06564608	1.05E-06	0.000706588	6.316337586
TRAPPC9	-2.558037221	3.62618178	-16.03925142	1.06E-06	0.000706588	6.306818532
LOC100134073	-3.2330745	5.312527338	-15.64648079	1.25E-06	0.000802283	6.162489878
FLJ22536	-2.395331641	5.791404728	-15.62458924	1.26E-06	0.000802283	6.154295321
ATG10	-2.401675748	6.173809896	-15.60762242	1.27E-06	0.000802283	6.147933118
SUPT3H	-2.536599111	4.000790858	-15.46494274	1.35E-06	0.000838011	6.094045197
IL6	2.074088493	11.60804944	15.36483813	1.41E-06	0.000859942	6.055821143
PRKCA	-2.606620928	8.941310979	-15.18024865	1.53E-06	0.000902717	5.984422391
FAF1	-2.663944275	6.250503583	-15.17561822	1.54E-06	0.000902717	5.982615922
HHAT	-2.637212514	3.758050635	-15.01088447	1.65E-06	0.00095498	5.9178502
SORCS2	-2.333403487	3.573294537	-14.88729411	1.75E-06	0.000992767	5.868616355
DKFZP451A211	2.636776457	4.287796004	14.82630065	1.79E-06	0.000994132	5.844112549
GNG7	-2.20234879	5.290836814	-14.78671727	1.83E-06	0.000994132	5.828136536
UST	-3.752704579	5.026795659	-14.77780979	1.83E-06	0.000994132	5.82453342
SH3PXD2A	-2.292201091	6.562025424	-14.67877897	1.92E-06	0.001023859	5.78427537
C10ORF11	-3.318134036	4.141903429	-14.60692185	1.98E-06	0.001030253	5.754832959
GALNTL4	-3.017736766	5.616568741	-14.59769752	1.99E-06	0.001030253	5.75103925
SAA4	-2.459391995	4.11007902	-14.56646899	2.02E-06	0.001030253	5.738171775
CALD1	-2.346359531	7.667394748	-14.52487554	2.06E-06	0.001034911	5.720975664
ATF6	-3.103084949	7.822933511	-14.35878011	2.22E-06	0.001101596	5.65164095
ANKRD38	-3.075318825	8.050691711	-14.20843811	2.38E-06	0.001164551	5.587951203
FTO	-2.721093326	5.661245934	-14.16617613	2.43E-06	0.001164551	5.569885982
EXOC4	-3.969311237	5.314701636	-14.1505002	2.45E-06	0.001164551	5.563166986
SLIT3	-3.778407235	7.027115543	-14.08014793	2.53E-06	0.001185351	5.532890806
FAM129A	-2.256867307	6.510805264	-14.05593701	2.56E-06	0.001185351	5.522425293
MGMT	-3.144261288	4.740201807	-13.98929	2.64E-06	0.001207426	5.493492838
RGS7	-2.611920398	3.771781186	-13.94508875	2.70E-06	0.001217158	5.474204073
FLJ10986	-3.763424654	6.359604546	-13.87559027	2.79E-06	0.00124083	5.443712904
SLC3A2	1.989331206	10.17678966	13.82601151	2.86E-06	0.00124083	5.421838483
HS.155736	-2.532780699	4.423765014	-13.82533675	2.86E-06	0.00124083	5.421540069
STC2	2.21196289	7.20513563	13.75105239	2.97E-06	0.001270297	5.388570565
PTPRO	-2.273290968	4.281770203	-13.62629227	3.15E-06	0.001333323	5.332672844
UBE2E2	-2.709383301	8.783646506	-13.58932892	3.21E-06	0.001341294	5.315983923
MXRA5	-1.806068422	10.25026908	-13.5538559	3.27E-06	0.001348584	5.299912493
