Symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
GHR	-6.979024887	5.732602911	-39.18843956	1.28E-09	1.28E-05	12.19930667
RSRC1	-6.135361871	5.71785854	-38.61814225	1.42E-09	1.28E-05	12.13143456
HBEGF	6.582219059	7.543666031	37.85389866	1.64E-09	1.28E-05	12.03753934
KIFAP3	-5.614850097	5.74484757	-37.77079319	1.66E-09	1.28E-05	12.02712011
NFIA	-6.472796222	5.812903452	-35.93369339	2.37E-09	1.28E-05	11.78574917
FAF1	-5.396839631	5.843593822	-35.26188877	2.72E-09	1.28E-05	11.69191776
TNS3	-7.745218059	6.847679587	-34.78783902	2.99E-09	1.28E-05	11.62380072
DYM	-5.260817834	6.678543331	-34.42335201	3.22E-09	1.28E-05	11.57032018
CHES1	-5.967946156	5.965836323	-34.26599666	3.33E-09	1.28E-05	11.54692809
ASAP1	-5.76955018	6.187097266	-32.62481432	4.72E-09	1.28E-05	11.29152467
DDX10	-6.193011875	6.256742944	-32.33350034	5.03E-09	1.28E-05	11.24391042
TYW1B	-5.446732071	6.809828057	-32.17560539	5.21E-09	1.28E-05	11.2178027
JARID2	-4.699524317	5.337713143	-31.58816834	5.94E-09	1.28E-05	11.1187742
WDR70	-6.271194098	6.327258936	-31.54933074	5.99E-09	1.28E-05	11.11211988
SKAP1	-4.731894857	5.190321189	-31.42352138	6.17E-09	1.28E-05	11.09047127
LARGE	-4.611743273	5.235724751	-31.29673141	6.35E-09	1.28E-05	11.0685095
AFF3	-5.657196703	5.460328998	-31.07422446	6.68E-09	1.28E-05	11.02961406
PBX1	-5.466211474	5.239313848	-30.85861524	7.02E-09	1.28E-05	10.99148847
GDF15	5.16167129	9.086114149	30.71869114	7.25E-09	1.28E-05	10.96651352
C12ORF26	-4.751328698	4.717429738	-30.53755846	7.56E-09	1.28E-05	10.93390816
PGR	-5.729668824	7.141933895	-30.35618932	7.89E-09	1.28E-05	10.90094564
ODZ3	-7.948928859	7.004221777	-30.24648431	8.09E-09	1.28E-05	10.88085313
FARS2	-6.03054773	6.086620414	-29.93722006	8.70E-09	1.31E-05	10.82357609
DEPDC6	-5.445326183	5.834479902	-29.57335708	9.49E-09	1.37E-05	10.75496486
MT1M	6.660728504	6.542967291	28.85840573	1.13E-08	1.41E-05	10.61617746
CCNY	-4.347875101	6.261093937	-28.75718449	1.16E-08	1.41E-05	10.59609088
PMAIP1	5.737878885	5.882310758	28.59396733	1.21E-08	1.41E-05	10.56346793
TCF12	-4.656372976	5.524642357	-28.56950103	1.21E-08	1.41E-05	10.55855271
HS.19339	-5.453263099	5.787539183	-28.47009324	1.24E-08	1.41E-05	10.5385143
ESR1	-6.588331285	6.933070708	-28.42043999	1.26E-08	1.41E-05	10.52846452
CYP1A2	5.427485363	5.211258173	28.3368463	1.29E-08	1.41E-05	10.51148348
ISG20	4.573576453	8.37730121	28.21397128	1.33E-08	1.41E-05	10.48638148
AKR1C2	4.267878945	5.418960557	28.16145214	1.34E-08	1.41E-05	10.47560073
UBE2E2	-5.247176682	7.229115651	-27.99252245	1.40E-08	1.43E-05	10.4407125
ZNF280A	5.196326279	5.159095316	27.72347256	1.50E-08	1.46E-05	10.3844727
TTC27	-5.342669183	5.714242121	-27.47222449	1.60E-08	1.46E-05	10.33119368
SRGAP3	-4.678367888	5.344433769	-27.19357221	1.72E-08	1.46E-05	10.27122794
PANX2	5.419467872	6.490191652	27.15564414	1.74E-08	1.46E-05	10.26299368
FAM117B	-4.044676236	4.983375707	-27.13228185	1.75E-08	1.46E-05	10.25791301
AKR1C3	4.435957074	8.382683533	27.12885542	1.75E-08	1.46E-05	10.25716729
C5ORF21	-5.000949817	6.26799229	-27.10114823	1.77E-08	1.46E-05	10.25113197
CALCR	-4.574099358	4.976228281	-27.09189718	1.77E-08	1.46E-05	10.24911478
XPR1	-4.308082412	5.883610797	-26.94569374	1.84E-08	1.48E-05	10.21709623
EHBP1	-5.498980535	5.497586787	-26.84965706	1.89E-08	1.49E-05	10.19592117
CMIP	-4.849694869	5.376808169	-26.67940274	1.97E-08	1.51E-05	10.15810037
NME7	-5.38458935	5.611156927	-26.59745834	2.02E-08	1.51E-05	10.13976756
STK39	-4.548877419	6.444850119	-26.49212253	2.07E-08	1.51E-05	10.11607691
STOX2	4.302604496	6.119992659	26.40059213	2.13E-08	1.51E-05	10.09537655
SSBP2	-5.351212725	6.197213034	-26.33312321	2.16E-08	1.51E-05	10.0800492
TTLL5	-4.853084539	5.346408275	-26.29506806	2.19E-08	1.51E-05	10.07137812
MYO5A	-4.630992511	4.994773267	-26.22936874	2.23E-08	1.51E-05	10.05636412
LOC151162	-5.787999627	5.876053515	-26.05700517	2.33E-08	1.54E-05	10.0167076
KCNMA1	-3.936302323	5.017324974	-26.03424217	2.35E-08	1.54E-05	10.01144132
FAM110B	-4.391769118	4.663976792	-25.89721568	2.44E-08	1.55E-05	9.979595294
GPNMB	4.366871761	5.715684693	25.8758991	2.45E-08	1.55E-05	9.974618767
GPHN	-4.696611288	5.0226161	-25.75394023	2.53E-08	1.57E-05	9.946029771
SPHK1	4.414725731	5.44350176	25.56057821	2.67E-08	1.62E-05	9.900292085
MYO9A	-4.345756713	5.239552615	-25.50998704	2.71E-08	1.62E-05	9.888241386
SLC24A3	-5.79971796	5.842742007	-25.26919143	2.90E-08	1.71E-05	9.830401553
C11ORF92	-4.639227679	5.337357308	-25.17833397	2.97E-08	1.72E-05	9.808367912
ARHGEF3	-3.852774729	4.812507706	-24.91116522	3.21E-08	1.82E-05	9.742902491
PDSS2	-5.214999322	5.715229737	-24.86691382	3.25E-08	1.82E-05	9.73196115
GADD45A	4.271459013	6.840869831	24.66744689	3.44E-08	1.87E-05	9.682291001
ITPKB	-3.903946133	4.700065362	-24.58001178	3.53E-08	1.87E-05	9.66033565
SVIL	-4.316421028	5.537465615	-24.56665466	3.54E-08	1.87E-05	9.656971731
PPM1H	-5.667793009	6.078706299	-24.55366247	3.55E-08	1.87E-05	9.653697199
GAL	4.84757096	5.237730508	24.22132763	3.91E-08	2.03E-05	9.569083034
GPX2	6.267723758	7.017611872	24.0883007	4.07E-08	2.08E-05	9.534747801
ATG7	-4.451556389	6.443212031	-23.90251612	4.30E-08	2.12E-05	9.486341999
PLCE1	-4.067237489	4.563777085	-23.8975157	4.31E-08	2.12E-05	9.485031785
CADM1	-5.745102664	6.74652159	-23.85089558	4.37E-08	2.12E-05	9.472797638
SLC7A11	5.270913524	5.127968612	23.81834079	4.41E-08	2.12E-05	9.464234471
EML1	-4.187994529	4.958584329	-23.69836316	4.57E-08	2.14E-05	9.432532474
RAB3IL1	5.22160209	6.482407048	23.64957828	4.64E-08	2.14E-05	9.419577127
SASH1	-4.515605271	5.322575047	-23.64717496	4.64E-08	2.14E-05	9.418937927
KLHL15	4.004050994	4.792071215	23.61615038	4.68E-08	2.14E-05	9.410678243
FNDC3B	-4.783746351	6.154674632	-23.49950988	4.85E-08	2.15E-05	9.379488002
COL4A5	-3.662089079	4.904449257	-23.46442379	4.90E-08	2.15E-05	9.370063254
MID1	-4.496735192	5.67933076	-23.44511621	4.93E-08	2.15E-05	9.364868461
FLJ10986	-4.319304134	4.702708717	-23.4192894	4.97E-08	2.15E-05	9.35791026
USP13	-3.728279202	6.801227693	-23.36920162	5.04E-08	2.16E-05	9.34438504
SPTLC3	-3.77560664	4.54513968	-23.17006736	5.36E-08	2.25E-05	9.290209351
ROR2	-4.433256116	4.96808815	-23.15685371	5.38E-08	2.25E-05	9.286591529
UCHL1	3.866889228	6.365474716	23.03709801	5.58E-08	2.31E-05	9.253671566
FAM43A	3.446721055	8.16803458	22.88385882	5.85E-08	2.33E-05	9.211199004
STAU2	-4.123660015	6.086169231	-22.85465784	5.91E-08	2.33E-05	9.2030608
TMEM140	4.213472161	4.398564306	22.85413847	5.91E-08	2.33E-05	9.202915923
C10ORF81	-4.393294821	4.895419991	-22.75192875	6.10E-08	2.33E-05	9.174315938
THADA	-3.585374745	4.768821472	-22.74923731	6.10E-08	2.33E-05	9.173560431
SGK1	4.313290643	5.315034481	22.73441503	6.13E-08	2.33E-05	9.169397497
ATF6	-4.410076979	8.45293324	-22.71062043	6.18E-08	2.33E-05	9.162706796
CYP1A1	6.095201814	8.467669413	22.70580042	6.18E-08	2.33E-05	9.161350299
RFWD2	-3.879028661	7.907687679	-22.60492334	6.38E-08	2.36E-05	9.132869105
CTDSPL	-4.057597287	7.139230876	-22.60015619	6.39E-08	2.36E-05	9.13151884
FLNB	-4.347114274	8.422652903	-22.55392282	6.49E-08	2.37E-05	9.118403185
RHEBL1	3.971882948	5.348010252	22.50446584	6.59E-08	2.38E-05	9.104332091
HS.570838	4.229729867	5.58635429	22.31389999	6.99E-08	2.50E-05	9.049714878
RENBP	5.01998945	6.335273015	22.20571547	7.24E-08	2.53E-05	9.018423943
BRE	-3.884718324	5.545094918	-22.20081411	7.25E-08	2.53E-05	9.017001367
GALNTL4	-4.672889292	4.875255552	-22.15624635	7.35E-08	2.53E-05	9.004046299
SEMA6A	-5.266697818	6.281864645	-22.15413152	7.36E-08	2.53E-05	9.003430674
NTN4	-3.671404535	5.700072305	-22.12295526	7.43E-08	2.53E-05	8.994345984
BEST1	4.551064111	5.456493108	22.01988936	7.68E-08	2.59E-05	8.964188474
PCCA	-4.869848708	6.506035719	-21.6760271	8.59E-08	2.84E-05	8.862172935
NCOA1	-4.001543419	4.928319104	-21.66548016	8.62E-08	2.84E-05	8.859009422
SDCCAG10	-6.192724437	6.578282834	-21.6326662	8.71E-08	2.84E-05	8.849153725
ATG10	-3.561025059	5.4074828	-21.59876593	8.81E-08	2.84E-05	8.838950608
GLDC	-4.478606258	5.024596433	-21.55760566	8.92E-08	2.84E-05	8.826533442
WDR25	-3.969298636	5.205227248	-21.53520148	8.99E-08	2.84E-05	8.819761187
ADCK1	-4.313333434	5.479448429	-21.52874322	9.01E-08	2.84E-05	8.817807254
LRBA	-3.506107006	7.028763752	-21.48134823	9.15E-08	2.85E-05	8.80344387
NDUFAF2	-3.566369422	8.854817186	-21.46009426	9.22E-08	2.85E-05	8.796988899
MT1H	3.786198881	6.458508261	21.37728708	9.47E-08	2.91E-05	8.771757886
HS.283402	-4.281734867	4.794528172	-21.24530433	9.89E-08	3.01E-05	8.731271962
HS.27048	-4.242814666	5.517841495	-21.16171417	1.02E-07	3.04E-05	8.705456589
MAP2K5	-3.78416506	4.676799189	-21.13796922	1.03E-07	3.04E-05	8.6980986
CENTG2	-6.265067051	6.52340103	-21.12740396	1.03E-07	3.04E-05	8.694821142
CYFIP2	-4.740765117	6.433527359	-21.07892062	1.05E-07	3.04E-05	8.679753104
CHCHD6	-4.741630409	5.50303526	-21.05658712	1.05E-07	3.04E-05	8.672796622
DOCK7	-3.689501127	5.165384851	-21.0555507	1.05E-07	3.04E-05	8.672473558
SLC3A2	3.518104196	10.77760916	21.03888592	1.06E-07	3.04E-05	8.667276053
MSI2	-3.124142651	4.011516737	-21.00312981	1.07E-07	3.05E-05	8.656105781
PTK2	-3.850078308	8.250772887	-20.96080687	1.09E-07	3.07E-05	8.642851392
LYN	-3.125959842	4.431397618	-20.91060257	1.11E-07	3.10E-05	8.627082731
ULBP1	3.460366898	6.934944196	20.87627358	1.12E-07	3.11E-05	8.616271475
HS.370359	-3.706911612	9.293862537	-20.73717328	1.17E-07	3.19E-05	8.572222938
AKR1C4	5.284929949	5.820710638	20.73039587	1.18E-07	3.19E-05	8.570066798
CGNL1	-5.761640257	5.884931271	-20.70757257	1.19E-07	3.19E-05	8.562799052
C3ORF26	-3.585569117	7.397482802	-20.70446206	1.19E-07	3.19E-05	8.561807737
RICH2	-4.113855197	5.228234323	-20.63465197	1.22E-07	3.21E-05	8.539507699
SHROOM2	-4.167690863	5.2863783	-20.63197621	1.22E-07	3.21E-05	8.538650986
ANO6	-3.151355237	7.569965686	-20.61441245	1.22E-07	3.21E-05	8.533023857
TBL1X	-4.707867664	5.753534451	-20.59938128	1.23E-07	3.21E-05	8.528203122
MPP7	-4.291505637	4.975493408	-20.43526075	1.30E-07	3.37E-05	8.475264949
