Symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
NA	1.457323466	8.122718508	13.18376344	3.86E-05	0.725060284	-2.820892509
NA	1.086211701	5.014044209	13.1490321	3.91E-05	0.725060284	-2.821360527
CTGF	1.671666194	9.228462779	12.98208338	4.17E-05	0.725060284	-2.823659801
NA	0.818301382	5.032313565	10.28808903	0.000131674	0.725060284	-2.876193231
NA	0.881652431	7.375176372	10.11970904	0.000142769	0.725060284	-2.88080056
NA	1.04254833	8.623573096	9.378678724	0.000206975	0.725060284	-2.903792383
MYL12A	0.956185883	8.254269794	9.192866833	0.000228125	0.725060284	-2.910348489
JUN	0.686921259	9.318402992	8.373689487	0.000358197	0.725060284	-2.943949947
NA	-0.629523756	5.069771016	-8.143999086	0.000409375	0.725060284	-2.954983263
VMP1	0.780232465	8.840369198	8.029995386	0.00043797	0.725060284	-2.960764052
NA	0.649009742	13.54564925	7.979372563	0.000451421	0.725060284	-2.963399281
PCDHAC1	-0.603664616	4.82735989	-7.972743475	0.000453219	0.725060284	-2.963747549
NA	0.597448557	4.164890467	7.778388332	0.000509881	0.725060284	-2.974297422
BRINP1	-0.623055229	3.718604877	-7.722367191	0.000527742	0.725060284	-2.977464511
NA	0.588568646	3.745648306	7.68872837	0.000538822	0.725060284	-2.979394457
EGR1	0.578227128	10.50271365	7.43395324	0.000632292	0.725060284	-2.994733127
NA	0.766489811	6.073756692	7.336903033	0.000672851	0.725060284	-3.000930072
GBP2	0.601203139	5.626143931	7.326634817	0.000677319	0.725060284	-3.001597753
UBR2	-0.713234304	4.464553717	-7.138675733	0.000765646	0.725060284	-3.014243811
MYL12A	1.111769248	6.877080071	7.002062293	0.000838433	0.725060284	-3.023965274
MRPS18C	0.558892224	3.685946208	6.967837459	0.000857927	0.725060284	-3.026474334
ARHGAP27	0.702427118	5.176439319	6.838628231	0.000936503	0.725060284	-3.036224613
HAGLR	-0.559933032	4.554870334	-6.650461443	0.001066638	0.725060284	-3.051251728
OFCC1	-0.537435849	3.756685468	-6.590054044	0.001112853	0.725060284	-3.05629606
NA	0.662314494	7.372325307	6.514457967	0.001174049	0.725060284	-3.06276695
NA	-0.557103397	2.984120947	-6.493926291	0.001191348	0.725060284	-3.064555523
AAK1	-0.559589464	3.416175412	-6.481331664	0.001202108	0.725060284	-3.06565936
CCNL1	0.486866633	6.619440672	6.450695714	0.001228761	0.725060284	-3.068365819
NA	-0.486682047	4.336086876	-6.415856747	0.001259921	0.725060284	-3.071480915
MYL12A	1.064598025	6.232362577	6.391424571	0.001282327	0.725060284	-3.073689522
C1orf228	0.503282813	3.854735108	6.386957267	0.001286474	0.725060284	-3.074095518
