Symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
EGR1	2.428527567	11.50800672	33.9561666	3.76E-07	0.020550719	-1.013835959
EGR2	3.097207531	6.169616551	28.88731716	8.47E-07	0.02314272	-1.029588524
EGR1	2.789425492	9.651768663	18.30643305	8.29E-06	0.120114519	-1.112294714
EDN1	1.496427102	9.644548549	17.96927938	9.09E-06	0.120114519	-1.11740585
EGR4	2.023042851	5.323276752	17.30029174	1.10E-05	0.120114519	-1.128397555
EDN1	1.494548546	9.638639822	15.72638061	1.76E-05	0.160734441	-1.159645563
FOSB	1.609875636	7.559356383	14.17826645	2.95E-05	0.188354479	-1.20026274
CXCL8	1.219070219	8.094109496	14.15795523	2.97E-05	0.188354479	-1.200878651
ATF3	0.970264332	7.891334804	13.47694401	3.78E-05	0.188354479	-1.223027197
ATF3	1.223915909	9.510083916	13.18020905	4.22E-05	0.188354479	-1.233670572
NR4A2	1.111832001	7.860060766	13.15389905	4.26E-05	0.188354479	-1.234645994
NR4A2	1.293784426	7.674139032	12.72523042	5.02E-05	0.188354479	-1.251317624
EGR1	2.010727307	9.900416163	12.71640151	5.03E-05	0.188354479	-1.251677088
CTGF	1.046918012	11.91073566	12.70026885	5.07E-05	0.188354479	-1.252335669
NA	0.946814382	8.332257273	12.56620451	5.34E-05	0.188354479	-1.25789727
JUN	0.921186897	10.32876677	12.48415767	5.51E-05	0.188354479	-1.261380769
DUSP5	0.965186326	11.8549654	12.18025454	6.22E-05	0.200054431	-1.274838104
NR4A2	1.155552811	7.398677685	11.98504002	6.73E-05	0.204505689	-1.283969095
ZFP36	1.111443992	9.163810851	11.52178509	8.16E-05	0.234946525	-1.307308579
EGR3	2.751676343	6.431996337	11.14597559	9.60E-05	0.262411057	-1.32815474
JUNB	1.174761919	7.817060741	10.75438807	0.00011425	0.297458474	-1.351936699
CYR61	0.870248332	12.99484851	10.59677408	0.000122751	0.305063424	-1.362160957
CXCL8	1.37926122	9.231035547	10.1527742	0.000151073	0.350475254	-1.393194668
NA	1.171910562	8.951814839	10.06573513	0.000157502	0.350475254	-1.399693716
IER2	0.724271613	11.65885241	10.02976026	0.000160254	0.350475254	-1.402422128
AREG	1.063831758	3.9037826	9.947767546	0.000166743	0.350641563	-1.408735013
NA	1.307823476	8.188274746	9.792133974	0.000179942	0.35272117	-1.421089554
NA	0.710809108	5.841225357	9.784343323	0.000180635	0.35272117	-1.42172114
TNFAIP3	1.261258071	8.072819896	9.451827354	0.000213393	0.402319147	-1.449912628
SGK1	0.822029457	10.63155452	9.284805882	0.000232495	0.41638763	-1.465036462
CD274	0.983301138	8.754183923	9.255228837	0.000236086	0.41638763	-1.467785884
TMEM19	-0.77565313	4.287214155	-8.982552556	0.000272498	0.439905179	-1.494198119
NA	0.720548912	5.058186459	8.965550321	0.000274981	0.439905179	-1.495911004
JUN	0.880030742	9.179258049	8.954330206	0.000276635	0.439905179	-1.497045762
HBEGF	0.824190949	9.713662257	8.921092721	0.000281604	0.439905179	-1.500427911
NA	1.00981511	9.220673313	8.854302951	0.000291912	0.443341581	-1.507318763
JUN	0.628051024	12.00863857	8.73465601	0.000311522	0.460336803	-1.519986791
NA	0.62275293	4.092684258	8.613968284	0.000332907	0.471666989	-1.533201421
