Symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
S100A10	1.696833079	8.218950368	19.64056255	2.67E-06	0.104457105	-1.224269907
EDN1	2.23880929	6.831317177	17.10903785	5.64E-06	0.104457105	-1.259185643
NA	1.42706893	7.649501468	17.05700558	5.73E-06	0.104457105	-1.260061396
CXCL1	1.494074085	11.18445558	15.09586239	1.11E-05	0.15138102	-1.299507944
NA	1.164453584	8.592049385	12.9543267	2.52E-05	0.233519506	-1.362775028
CTGF	1.421950906	11.41242161	12.90935355	2.56E-05	0.233519506	-1.364419372
NA	1.269090965	8.688036273	12.06776558	3.67E-05	0.244893419	-1.398311293
NA	-1.050525356	8.315057484	-11.662383	4.40E-05	0.244893419	-1.417027857
CYR61	1.308751472	11.7880826	11.5741498	4.58E-05	0.244893419	-1.421335374
CXCL2	1.331582276	9.76504129	11.54043483	4.65E-05	0.244893419	-1.423004561
WDR1	1.162887184	6.638678604	11.08716444	5.75E-05	0.244893419	-1.446767172
EGR1	2.073687397	5.748169442	11.07902028	5.78E-05	0.244893419	-1.447217779
NA	1.240173001	7.454851832	10.90721656	6.27E-05	0.244893419	-1.45693093
NA	0.908471062	7.961052336	10.72851066	6.85E-05	0.244893419	-1.467470493
MYL12A	1.006908256	8.660506514	10.68143058	7.01E-05	0.244893419	-1.47032427
EGR1	0.869540429	4.401723417	10.52241876	7.58E-05	0.244893419	-1.480210375
VMP1	1.212309262	7.03459558	10.3035583	8.47E-05	0.244893419	-1.494470897
NA	1.273746834	11.96787744	10.13652315	9.23E-05	0.244893419	-1.505894387
CXCL8	1.252374538	10.12285088	10.00562956	9.88E-05	0.244893419	-1.515191389
CXCL8	1.257832771	8.915709026	9.968367382	0.000100761	0.244893419	-1.517895535
EDN1	1.738610597	7.20999944	9.962483666	0.000101073	0.244893419	-1.518324896
CXCL3	1.618983053	7.230300002	9.938654794	0.00010235	0.244893419	-1.520070467
CYR61	0.917980172	11.97373642	9.92631824	0.000103019	0.244893419	-1.520978398
GADD45B	0.930767569	9.871567197	9.261926499	0.000147939	0.33702386	-1.574482511
CXCL2	1.360111057	5.440281309	8.974286084	0.000174297	0.381188488	-1.600776797
IL6	0.88840066	6.691450934	8.669942452	0.000208391	0.416262332	-1.630973516
VMP1	1.119321995	7.047274446	8.584139231	0.000219376	0.416262332	-1.639964447
NA	1.16091992	8.90903158	8.53416619	0.000226086	0.416262332	-1.645302835
CPLX1	-0.721819066	5.229768344	-8.519839554	0.000228054	0.416262332	-1.646847372
GADD45B	0.750792129	8.696835466	8.517320302	0.000228402	0.416262332	-1.647119624
NAMPT	1.074491876	7.859518554	8.158087495	0.000285071	0.502782098	-1.688038299
RASGRF1	0.625175565	4.462235043	8.066529298	0.000302047	0.516075825	-1.699170894
GADD45B	0.781349173	8.74956744	7.980854475	0.000319012	0.528544915	-1.709864295
MYL12A	0.796407703	7.607610205	7.853655203	0.000346298	0.556878469	-1.726251775
NFKBIZ	0.586081663	9.332929364	7.755658319	0.000369191	0.576728968	-1.739310009
NA	0.606009389	5.448953666	7.597211189	0.000410055	0.622771753	-1.761259491
NA	0.624002663	8.553420269	7.5344712	0.000427681	0.631127867	-1.770247955
NA	0.81978088	7.052406211	7.460234187	0.00044969	0.631127867	-1.7811095
NA	0.817156727	8.827059833	7.458605572	0.000450187	0.631127867	-1.781350575
TNFAIP3	1.149749481	7.658241804	7.239629436	0.000523327	0.70607496	-1.814898329
NA	-0.552483494	6.524061302	-7.183017301	0.000544434	0.70607496	-1.823950824
EGR1	0.955522344	4.577411025	7.177561604	0.00054652	0.70607496	-1.824831742
NFKBIA	1.099320794	11.7031489	7.135506518	0.000562917	0.70607496	-1.831673288
MBNL1	-0.582687391	5.806115825	-7.091421862	0.000580724	0.70607496	-1.838943103
ARPC3	-0.707062973	10.83893957	-7.090430424	0.000581132	0.70607496	-1.839107765
NA	0.688386171	6.993727263	7.058525582	0.00059444	0.706533664	-1.844434313
TNFAIP3	0.600236349	6.351526395	7.028351484	0.000607354	0.706533664	-1.849521729
DUSP1	0.745981817	9.230670015	6.905650364	0.00066335	0.724347695	-1.870720283
MYL12A	1.073277953	7.036030067	6.865985799	0.000682721	0.724347695	-1.877752768
NA	0.521880739	4.203482624	6.830886501	0.000700415	0.724347695	-1.884050986
FAM186B	0.583048009	4.678873738	6.759947268	0.000737831	0.724347695	-1.896999839
NA	0.701684297	6.342023367	6.729173733	0.000754782	0.724347695	-1.902710043
SERPINE1	0.540636922	5.354756548	6.694121273	0.000774645	0.724347695	-1.909283986
TXNIP	-0.661088439	8.650596265	-6.685635827	0.000779544	0.724347695	-1.910886674
KRT36	-0.590963702	4.847381188	-6.620921318	0.00081812	0.724347695	-1.923256278
COTL1	0.660960129	7.237089764	6.613312804	0.000822799	0.724347695	-1.924727794
ZFP36	0.83314797	7.118667439	6.564356808	0.000853665	0.724347695	-1.934284082
RAB30	-0.523958538	7.680485323	-6.519286518	0.000883276	0.724347695	-1.943218358
MAP2K6	0.518580971	6.04137315	6.381996671	0.000981114	0.724347695	-1.971264382
NA	-0.549286082	7.944352787	-6.311164778	0.001036488	0.724347695	-1.986239958
NA	0.842474985	8.528631372	6.268415381	0.001071663	0.724347695	-1.995450347
MALAT1	-1.703972745	8.457031291	-6.237866987	0.001097649	0.724347695	-2.002112909
LOC101929752	0.510941124	4.272793083	6.186266254	0.001143223	0.724347695	-2.013522609
BICD2	-0.496090484	6.878190439	-6.114368786	0.001210434	0.724347695	-2.029752917
ECHDC3	-0.565517161	4.501213344	-6.112303189	0.001212432	0.724347695	-2.030225029
NA	0.548492519	3.61235651	6.110014383	0.00121465	0.724347695	-2.030748541
LIF	0.66180922	10.22688265	6.06907582	0.001255129	0.724347695	-2.040180784
NA	0.471175182	5.544059391	6.047226533	0.001277372	0.724347695	-2.045268403
KIAA1107	-0.490950373	4.280650772	-6.038041578	0.001286858	0.724347695	-2.047418356
NA	0.623148782	4.955209722	5.995643372	0.001331722	0.724347695	-2.057429647
SPEN	0.639167413	7.966832626	5.985291481	0.001342949	0.724347695	-2.059895891
SMG7-AS1	0.519130723	3.383918082	5.982849737	0.001345614	0.724347695	-2.060478876
sep-09	0.476438364	4.998389553	5.958556753	0.001372457	0.724347695	-2.066305374
NA	0.451839976	3.865219113	5.887619914	0.001454463	0.724347695	-2.083596813
NA	-0.480266475	5.511942678	-5.860117382	0.001487774	0.724347695	-2.090413895
CD9	0.533431777	4.720840264	5.858609118	0.001489627	0.724347695	-2.090789603
SLC2A5	0.496670089	3.499804611	5.855700867	0.001493206	0.724347695	-2.091514591
EZR	-0.492693412	8.241786476	-5.838321358	0.001514802	0.724347695	-2.095862104
ADAL	-0.486895277	5.994882966	-5.836243839	0.001517408	0.724347695	-2.096383526
LAMA4	0.475784664	3.307227535	5.834608664	0.001519463	0.724347695	-2.096794189
NA	0.579960214	6.000467237	5.778802431	0.001591553	0.724347695	-2.110948011
CLN6	0.482300685	6.416961507	5.762335252	0.001613576	0.724347695	-2.115176409
FAM208B	-0.495562479	4.903920116	-5.742425468	0.001640676	0.724347695	-2.120320767
NA	0.501601531	3.804764448	5.739236745	0.001645065	0.724347695	-2.121147949
KLHL40	0.778401922	4.611349286	5.712621009	0.001682235	0.724347695	-2.128087734
VIM	0.50226987	5.064031225	5.707746992	0.001689146	0.724347695	-2.129365472
NA	0.450931285	4.965532211	5.705287874	0.001692646	0.724347695	-2.13001095
WASF2	-0.734965576	7.364147737	-5.700972809	0.001698807	0.724347695	-2.131144902
NA	0.46350677	3.618480477	5.689074193	0.00171593	0.724347695	-2.134280459
SLC1A2	0.518846618	3.288422072	5.676428532	0.001734348	0.724347695	-2.137626978
NA	0.458247018	3.735601251	5.675606377	0.001735553	0.724347695	-2.137845056
MICAL3	0.429160731	3.828964916	5.651371915	0.001771522	0.724347695	-2.144301089
NIFK-AS1	-0.448261998	4.409231418	-5.6509253	0.001772193	0.724347695	-2.144420573
SOCS3	0.734110641	8.432846903	5.639694122	0.001789161	0.724347695	-2.147431337
SESN3	-0.428016756	6.177235385	-5.636993303	0.001793269	0.724347695	-2.148157091
PRR14L	0.432367846	4.596730593	5.631308656	0.001801952	0.724347695	-2.149686858
ABHD11	-0.443037081	4.514496736	-5.608811138	0.001836796	0.724347695	-2.155770571
LINC00663	-0.438776668	3.489884321	-5.599506061	0.001851435	0.724347695	-2.158300667
CALHM3	0.471774682	4.805865204	5.584197897	0.001875813	0.724347695	-2.162480765
SCNN1A	0.464062325	5.386151981	5.572014356	0.00189548	0.724347695	-2.165823484
GPRC6A	-0.457004795	4.035745929	-5.541989664	0.001944973	0.724347695	-2.174121547
SLAMF1	0.432345001	3.412074116	5.53455835	0.001957452	0.724347695	-2.176188722
CELP	0.459051844	5.029872168	5.528386379	0.001967887	0.724347695	-2.177909634
FOSB	0.612873627	5.818562636	5.52373691	0.00197579	0.724347695	-2.179208463
NA	-0.486688236	4.15916962	-5.52007512	0.00198204	0.724347695	-2.180232859
NA	0.453445357	3.453098329	5.516364267	0.001988397	0.724347695	-2.181272306
GGN	-0.474885011	4.509285753	-5.508394026	0.002002131	0.724347695	-2.183509377
MRC1	0.43149092	3.462873554	5.505978356	0.002006315	0.724347695	-2.184188625
CCDC132	-0.485674576	4.669364664	-5.504820221	0.002008325	0.724347695	-2.184514475
MAP4K5	-0.896947149	7.568001732	-5.495378956	0.002024794	0.724347695	-2.187175739
NA	0.540857029	3.99297823	5.492861689	0.002029211	0.724347695	-2.187886768
CCDC125	-0.421475197	5.725222508	-5.483049284	0.002046537	0.724347695	-2.190664325
NA	-0.417510786	4.275651915	-5.481211226	0.002049802	0.724347695	-2.19118567
SQSTM1	0.657697801	8.951599805	5.462081728	0.002084136	0.724347695	-2.196631331
COL1A2	0.487287308	4.45125275	5.442940835	0.002119156	0.724347695	-2.202116578
FBXO32	-0.428306023	6.56646304	-5.440551463	0.002123576	0.724347695	-2.202803871
UBE2I	-0.560901462	4.638601678	-5.436236386	0.002131583	0.724347695	-2.204046533
NA	0.455586676	4.704400773	5.401376321	0.002197569	0.724347695	-2.214154289
CCL2	0.791244554	7.860618014	5.39486348	0.002210157	0.724347695	-2.216056338
ZSCAN30	-0.461941373	5.294878123	-5.380779843	0.002237663	0.724347695	-2.220184193
HOTTIP	-0.406033171	5.443587815	-5.367116493	0.002264726	0.724347695	-2.224208271
NA	-0.442292139	3.574808349	-5.364375416	0.002270201	0.724347695	-2.225017874
SUZ12	0.41805027	3.893011524	5.358906895	0.002281169	0.724347695	-2.226635367
NA	-0.411208465	3.459112675	-5.349559109	0.002300059	0.724347695	-2.229407432
C3orf70	-0.429763796	3.726990163	-5.348464822	0.002302282	0.724347695	-2.229732532
FOXA1	-0.680583407	7.695113133	-5.347541559	0.002304159	0.724347695	-2.230006919
NA	0.472685973	6.728249919	5.344794223	0.002309757	0.724347695	-2.230823931
NA	-0.403163756	3.497815965	-5.315151468	0.002371161	0.724347695	-2.239689205
IQCG	-0.419406636	6.665990737	-5.307632314	0.002387035	0.724347695	-2.241952592
PKD2L2	-0.548046046	3.502121236	-5.304417201	0.002393859	0.724347695	-2.24292221
THAP6	-0.582782109	4.511525648	-5.29680365	0.002410111	0.724347695	-2.245222663
PAGE4	0.419769388	4.067709635	5.289056541	0.002426778	0.724347695	-2.247569763
LOC285423	0.403861743	3.296382982	5.278508978	0.002449684	0.724347695	-2.250775539
KLHL28	0.456713515	7.36974594	5.264797501	0.002479835	0.724347695	-2.25496066
NA	0.548614331	3.708077352	5.259173918	0.002492324	0.724347695	-2.256682948
CXCL6	0.583031185	9.584075914	5.258344812	0.002494172	0.724347695	-2.256937158
GSTM5	0.415482041	5.309125694	5.246591622	0.002520532	0.724347695	-2.260548721
GML	0.407697577	3.821569354	5.24187648	0.002531197	0.724347695	-2.262001789
ATF3	0.482605354	8.287794361	5.232490463	0.002552583	0.724347695	-2.264901435
FNTB	-0.408707317	6.638857769	-5.229190906	0.00256015	0.724347695	-2.265923042
ATP6V1D	-0.476320117	6.46738187	-5.228374823	0.002562025	0.724347695	-2.266175899
NA	0.555735284	6.117611417	5.226948097	0.002565308	0.724347695	-2.266618134
BMPR1B	0.399244305	5.64972416	5.217901566	0.002586237	0.724347695	-2.269427388
ACTL6B	0.547708151	5.326527882	5.215086143	0.002592791	0.724347695	-2.270303491
NA	0.43497082	7.879068822	5.214248739	0.002594744	0.724347695	-2.270564241
NINJ2	0.432296545	4.000128148	5.214019824	0.002595278	0.724347695	-2.270635533
UNC13C	0.398774837	3.848461419	5.211043303	0.002602235	0.724347695	-2.271563054
MANEA	-0.497750891	3.425567698	-5.207622555	0.002610257	0.724347695	-2.272630197
ZNF160	-0.437775517	4.854174197	-5.1923704	0.002646372	0.724347695	-2.277403893
ATP1A4	-0.403903366	4.0673326	-5.190465431	0.002650924	0.724347695	-2.278001915
NA	-0.449422221	8.134301352	-5.181063589	0.002673518	0.724347695	-2.280959273
PAK1	-0.404531969	5.290116786	-5.174711855	0.002688907	0.724347695	-2.282962745
TBX5	-0.44017951	4.0571036	-5.172557502	0.00269415	0.724347695	-2.283643288
NA	0.420963126	3.764055613	5.16270946	0.002718268	0.724347695	-2.286760769
LRP1	0.433207941	4.037853544	5.149579118	0.002750811	0.724347695	-2.290934088
TTTY12	0.492202616	3.446877828	5.145416299	0.002761222	0.724347695	-2.292261211
NA	0.398122198	5.411046756	5.141692355	0.002770573	0.724347695	-2.293450065
NA	0.636219395	5.828074986	5.137787842	0.002780418	0.724347695	-2.294698235
C5orf24	-0.464723227	7.272170428	-5.129053281	0.002802586	0.724347695	-2.297496652
KCNB2	0.440243334	5.205213441	5.128797332	0.002803239	0.724347695	-2.297578784
RERE	0.435867642	4.248423476	5.128792395	0.002803251	0.724347695	-2.297580368
