Symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
LOC344887	8.809312308	11.68241833	76.90020081	2.75E-07	0.002822737	6.551059989
AKR1B10	9.030803074	9.899974108	78.16183013	2.59E-07	0.002822737	6.568639874
AKR1B10	9.030803074	9.899974108	78.16183013	2.59E-07	0.002822737	6.568639874
LOC344887	8.809312308	11.68241833	76.90020081	2.75E-07	0.002822737	6.551059989
GCNT3	7.03142355	12.649798	61.65005597	6.45E-07	0.003779513	6.264659806
FAM129A	7.917222237	7.192091822	63.29307708	5.83E-07	0.003779513	6.303705742
FAM129A	7.917222237	7.192091822	63.29307708	5.83E-07	0.003779513	6.303705742
HMOX1	5.403176085	15.51885962	40.68949124	3.20E-06	0.004111676	5.442886517
HMOX1	5.403176085	15.51885962	40.68949124	3.20E-06	0.004111676	5.442886517
HMOX1	5.403176085	15.51885962	40.68949124	3.20E-06	0.004111676	5.442886517
HMOX1	5.403176085	15.51885962	40.68949124	3.20E-06	0.004111676	5.442886517
HMOX1	5.403176085	15.51885962	40.68949124	3.20E-06	0.004111676	5.442886517
HMOX1	5.403176085	15.51885962	40.68949124	3.20E-06	0.004111676	5.442886517
HMOX1	5.403176085	15.51885962	40.68949124	3.20E-06	0.004111676	5.442886517
HMOX1	5.403176085	15.51885962	40.68949124	3.20E-06	0.004111676	5.442886517
HMOX1	5.403176085	15.51885962	40.68949124	3.20E-06	0.004111676	5.442886517
HMOX1	5.403176085	15.51885962	40.68949124	3.20E-06	0.004111676	5.442886517
GRB10	5.219402315	12.72613312	46.06039131	1.98E-06	0.004111676	5.730297039
FAM3B	-4.915672024	11.99110421	-40.39630144	3.29E-06	0.004111676	5.424982221
CLIP4	6.130742216	8.283481352	45.70537029	2.04E-06	0.004111676	5.713438675
SPINK1	7.371284247	10.66344256	56.23686674	9.19E-07	0.004111676	6.116778179
AREG	5.415319645	13.56599998	42.65985669	2.66E-06	0.004111676	5.556864561
ATF3	5.317617277	11.5750487	40.67947972	3.20E-06	0.004111676	5.442279337
ZNF114	5.180237764	9.262764043	40.80959722	3.16E-06	0.004111676	5.45014778
RNASEL	5.876602335	5.151001408	50.50811542	1.39E-06	0.004111676	5.920229559
EREG	5.025403099	8.420581036	40.31924552	3.31E-06	0.004111676	5.420234093
CLIP4	6.030065043	7.122851039	48.32635044	1.65E-06	0.004111676	5.831745828
CFI	-5.313677229	6.975099079	-41.46802304	2.97E-06	0.004111676	5.489213728
