Symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
DHRS3	3.765908355	8.282876068	45.22564197	3.53E-09	0.000189059	8.415389587
SCNN1G	3.43479257	7.601866619	34.79256313	1.84E-08	0.000397552	7.960191708
HCAR2	3.665779416	6.566347648	33.75821859	2.22E-08	0.000397552	7.895675181
SERPINB9	2.739778736	7.068684567	30.86027813	3.91E-08	0.000524275	7.687339402
CYP24A1	3.682727609	8.364822986	28.40450375	6.58E-08	0.000706106	7.471979995
BMP6	2.59751179	7.50186676	26.28982619	1.07E-07	0.000934498	7.250372136
EREG	2.286948629	9.214650413	25.56794905	1.27E-07	0.000934498	7.165619599
FAM84B	2.033120828	8.9687973	24.44464846	1.69E-07	0.000934498	7.023206463
SAMD9	2.183668742	9.376468075	24.16940348	1.81E-07	0.000934498	6.986206264
STRA6	2.124633086	5.110999718	23.88103816	1.95E-07	0.000934498	6.94650018
HBEGF	2.354051619	9.121502522	23.66660787	2.07E-07	0.000934498	6.916332063
ID1	2.213130915	9.964883625	23.62262217	2.09E-07	0.000934498	6.91007468
PTAFR	2.333118739	8.330095048	22.46302783	2.87E-07	0.001170113	6.736187769
TINAGL1	2.113782854	9.650782769	22.01601381	3.25E-07	0.001170113	6.664281083
IL1B	2.55406858	7.249951855	21.98981704	3.27E-07	0.001170113	6.659977832
PTK2B	1.859104743	8.857784226	21.57860606	3.68E-07	0.001197772	6.591092099
KLK6	3.283244758	7.924934054	21.4732497	3.80E-07	0.001197772	6.573029979
TFPI2	2.76756223	8.721126422	21.05986483	4.29E-07	0.001277235	6.50047592
ARSI	2.311395798	6.794788106	20.58042327	4.95E-07	0.001372283	6.412838301
CEACAM1	2.155222984	6.480800511	20.4705403	5.12E-07	0.001372283	6.392204531
NUAK1	-1.989144707	6.532879985	-19.97004445	5.97E-07	0.001525113	6.295526792
SEMA7A	2.194683133	7.532803243	19.48968937	6.95E-07	0.001671868	6.198405885
CREG2	2.074448625	6.825915465	19.39266014	7.17E-07	0.001671868	6.178250972
ADAM19	2.171577296	6.641929862	19.12306891	7.83E-07	0.001748177	6.121272588
FAM83A	1.876550026	7.02239435	18.88104947	8.47E-07	0.001816748	6.068865776
GPRC5A	1.591525094	7.670474898	18.43591999	9.83E-07	0.001993578	5.969256848
CRCT1	1.540735087	8.434955492	18.37261553	1.00E-06	0.001993578	5.954741818
CTGF	2.337385033	8.71799701	18.08781494	1.11E-06	0.002101159	5.888330653
CCL20	1.927810959	6.451079619	17.94754032	1.16E-06	0.002101159	5.854940341
SERPINB1	1.509421747	10.12442965	17.8237777	1.21E-06	0.002101159	5.825099324
HAS3	1.564889405	8.504464628	17.81751066	1.21E-06	0.002101159	5.823578637
RNF152	1.728737857	9.715676161	17.16384627	1.53E-06	0.002567175	5.659717689
MAB21L3	-1.816097857	5.253243817	-16.15216379	2.23E-06	0.003343074	5.384138433
FMO2	2.316949413	4.887600315	16.1322466	2.25E-06	0.003343074	5.378425956
BMP2	1.610878477	7.94176846	16.10802397	2.27E-06	0.003343074	5.371463027
FAM110C	1.505689468	9.559911318	16.06859229	2.31E-06	0.003343074	5.360091406
NRIP1	1.261204523	11.08694992	16.06688253	2.31E-06	0.003343074	5.359597299
TSC22D2	1.283910811	10.30137305	15.97797101	2.39E-06	0.003368812	5.333783577
NA	3.253756422	3.656005865	15.90761896	2.45E-06	0.003373276	5.313191638
IL1RL1	3.285435968	5.776149278	15.8240707	2.53E-06	0.003397832	5.288544035
KRT15	1.349128409	8.462660468	15.75043812	2.61E-06	0.003411961	5.266646123
DAPP1	1.363678295	9.223390178	15.3798513	3.02E-06	0.00376688	5.153882015
CALB2	3.07681524	7.380005399	15.20955131	3.24E-06	0.00376688	5.100595292
ABHD6	-1.357915914	8.071570054	-15.17861595	3.28E-06	0.00376688	5.09081405
NA	1.363665353	6.923067117	15.11123965	3.37E-06	0.00376688	5.069401429
LINC01213	2.715703048	6.495331952	15.05793931	3.44E-06	0.00376688	5.05235535
ENTPD7	1.197032331	10.51155357	15.04490514	3.46E-06	0.00376688	5.048172418
PRICKLE1	1.351659133	8.619615948	15.02703839	3.49E-06	0.00376688	5.042429348
FOXN1	-1.902241194	7.428258321	-15.01480194	3.51E-06	0.00376688	5.038489885
TRERF1	-1.52402544	6.63727602	-15.01000264	3.51E-06	0.00376688	5.036943397
MXD1	1.496837994	9.512745545	14.88793147	3.69E-06	0.003883806	4.997345921
SEC14L2	1.274739648	8.760171664	14.79555495	3.84E-06	0.003910168	4.967042104
EGR3	2.637045671	5.477074741	14.69554667	4.00E-06	0.003910168	4.933901217
NA	1.266653462	7.465763937	14.69145232	4.01E-06	0.003910168	4.932536972
ANGPTL4	1.560828502	8.147348339	14.69057788	4.01E-06	0.003910168	4.932245532
PAPPA	2.790088864	6.737455927	14.60008901	4.17E-06	0.003989383	4.901940799
AJUBA	-1.218409365	8.473527464	-14.42449341	4.49E-06	0.004222659	4.842299996
PTGS2	-1.51213058	7.590011466	-14.38236166	4.57E-06	0.00422527	4.827824064
APCDD1	-1.434785117	8.351988704	-14.29553442	4.74E-06	0.0043114	4.797786038
BHLHE41	1.610451391	6.438678344	14.2207379	4.90E-06	0.004377761	4.771686401
SCEL	1.582724323	10.06479985	14.18304435	4.98E-06	0.004377761	4.758454398
DHRS9	1.627260649	7.742305158	13.9662967	5.48E-06	0.004734987	4.681322314
NA	1.407812648	9.18679336	13.82623846	5.83E-06	0.004957567	4.630517534
CHST11	1.468353276	7.85923137	13.78104484	5.94E-06	0.004979246	4.613959634
RHCG	1.649973389	7.698432439	13.6803896	6.22E-06	0.005031241	4.576789944
NA	-3.093292306	4.674268196	-13.6559977	6.29E-06	0.005031241	4.567721451
AKAP12	2.208752424	6.938511876	13.65549982	6.29E-06	0.005031241	4.567536098
GPR155	-1.186508948	7.645022438	-13.55502809	6.58E-06	0.005136915	4.529926403
LUCAT1	1.595053861	5.439829906	13.53487136	6.64E-06	0.005136915	4.522331558
UBE2H	1.31732344	8.583852792	13.5125411	6.71E-06	0.005136915	4.513898288
NA	1.985234037	4.860128097	13.28578618	7.44E-06	0.005498413	4.427088816
CYP1B1	-1.134174277	7.207388182	-13.28405178	7.45E-06	0.005498413	4.426416503
NA	1.359972906	7.437510784	13.25746216	7.54E-06	0.005498413	4.416093461
SH3PXD2A-AS1	1.186597748	8.169060744	13.24241131	7.59E-06	0.005498413	4.410236837
SOX9	1.584851477	9.995265407	13.21395723	7.69E-06	0.005498413	4.399138263
GPSM2	-1.098666173	9.943030793	-13.17574351	7.83E-06	0.0055232	4.384178293
NA	1.521245234	8.335917416	13.10467286	8.09E-06	0.00563509	4.3561878
TGFA	1.417182092	9.262462063	13.04725188	8.31E-06	0.005714452	4.333412635
BMP4	-1.977295256	6.813349991	-12.92356922	8.81E-06	0.005852544	4.283862876
HPGD	1.610653624	6.084949558	12.9154148	8.85E-06	0.005852544	4.280572187
MIRLET7I	1.648771905	7.074251573	12.90803207	8.88E-06	0.005852544	4.277590345
PRSS22	2.582808923	6.764199731	12.89067375	8.95E-06	0.005852544	4.270569815
NA	1.770234578	6.290318523	12.85764006	9.09E-06	0.005873501	4.257172072
LRAT	1.495813268	6.628614365	12.77092981	9.48E-06	0.006021029	4.221769815
NA	-1.387753	3.701719767	-12.75581878	9.55E-06	0.006021029	4.215565285
EHF	1.03248351	9.191554352	12.71570696	9.73E-06	0.006057137	4.199044856
UGCG	1.446575081	9.251831491	12.69495279	9.83E-06	0.006057137	4.190468056
MAF	-1.9604471	6.93365863	-12.57427264	1.04E-05	0.006348156	4.140200963
LURAP1L	-1.317240721	8.434286356	-12.53502066	1.06E-05	0.006380543	4.123704677
CD14	1.800936479	5.851819775	12.49682659	1.08E-05	0.006380543	4.10758327
NA	-1.117377234	8.559043036	-12.49501281	1.08E-05	0.006380543	4.106815973
RAI14	1.2577992	8.027031226	12.44796242	1.11E-05	0.006458214	4.086857225
EPB41L1	1.179812937	6.637756032	12.37548781	1.15E-05	0.006620518	4.055906554
