Symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
C10orf99	-5.335082072	8.372479684	-42.11827403	3.14E-09	0.000152911	9.899555812
KLK6	4.185774348	7.780077439	37.09134717	7.21E-09	0.000152911	9.563899205
IL1B	4.92200995	6.210615481	32.93830168	1.57E-08	0.000152911	9.199374384
CASP14	-4.513566492	9.211014919	-31.66517601	2.03E-08	0.000152911	9.067116798
NA	4.600829776	5.579025993	31.63760281	2.04E-08	0.000152911	9.064129832
RHCG	3.691916215	7.466811816	31.60890255	2.05E-08	0.000152911	9.061015055
BHLHE41	4.223772733	6.026746031	31.18860052	2.24E-08	0.000152911	9.014723672
TCN1	3.89313932	6.678858749	31.07337711	2.29E-08	0.000152911	9.001808396
PAPPA	4.624512692	6.599786995	30.53447484	2.57E-08	0.000152911	8.940081096
KRT1	-3.268710194	11.34810697	-28.76690534	3.79E-08	0.000187277	8.721255833
SERPINB1	3.209244782	9.354607693	28.70109139	3.84E-08	0.000187277	8.71259075
S100A7	3.298756559	10.9421334	27.88220019	4.64E-08	0.000198909	8.601429314
FLG	-3.010220728	8.169694684	-27.71626602	4.82E-08	0.000198909	8.57812663
CDHR1	-2.864612634	7.626485148	-27.05559651	5.64E-08	0.000215381	8.48262172
NA	-3.001801785	3.876339053	-26.78389317	6.03E-08	0.000215381	8.442039942
ALOX12B	-2.521993887	7.788190296	-26.40615674	6.61E-08	0.000221464	8.384308191
BMP6	3.751213454	6.27015182	25.61651503	8.05E-08	0.000253925	8.258475101
AADACL2	-3.759703839	7.022176421	-25.07807048	9.24E-08	0.00026237	8.168470602
NA	3.929820206	6.409526659	24.94774799	9.56E-08	0.00026237	8.146151621
FAP	3.266029398	7.919012672	24.83542442	9.85E-08	0.00026237	8.126743936
DSC1	-2.617084607	11.69443287	-24.29475621	1.14E-07	0.00026237	8.031054176
METTL7A	-3.33790835	6.561315013	-24.24102054	1.15E-07	0.00026237	8.021333872
CCNA1	3.724429551	7.919656058	24.05352327	1.21E-07	0.00026237	7.987112822
NA	-2.380975011	8.852115468	-23.93247356	1.25E-07	0.00026237	7.964765214
FLG2	-2.914127473	4.359878972	-23.87887605	1.27E-07	0.00026237	7.954805873
THEM5	-3.838812906	7.834099682	-23.87416335	1.27E-07	0.00026237	7.95392827
LRAT	2.862753225	5.073281302	23.72164333	1.33E-07	0.000263386	7.9253588
