Symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
DHRS3	2.572560357	7.346408176	24.72333479	1.10E-07	0.005900802	2.676307538
HCAR2	2.528079896	5.636132486	19.38649881	5.26E-07	0.011062467	2.473335783
ANGPTL4	2.292256044	9.420338553	18.90254615	6.19E-07	0.011062467	2.447019556
CYP24A1	1.560497067	11.07581833	17.06526584	1.19E-06	0.015962299	2.32879914
ARSI	1.627772833	6.206327375	12.85703507	7.18E-06	0.07048522	1.886336711
PTGS2	-1.159176657	8.65941275	-12.66667385	7.89E-06	0.07048522	1.857724598
ABCA1	1.002989481	9.202534016	10.68013507	2.29E-05	0.13066822	1.488753388
PAPPA	1.367078984	6.06454852	10.5221159	2.51E-05	0.13066822	1.452770171
FAM84B	1.020000978	8.981528982	10.33068661	2.81E-05	0.13066822	1.407608099
PTK2B	0.915713287	7.968924289	10.3243146	2.82E-05	0.13066822	1.40607434
NA	1.174663765	6.908300711	10.25912727	2.94E-05	0.13066822	1.390268326
GPRC5A	0.934318712	7.381244154	10.10256123	3.23E-05	0.13066822	1.351431537
NA	-1.174147035	5.536673841	-9.907328081	3.64E-05	0.13066822	1.301213065
ID1	0.95361754	8.198829845	9.878793531	3.71E-05	0.13066822	1.29370157
TINAGL1	0.956736272	10.47653142	9.590638435	4.45E-05	0.13066822	1.215285128
SLITRK6	-0.97889221	5.575442533	-9.482164713	4.77E-05	0.13066822	1.184514221
CHAC1	1.0268026	7.59299569	9.475783506	4.79E-05	0.13066822	1.182682004
NA	-1.922570394	4.106118035	-9.41885389	4.97E-05	0.13066822	1.166225957
FHOD3	0.854412358	8.852591951	9.325689448	5.28E-05	0.13066822	1.138863404
TFPI2	0.829124886	9.407546221	9.285287271	5.42E-05	0.13066822	1.126827616
P2RY2	0.945917329	7.178351223	9.276951037	5.45E-05	0.13066822	1.124331334
IL1B	0.898805485	7.498686571	9.261041935	5.51E-05	0.13066822	1.119555024
KLK6	1.133578638	6.365167584	9.200847977	5.73E-05	0.13066822	1.101335746
NA	-0.826762917	2.802914108	-9.170532699	5.85E-05	0.13066822	1.09207086
HAS3	1.021027862	9.095199937	9.072053747	6.25E-05	0.133974497	1.0615551
ABCG1	1.022028321	5.913650022	8.765275652	7.70E-05	0.158776289	0.962232821
HBEGF	0.822394368	8.958065152	8.621462074	8.51E-05	0.16900858	0.913345102
ICAM1	0.850944583	6.489931429	8.392060947	0.000100158	0.182504215	0.832106319
IL24	-0.728936726	7.158063184	-8.301408576	0.000106927	0.182504215	0.798855257
NA	-1.030027119	4.451991037	-8.274703094	0.000109019	0.182504215	0.788932053
NA	-1.030027119	4.451991037	-8.274703094	0.000109019	0.182504215	0.788932053
BTBD11	1.274014724	6.398255358	8.234954265	0.000112221	0.182504215	0.774053133
NA	-1.034969721	6.307489597	-8.233654767	0.000112327	0.182504215	0.773564485
LOC100287225	-0.742852376	4.922484945	-8.137981216	0.000120491	0.190011334	0.737198681
IVL	1.148536144	6.958525584	8.077828194	0.000125971	0.192976267	0.713935169
LOC100506411	0.901784419	7.145774946	7.947492398	0.000138846	0.199240447	0.662445897
FBXO32	1.241863679	5.927517987	7.929717524	0.000140716	0.199240447	0.655306991
KRT13	0.847972762	5.068665236	7.925087756	0.000141208	0.199240447	0.653442875
NA	-1.82393719	3.57228495	-7.726440839	0.00016427	0.225838166	0.571608894
F2RL1	-0.650362671	9.181614217	-7.642323876	0.000175309	0.233387327	0.535838858
BMP4	-0.750992496	7.92774115	-7.60264624	0.000180807	0.233387327	0.518729138
NA	-1.60867946	3.042917624	-7.588459763	0.00018282	0.233387327	0.512574347
MAP3K9	0.815904264	7.304181427	7.514211783	0.000193783	0.240043994	0.480037713
NA	-1.624971278	4.650582558	-7.476387859	0.000199654	0.240043994	0.463251124
BHLHE41	0.914930793	5.830880063	7.393226196	0.000213289	0.240043994	0.425832792
ADRA1B	0.838992906	6.044422019	7.386395983	0.000214455	0.240043994	0.422728037
TFCP2L1	0.71319456	9.216940686	7.382033678	0.000215204	0.240043994	0.420742576
NACAP1	1.092806517	3.522998221	7.343574199	0.000221934	0.240043994	0.403152623
LOXL2	0.948391034	6.904746298	7.326224108	0.000225048	0.240043994	0.395166812
AQP10	-0.703747819	4.730215732	-7.300076077	0.000229836	0.240043994	0.383071782
CHST11	0.592177678	7.415465078	7.293107588	0.000231131	0.240043994	0.379836264
NA	0.859148332	6.153263167	7.28417114	0.000232805	0.240043994	0.375679486
DKK1	-0.667921277	10.52858067	-7.22806247	0.000243632	0.246468384	0.34938622
FAP	0.608905633	9.642623396	7.183872125	0.000252564	0.25077238	0.328439806
CORO6	0.788036577	7.187785583	7.096410857	0.000271361	0.264537573	0.286354092
NA	1.05874557	2.69601976	7.049243166	0.000282156	0.266612623	0.26330542
NA	-0.842140942	5.353106341	-7.04379071	0.000283435	0.266612623	0.26062497
NA	-1.373090228	2.102081356	-7.007481937	0.000292122	0.266629719	0.242689777
CCL20	0.671419531	6.50211237	7.002248753	0.000293399	0.266629719	0.24009245
NA	0.670193199	7.441757383	6.86864562	0.000328246	0.288267343	0.172715502
KRT15	1.007304311	6.575818	6.863361741	0.000329718	0.288267343	0.170008079
PTAFR	0.660344357	6.461276437	6.850479192	0.000333338	0.288267343	0.163393352
ADAM19	0.660675198	8.243510557	6.804605875	0.0003466	0.294978366	0.139679309
EPN3	-0.874152034	8.301414278	-6.76704363	0.000357906	0.299841294	0.120074429
NUAK1	-0.688628623	8.835307434	-6.675456611	0.000387271	0.319451189	0.071555597
PRICKLE1	0.575506533	8.05937179	6.641823805	0.000398734	0.323923019	0.053479777
NA	0.745622334	4.609279942	6.612299664	0.000409114	0.324186087	0.037496193
NA	0.717271703	6.686088019	6.606607972	0.00041115	0.324186087	0.034402329
RNF207	0.834189938	6.366407292	6.57953572	0.000420994	0.32713684	0.019630773
UPP1	0.683568666	8.041594774	6.551624261	0.000431424	0.327689643	0.004304394
KIAA0226L	1.257844411	4.403595851	6.532010118	0.000438928	0.327689643	-0.006525097
LINC00452	-0.605633095	5.499630523	-6.523723632	0.000442143	0.327689643	-0.011115042
NA	1.382899182	6.342875293	6.501977317	0.000450707	0.327689643	-0.023202333
NA	-0.669117788	8.643638575	-6.498075625	0.000452264	0.327689643	-0.025377446
NA	0.739154239	6.957979317	6.455441652	0.000469674	0.335501759	-0.04927319
RNF152	0.699591169	9.774794604	6.440283993	0.000476046	0.335501759	-0.057825718
NA	-0.733332363	9.284016976	-6.426750601	0.000481818	0.335501759	-0.065487124
NA	0.631076506	7.143277345	6.404923397	0.000491295	0.337715032	-0.07789435
MIR1827	0.627524817	3.200804679	6.387912437	0.000498828	0.338552468	-0.087607373
NA	-0.937459463	3.646201188	-6.352232817	0.000515056	0.345196769	-0.108104436
SEC14L2	0.576725768	7.543955912	6.270630271	0.000554468	0.367023638	-0.155623626
CLDN7	0.676737489	5.058138502	6.224751383	0.00057812	0.371863312	-0.18273654
NETO1	-0.629448882	7.38375573	-6.219343101	0.000580983	0.371863312	-0.185951657
NA	-1.016790563	3.704936207	-6.216327636	0.000582586	0.371863312	-0.187746039
NA	-0.986926917	5.377245886	-6.134380337	0.000628128	0.393225954	-0.236991911
NA	-1.334326689	5.130028839	-6.105880346	0.0006449	0.393225954	-0.254338842
MEDAG	0.615424776	4.078156733	6.103734124	0.000646183	0.393225954	-0.255649808
GPRC5B	1.431081603	5.348090092	6.084414745	0.000657867	0.393225954	-0.267479912
NA	0.746639008	3.858310984	6.083351218	0.000658517	0.393225954	-0.268132693
STC2	0.61379378	7.510738782	6.080834953	0.000660058	0.393225954	-0.269677788
ALOX5AP	0.733100693	6.878209993	6.036855178	0.000687661	0.405168508	-0.296829002
KCNN4	0.759386079	5.343344578	6.017724195	0.000700074	0.40721014	-0.308726128
ABTB2	0.725686691	7.278873078	5.991164434	0.000717729	0.40721014	-0.32533056
ARRDC3	0.600213357	8.080816278	5.954868188	0.000742675	0.40721014	-0.34818753
MIR4498	0.740294129	4.053855828	5.95042885	0.000745793	0.40721014	-0.35099632
NA	1.014275428	5.217353929	5.94302609	0.000751025	0.40721014	-0.355686499
ADRB2	-0.559028268	8.739056022	-5.930095405	0.000760264	0.40721014	-0.363898295
NA	-1.106894774	5.822530909	-5.929103974	0.000760978	0.40721014	-0.36452893
NA	-0.622394382	5.41354123	-5.911126828	0.00077405	0.40721014	-0.375989036
NA	-2.074973661	3.22478749	-5.906300927	0.000777602	0.40721014	-0.379073577
LURAP1L	-0.628559081	7.723932796	-5.905752318	0.000778007	0.40721014	-0.379424446
NRIP1	0.551297841	10.0870866	5.903048838	0.000780007	0.40721014	-0.381154137
NA	0.656306447	3.663855474	5.900005874	0.000782264	0.40721014	-0.383102323
NA	-1.734229038	3.267638267	-5.872169003	0.000803259	0.413082142	-0.400987964
KHK	0.735680207	4.328430679	5.854746645	0.000816723	0.413082142	-0.41224079
EHF	0.516188228	8.954190088	5.850762844	0.000819837	0.413082142	-0.414820234
NA	-1.654702817	3.372973923	-5.845005316	0.000824361	0.413082142	-0.418552333
VEGFC	-0.594977311	9.773852689	-5.80369467	0.000857665	0.425791014	-0.445476457
ITGB7	-0.556435532	4.004005867	-5.782619271	0.000875239	0.429057423	-0.459311567
ISM1	0.566236273	7.019557194	5.769209925	0.000886632	0.429057423	-0.468149341
NA	-0.569252623	2.87983721	-5.759758633	0.000894762	0.429057423	-0.474394913
NA	-1.169956097	5.380147559	-5.758035324	0.000896254	0.429057423	-0.475535174
NA	2.448237365	3.587714116	5.729762083	0.000921129	0.434918295	-0.4943076
ARID5B	-0.645505776	8.303329352	-5.725752693	0.00092472	0.434918295	-0.496979619
DDIT4	0.584618895	9.427845801	5.698405039	0.000949633	0.438491064	-0.515271262
PXYLP1	0.654736596	5.284417061	5.692144896	0.000955442	0.438491064	-0.519474646
LOC101927880	0.474027316	3.133874047	5.69063383	0.000956851	0.438491064	-0.520490163
NA	-0.960020503	3.950758762	-5.672528797	0.000973906	0.439148375	-0.532685267
CREG2	0.91432635	5.00501289	5.665308569	0.000980803	0.439148375	-0.537562847
SLC48A1	0.530142649	6.756290518	5.663169942	0.000982856	0.439148375	-0.539009142
NA	0.825852066	4.288102497	5.640609684	0.001004816	0.443343037	-0.55430952
NA	-0.936568281	3.209433044	-5.634146229	0.001011209	0.443343037	-0.558707713
NA	-1.482900884	3.609983228	-5.623289312	0.001022051	0.443343037	-0.566110281
LOC100128644	-0.552437259	4.901832145	-5.6200416	0.001025319	0.443343037	-0.568328266
NA	0.735104274	5.498725091	5.585398522	0.001060928	0.454370532	-0.592090807
PLIN2	0.545002172	5.048003128	5.57889129	0.001067771	0.454370532	-0.596575454
