Symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
GPRC5B	3.365996342	6.05915818	28.20649617	5.87E-08	0.002611944	5.359960089
DHRS3	2.908299108	7.567328207	26.0438017	9.74E-08	0.002611944	5.248755277
KRT15	2.352733065	6.8698356	23.93480944	1.66E-07	0.002975289	5.114943715
SLC2A12	2.16078658	6.818055193	19.79491471	5.53E-07	0.00741828	4.745897589
ANGPTL4	1.924889112	9.186859922	18.61061609	8.17E-07	0.008756242	4.603750554
KLK6	2.572884237	7.110037557	17.73540755	1.11E-06	0.009204443	4.484669244
KRT19	1.910739711	6.390847652	17.50219756	1.20E-06	0.009204443	4.450677649
PTGS2	-1.617586	9.049910763	-16.92940118	1.48E-06	0.009926253	4.362781443
TFPI2	1.380395371	10.10881107	16.42503614	1.79E-06	0.010667111	4.279823711
TINAGL1	1.414356205	11.06275328	15.18329985	2.93E-06	0.015703745	4.050395055
KLK10	1.400258171	9.318648157	14.7443527	3.52E-06	0.017146143	3.959630944
CTSH	1.402580626	4.741418312	14.52133657	3.87E-06	0.017242148	3.911369458
LOC100506411	1.394429018	7.257139096	14.3417303	4.18E-06	0.017242148	3.871399386
DSC1	-1.73639078	5.917015262	-13.83230497	5.24E-06	0.020053009	3.752391729
MMP9	1.141740496	8.754640167	13.66076175	5.66E-06	0.020225837	3.710345798
PAPPA	2.339642934	6.650631844	12.66353436	9.05E-06	0.029283771	3.444226144
DSG1	-1.755952758	6.333371677	-12.55013102	9.57E-06	0.029283771	3.411436264
LOXL2	1.579944789	7.630219595	12.37990783	1.04E-05	0.029283771	3.36117337
NA	1.001424959	7.459616366	12.27578234	1.10E-05	0.029283771	3.32979548
IL1B	1.012515829	7.975222816	12.20921208	1.13E-05	0.029283771	3.309478148
MTHFD2L	-1.03594411	6.970827795	-12.1875995	1.15E-05	0.029283771	3.302838427
CYP24A1	1.182570716	9.332190727	12.04146152	1.24E-05	0.030110883	3.257374672
ARSI	1.081374626	5.54042167	11.72692255	1.45E-05	0.033899025	3.156065287
POSTN	-0.991790524	10.11685912	-11.64426303	1.52E-05	0.033930648	3.128632529
NA	-1.74887083	3.592800461	-11.44638043	1.69E-05	0.035240813	3.061541811
EPGN	-0.913306911	9.931291238	-11.42282153	1.71E-05	0.035240813	3.053418582
P2RY2	1.201371736	6.598887309	11.34394243	1.78E-05	0.035409473	3.026006549
CDH2	1.051286836	7.793631873	11.25884947	1.87E-05	0.035491184	2.996061076
NRK	-1.047561127	5.505874949	-11.20826951	1.92E-05	0.035491184	2.978074872
FBXO32	2.216076098	6.852795953	11.0246319	2.12E-05	0.035571022	2.911582298
NA	1.586475561	5.893419433	11.0064138	2.15E-05	0.035571022	2.904882352
SFTA1P	-1.530162638	7.336253471	-10.98912967	2.17E-05	0.035571022	2.898508393
