Symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
DHRS3	2.889288269	7.492639714	26.96935057	7.98E-08	0.00410871	4.867268503
KRT15	2.370791918	6.703809698	23.44897451	1.93E-07	0.00410871	4.676650659
KLK6	2.436114103	6.868062003	21.99564787	2.90E-07	0.00410871	4.574595625
GPRC5B	3.226617611	6.13414492	21.80169524	3.07E-07	0.00410871	4.559676035
SLC2A12	2.208843325	6.792538514	19.15435638	6.93E-07	0.006401602	4.31816745
PTGS2	-1.848216473	8.98667231	-18.97407345	7.36E-07	0.006401602	4.298733158
LOXL2	1.569401143	8.046465656	18.59389592	8.36E-07	0.006401602	4.256283873
ANGPTL4	1.731711501	9.171925823	16.79060767	1.59E-06	0.010626568	4.024100277
DSC1	-1.806683961	5.765891033	-15.3822173	2.74E-06	0.015671958	3.799500283
BHLHE41	1.894917041	5.990459452	15.22585266	2.92E-06	0.015671958	3.77174777
ADAM19	1.307447141	9.062967814	14.78474281	3.51E-06	0.017113295	3.690055805
TINAGL1	1.436149859	10.99709271	14.30621393	4.31E-06	0.019149845	3.595382542
TFPI2	1.238355077	10.09228723	14.13540509	4.64E-06	0.019149845	3.559962902
PAPPA	2.378059433	6.596719361	13.66366426	5.73E-06	0.02195424	3.45738766
KRT19	1.747637285	6.010941645	13.36055318	6.59E-06	0.022695483	3.387579678
ID1	1.17031985	8.535309647	13.21526792	7.05E-06	0.022695483	3.35297626
KLK10	1.34120939	9.444151829	12.89685687	8.20E-06	0.022695483	3.274422247
IL1B	1.128504007	7.977088443	12.89353568	8.21E-06	0.022695483	3.273582658
NA	1.69877129	6.147762148	12.87097887	8.30E-06	0.022695483	3.26786907
FYB	1.297888615	5.509738429	12.80876782	8.55E-06	0.022695483	3.252008625
LINC00707	-1.177563418	8.146802075	-12.64500575	9.26E-06	0.022695483	3.209527522
SRPX2	1.275479892	5.414790008	12.63338109	9.31E-06	0.022695483	3.206471145
SULT1E1	-1.168251332	7.958283205	-12.46906986	1.01E-05	0.023535148	3.162678545
DSG1	-1.789607348	6.20252602	-12.26751001	1.12E-05	0.024937996	3.107413107
EPN3	-1.092635697	8.72148971	-11.829751	1.40E-05	0.029570492	2.981215957
FAM84B	0.928617227	9.50785334	11.778126	1.43E-05	0.029570492	2.965751949
ALDH1A3	1.092723622	4.993652267	11.62911769	1.55E-05	0.030790248	2.920400867
CREG2	1.007599866	4.496410431	11.26446613	1.88E-05	0.03528547	2.804764629
SFTA1P	-1.41763598	7.436167302	-11.21916461	1.93E-05	0.03528547	2.789920741
NA	1.323638583	2.246584366	11.17935416	1.97E-05	0.03528547	2.77678634
KLK5	1.143524517	10.62930766	10.78856091	2.45E-05	0.042213858	2.643257101
CYP24A1	1.036429326	9.260018136	10.74170595	2.52E-05	0.042213858	2.626669607
NRIP1	0.859339729	9.998406071	10.37407542	3.11E-05	0.049108463	2.491999288
MTHFD2L	-1.014241926	7.178590177	-10.33032946	3.19E-05	0.049108463	2.475424035
KLK7	0.961907451	7.592074441	10.22200067	3.41E-05	0.049108463	2.433857512
NA	0.977710578	7.416807878	10.17124179	3.51E-05	0.049108463	2.414122207
MIR1249	1.084615398	4.135060341	10.12991209	3.60E-05	0.049108463	2.397929446
CPT1A	0.884201265	9.024228544	10.09104497	3.68E-05	0.049108463	2.382599445
TLR2	0.971598309	7.186919409	10.05423452	3.77E-05	0.049108463	2.367988719
NA	-2.746005492	2.766520225	-10.04829179	3.78E-05	0.049108463	2.365621512
ARSI	1.283842303	5.584688815	10.02085627	3.84E-05	0.049108463	2.354662433
HCAR2	2.105108108	5.339290473	9.990108061	3.91E-05	0.049108463	2.342320233
