Symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
XLOC_004475	0.49330432	0.49330432	5.756881601	0.005548655	0.583280252	-1.840580861
NA	-0.45102519	-0.45102519	-4.893105048	0.009600234	0.583280252	-2.185240359
XLOC_002977	1.4483752	1.4483752	5.399652025	0.006900618	0.583280252	-1.972113946
NA	-0.613181507	-0.613181507	-4.997117104	0.008951726	0.583280252	-2.13870938
XLOC_007966	0.893580613	0.893580613	5.988100302	0.004846933	0.583280252	-1.762752429
XLOC_001849	-1.0481348	-1.0481348	-5.014055609	0.008851304	0.583280252	-2.131272999
NA	0.901161117	0.901161117	11.39598693	0.00048833	0.583280252	-0.852060224
XLOC_008079	-1.3890164	-1.3890164	-5.838797073	0.005286418	0.583280252	-1.812383714
NA	-0.599632697	-0.599632697	-6.45775275	0.003731534	0.583280252	-1.620338644
NA	1.205831333	1.205831333	4.987911549	0.009006892	0.583280252	-2.142767246
NA	0.47101254	0.47101254	5.97979541	0.004870155	0.583280252	-1.765454868
NA	0.930758733	0.930758733	10.38648827	0.00068459	0.583280252	-0.942459358
NA	0.8304225	0.8304225	7.268910884	0.002463847	0.583280252	-1.416094015
NA	-0.582220123	-0.582220123	-5.067127164	0.008545557	0.583280252	-2.108224751
NA	0.496947677	0.496947677	6.069750807	0.004625804	0.583280252	-1.736539028
NA	1.2906844	1.2906844	13.08525981	0.0002944	0.583280252	-0.738840036
NA	1.2636272	1.2636272	5.603537976	0.006084533	0.583280252	-1.895289329
XLOC_005465	0.654086107	0.654086107	5.820192878	0.005344599	0.583280252	-1.818726413
NA	-0.569949913	-0.569949913	-5.143968796	0.008125664	0.583280252	-2.075518014
NA	-0.491425413	-0.491425413	-5.761367027	0.005533883	0.583280252	-1.839018685
XLOC_008185	-0.552342517	-0.552342517	-5.433772017	0.006754981	0.583280252	-1.958920625
NA	-0.47600965	-0.47600965	-5.80235785	0.005401124	0.583280252	-1.824840519
XLOC_005143	-0.570051847	-0.570051847	-5.872196709	0.005183932	0.583280252	-1.801086017
XLOC_009582	1.491842	1.491842	6.195726177	0.004308722	0.583280252	-1.697332065
KLK11	-0.872780147	-0.872780147	-11.08631752	0.00053996	0.583280252	-0.877634442
FAM5C	-0.52972554	-0.52972554	-6.419561283	0.003809376	0.583280252	-1.631192755
MT2A	-0.46786343	-0.46786343	-5.927731374	0.005018939	0.583280252	-1.782551482
HOXB2	0.674509453	0.674509453	6.321133407	0.004019542	0.583280252	-1.659736741
SULT2B1	-0.44071281	-0.44071281	-5.247592868	0.007599068	0.583280252	-2.032624872
SALL4	-0.487791267	-0.487791267	-4.904530902	0.009526218	0.583280252	-2.180055064
YIPF3	-0.408132533	-0.408132533	-4.927264985	0.009381032	0.583280252	-2.169792448
CTHRC1	-0.448969817	-0.448969817	-5.200670609	0.007832113	0.583280252	-2.051877352
OBP2A	0.59192376	0.59192376	5.359993378	0.007074825	0.583280252	-1.987623791
CYP4B1	-0.435715917	-0.435715917	-5.444164566	0.006711381	0.583280252	-1.954929481
CRABP2	-0.441939287	-0.441939287	-5.299444875	0.007351448	0.583280252	-2.011671449
MDK	-0.500759493	-0.500759493	-6.209134223	0.004276591	0.583280252	-1.693245265
LOC338799	-0.482334157	-0.482334157	-5.154485851	0.0080702	0.583280252	-2.071101773
HS3ST1	0.430068217	0.430068217	5.485931092	0.006539641	0.583280252	-1.939017228
SORBS2	0.468131817	0.468131817	5.908965862	0.00507395	0.583280252	-1.7887797
SOCS2	-0.88340642	-0.88340642	-7.567986252	0.002136121	0.583280252	-1.351920222
SACS	0.397763747	0.397763747	5.037681897	0.008713549	0.583280252	-2.120965574
PALB2	0.414394153	0.414394153	5.177792872	0.007948946	0.583280252	-2.06136591
ITGAD	0.721538803	0.721538803	5.949549006	0.004955911	0.583280252	-1.775354435
TRIM16L	0.45358479	0.45358479	5.209083929	0.007789682	0.583280252	-2.048404757
C20orf152	1.01099175	1.01099175	6.023156546	0.004750414	0.583280252	-1.75141907
RRAGD	0.454816173	0.454816173	5.123567433	0.008234607	0.583280252	-2.084125885
CAV1	-0.54631169	-0.54631169	-5.713796417	0.00569308	0.583280252	-1.855695392
AGMO	0.865787043	0.865787043	6.189155148	0.004324578	0.583280252	-1.699340898
PRPH	-0.496478617	-0.496478617	-5.262202027	0.00752827	0.583280252	-2.026687356
AKR1C3	0.496462607	0.496462607	5.291119325	0.007390525	0.583280252	-2.015013271
CYP26A1	0.611225267	0.611225267	6.256961406	0.004164386	0.583280252	-1.678799572
OASL	-1.063908467	-1.063908467	-7.404187395	0.002308331	0.583280252	-1.38640165
TNFRSF19	-0.49799407	-0.49799407	-5.067712525	0.008542258	0.583280252	-2.107972645
EVL	-0.605957657	-0.605957657	-5.980735562	0.004867519	0.583280252	-1.765148601
MPHOSPH6	0.43036602	0.43036602	4.980785281	0.009049887	0.583280252	-2.14591652
OR1A1	0.671973937	0.671973937	5.742113725	0.005597639	0.583280252	-1.84573925
OR7G3	1.327025813	1.327025813	6.112398367	0.004515299	0.583280252	-1.723100309
LILRA2	1.280984733	1.280984733	7.001262254	0.002812207	0.583280252	-1.478294364
NRSN2	0.403928587	0.403928587	4.966946837	0.009134106	0.583280252	-2.152052005
ARHGEF3	-0.607849367	-0.607849367	-6.965590214	0.002863178	0.583280252	-1.486948399
NEB	-0.78366032	-0.78366032	-6.199338244	0.004300037	0.583280252	-1.696229493
FTHL17	0.403461633	0.403461633	5.060388348	0.008583648	0.583280252	-2.111130351
HMCN1	-0.661355663	-0.661355663	-6.792089706	0.003128242	0.583280252	-1.530328216
PLEK2	-0.504514177	-0.504514177	-5.183709585	0.007918525	0.583280252	-2.058905513
DPEP1	0.657110917	0.657110917	7.670118357	0.002036857	0.583280252	-1.331200233
HSH2D	-0.53699997	-0.53699997	-5.154891278	0.008068071	0.583280252	-2.070931817
CD68	-1.082692033	-1.082692033	-8.653595009	0.001323815	0.583280252	-1.158461379
KCNE1	0.55806583	0.55806583	6.499041311	0.0036496	0.583280252	-1.60874075
MUC13	1.215422223	1.215422223	6.258363737	0.004161152	0.583280252	-1.678379105
NEIL3	0.61219005	0.61219005	7.548261125	0.002155986	0.583280252	-1.355989858
TGFBI	0.875232933	0.875232933	11.00229244	0.000555143	0.583280252	-0.884883585
C9orf68	1.888561467	1.888561467	20.82822932	5.29E-05	0.583280252	-0.502592705
CKMT1A	-0.6818198	-0.6818198	-6.997040917	0.002818179	0.583280252	-1.479313855
LGALS1	-0.666011923	-0.666011923	-6.982915577	0.002838279	0.583280252	-1.482734224
PRLR	-0.540217377	-0.540217377	-6.745999638	0.003203761	0.583280252	-1.542221936
NA	0.582944277	0.582944277	5.69557557	0.005755563	0.583280252	-1.862147166
MAFB	-0.418068457	-0.418068457	-4.91023089	0.009489557	0.583280252	-2.177475163
BCAS1	0.649944833	0.649944833	6.733251945	0.003225049	0.583280252	-1.545539676
BMP5	-0.708403587	-0.708403587	-8.837842159	0.001227311	0.583280252	-1.130800791
DDAH1	-0.39758274	-0.39758274	-5.069186623	0.008533958	0.583280252	-2.107337977
TIRAP	-0.4459489	-0.4459489	-5.315871416	0.007275095	0.583280252	-2.005103037
CASP1	1.188763867	1.188763867	6.915251724	0.002937088	0.583280252	-1.499312093
PSD3	-0.535529417	-0.535529417	-5.102090632	0.008351253	0.583280252	-2.093246435
NPFF	-0.4918523	-0.4918523	-5.162024142	0.008030733	0.583280252	-2.06794518
NDRG1	0.515334727	0.515334727	6.565657725	0.003522083	0.583280252	-1.590322173
ALDH1A3	0.7788598	0.7788598	6.122426503	0.004489795	0.583280252	-1.71996516
MT1E	-0.587490183	-0.587490183	-7.128539977	0.002639348	0.583280252	-1.448125572
ABCC3	0.795319753	0.795319753	9.552568196	0.000927208	0.583280252	-1.034963872
THRA	-0.58850471	-0.58850471	-5.704759013	0.005723965	0.583280252	-1.858890954
C19orf33	-0.431916547	-0.431916547	-5.461880111	0.006637861	0.583280252	-1.948155294
CYP1B1	0.508407087	0.508407087	4.926429485	0.00938632	0.583280252	-2.170168328
NAB1	-0.421312217	-0.421312217	-5.305849873	0.007321559	0.583280252	-2.009106354
EPAS1	0.839364707	0.839364707	10.15537439	0.000742876	0.583280252	-0.96627947
CAST	0.627210967	0.627210967	7.031983145	0.002769217	0.583280252	-1.470911945
GNA12	-0.41210324	-0.41210324	-5.111171159	0.008301687	0.583280252	-2.089382808
OSBPL3	0.74128282	0.74128282	4.983273277	0.009034848	0.583280252	-2.144816221
TLX1	-0.74976484	-0.74976484	-6.332025943	0.003995584	0.583280252	-1.656536876
DKK1	-0.56683928	-0.56683928	-5.751258929	0.005567242	0.583280252	-1.842542122
DHCR7	-0.69287709	-0.69287709	-7.905562513	0.001829161	0.583280252	-1.285593275
RAB1A	0.397639427	0.397639427	5.0062226	0.008897569	0.583280252	-2.134707007
HNF4G	1.318355467	1.318355467	7.777029429	0.001939066	0.583280252	-1.310126312
RAB7B	-0.69545547	-0.69545547	-5.864357674	0.005207762	0.583280252	-1.803727397
GPR64	-1.412698133	-1.412698133	-8.879125728	0.001206913	0.583280252	-1.124781001
CKB	-0.508549547	-0.508549547	-5.321246794	0.007250323	0.583280252	-2.002960816
AKR1C1	0.849190913	0.849190913	8.639105339	0.001331802	0.583280252	-1.160693159
PEX5L	1.691897333	1.691897333	8.459737597	0.001435881	0.583280252	-1.189030516
DLX2	0.4543283	0.4543283	5.224897706	0.007710697	0.583280252	-2.041902
TST	-0.429995833	-0.429995833	-5.474603376	0.006585675	0.583280252	-1.943312751
SLAIN2	0.65984197	0.65984197	5.450757074	0.006683904	0.583280252	-1.952404292
KIAA1217	0.405468533	0.405468533	5.04172441	0.008690245	0.583280252	-2.119209503
MOXD1	0.732945643	0.732945643	6.596870175	0.003464252	0.583280252	-1.581815196
SUSD2	-0.577268443	-0.577268443	-5.077630376	0.008486605	0.583280252	-2.103708124
STEAP1	0.504940873	0.504940873	5.224854117	0.007710914	0.583280252	-2.041919881
DNHD1	-0.5771446	-0.5771446	-5.432614227	0.00675986	0.583280252	-1.959366051
KCNK5	-0.488874633	-0.488874633	-6.064540409	0.004639534	0.583280252	-1.73819268
DEFB125	-1.260321367	-1.260321367	-12.57273487	0.000340871	0.583280252	-0.769094572
LHX2	-0.609258833	-0.609258833	-4.949863921	0.00923941	0.583280252	-2.15966242
CSMD3	1.122586567	1.122586567	6.127153498	0.004477835	0.583280252	-1.718490591
CPNE4	-0.518443973	-0.518443973	-5.457832042	0.006654572	0.583280252	-1.949699978
GREB1	-0.665204987	-0.665204987	-8.103831014	0.001674507	0.583280252	-1.249388821
C15orf26	-0.881902547	-0.881902547	-5.074379042	0.0085048	0.583280252	-2.105104703
SLC7A13	1.372644633	1.372644633	5.80561292	0.005390752	0.583280252	-1.823722168
DHRS3	0.535563017	0.535563017	6.720933939	0.003245788	0.583280252	-1.548757266
FAM129C	0.74382644	0.74382644	6.623925742	0.00341508	0.583280252	-1.574503712
REN	-0.7318669	-0.7318669	-8.724856842	0.001285396	0.583280252	-1.147606531
WDR96	-1.277294467	-1.277294467	-8.714703266	0.001290784	0.583280252	-1.149140941
ANKFN1	-1.155110633	-1.155110633	-6.408881938	0.003831505	0.583280252	-1.634249773
MIR7-3HG	-0.69936835	-0.69936835	-8.266697085	0.001559577	0.583280252	-1.221058876
SRGAP3	1.441406433	1.441406433	5.806722407	0.005387223	0.583280252	-1.823341232
VSIG2	-0.619198287	-0.619198287	-7.773304295	0.001942373	0.583280252	-1.310850249
CHSY3	0.46263971	0.46263971	5.51295074	0.00643144	0.583280252	-1.928831253
NA	1.033899917	1.033899917	8.592793616	0.001357741	0.583280252	-1.167883036
WFDC11	0.669579543	0.669579543	5.84577564	0.005264798	0.583280252	-1.810013717
CIRBP	-0.85440768	-0.85440768	-7.204523878	0.002542473	0.583280252	-1.430628754
MT1B	-0.57084048	-0.57084048	-7.152326454	0.002608532	0.583280252	-1.442607662
CPNE2	-0.452994837	-0.452994837	-5.258626137	0.007545523	0.583280252	-2.028138211
CCDC74B	-0.41084305	-0.41084305	-4.894635489	0.009590278	0.583280252	-2.184544744
IGFBP5	-1.1843538	-1.1843538	-7.565414813	0.002138698	0.583280252	-1.352449494
NKX3-2	0.927673357	0.927673357	8.483563484	0.001421481	0.583280252	-1.185189313
DRD1	1.1483465	1.1483465	10.59633232	0.000636577	0.583280252	-0.921918134
ENAM	0.947526233	0.947526233	5.41639016	0.006828691	0.583280252	-1.965624463
DNAJC25	0.42233765	0.42233765	5.170937269	0.007984377	0.583280252	-2.064222368
LINC00174	-0.79006582	-0.79006582	-6.015823109	0.004770405	0.583280252	-1.753780038
ACTG2	-0.7256811	-0.7256811	-8.278284984	0.001551783	0.583280252	-1.21908972
GAPT	0.60561743	0.60561743	5.106022821	0.008329744	0.583280252	-2.091572014
AFAP1L2	-0.552504257	-0.552504257	-5.464602189	0.006626653	0.583280252	-1.947117667
DNTT	-1.1356016	-1.1356016	-5.766262882	0.005517814	0.583280252	-1.837315991
FAM83C	0.4465649	0.4465649	5.20679287	0.007801208	0.583280252	-2.049349496
MGC15885	-0.670205137	-0.670205137	-5.099999701	0.008362719	0.583280252	-2.094137635
CD200R1	-0.69330238	-0.69330238	-6.507466107	0.003633158	0.583280252	-1.606391475
PREX1	-0.408890247	-0.408890247	-5.059235191	0.008590187	0.583280252	-2.11162817
ZNF311	-0.568894867	-0.568894867	-7.142910258	0.002620677	0.583280252	-1.444787546
ASPRV1	-0.5667943	-0.5667943	-7.029774754	0.00277228	0.583280252	-1.471440475
B3GALT4	-0.418735513	-0.418735513	-5.113412754	0.008289507	0.583280252	-2.088430713
PRSS35	1.070485067	1.070485067	7.371924579	0.002344277	0.583280252	-1.393381111
KRT222	1.167667567	1.167667567	13.72173947	0.000247262	0.583280252	-0.705313702
MITF	0.500664257	0.500664257	6.194978266	0.004310523	0.583280252	-1.697560511
MT1L	-0.504520427	-0.504520427	-6.160563852	0.004394425	0.583280252	-1.708127523
CDKN1C	-0.986577183	-0.986577183	-6.388590434	0.003873995	0.583280252	-1.640084928
SULF1	-0.404860997	-0.404860997	-5.096888805	0.008379813	0.583280252	-2.095464634
ZNF439	-1.1293989	-1.1293989	-6.489345673	0.003668637	0.583280252	-1.611451608
FILIP1	1.311429033	1.311429033	13.15557757	0.000288664	0.583280252	-0.734926759
SLC25A42	-0.501836063	-0.501836063	-5.250646258	0.007584203	0.583280252	-2.031381687
COL9A2	-0.541513147	-0.541513147	-4.971477925	0.009106424	0.583280252	-2.150040175
HAO2	1.170175373	1.170175373	5.804134567	0.00539546	0.583280252	-1.824229952
BTG4	1.2678355	1.2678355	7.582775209	0.002121378	0.583280252	-1.348883567
LDHA	0.424045297	0.424045297	5.255507275	0.007560612	0.583280252	-2.029404943
SLC28A2	1.46422088	1.46422088	5.725948798	0.005651876	0.583280252	-1.851412213
GPR142	-0.638678767	-0.638678767	-7.004882636	0.002807097	0.583280252	-1.477420989
EFEMP1	-0.6498622	-0.6498622	-8.223137636	0.001589319	0.583280252	-1.228515581
RDH8	0.428530303	0.428530303	5.194870256	0.007861532	0.583280252	-2.054276708
ISYNA1	-0.640992677	-0.640992677	-4.957361964	0.009193006	0.583280252	-2.156317081
MGST3	-0.410527207	-0.410527207	-4.91337483	0.009469411	0.583280252	-2.176054122
PDZK1	-1.110328783	-1.110328783	-11.02673312	0.000550672	0.583280252	-0.882760877
LDHC	-0.480142343	-0.480142343	-4.989994454	0.008994373	0.583280252	-2.141848073
CLSTN3	-1.14848538	-1.14848538	-8.736336737	0.001279339	0.583280252	-1.145876533
C20orf173	0.45497185	0.45497185	5.146370984	0.008112954	0.583280252	-2.07450804
RANBP17	-0.497274397	-0.497274397	-5.463059545	0.006633002	0.583280252	-1.9477056
NOTCH1	-0.62109302	-0.62109302	-5.062992859	0.008568901	0.583280252	-2.110006635
TEX13A	0.507053033	0.507053033	5.255959147	0.007558423	0.583280252	-2.029221339
PPT1	0.398412447	0.398412447	4.958212164	0.009187763	0.583280252	-2.155938246
LOC100130428	1.001699133	1.001699133	5.902726683	0.005092406	0.583280252	-1.790858287
IRF9	-0.414448607	-0.414448607	-4.894050084	0.009594085	0.583280252	-2.184810783
FNDC8	1.374882067	1.374882067	10.51362911	0.000654977	0.583280252	-0.929894601
MOCOS	-0.515959067	-0.515959067	-6.060274004	0.004650815	0.583280252	-1.739548656
TNNI3	-0.698375213	-0.698375213	-8.14695644	0.001643068	0.583280252	-1.241766784
TMSB10	-0.55818732	-0.55818732	-5.399938574	0.006899378	0.583280252	-1.972002568
ADAM18	-0.937166133	-0.937166133	-7.063552666	0.002725893	0.583280252	-1.463392783
BTNL8	0.63630403	0.63630403	5.157392584	0.008054953	0.583280252	-2.069883732
LIN28A	-1.00159433	-1.00159433	-6.102396151	0.004540918	0.583280252	-1.726236736
GAD2	0.767910167	0.767910167	9.069619517	0.001118126	0.583280252	-1.097811804
ITGB7	-0.434527747	-0.434527747	-5.240001393	0.007636184	0.583280252	-2.035720816
SLC25A29	-0.435005367	-0.435005367	-5.06836788	0.008538567	0.583280252	-2.107690448
ATPBD4	-0.76075262	-0.76075262	-8.232581705	0.001582811	0.583280252	-1.226891549
GCHFR	-0.464172743	-0.464172743	-5.552901408	0.006275498	0.583280252	-1.913924057
TUBB3	-0.74186249	-0.74186249	-8.11652303	0.001665176	0.583280252	-1.247136456
KRT23	-0.84183135	-0.84183135	-5.766565939	0.005516822	0.583280252	-1.837210676
SLC24A3	-0.49843966	-0.49843966	-4.912358133	0.00947592	0.583280252	-2.176513511
SEZ6L	0.524012593	0.524012593	5.30898585	0.00730698	0.583280252	-2.007852293
SOX14	0.490520993	0.490520993	5.940284211	0.004982555	0.583280252	-1.778404861
NOV	-0.51896146	-0.51896146	-5.692606202	0.005765826	0.583280252	-1.863201975
OGN	0.673131627	0.673131627	6.186343641	0.004331385	0.583280252	-1.700201607
C11orf63	0.506772797	0.506772797	6.198264597	0.004302616	0.583280252	-1.696557096
CDH18	-0.408569233	-0.408569233	-4.929679935	0.009365771	0.583280252	-2.168706545
SELENBP1	-0.736905413	-0.736905413	-9.106759081	0.001101783	0.583280252	-1.092704115
GPER	-1.134538867	-1.134538867	-6.202016533	0.004293611	0.583280252	-1.695412718
