Symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
STEAP1	1.785197267	1.785197267	12.94646772	0.000194431	0.765816352	-3.886630659
NA	1.650377633	1.650377633	12.84085735	0.000200835	0.765816352	-3.887045346
AKR1C1	1.284550567	1.284550567	11.56542057	0.000303506	0.765816352	-3.892942271
BCAS1	1.1393065	1.1393065	10.38979814	0.000462351	0.765816352	-3.900298615
NA	1.209964933	1.209964933	10.13022924	0.000510453	0.765816352	-3.902256221
ABCC3	1.145852633	1.145852633	10.1159738	0.00051327	0.765816352	-3.902367851
ANG	1.1231094	1.1231094	9.965715626	0.000544171	0.765816352	-3.903571934
CEP120	1.275823633	1.275823633	9.944409768	0.000548738	0.765816352	-3.903746821
HMOX1	1.2166985	1.2166985	9.694779406	0.000605948	0.765816352	-3.905876856
NA	1.064937233	1.064937233	9.586315831	0.000633099	0.765816352	-3.906851114
TUBB3	-1.060048567	-1.060048567	-9.571938839	0.000636811	0.765816352	-3.906982576
LSM3	1.637548633	1.637548633	9.568560555	0.000637687	0.765816352	-3.907013547
NA	1.238615467	1.238615467	9.292505967	0.0007146	0.765816352	-3.909651418
NA	1.135716323	1.135716323	9.09002143	0.000778416	0.765816352	-3.911729531
C2orf85	-1.020683557	-1.020683557	-8.73839271	0.000906929	0.765816352	-3.915659809
DNAH5	1.2376703	1.2376703	8.561097263	0.000981677	0.765816352	-3.917812266
NA	1.3659112	1.3659112	8.352997274	0.001079392	0.765816352	-3.920500282
NA	1.040369767	1.040369767	8.294636456	0.00110893	0.765816352	-3.921287459
NA	-0.914626753	-0.914626753	-8.287298692	0.001112715	0.765816352	-3.921387505
EPAS1	0.927037767	0.927037767	8.179166882	0.001170376	0.765816352	-3.922890339
GREB1	-0.884318347	-0.884318347	-8.165525599	0.00117791	0.765816352	-3.923083792
MALL	0.871163203	0.871163203	8.085814086	0.001223152	0.765816352	-3.924232042
KALRN	1.2446237	1.2446237	8.018607344	0.001262975	0.765816352	-3.925224367
CYP26A1	1.078110583	1.078110583	7.930038442	0.001317932	0.765816352	-3.926567119
NA	1.315015243	1.315015243	7.927686087	0.001319432	0.765816352	-3.926603337
HMGCLL1	-1.014213567	-1.014213567	-7.890766103	0.001343244	0.765816352	-3.927175619
STEAP1	1.088362333	1.088362333	7.847526809	0.001371812	0.765816352	-3.927855138
NA	1.20558171	1.20558171	7.752501065	0.001437275	0.765816352	-3.929384625
CA2	-0.83882132	-0.83882132	-7.749303119	0.001439544	0.765816352	-3.92943698
LOC100128869	-1.149157833	-1.149157833	-7.714674317	0.001464403	0.765816352	-3.930007652
AKR1C4	1.137115717	1.137115717	7.653341762	0.001509746	0.765816352	-3.931035509
NA	-0.881090533	-0.881090533	-7.638845575	0.001520715	0.765816352	-3.931281697
NA	1.135625867	1.135625867	7.609915194	0.001542902	0.765816352	-3.931776795
C14orf99	0.885836167	0.885836167	7.583180904	0.001563761	0.765816352	-3.932238828
IL15	0.867445113	0.867445113	7.580760183	0.001565667	0.765816352	-3.93228088
TGFBI	0.88551048	0.88551048	7.562556983	0.00158009	0.765816352	-3.932598259
HEG1	-0.974299037	-0.974299037	-7.538049264	0.001599769	0.765816352	-3.933028812
FAM122B	-0.8407813	-0.8407813	-7.502650573	0.001628729	0.765816352	-3.933657365
NA	-0.958840933	-0.958840933	-7.467915801	0.001657777	0.765816352	-3.934281901
VIL1	2.492601567	2.492601567	7.457339645	0.001666749	0.765816352	-3.93447361
BCAS1	0.843014633	0.843014633	7.302665443	0.001805055	0.765816352	-3.937362474
NA	0.810084543	0.810084543	7.284399828	0.001822307	0.765816352	-3.937714452
NDRG1	0.79080266	0.79080266	7.229540642	0.001875358	0.765816352	-3.938785839
DHRS3	0.784416023	0.784416023	7.217702717	0.001887054	0.765816352	-3.939019874
CCDC79	0.804071417	0.804071417	7.13609515	0.001970178	0.765816352	-3.94066135
NA	-0.80612257	-0.80612257	-7.131738756	0.001974741	0.765816352	-3.940750377
AKR1C3	0.774055027	0.774055027	7.128087268	0.001978575	0.765816352	-3.94082511
NA	-1.261952767	-1.261952767	-7.124667511	0.001982175	0.765816352	-3.940895193
NMB	0.781167353	0.781167353	7.063825107	0.002047586	0.765816352	-3.942157089
LXN	0.78033834	0.78033834	7.049383662	0.002063501	0.765816352	-3.942460844
PRR14L	0.7904379	0.7904379	7.046065119	0.002067179	0.765816352	-3.942530877
NA	1.265832467	1.265832467	7.00388292	0.002114648	0.765816352	-3.943428713
C9orf68	0.89543721	0.89543721	6.949515535	0.002177827	0.765816352	-3.944607143
GAD1	1.147456523	1.147456523	6.948819592	0.00217865	0.765816352	-3.944622386
ADCY2	0.798041367	0.798041367	6.947412592	0.002180317	0.765816352	-3.944653214
NA	-0.841847717	-0.841847717	-6.941789576	0.002186992	0.765816352	-3.94477658
NA	0.81001012	0.81001012	6.834723787	0.002319033	0.765816352	-3.947176593
BMP5	-0.785049437	-0.785049437	-6.82935973	0.002325902	0.765816352	-3.947299436
NA	0.872424333	0.872424333	6.776507488	0.002394948	0.765816352	-3.948523443
RPP30	1.059415467	1.059415467	6.775555918	0.002396214	0.765816352	-3.94854571
LOC100130428	0.793588843	0.793588843	6.75780482	0.002419984	0.765816352	-3.948962584
NA	0.89207478	0.89207478	6.733588907	0.002452879	0.765816352	-3.949535913
LOC100652742	-0.73613049	-0.73613049	-6.716572062	0.002476325	0.765816352	-3.94994203
NA	-0.906536723	-0.906536723	-6.711914693	0.00248279	0.765816352	-3.950053649
NA	-0.949662783	-0.949662783	-6.663882022	0.00255069	0.765816352	-3.95121668
NA	1.194656367	1.194656367	6.635318047	0.002592152	0.765816352	-3.951918716
ALDH1A3	1.292940467	1.292940467	6.613978348	0.002623669	0.765816352	-3.952448345
CHRNA7	0.8560532	0.8560532	6.57281983	0.002685799	0.765816352	-3.953482482
GOLM1	0.9250502	0.9250502	6.569035924	0.002691602	0.765816352	-3.953578399
NA	1.1531004	1.1531004	6.559556302	0.002706206	0.765816352	-3.953819326
AKR1C1	0.88781928	0.88781928	6.542368585	0.002732933	0.765816352	-3.954258463
EFEMP1	-0.965228657	-0.965228657	-6.539436218	0.002737526	0.765816352	-3.954333682
NA	0.903254557	0.903254557	6.443388821	0.002893326	0.765816352	-3.956846478
LINC00173	-0.776236023	-0.776236023	-6.42982053	0.002916204	0.765816352	-3.957209275
PGR	-0.748755	-0.748755	-6.40000055	0.002967271	0.765816352	-3.958013586
NA	-1.316354917	-1.316354917	-6.39250503	0.00298028	0.765816352	-3.958217276
LOC728342	-0.737304853	-0.737304853	-6.356498254	0.003043755	0.765816352	-3.959204373
HOXA13	1.01279712	1.01279712	6.338370705	0.003076339	0.765816352	-3.95970678
WIPF1	-0.79341321	-0.79341321	-6.320504287	0.003108874	0.765816352	-3.960205569
MYT1	-1.09906504	-1.09906504	-6.312728075	0.003123167	0.765816352	-3.960423793
GANC	0.989212357	0.989212357	6.311603534	0.00312524	0.765816352	-3.960455409
LDLR	-0.690622267	-0.690622267	-6.279938653	0.003184327	0.765816352	-3.961351584
SORL1	0.76142629	0.76142629	6.278246861	0.003187523	0.765816352	-3.961399791
NA	-0.732693033	-0.732693033	-6.234245059	0.003272029	0.765816352	-3.962665352
CRX	-0.723089857	-0.723089857	-6.191745829	0.003356275	0.765816352	-3.963909527
NA	-0.7238039	-0.7238039	-6.169177212	0.003402094	0.765816352	-3.964579115
NA	1.026942967	1.026942967	6.164222088	0.003412256	0.765816352	-3.964726964
WIPF1	-0.934549777	-0.934549777	-6.160768694	0.003419361	0.765816352	-3.964830184
NA	0.875751467	0.875751467	6.154457855	0.003432391	0.765816352	-3.965019192
NA	-0.8914635	-0.8914635	-6.148105761	0.003445568	0.765816352	-3.965209933
NA	0.70142292	0.70142292	6.147974026	0.003445842	0.765816352	-3.965213894
SELENBP1	-0.71744053	-0.71744053	-6.131358764	0.003480606	0.765816352	-3.965715221
DHCR7	-0.670138907	-0.670138907	-6.066979497	0.003619439	0.765816352	-3.967690672
KCNK2	-1.085593033	-1.085593033	-6.060081632	0.003634713	0.765816352	-3.967905486
C12orf48	-0.821332487	-0.821332487	-6.049369979	0.00365859	0.765816352	-3.968240297
IFITM3	-0.65284412	-0.65284412	-6.033788167	0.003693667	0.765816352	-3.968730017
LOC344887	1.052147733	1.052147733	6.016017681	0.003734175	0.765816352	-3.969292437
CEACAM1	1.061042213	1.061042213	6.010335665	0.003747242	0.765816352	-3.969473154
NA	0.672412377	0.672412377	5.976462336	0.003826315	0.765816352	-3.97055949
NA	0.929690867	0.929690867	5.973779378	0.003832665	0.765816352	-3.970646198
GRK5	-0.65205248	-0.65205248	-5.965648351	0.003851988	0.765816352	-3.970909575
SLC4A8	0.860045847	0.860045847	5.94130261	0.003910564	0.765816352	-3.971703597
